"gene","HER2-enriched-Basal-like","Luminal-Basal-like","Luminal-HER2-enriched","Normal-like-Basal-like","Normal-like-HER2-enriched","Normal-like-Luminal"
"ZNF430",0.370489260161014,0.0769009342999374,0.999993304333985,0.602469148959736,0.233354661465824,0.190105640405181
"ZFP30",0.917847769804277,0.298382789648997,0.139701197491101,0.428191679404711,0.621529206227048,0.159330372900205
"ZNF549",0.986835322045018,0.343195036465456,0.787688033093916,0.966737475929943,0.933462367148295,0.761363965550799
"ZNF211",0.976549482050333,0.0673103294738111,0.45117875182142,0.993635538886385,0.999793414606344,0.965014859820026
"ZNF205",0.957565394681091,0.0120959420624953,0.2511701429545,0.213164761033428,0.336147803365172,0.711987187429554
"ZNF45",0.997908484766085,0.0117338652290997,0.114144539936426,0.854157859468782,0.826721952035389,0.298864139701596
"ZNF133",0.00104029384224025,1.10689024612753e-09,0.836961184926645,0.986935637256014,0.588361027887083,0.355457502024543
"ZNF436",0.0818423031127374,0.340226353758652,0.465626921841124,0.641040934715411,0.998899222419934,0.895303515637705
"ZNF484",0.0244768889917655,5.00138264136751e-10,2.79778143763565e-06,0.823537883885228,0.985009067393825,0.0988054827583672
"ZNF780B",0.374893566380733,0.282846766187479,0.00564257761301923,0.953455277735392,0.998334776784939,0.70499368597098
"ZNF557",0.947400360959104,0.898985672377334,0.999770757275379,0.997816440810007,0.976830372178655,0.9786712122574
"ZNF337",0.158349658508117,0.693069273996779,0.00539448294206901,0.999112459991234,0.742230813739583,0.997515579016605
"ZNF317",0.970621707965598,0.889465949868847,0.999948134252561,0.739638167053477,0.852154513426069,0.841975891813454
"ZNF426",0.96030781967099,0.970533147035217,0.996038205083696,0.478025185131528,0.632243659129626,0.539043226832922
"ZNF331",0.747419207861431,0.604298068571123,0.136405337782436,0.989658910956803,0.88679340069763,0.999940878980279
"ZNF227",0.277809954188835,0.995554054543626,0.224197930796627,0.780820927960486,0.998376894028268,0.80540788536216
"ZNF141",0.941842626417524,6.32854324500443e-10,1.37797913563054e-05,0.453643577237084,0.627137441181076,0.947469072636117
"ZNF304",0.428294957683267,0.00172133788330264,0.677235917473073,0.984064998838867,0.755002029848516,0.458929190294321
"ZNF132",0.164667637391932,0.60189688058108,0.00390909587971755,0.999657309419029,0.865269532284893,0.964529309652661
"ZNF20",0.00370140150098408,5.00160912686454e-10,0.0623493120955375,0.844555041561114,0.918363998262968,0.368659615792221
"ZNF670",0.000575480244073057,5.0014226093964e-10,0.01900724023086,0.00289751573257913,0.296287716450181,0.881461967350962
"ZFP37",0.084517470279679,0.0300102562160008,0.941196200062082,0.500597771439212,0.983136629176217,0.931630910847574
"ZNF189",0.697556880185752,0.0715344579021662,0.909033441119977,0.999425938197393,0.940215218788823,0.827749710148894
"ZNF434",0.000380059372854791,5.00141150716615e-10,0.00186250815925992,0.930499950384091,0.68644040413681,0.0562178811369159
"ZNF287",0.91780667956333,1.25150056984324e-09,5.70345701785824e-05,0.999472204519094,0.980959412898411,0.156277011709518
"ZIM3",0.729546411074189,0.795524112168667,0.963742637986654,0.9702392571016,1,0.997875935823907
"ZFP14",0.99988375492818,5.23598830959315e-10,9.95922803115334e-08,0.988734977577564,0.992120422806059,0.0662555675389865
"ZNF473",0.732748416221651,0.00142615041405747,0.308609993649768,0.092564630491366,0.255766455936706,0.577130911809745
"ZNF614",0.528940707015644,0.914642736323483,0.153212088779964,0.713022228964584,0.375423364799307,0.808808209477492
"POGK",9.54980853430376e-05,5.00233521272264e-10,0.62760963901902,0.00267480257055508,0.38166726630736,0.612100891223291
"ZNF514",0.0177096105839866,0.679808801532953,0.0529795370547929,0.0345892076171547,0.495903950629771,0.0696921490766926
"ZNF300",4.5313311991535e-09,5.00297581140785e-10,0.676075823733052,0.0820188931011366,0.98826678045237,0.999780784149698
"RBAK",0.45260426776537,0.99976799764339,0.276459105681196,0.347308904000776,0.113751858894411,0.338009071981702
"ZNF92",0.713466365758268,7.40543515398429e-10,0.000253753706352611,0.999999999283182,0.969890936966065,0.177114015217939
"ZNF157",9.58471755641011e-06,0.000110510863445268,0.115414442057555,0.782046512961365,0.674901723084611,0.987025244145383
"ZNF182",0.855307700566417,6.70898114840668e-10,5.56336264903035e-05,0.986197731430652,0.999999994632596,0.326436564146835
"ZNF673",0.000101553507943053,0.00168788681779353,0.132639468292631,0.913291851072365,0.635550914198018,0.974216757319918
"ZNF41",0.0361704329973797,4.0561899594671e-07,0.627575494583394,0.868314225611418,0.234389580486922,0.0709741236811986
"ZNF7",0.184013098837616,0.144985701981108,0.912027558097002,0.753863719825421,0.999392321179436,0.981927932630721
"ZNF214",0.993864355417238,5.01329533442174e-10,4.10031197883853e-09,0.997467705878699,0.99982672108356,0.0659764242915516
"ZNF215",0.00945794676539913,1.1316209191925e-08,0.634348606559337,0.449136949064708,0.999374606058245,0.988261259619223
"ZNF547",0.455451732047232,0.100584946462828,0.999581024665286,0.905754773536545,0.9999763606353,0.999999994350627
"ZNF773",0.997252448924828,0.948305116835723,0.9104904180842,0.959788054792062,0.978108289098907,0.907011497783645
"ZNF776",0.280733332001171,4.78966943884274e-09,0.0201770008082454,0.992825815799664,0.96215505631168,0.373535475416553
"ZNF256",0.780434767250263,0.888277194086768,0.334844178118832,0.968625441867124,0.834024354085176,0.994572516658043
"ZNF599",5.6524129950164e-05,0.203742333557971,6.69847177725558e-10,0.475156626758681,0.963914391462677,0.164460223330654
"ZNF18",0.855552060747435,0.000918339322587447,0.000490253632157267,0.951825547972894,0.9979013601844,0.329633530941192
