"gene","p-adj-1-0","mean-0","mean-1","SEM-0","SEM-1","Q1-0","Q1-1","Q3-0","Q3-1","count-0","count-1"
"ZNF254",0.530411112300384,341.482025,395.31015,14.7583426180683,122.93115,338.350575,333.844575,357.24815,456.775725,4,2
"ZNF625",0.927180203772908,50.920475,51.6871,4.36380252424706,7.1651,48.462,48.10455,54.445125,55.26965,4,2
"ZNF845",0.537969358524547,217.90605,197.47725,12.2845339726083,39.41375,205.060875,177.770375,227.770125,217.184125,4,2
"ZNF90",0.957684617161517,345.2545,328.7583,193.334504137522,58.2247,153.74065,299.64595,351.8848,357.87065,4,2
"ZNF788",0.0681003920434758,98.06765,155.78165,12.095081808632,23.76305,85.782425,143.900125,102.172225,167.663175,4,2
"ZNF880",0.678636098200404,167.10945,204.583,40.8280163131989,93.9101,101.430725,157.62795,229.592525,251.53805,4,2
"ZNF630",0.253583054904337,47.7747,67.70185,9.59064008760625,6.68095,40.6873,64.361375,54.0634,71.042325,4,2
"ZNF844",0.42835124454025,284.050375,236.7193,33.1714899109003,33.239,258.86075,220.0998,309.980325,253.3388,4,2
"ZNF717",0.147675777191272,79.29945,98.59015,7.17551055076687,0.481749999999998,72.43495,98.349275,82.42005,98.831025,4,2
"ZNF492",0.688866113567906,5.209625,6.6189,1.42083763051647,4.054,3.797375,4.5919,6.00885,8.6459,4,2
"ZNF688",0.870046040109825,230.138025,214.71285,58.8044078529886,11.00055,181.710025,209.212575,251.4556,220.213125,4,2
"ZNF879",0.415607141351519,65.0971,80.4756,11.2941134346614,0.962900000000005,59.907625,79.99415,74.442775,80.95705,4,2
"ZNF737",0.45818027066995,368.483875,253.97,90.1813198818393,56.4708,250.3505,225.7346,483.090025,282.2054,4,2
"ZNF709",0.586542350913997,88.994575,101.832,14.2615572761985,6.2886,75.670225,98.6877,97.535,104.9763,4,2
"ZNF585B",0.219603671139523,137.972725,91.83395,20.696326943783,10.71825,117.394575,86.474825,153.536,97.193075,4,2
"ZNF324B",0.471749266105185,153.122025,135.56795,14.3497269081084,8.28354999999999,138.520575,131.426175,170.2105,139.709725,4,2
"ZNF564",0.754123621513247,221.8039,232.73225,21.3853470046665,9.26315,191.60575,228.100675,245.52855,237.363825,4,2
"ZNF674",0.905106711145299,91.555525,89.1197,9.77499551171039,20.2102,83.350725,79.0146,96.6407,99.2248,4,2
"ZNF432",0.00809353610316221,124.96615,156.48385,2.79385189583008,7.99195,121.94865,152.487875,125.9796,160.479825,4,2
"ZNF10",0.689859424142734,213.419025,181.2781,45.3047051481664,51.3477,137.5335,155.60425,280.003075,206.95195,4,2
"ZNF486",0.915025983542939,82.7072,80.07865,8.21096446892812,31.98635,73.0734,64.085475,94.7478,96.071825,4,2
"ZNF225",0.512455730261949,72.645875,83.95565,5.38906330286551,22.07685,64.424225,72.917225,81.4015,94.994075,4,2
"ZNF350",0.944923865977504,170.8581,166.0071,43.9708925678681,3.1344,118.01345,164.4399,204.6389,167.5743,4,2
"ZNF253",0.15137142172219,297.347025,219.60975,19.1784766241732,54.17215,278.473775,192.523675,314.81215,246.695825,4,2
"ZNF878",0.92806727787587,6.937375,6.6211,1.90269659228466,2.6768,5.914175,5.2827,8.43475,7.9595,4,2
"ZNF727",0.461542587471396,26.58395,34.2019,3.0348448846962,13.3619,24.800625,27.52095,29.313025,40.88285,4,2
"ZNF578",0.492056574454259,48.64795,63.03165,11.6457680864839,12.37435,36.981625,56.844475,53.866375,69.218825,4,2
"TRIM28",0.628836298113534,5265.718325,4541.1022,917.135828300245,281.4036,4326.643175,4400.4004,5347.40035,4681.804,4,2
