"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF546",0.64782543892227,0.902062663457883,0.940452548637564,0.876843066607487,0.954311411570149,0.999989689398967,0.999999999994361,0.92123034214272,0.98767658513927,0.984317778103684,51.5587,87.50895,72.1439416666667,73.4565076923077,51.459,12.946321663443,14.5951046533818,14.962243408931,9.10402020675807,NA,34.5209,71.017325,37.011075,45.1885,51.459,64.1547,106.743925,84.3868,99.3662,51.459,4,6,12,13,1
"ZNF286A",0.984402836916537,0.999997435303901,0.972679078352624,0.998375309395286,0.844737128707216,0.987143421144534,0.98626145519462,0.999537557244975,0.985666165502264,0.954115551658253,275.10325,238.942616666667,271.56655,292.861684615385,214.5657,72.0896262736244,39.3892373653888,23.5322062642285,33.4367410153819,NA,189.61125,197.61575,206.212075,211.4804,214.5657,315.03425,261.7955,323.63115,402.0882,214.5657,4,6,12,13,1
"ZKSCAN4",0.313759571277086,0.850404883365242,0.660116694289939,0.464085669284122,0.972342340633704,0.879355168931782,0.989777180666795,0.95891935700434,0.999997478359598,0.993195405054018,57.10425,95.5622833333333,74.86295,86.3528307692308,73.0534,13.1433828947307,13.9267382517567,6.53450476406521,9.94385121985508,NA,36.878525,73.910125,59.965725,73.4796,73.0534,73.786275,122.178475,88.0643,104.32,73.0534,4,6,12,13,1
"ZNF643",0.997680682627603,0.998559332712469,0.94683297540055,0.999959711351796,0.981515809846612,0.999191816519552,0.999969511419631,0.998147414400917,0.999999268245393,0.999998284329662,55.64885,49.40235,60.5948,57.6346538461538,59.2697,11.8256806675486,7.27586991306423,11.0707814026519,7.75757015249286,NA,46.46025,41.6934,41.270575,42.0022,59.2697,68.25955,50.64475,77.172625,67.9814,59.2697,4,6,12,13,1
"ZNF642",0.959954559033639,0.98823238535833,0.997760163520609,0.961440370249696,0.999965616175999,0.99897034511112,0.769353283693292,0.927427428312284,0.859832866423777,0.898867271504019,81.284125,93.2179166666667,88.9238583333333,91.7428153846154,116.9314,10.3942718701516,11.5545304794964,10.3587714873088,4.83915896757296,NA,69.106825,83.895625,61.359125,76.2316,116.9314,88.65745,91.90925,118.528125,100.464,116.9314,4,6,12,13,1
"ZNF490",0.295969060769841,0.924644198867161,0.49279768581273,0.325544756797581,0.995907016031337,0.522073985928331,0.970678290301108,0.375569466107977,0.796129477278798,0.431509637503992,230.173725,352.442316666667,274.927816666667,335.155015384615,164.0256,27.274657104761,51.9323746673333,30.6876316138456,20.8298951038813,NA,212.1966,289.627475,192.679225,280.3582,164.0256,267.587475,364.8043,315.063975,340.0211,164.0256,4,6,12,13,1
"ZNF626",0.616875963083784,0.999998980234271,0.398855893005611,0.998664774122538,0.542727906691453,0.997358895314382,0.999921619038909,0.857425863127728,0.999802852252317,0.998213069158937,116.364525,452.70305,125.94125,173.9707,61.3373,78.274588802171,342.122386802403,43.4009422241763,44.7304201724864,NA,39.7529,69.8573,35.18515,54.4693,61.3373,122.910775,212.705775,142.373275,203.5521,61.3373,4,6,12,13,1
"ZNF793",0.999842211845663,0.95376646920755,0.9729117235446,0.471760275091022,0.440307140171033,0.659703144219386,0.999942075363889,0.99939785222028,0.984100798733702,0.830268505252385,47.8665,68.7442166666667,129.922641666667,239.274592307692,19.7566,30.8223913215971,24.3457583177497,45.7910619909349,78.1737147268591,NA,10.531275,24.726225,39.9631,40.9715,19.7566,59.368925,94.679225,146.745525,291.9793,19.7566,4,6,12,13,1
"ZNF383",0.663433760408229,0.64474594552963,0.99988360634832,0.291608334004054,0.981424645941709,0.90887768468587,0.999732351502774,0.855094252062638,0.869787938178061,0.694832703690392,87.5705,120.946316666667,118.09795,131.304992307692,79.7155,13.9689885054955,21.0540821811261,12.0159202373761,8.3325125610425,NA,68.0131,87.36015,94.1468,109.5128,79.7155,99.4917,128.276975,144.5301,149.4864,79.7155,4,6,12,13,1
"ZNF669",0.495857853337987,0.166119987439973,0.976361222321085,0.165070932735327,0.978459806856139,0.999999862170478,0.350382390836925,0.864691978272027,0.947822444948108,0.944590705346525,183.111,133.278416666667,119.351991666667,119.876284615385,83.1614,37.3976598924541,24.457769151627,8.04382564157374,13.1692620494188,NA,141.984175,93.985525,106.667175,99.1773,83.1614,222.245775,151.440225,129.522475,128.2588,83.1614,4,6,12,13,1
