"gene","p-adj-Papillary-Mucinous","p-adj-Tubular-Mucinous","p-adj-Tubular-Papillary","mean-Mucinous","mean-Papillary","mean-Tubular","SEM-Mucinous","SEM-Papillary","SEM-Tubular","Q1-Mucinous","Q1-Papillary","Q1-Tubular","Q3-Mucinous","Q3-Papillary","Q3-Tubular","count-Mucinous","count-Papillary","count-Tubular"
"ZNF773",0.996675881653052,0.962523160536715,0.911163100718341,67.81505,70.7884333333333,59.0775,48.51525,32.483264019714,10.7921298547334,43.557425,51.62425,34.981075,92.072675,103.08445,82.666475,2,3,8
"ZNF776",0.975798040938793,0.119488821932856,0.104621227838469,463.2018,443.6732,286.957975,156.2,49.5866282600797,26.4479289000896,385.1018,394.36465,235.722825,541.3018,472.869,324.530675,2,3,8
"ZNF256",0.645069033401295,0.657716529640946,0.980380122390882,90.5264,47.6432333333333,54.2574125,71.6754,32.3041588919205,13.3406944411028,54.6887,15.33995,23.61715,126.3641,64.00085,71.757075,2,3,8
"ZNF599",0.634595703524484,0.393892569067564,0.938530375480971,145.87715,89.4854333333333,74.1835,129.71915,25.7154683226739,10.7585704213797,81.017575,73.50705,57.496175,210.736725,114.92405,96.1718,2,3,8
"ZNF18",0.33181017008455,0.674885471971196,0.584424214856948,168.4708,121.139466666667,144.9053375,37.0947,15.6011659668258,11.757770293238,149.92345,107.2687,121.66525,187.01815,134.2594,174.0417,2,3,8
"ZKSCAN2",0.430768315051732,0.9919807354929,0.289577582229608,122.3455,174.794133333333,126.595425,2.0582,18.4938373758516,17.7840085556394,121.3164,161.3809,103.245975,123.3746,192.5271,130.942,2,3,8
"ZNF689",0.0743519618442887,0.594306692114869,0.119128030518209,143.43365,325.577166666667,206.4988,1.15355,50.7517715273839,29.3909921722443,142.856875,280.1913,156.83915,144.010425,367.93985,256.6171,2,3,8
"ZNF19",0.625738274923518,0.977597481020837,0.571521060371514,44.32265,72.1542333333333,49.4984875,15.37215,31.3623855626627,8.48434222337657,36.636575,41.40515,35.702425,52.008725,92.87385,51.421875,2,3,8
"ZNF230",0.99839022260187,0.964164769935511,0.971802578411567,101.1289,99.3415666666667,93.7485625,20.339,35.732327513767,9.09105158096877,90.9594,63.9012,77.354425,111.2984,121.0095,119.159925,2,3,8
"ZNF222",0.999580477066319,0.736364204221863,0.639858179696108,48.3048,48.8359,35.68275,27.6585,13.9103842744668,5.59996923078282,34.47555,36.41725,20.29545,62.13405,60.47265,49.15965,2,3,8
"ZNF221",0.984550864390606,0.965496960606733,0.997420368863772,31.33805,27.1590666666667,25.8976,23.70785,8.18206200301068,10.2495231209624,19.484125,20.41355,4.288525,43.191975,34.5422,35.012325,2,3,8
"ZNF233",0.985519531219765,0.811870577981839,0.869952392802146,28.2427,26.5770666666667,22.73445,10.2894,2.7684115549856,4.22304987010065,23.098,24.1137,14.354325,33.3874,28.9028,34.626275,2,3,8
"ZNF235",0.937640387539703,0.891655715736608,0.997033539058652,90.67875,79.8401666666667,78.1191125,44.00015,29.1852342386998,7.32750700527124,68.678675,50.6551,66.16535,112.678825,94.51835,84.95105,2,3,8
"ZNF208",0.0795337169229451,0.0450684471980437,0.999287587096841,2015.7473,15.8003666666667,37.5170875,1991.9591,7.45420917252647,20.5309241872599,1019.76775,10.48925,12.64585,3011.72685,22.9856,27.5037,2,3,8
"ZNF714",0.239326941750435,0.12161430313037,0.975480564469817,1191.34885,374.443066666667,300.36105,1034.70615,176.916912331131,75.9882166284141,673.995775,197.5274,197.012775,1708.701925,463.47585,326.810575,2,3,8
"ZNF394",0.578431450425976,0.892864782405519,0.681866473813432,604.1796,436.1172,539.4566625,278.675,62.2979876290024,50.6456961306541,464.8421,396.66735,426.64235,743.5171,497.5981,658.4823,2,3,8
"ZNF333",0.114180969960942,0.0885627067344655,0.974751275931748,595.5904,133.8513,166.9889375,495.0518,25.5685555505847,19.3972369444165,348.0645,108.298,131.049125,843.1163,147.39275,194.397875,2,3,8
"ZNF382",0.436692959984231,0.907567886971932,0.460975499330136,45.76,19.3090666666667,38.219625,14.7905,0.272220684576156,9.14284706430876,38.36475,19.07325,25.017125,53.15525,19.54475,39.833425,2,3,8
"ZNF577",0.994605391065883,0.56629435654827,0.542105385723396,214.16465,202.056333333333,103.4160375,50.78945,148.728930257749,27.1688927455183,188.769925,55.37295,41.3606,239.559375,296.68675,169.180825,2,3,8
"ZNF75A",0.606654434267253,0.951280672170394,0.263129708539222,165.73305,242.833833333333,145.1188625,94.81745,10.389705895153,31.6318645263473,118.324325,234.87455,67.6033,213.141775,252.5968,217.960025,2,3,8
"ZNF496",0.989294313932184,0.975143867342778,0.900521521065968,345.2554,329.771533333333,365.776775,64.2859,82.6802498383851,41.8159206648093,313.11245,247.1009,302.60275,377.39835,372.1989,463.3769,2,3,8
"ZNF2",0.75219106197971,0.329541989006504,0.726818285264374,137.88965,114.358066666667,95.8516375,50.36725,23.1640939559723,8.65313702707078,112.706025,91.7613,72.902375,163.073275,130.06905,111.793475,2,3,8
"ZNF589",0.187834691333382,0.130962459233278,0.997515011297093,294.9112,173.4979,176.675525,95.1805,16.3742350643727,22.7865981750689,247.32095,165.22725,133.90915,342.50145,189.87185,232.403375,2,3,8
"PRDM9",0.637667895352212,0.791566815761288,0.88328718778303,0,0.7241,0.4468625,0,0.128687528533265,0.359916281405184,0,0.6095,0,0,0.8321,0.1695,2,3,8
"ZNF12",0.538026929652542,0.981815021334766,0.25585349565834,870.9224,1172.17543333333,827.430325,121.3712,206.770429242661,105.345466497978,810.2368,998.10635,595.487825,931.608,1355.8561,1021.304125,2,3,8
"ZNF202",0.327547944752659,0.356137174591159,0.935977410959502,321.0198,211.629366666667,230.3128875,84.4848,7.33551030475121,29.4070816479724,278.7774,206.1947,175.64155,363.2622,218.6135,281.505475,2,3,8
"ZNF3",0.65387946552651,0.99905260297439,0.448134211834959,767.37855,1112.9005,753.5557875,130.73635,416.714258801788,111.958480221846,702.010375,697.97095,587.1721,832.746725,1353.72965,868.785025,2,3,8
"ZNF606",0.649693731940515,0.96925476826997,0.627887264188689,143.3567,64.4241,125.344775,110.5919,37.5809382193065,32.2963859862046,88.06075,27.2769,41.150925,198.65265,87.92815,177.69145,2,3,8
