"gene","p-adj-Papillary-Mucinous","p-adj-Tubular-Mucinous","p-adj-Tubular-Papillary","mean-Mucinous","mean-Papillary","mean-Tubular","SEM-Mucinous","SEM-Papillary","SEM-Tubular","Q1-Mucinous","Q1-Papillary","Q1-Tubular","Q3-Mucinous","Q3-Papillary","Q3-Tubular","count-Mucinous","count-Papillary","count-Tubular"
"ZNF91",0.298508347746983,0.0889230166091304,0.792462336096928,2662.17045,1192.61636666667,738.729275,2046.82035,386.937585771368,141.396973800067,1638.760275,806.3406,543.622475,3685.580625,1405.34495,859.35485,2,3,8
"ZNF226",0.695511600842976,0.868295570911771,0.248622189243904,212.5429,269.845,181.9536,22.6865,82.728534385241,16.6344814930463,201.19965,187.2895,154.32665,223.88615,315.75415,200.700275,2,3,8
"ZNF229",0.0978926072738266,0.0714187169610836,0.980172863878625,164.4488,16.3446666666667,25.354475,151.8815,3.37641334472609,6.61848156217416,88.50805,14.03185,8.017075,240.38955,19.6314,33.71015,2,3,8
"ZNF180",0.828852418484241,0.836520060675346,0.991584039298545,154.74505,207.989233333333,199.6889125,81.58525,7.64218445305035,38.8008326801732,113.952425,202.95145,135.51205,195.537675,215.48485,231.182375,2,3,8
"ZNF641",0.997356030996908,0.957692882447686,0.970286728926512,174.3555,169.165233333333,156.153875,107.4794,58.1530186736204,20.661589992784,120.6158,124.0162,111.4597,228.0952,223.48095,190.2058,2,3,8
"ZNF610",0.871587696149038,0.953774356022891,0.581052276043473,26.6704,13.8990333333333,33.13025,15.8984,6.76989372992253,11.1474300755023,18.7212,7.12915,17.873075,34.6196,17.29425,30.046875,2,3,8
"ZNF528",0.997883017954296,0.977603289950852,0.987132823060875,135.73035,143.990066666667,159.141375,102.06785,65.5102664850412,54.5027146640348,84.696425,97.08355,63.869475,186.764275,207.048,167.247875,2,3,8
"ZNF701",0.996882901882887,0.730991079662904,0.715253438309698,196.01545,189.6228,139.640625,163.25065,12.4195698884194,24.0335491316584,114.390125,179.0958,80.789925,277.640775,200.5934,187.025725,2,3,8
"ZNF283",0.986376817673378,0.708418524749632,0.753391132934027,98.76055,91.8244666666667,68.119875,27.84495,15.0678136601757,19.019737902043,84.838075,76.7806,32.81205,112.683025,100.0818,76.84175,2,3,8
"ZNF558",0.613757100350101,0.897794256350589,0.721668652260528,297.7281,381.3708,331.0956,29.4712,64.7729940466961,33.5844899176316,282.9925,340.6047,295.91725,312.4637,445.3457,376.278325,2,3,8
"ZNF597",0.342282367999499,0.503498022739395,0.802326629499184,39.81355,88.4323666666667,72.8120875,10.45575,15.2832872616172,14.2691339858531,34.585675,73.1978,43.955025,45.041425,97.10565,92.835275,2,3,8
"ZNF30",0.0525351136411848,0.00909049525512129,0.731512786505994,346.8196,117.450566666667,69.419625,199.6024,19.9762769976735,8.25941249992028,247.0184,105.29225,52.981275,446.6208,137.25635,78.171725,2,3,8
"ZNF354A",0.995456699979338,0.529882167977663,0.368520072740471,380.91035,391.327533333333,270.77095,128.06635,43.0319771199021,45.0548298614469,316.877175,348.85375,204.384075,444.943525,418.54745,282.391075,2,3,8
"ZNF764",0.478485895615008,0.940737420070937,0.462910576226805,188.2265,344.574666666667,225.8408625,77.0338,144.022560131394,34.5041943104641,149.7096,203.01805,129.481225,226.7434,438.33485,324.289925,2,3,8
"ZNF747",0.618368878731416,0.727216390651773,0.920742151358128,156.27905,228.4159,206.701725,54.74875,87.2076620705429,17.1487900237862,128.904675,150.015,195.945425,183.653425,300.68985,231.975825,2,3,8
"ZNF778",0.860518331759108,0.407748468552166,0.680610383173436,127.0951,103.023166666667,74.0974875,67.4003,27.393756930265,14.3512467818683,93.39495,75.62945,46.863925,160.79525,116.7607,93.3125,2,3,8
"ZNF212",0.714356585586154,0.291203550086172,0.715579384696767,163.30365,249.9231,313.9925125,15.78075,79.6188347278666,43.0776637082144,155.413275,170.872,253.7026,171.194025,297.66825,358.902925,2,3,8
"ZNF282",0.910782662725383,0.420223422189799,0.608071967632493,648.79645,776.7119,1000.2887875,202.19095,20.8615276758439,137.758564699777,547.700975,763.9022,839.571725,749.891925,797.37635,1062.20265,2,3,8
"ZNF160",0.912900183455125,0.757743644935449,0.955010619130425,416.33805,496.343066666667,538.4136875,158.70785,35.4094036385032,84.7671527330192,336.984125,463.26675,447.067175,495.691975,523.82825,587.342525,2,3,8
"ZNF415",0.628252740633869,0.831764727378812,0.829935740347153,114.8171,53.8965,82.0913625,69.0361,22.8197959955824,25.9291225621882,80.29905,32.6841,33.253,149.33515,71.7885,111.515375,2,3,8
"ZNF439",0.247076434755627,0.153905705410883,0.997685632779038,216.3541,79.6577666666667,75.82555,147.6826,23.3446899238587,22.8868901303469,142.5128,56.33125,30.204725,290.1954,92.1186,98.56605,2,3,8
"ZNF440",0.476447731986062,0.162104361423225,0.762269134597618,681.4261,447.827866666667,345.5730625,390.1335,43.3467376621868,49.0350237872669,486.35935,409.25735,249.780225,876.49285,484.24325,445.849025,2,3,8
"ZNF562",0.279182103315968,0.362415184745456,0.861978320947639,507.05895,784.9644,718.7331125,139.91355,141.555213880462,58.3100722181623,437.102175,648.03485,571.2791,577.015725,884.51185,829.074875,2,3,8
"ZNF561",0.0431564570962517,0.734100758783628,0.0367622228130149,492.59575,769.4638,557.047625,32.54185,11.9167119882122,44.6800345403721,476.324825,760.65195,474.83295,508.866675,780.81735,596.150425,2,3,8
"ZNF584",0.978987282030649,0.998076896827679,0.940737720263255,189.2823,209.2601,184.0786625,63.4107,25.7637651724924,44.7287427977243,157.57695,191.98835,133.888375,220.98765,234.45175,171.119375,2,3,8
