"gene","Hepatocellular Carcinoma-Fibrolamellar Carcinoma","Hepatocholangiocarcinoma (Mixed)-Fibrolamellar Carcinoma","Hepatocholangiocarcinoma (Mixed)-Hepatocellular Carcinoma"
"ZNF256",0.820498734044602,0.583074951439011,0.652499508245109
"ZNF599",0.672023098617797,0.0245210271423539,0.00178703628177357
"ZNF18",0.882491462892787,0.974970946081202,0.939703833270721
"ZKSCAN2",0.955628580962262,0.978956105217213,0.708705178841718
"ZNF689",0.905602696717695,0.761440405661508,0.804784322954183
"ZNF19",0.988123198336527,0.106010812674218,0.00033796697121613
"ZNF230",0.998872190023863,0.906839050105085,0.767668102912412
"ZNF222",0.967063458050306,0.968922139186354,0.998128074820574
"ZNF221",0.750231386577681,0.681613200738835,0.910789153093291
"ZNF233",0.99948913989318,0.891947295135174,0.659500498163734
"ZNF235",0.979397964954505,0.999998432633247,0.954038201435508
"ZNF208",0.949864467969066,0.520501309498793,0.288287707442378
"ZNF714",0.989134284934161,0.346414618963304,0.0181748720978201
"ZNF394",0.730321766084409,0.687683566464174,0.93690903211255
"ZNF333",0.519316872702132,0.9269659851342,0.584340530169363
"ZNF382",0.606864605076052,0.954780713354011,0.625225649470178
"ZNF577",0.917684698068167,0.962367356583415,0.529019688986933
"ZNF75A",0.357222833075445,0.772219649547496,0.676145495225933
"ZNF496",0.972665810322891,0.71639068510129,0.188637036391615
"ZNF2",0.578274218555995,0.677980811067041,0.999994144239301
"ZNF589",0.929067071945693,0.9828514381992,0.656144266663686
"PRDM9",0.936827024980553,0.996480306096449,0.924220011372113
"ZNF12",0.782158803615295,0.369398565684678,0.329945302035351
"ZNF202",0.759057149511393,0.262933854577436,0.187544694894995
"ZNF3",0.135776675142877,0.238359558456266,0.99977580824353
"ZNF606",0.534199617569992,0.493228976352295,0.903673458684872
"ZNF91",0.702454172441347,0.684148842560909,0.956222473228939
"ZNF226",0.912024635712558,0.569794941108794,0.448691111338602
"ZNF229",0.914711087186157,0.934501912541697,0.999709991449586
"ZNF180",0.919495551863219,0.850879738832072,0.9210688977172
"ZNF641",0.739889126851436,0.808738004477534,0.999999151628463
"ZNF610",0.996007058472342,0.990884821797292,0.930154044676866
"ZNF528",0.949020218784018,0.705774167127212,0.137998388011809
"ZNF701",0.990238979195927,0.825580914806936,0.413327394013005
"ZNF283",0.990091057577276,0.50526283290465,0.16686401993916
"ZNF558",0.689714927359667,0.787988902309365,0.0402732589520872
"ZNF597",0.163724203738232,0.840689679599457,0.187007107083137
"ZNF30",0.62885930432912,0.285906060627712,0.37359780041571
"ZNF354A",0.961842704971153,0.527495267004901,0.0497221851656637
"ZNF764",0.939803410795296,0.822885529802394,0.838237618037776
"ZNF747",0.404188630606226,0.949613182501618,0.342327840578964
"ZNF778",0.231643503036782,0.525721582523969,0.857090555107389
"ZNF212",0.171324075090995,0.164740624129742,0.843221543022004
"ZNF282",0.42953115236751,0.425490699427958,0.926762062122002
"ZNF160",0.904769894555128,0.781046235377485,0.152176374851505
"ZNF415",0.88061670786638,0.935553405841937,0.36387818445019
"ZNF439",0.725868720804434,0.523395477685171,0.00547118251231604
"ZNF440",0.51593171810814,0.787586750126955,0.882177063572276
"ZNF562",0.719255529454726,0.999738784480533,0.444927465228978
"ZNF561",0.952673132648663,0.254725359183428,0.0433027998122855
"ZNF584",0.595615779747326,0.999971446677772,0.31036396197944
"ZNF274",0.041683210636156,0.466152280054472,0.268431136215269
"ZIK1",0.978163080583128,0.890977267708833,0.495082459563169
"ZNF540",0.823588846912621,0.694571120372099,0.836136341695624
"ZNF570",0.985390625589797,0.999935897344281,0.971573802389783
"ZNF57",0.828056570314013,0.778059164849044,0.941148769126245
"ZNF556",0.916590932184488,0.657042913302883,0.592178847457965
"ZNF554",0.462510993761448,0.12679855306009,0.198349900912414
"ZNF738",0.855314291835392,0.386053576443892,0.00435784939528439
"ZNF596",0.979325292584497,0.703631396177252,0.191277343316761
"ZNF621",0.806343926826051,0.792870361648211,0.0863789776466101
"ZNF680",0.687387479792407,0.999619773215641,0.395098959184035
"ZNF483",0.76952317909581,0.737647266997171,0.952663920325878
"ZNF417",0.95338102127554,0.97407881516749,0.677239182998072
"ZNF791",0.820027994664269,0.970476539447134,0.875953098107019
"ZNF519",0.996374629272016,0.667614335478776,0.328143402272493
"ZNF25",0.0209265325554352,0.16158111252172,0.724760380639633
"ZNF77",0.557447309420977,0.684884706516734,0.997535958325309
"ZNF169",0.294982907983838,0.995761374834673,0.041315739160772
"ZNF613",0.482209393213071,0.632304032059488,0.994480322978507
"ZNF404",0.899813745287304,0.413897977479884,0.234728168853053
"ZNF135",0.873728604616059,0.885920732172848,0.246911072476098
"ZNF620",0.382346939476445,0.059821536606472,0.08891452115358
"ZNF619",0.780305128818856,0.998080106523016,0.632338414672843
"ZNF354C",0.799516703088636,0.807443776374378,0.986232644323378
"ZNF114",0.997148228626213,0.997539784969824,0.971208098055349
"ZNF454",0.307922399958439,0.470082048753532,0.993597275568279
"ZNF543",0.860458178518842,0.820350617689167,0.146493782361029
"ZNF354B",0.991586380150924,0.347674108164937,0.0537952023546612
"ZNF223",0.999953584072935,0.598531698884921,0.184051855463322
"ZNF713",0.950176166610597,0.964762420705435,0.625483111086679
"ZNF552",0.383769438028898,0.884131794117213,0.481826985484302
"ZNF154",2.80280243458719e-11,2.420773762557e-07,0.739043065878528
"ZNF571",0.919623709283387,0.361574837709468,0.148270634280769
"ZNF443",0.98030374690463,0.802902632451561,0.32626912468898
"ZNF792",0.829151645938747,0.0464177846116465,0.00198890976399624
"ZFP82",0.999267560134206,0.737171535539752,0.341114607677044
"ZNF707",0.641128226275888,0.101993918686976,0.0516133233651178
"ZNF746",0.995352675293416,0.964316317291034,0.818050726691447
"ZNF678",0.989156929582746,0.993690192589121,0.999782190711308
"HKR1",0.959485767113384,0.0923022122677601,9.74304542065152e-05
"ZNF101",0.872693441027538,0.437921047782364,0.00876641701474745
"ZNF716",0.802633582560872,0.958567199044044,0.890413590745088
"ZNF708",0.697188155805126,0.812289241064282,0.0514842741451396
"ZNF721",0.780203267464058,0.508834572852372,0.586120230577608
"ZNF662",0.974218190610149,0.999035202818964,0.964782499113158
"ZNF320",0.772826347099624,0.227223522828284,0.129185369344437
"ZNF530",0.815859747245241,0.643594134135541,0.766307430978147
"ZFP1",0.856113513146292,0.961789259356396,0.403040753302449
"KRBA2",0.716127629895673,0.964397047451864,0.227200607893164
"ZNF93",0.967330863109928,0.0625426845830745,0.000678526106106414
"ZFP90",0.835084701897689,0.994496202800325,0.545802755968258
"ZNF479",0.961983516461811,1,0.914456648478056
"ZNF445",0.964482961527731,0.858228880015767,0.839516607747898
"ZNF74",0.666082858913991,0.323100915563079,0.400482485135547
"ZNF829",0.987222072976982,0.956195908784896,0.956675114276201
"ZNF267",0.921167483472572,0.575451725746511,0.0444137053661955
"ZNF566",0.98599626167918,0.980129342192192,0.826621439612741
"ZNF224",0.938767546200871,0.850980391419536,0.295316471570983
"ZNF529",0.995757281589768,0.536785548156489,0.100088328837674
"ZNF284",0.904058760037439,0.996580417071961,0.707845143412722
"ZNF749",0.940330977900429,0.626221677837797,0.477239606043846
"ZNF17",0.527689693181471,0.42104301679801,0.802493987495731
"ZNF555",0.965867923307995,0.991045552646923,0.813480346620357
"ZNF75D",0.317949072152216,0.37297968811484,0.971747637999036
"ZNF197",0.896408469407731,0.944749129948786,0.994917233499235
"ZNF732",0.979089826474085,0.999047384556544,0.973135764058
"ZNF546",0.74259545206179,0.227508466786699,0.15181956895662
"ZNF286A",0.694890590654003,0.943221557917504,0.162892481145324
