"gene","G1-[Not Available]","G2-[Not Available]","G2-G1","G3-[Not Available]","G3-G1","G3-G2"
"ZNF394",0.999997930410351,0.9999996367908,0.999862491257396,0.998957394626957,0.980447494523095,0.976845241553591
"ZNF333",0.999979555078834,0.993007200761162,0.858813004246138,0.971595014948449,0.662048427251448,0.952504540328761
"ZNF382",0.887083198668456,0.881969041189607,0.999987742888879,0.931483167369712,0.00836692702679498,0.000370386220212349
"ZNF577",0.451356801139681,0.691206019278106,0.688304384742136,0.894618058735868,0.21771539920534,0.648819015767071
"ZNF75A",0.984068109413505,0.671436261481043,0.220219527862784,0.611053979418254,0.171889648069742,0.986835830831769
"ZNF496",0.99580389730164,0.995024146171078,0.618776937427531,0.70475186286663,0.0107683599182876,0.0523200252133306
"ZNF2",0.592001599010586,0.702107692156557,0.944211322060823,0.856517225628662,0.646060696159845,0.836638476157348
"ZNF589",0.591940856564399,0.983378352670112,0.0851598261146224,0.996416285773168,0.0023636084135582,0.289187979480106
"PRDM9",0.995799696201636,0.904699224251115,0.673033064929729,0.93586116651513,0.831926267119017,0.993811484135236
"ZNF12",0.983979340156649,0.970693438315314,0.997859450636457,0.992150578002325,0.406429698916239,0.122245554866588
"ZNF202",0.988380404607033,0.99940600283496,0.947204463730557,0.732224275103973,0.0073581521236088,0.00295168711791971
"ZNF3",0.875685396450514,0.936739177518724,0.960582253489348,0.940122304434414,0.965568481248452,0.999998926103064
"ZNF606",0.461314732461608,0.719227552587532,0.641836083837504,0.991574390783715,0.0221306126384506,0.0997673799420631
"ZNF91",0.795182846747401,0.921945026308956,0.849297992331796,0.999970003717607,0.143688482481434,0.284209296124543
"ZNF226",0.979026940508731,0.994649541109338,0.976716851643702,0.936638217983789,0.0873763299832756,0.0555721412693213
"ZNF229",0.998904175945795,0.931150269945591,0.65933478838061,0.660847628642558,0.0825693887418193,0.32804312285476
"ZNF180",0.662541464582825,0.699700381560825,0.994217186321955,0.972783051437192,0.293559732329789,0.205154741186312
"ZNF641",0.90108293281815,0.852204399649399,0.995571769968981,0.907414647584676,0.999831494624695,0.98158874430437
"ZNF610",0.999949347292441,0.987467395416976,0.895314749249183,0.796164955871951,0.168279729624348,0.270396178851155
"ZNF528",0.999771108317087,0.996040442605694,0.98616646915547,0.839992607916413,0.287805827826549,0.242543157966933
"ZNF701",0.602794150504222,0.662516814631923,0.985234506494297,0.900861039102024,0.512586566472119,0.527887047825425
"ZNF283",0.997878419925671,0.979381573290451,0.454636396577057,0.559556321528565,0.00253317642737216,0.0265630390598607
"ZNF558",0.910144655492752,0.885803564364979,0.999623037397683,0.998894486255062,0.577754502958615,0.293524667967859
"ZNF597",0.935429955967696,0.943084059114612,0.999397479695221,0.942148742957321,0.999764608916463,0.999989684167597
"ZNF30",0.106972926980975,0.168473138907031,0.880181769202621,0.794092736249933,0.00499380868953614,0.00387324527030453
"ZNF354A",0.974326799608137,0.999896038057889,0.779547881679381,0.800883312056202,0.00847204863801698,0.0164596550003058
"ZNF764",0.99995820533907,0.968731701810985,0.575051025929353,0.861427623619085,0.192906410351821,0.730598330485388
"ZNF747",0.976368877878967,0.992107399312813,0.98332783141694,0.985413249305089,0.998131976471957,0.996557595123266
"ZNF778",0.867540533325954,0.963126491110048,0.852751657824292,0.974192519524229,0.820419365220373,0.998615053443796
"ZNF212",0.576220976473868,0.441779394522547,0.972444447590863,0.546354632273355,0.999970425952457,0.966787690842452
"ZNF282",0.371551511300908,0.309859339898085,0.99877417758405,0.760002214913586,0.37683262308996,0.114611317322845
"ZNF160",0.999900092130396,0.999678556119977,0.999857901467809,0.871942874792819,0.347324297968636,0.174541180925031
"ZNF415",0.998557620462278,0.973101888835654,0.905924046883423,0.696041981812261,0.121861933774714,0.175916190458669
"ZNF439",0.990710441852966,0.999943075336154,0.792640512523582,0.74340566392745,0.0102162205211572,0.0189537918328063
"ZNF440",0.215663340993951,0.291938766836655,0.930892518064127,0.739911874665236,0.0992823387737867,0.114158766234762
"ZNF562",0.839856070076444,0.835275816456961,0.999956842155659,0.996639761959558,0.423899335111347,0.230314444565427
"ZNF561",0.582318766371375,0.577231671032477,0.99972203983497,0.863646196294143,0.598700031785508,0.444725481037193
"ZNF584",0.0233148844961564,0.00725130168677113,0.887236353978754,0.00686269008986484,0.851158855578773,0.998229123769969
"ZNF274",0.0705519924001728,0.120999381101216,0.850281558923694,0.103690185576291,0.95316653192034,0.991163768721047
"ZIK1",0.92334376996298,0.930981059385111,0.999446534820068,0.990170045347759,0.110696134772165,0.0311166603845705
"ZNF540",0.995500609181767,0.999937327897013,0.965077130209466,0.998561016278332,0.997533150111685,0.988650685361873
"ZNF570",0.91912064701413,0.984763290428823,0.862524994405123,0.963136869158107,0.0360357581436808,0.0547999673645133
"ZNF57",0.999233727712509,0.993953176027903,0.752543535751986,0.861884469241818,0.129739297943719,0.366733121853487
"ZNF556",0.882788992156408,0.971708523716924,0.845518820612091,0.998168694510119,0.509485382782373,0.85309219304509
"ZNF554",0.683628442804248,0.623648186638362,0.998888309063868,0.983114077487598,0.258075452530987,0.0572293327897873
