"gene","pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos"
"ZNF19",0.127383817556605,43.6249068027211,38.5828090909091,1.60010308435243,2.76328306266598,30.4204,26.947075,51.56765,44.651975
"ZNF230",0.245941117961098,71.5731428571429,82.068475,3.69441157481856,10.9660122636544,44.34105,40.31115,84.04165,105.7221
"ZNF222",0.075443166948755,51.9721605442177,68.0875454545454,3.22424695164326,12.5300862674901,29.3665,30.906175,63.8466,74.71445
"ZNF221",0.409939541258428,12.7315353741497,14.789,1.08096065924188,2.78249949085092,4.7655,5.06535,15.07475,14.13725
"ZNF233",0.041754675311747,24.5499619047619,35.6247818181818,2.47561851870836,5.40523731593712,6.7096,8.9587,32.41645,48.050975
"ZNF235",0.109150930429661,58.6255952380952,69.6967295454545,2.23260937204373,10.1731768353797,40.5584,39.889375,69.28115,81.008025
"ZNF208",0.715331149804759,60.8001462585034,48.7854886363636,17.133219730248,18.1769502285073,3.93305,3.060575,27.78595,15.306
"ZNF714",0.670083968384011,41.0042571428571,37.4603227272727,4.20093992507211,5.75834352195013,8.14515,7.5023,58.86035,54.32
"ZNF394",0.137559006649899,430.889991156463,385.228479545455,16.0844093457535,15.3900741828066,332.533,327.887725,474.1014,445.209275
"ZNF333",0.0492927490467241,112.670611564626,92.7063386363636,5.18046917890543,6.31745189210336,72.8067,60.23235,133.5918,121.21035
"ZNF382",0.349305212922487,24.7674925170068,28.6789136363636,1.94463152115191,3.9864907393498,7.88585,11.687975,34.85385,36.8805
"ZNF577",0.0354899087401698,78.4886823129252,114.479804545455,8.14898739818748,14.9541967243259,23.1833,39.29915,91.9349,188.97265
"ZNF75A",0.826969744375455,268.288117687075,273.243481818182,11.0198562823038,18.8715828447382,185.179,176.625875,328.06,340.31105
"ZNF496",0.966941491842331,168.134578911565,166.935431818182,14.6208488264315,19.9890876977142,55.9814,62.6819,205.10865,256.9587
"ZNF2",0.168726447327461,84.5197231292517,91.9009386363636,2.2306710225097,6.33322149800335,63.5454,64.552425,104.0616,108.2538
"ZNF589",0.717988680948553,124.2923,128.366443181818,5.2450215235988,10.823863571039,79.3412,78.260825,148.73175,161.961875
"PRDM9",0.888948741269488,2.2094,2.34343181818182,0.486316654418241,0.652379740918764,0,0,1.6464,2.6327
"ZNF12",0.985930748199213,439.871476190476,440.466481818182,15.2783091228591,34.5438801639227,314.58865,299.761275,527.8421,514.756725
"ZNF202",0.213314276419143,157.274424489796,172.848597727273,5.53523716271972,13.3663577089303,118.20895,115.787825,179.40945,209.451025
"ZNF3",0.165000552145738,712.449659183673,656.21875,19.5515137080985,34.1950813652906,559.46665,484.03205,819.7404,777.81065
"ZNF606",0.601997624438503,181.08902244898,191.598663636364,9.83181505067873,16.5097382802399,103.5195,116.363125,227.44505,237.4823
"ZNF91",0.370622722086895,276.988106122449,252.933997727273,12.8171255112133,23.8050401438085,162.2178,135.251725,325.16165,330.856375
"ZNF226",0.332603598305174,232.345325170068,262.107906818182,10.6116746559101,43.5703377993689,146.74075,141.73675,272.42385,262.1755
"ZNF229",0.0264454875569287,60.3462891156463,112.543636363636,8.19864007789216,32.849382466564,8.457,12.5882,67.37235,135.9808
"ZNF180",0.356981440537565,129.7395,141.306636363636,4.99407537977215,15.7453814111199,88.41955,89.014325,156.49725,160.8926
"ZNF641",0.306465115954309,77.4206857142857,68.7713477272727,4.01117890321929,7.6260384274303,38.98205,33.789,112.1419,86.79585
"ZNF610",0.857977960516497,21.0609802721088,19.7041454545455,3.78123058546701,5.63582815616845,3.21885,3.520625,17.34185,22.550725
"ZNF528",0.749912789822029,90.8161802721088,97.2025954545455,9.35020755370502,19.0330760195087,24.59035,18.192,107.25895,127.5133
"ZNF701",0.911747126262679,42.9993095238095,43.8648659090909,3.77689305685591,6.6287384492003,13.16585,11.922425,52.1072,54.53745
"ZNF283",0.119990903467242,26.9901074829932,33.4642931818182,1.61949923378335,5.32658605112169,14.22785,14.64225,33.76125,37.253825
"ZNF558",0.468678364514685,260.272815646258,241.917765909091,12.6438987486472,18.6615612666551,157.7293,142.518375,361.2799,334.079325
"ZNF597",0.25141882387976,26.3447891156463,23.3047886363636,1.25055446462842,2.42510798585709,16.8591,11.7215,34.29875,33.836075
"ZNF30",0.286338426649105,88.4848244897959,95.2731704545455,2.91379432450048,6.32838146593661,61.94125,65.554875,112.0925,120.4506
"ZNF354A",0.0476249430095473,129.213451020408,163.115481818182,7.02732980802622,20.4448987028847,82.0052,89.8317,158.0616,211.66225
"ZNF764",0.769558773633761,225.027283673469,230.459411363636,8.95397130325576,15.8217716748709,159.75215,177.3063,253.36865,258.618075
"ZNF747",0.44808998597598,319.861515646259,338.793177272727,11.3837182066794,25.060726511243,223.0106,211.990275,367.39405,422.674
"ZNF778",0.135521218375079,46.0422204081633,40.8658522727273,1.57016939302361,3.51679461075924,32.58055,25.9576,55.94735,48.4999
"ZNF212",0.996299905180438,344.234846938775,344.332327272727,9.74900227109821,20.3139051610886,264.4217,250.247375,409.49355,387.149475
"ZNF282",0.228541487175859,814.34256122449,884.070368181818,23.8925680732818,69.2427683622586,598.8058,657.673525,945.61825,914.992
"ZNF160",0.417957820243282,208.678287755102,232.070961363636,14.080541118187,23.6704672637047,80.8085,98.321175,269.75465,358.407675
"ZNF415",0.695585374228939,35.0630231292517,39.2262204545455,4.9591622106991,10.1393917899315,7.92275,5.76545,30.52015,38.916625
"ZNF439",0.94711517958201,28.7421013605442,29.1561659090909,2.9193472468422,5.89896963211748,9.47715,7.817475,30.68855,34.035
"ZNF440",0.92408419796342,105.168031292517,104.347731818182,4.01512241232152,8.19405541759546,74.26965,63.5706,130.0111,134.771925
"ZNF562",0.0699627150649645,288.719527891156,244.108672727273,12.3051525866441,17.5869663022006,200.99515,163.6637,328.04305,294.2315
"ZNF561",0.0558533009110308,461.049612244898,398.495745454545,15.1558060242073,31.146718279964,357.65425,266.492375,499.5198,488.661225
"ZNF584",0.314791611781661,188.93616462585,201.313888636364,5.77633653280542,11.4757180674522,140.33025,149.36585,220.3217,245.2764
"ZNF274",0.670154116379206,504.313249659864,489.154797727273,18.1664009261636,22.9677945163471,353.4708,384.300775,608.5464,565.878025
