"gene","p-adj-pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos","count-neg","count-pos"
"ZNF30",0.545418216738511,90.8172211538461,86.62292,3.05082517384365,5.34441040761956,60.8826,70.2055,117.7786,100.09075,156,35
"ZNF354A",0.0290616133577465,144.466065384615,103.850065714286,8.217164376492,13.2777966025082,86.589325,51.2677,192.3995,131.3906,156,35
"ZNF764",0.359523887513479,229.663887179487,211.19024,9.14645415881649,11.6931844656349,166.95965,153.6762,255.124825,249.8906,156,35
"ZNF747",0.306405546906632,329.310352564103,301.546502857143,12.3961256000274,14.3192781486449,219.4708,238.9877,383.281225,343.64785,156,35
"ZNF778",0.198463897725302,45.7398474358974,40.8825057142857,1.68004321226168,2.64047889769555,30.260675,31.39955,56.53925,46.36835,156,35
"ZNF212",0.852308814297964,343.476819871795,347.736028571429,10.0265532635516,18.0843064092212,261.584425,281.46905,399.562725,417.0434,156,35
"ZNF282",0.805748375070495,833.250905128205,817.723185714286,28.2814251314927,42.4129424222556,603.743,653.94685,934.783125,910.09825,156,35
"ZNF160",0.399315273451794,218.921748076923,192.429654285714,12.7063715405753,34.418623621623,96.518475,55.6814,299.7006,238.4116,156,35
"ZNF415",0.917211216510909,35.8014615384615,37.0054314285714,4.701291910488,12.584108651604,7.55285,6.482,35.1203,20.5103,156,35
"ZNF439",0.67063777860652,29.3668442307692,26.4780714285714,2.80614731141324,6.98810832377521,9.237575,7.79595,35.706025,25.8087,156,35
"ZNF440",0.221487986844878,107.073989102564,95.6416714285714,4.14113023989862,6.77686505583899,71.5529,68.85705,131.843975,121.2193,156,35
"ZNF562",0.243967148320501,284.17791025641,252.879948571429,12.24042710468,14.5363663015422,187.1696,184.19505,335.973775,295.1413,156,35
"ZNF561",0.12399830283819,456.692515384615,401.830668571429,16.1251618808199,20.9925260456327,333.837325,283.05085,512.486525,475.624,156,35
"ZNF584",0.463450832219837,189.985869230769,199.818048571429,5.64755135031865,12.8492063785071,141.296875,144.22545,222.9894,238.939,156,35
"ZNF274",0.229784112883229,492.311443589744,538.750674285714,16.3843124748539,35.9274575103945,349.73905,401.48795,599.944675,627.48345,156,35
"ZIK1",0.583041892318685,26.9729064102564,22.43462,3.46694762849114,8.06295610353253,5.413225,4.4646,24.67975,13.04585,156,35
"ZNF540",0.443826702146443,30.7109833333333,27.8623228571429,1.69127828313522,2.1088628763535,16.2411,17.8314,40.7378,34.42485,156,35
"ZNF570",0.272399033871562,31.1782365384615,26.8225085714286,1.74268515848405,3.06282156357369,15.65485,15.1041,40.5192,35.16795,156,35
