"gene","M1-M0","MX-M0","MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX"
"ZNF184",0.998871481831753,0.945454924761472,0.999555938442354,125.326905992509,127.17945,128.355336633663,5.07869420400129,44.1192348240632,7.58814917024387,79.78315,76.9561,85.9909,145.65355,141.8477,140.6229
"ZNF500",0.35815705467269,0.00561212538474765,0.0982371216045907,163.154921722846,116.514825,187.762853465347,3.85875423542943,12.2604021955763,7.88505955557279,119.0846,104.851925,138.009,200.00875,131.09925,218.5317
"ZNF419",0.998055879928168,0.857339308794412,0.997853491001334,140.955376029963,138.32685,135.531447524752,5.14697020404349,49.9157741744782,9.62229464242757,81.76865,76.86175,70.9877,178.39975,166.53045,179.1862
"ZNF175",0.930434140442843,0.914926172578908,0.894674558177934,69.977634082397,61.534725,72.1519613861386,2.9525957169796,22.9240087285643,4.06360604488887,33.8785,30.368675,43.4357,94.0119,81.9699,93.0233
"ZNF14",0.5231775648116,0.432170014969623,0.364843208034484,66.8089348314607,103.47895,57.1257148514851,4.29654360147117,53.4576285801116,5.55601870751549,14.4949,44.9727,17.6423,97.9052,114.28405,80.3571
"ZNF85",0.90977581646348,0.986533172343768,0.926048492253968,38.0709662921348,29.3707,37.3071623762376,2.55624075820244,11.2555738736415,4.17220436865899,10.0163,11.067725,10.5184,52.974,45.151775,46.7033
"ZKSCAN1",0.49444589380832,0.480137024504229,0.350155244322441,913.908577902622,488.138025,1014.6934950495,47.7005763690604,196.066456359994,65.5164522505117,372.94035,152.120475,547.3229,1250.37635,803.476,1432.9429
"ZNF862",0.255737859392624,0.833494943810429,0.209376849305228,316.071294756554,158.93305,329.338551485149,12.3084336469308,57.9621284516091,18.8558933695666,182.74165,99.2436,181.2069,388.21995,168.9506,429.2818
"ZNF684",0.896748609284562,0.0307466293459585,0.988832266328805,166.400010861423,195.643875,205.141794059406,7.1254500984798,45.7689556324549,16.2165535502267,80.21245,168.0297,91.2519,213.13585,227.864175,250
"ZNF430",0.998386105925638,0.955525299111645,0.999915902100356,27.0687,26.23335,26.0404376237624,1.92364548399501,21.5341601542178,2.77897064533674,6.59365,4.919675,6.2893,36.542,27.339575,41.1985
"ZFP30",0.843457391388557,0.967578768916994,0.817254015139444,92.3485827715356,72.4853,94.3744425742574,4.44594327349826,43.5228833964961,6.52055521181437,38.03175,15.556825,43.6865,134.4892,94.968625,127.9879
"ZNF549",0.957862942930115,0.305852290463125,0.81292950162964,62.9485921348315,71.4311,52.5913831683168,3.71191855071713,37.1135172935235,5.84061637598583,18.23995,23.0494,16.7683,86.26225,90.0882,70.1357
