"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF79",0.118654152430461,98.8931933884298,92.8150498007968,3.33419381315361,2.16738061086964,74.588,69.6313,116.9078,112.25005,75.932544,94.8580315363881,74.72765,89.0764,61.693025,88.87855,70.9568,113.7495,2.49341957218196,1.82697923435531,1.24924079372855,1.19201393326299,0.321051586181782,0.253401099333578,"LIHC"
"ZNF681",0.398753007620041,54.8659289256198,49.1133729083665,5.20140119805983,4.00742894258628,10.2934,7.44255,79.8635,63.72185,10.85638,50.4169956873315,10.2432,27.0728,6.090175,12.322375,8.1401,69.81525,0.974029944756131,3.16387015895081,4.64399695730359,2.64300218681662,2.21536702696565,1.402177618664,"LIHC"
"ZNF766",0.0281867359070855,310.644303305785,284.657298804781,10.3395142967689,6.49836767530116,224.7385,219.43565,380.1997,326.57535,206.065182,293.580719946092,203.7952,270.1176,170.8689,240.893925,222.0216,347.14755,7.07316205615639,5.55844651159698,1.42469832650375,1.32543651665986,0.510656467395277,0.406467572284918,"LIHC"
"ZNF471",0.0284121109051134,54.1063801652893,39.7780613545817,6.36402815257972,3.32337057759026,7.874,5.3548,65.3712,60.2927,42.429794,44.3338485175202,41.41275,20.0173,30.669025,53.823175,5.9066,61.04655,2.78579117468601,3.07433548708164,1.04487541272343,0.483360800719585,0.0633309306683535,-1.0488276157858,"LIHC"
"ZNF836",0.0812930646693069,59.6285826446281,53.4031573705179,3.15520044761967,1.94997958840245,37.3579,35.9159,70.9025,65.0577,34.041906,55.3274347708895,33.1981,48.9886,27.38465,41.618075,36.5865,66.8305,1.51048095423728,1.67721962633554,1.62527429489082,1.4756446905094,0.700683219977405,0.561345387422646,"LIHC"
"ZNF493",5.83676705834257e-06,106.405249586777,76.7115239043825,5.91139126247539,3.46148295440711,58.2677,40.44295,134.0687,94.73805,66.423876,86.1618210242588,59.64455,72.0503,46.1695,81.932275,44.75455,116.73915,4.22804670560436,3.11577753609749,1.29715135901221,1.20799469524039,0.375346831290298,0.272614119259688,"LIHC"
"ZNF167",0.000236632771338452,39.5108743801653,27.3664290836653,2.74787889054271,1.84490749972489,17.8606,8.60265,53.4265,36.0106,32.795142,31.3040973045822,32.25035,23.1901,22.7169,43.0631,10.59675,43.31455,2.05944116615003,1.56301555574476,0.954534586390332,0.719065064410154,-0.0671306220252378,-0.475805776441254,"LIHC"
"ZNF565",0.000366751073410221,64.4429239669421,55.194322310757,2.41269021901339,1.35538406297206,45.7338,40.9106,78.8858,66.28075,43.696458,58.2741075471698,43.95945,52.2063,39.076575,49.719175,42.4499,68.74155,1.4014713639603,1.2244765557368,1.33361169793602,1.18760130074421,0.415338664266198,0.248050578578829,"LIHC"
"ZNF34",0.000217381376073633,130.180552892562,162.20947250996,5.40446863008082,5.35196543340272,88.314,105.1161,164,192.9303,87.77216,151.922633692722,84.874,133.7884,71.440375,100.9609,99.3741,184.66295,2.97724389685001,4.10257759031234,1.73087495730676,1.57631783585079,0.791501504606636,0.656558457366938,"LIHC"
"ZNF140",0.00223365364233452,337.337258677686,298.267170916335,11.7397174104899,6.75521870064127,261.3738,236.6296,397.1055,356.4075,318.525718,311.128943665768,314.92215,295.6989,277.214075,362.4341,237.27045,371.9907,9.05362761963411,6.0160438225831,0.976778093835953,0.938958723608358,-0.033897249464404,-0.0908663561290718,"LIHC"
"ZNF658",0.000157730257010935,35.5881148760331,28.2476529880478,1.7029946479179,1.05280160927114,22.4013,16.7444,44.0932,37.30285,26.583294,30.4901557951482,23.5927,26.2646,17.4747,32.474275,18.4241,39.45985,1.82802299448408,0.916549432178237,1.14696680536085,1.11325113276564,0.197823638577562,0.154779079766035,"LIHC"
"ZNF765",0.0273878735482002,131.656590082645,115.86764940239,5.27425859323187,4.24612896171423,89.7868,70.3844,158.3233,141.24075,88.45536,120.914380592992,88.95705,109.837,76.444825,101.803425,76.66875,151.2969,3.04154035972242,3.3664099780168,1.36695368819924,1.23471945169045,0.450964365886853,0.30418327530483,"LIHC"
"ZNF124",0.000135076553661961,58.6578909090909,41.2984047808765,4.17600666106925,2.39031254387799,27.12,16.37085,79.7719,54.1475,28.816874,46.8702369272237,26.0058,35.003,17.23695,37.34755,18.85875,61.0483,2.25055055454294,2.1554794993826,1.62648581963553,1.34596897615147,0.701758244432114,0.42864515700006,"LIHC"
"ZNF569",0.131588163808598,116.09779338843,105.006460159363,6.40571065525043,4.05416812453892,68.9046,64.64905,143.8356,132.96995,90.921262,108.133686522911,90.6373,95.6475,75.91775,106.450725,66.78325,137.73935,3.45492418738157,3.45357005510964,1.18931132437329,1.05527746303122,0.250126416797738,0.0776223751505138,"LIHC"
"ZNF777",0.373283671097889,481.252265289256,496.735158565737,13.0190242822955,10.2959137677578,383.4254,381.8486,569.0132,601.5633,415.74716,491.69099703504,411.39715,488.5563,363.2454,458.340025,383.406,589.01845,10.085372999579,8.1170146425896,1.18266832426478,1.1875539244742,0.24204553096424,0.247993024858479,"LIHC"
"ZNF605",0.0060410172615265,353.781763636364,308.022191633466,15.4384897870984,8.77692003531834,223.3824,208.26135,467.4033,368.07955,188.578362,322.965620754717,186.8806,287.7847,150.576675,221.76565,218.0999,384.3897,7.66178049497149,7.83346439407005,1.71263350327922,1.53993887005928,0.776216453481469,0.622873082340467,"LIHC"
"ZNF799",0.192069654113254,148.702623140496,140.483714342629,4.62110679083366,3.75483535311852,111.3582,100.8289,186.2985,174.53425,127.395072,142.897994878706,125.83305,134.7678,103.34735,154.8423,102.25,177.4296,5.32537567684448,2.95954051777886,1.12169169996392,1.07100479563994,0.165676201746652,0.0989649400605921,"LIHC"
"ZNF782",0.190282871535367,51.6684272727273,47.637622310757,2.8237755471926,1.64246647693411,30.9687,27.9959,63.4993,62.3667,34.19199,48.842553638814,36.20645,42.7721,24.371925,43.209075,28.98085,62.6381,1.82347232680915,1.4439123222749,1.42847940815419,1.18133923651725,0.514480239656888,0.240423312375684,"LIHC"
