"gene","2-1","mean-1","mean-2","SEM-1","SEM-2","Q1-1","Q1-2","Q3-1","Q3-2"
"ZNF141",0.859665335015264,48.2846,42.3919666666667,NA,2.73482068935626,48.2846,18.11555,48.2846,57.31225
"ZNF304",0.678033185428237,198.8564,159.687540136054,NA,7.73988285810486,198.8564,83.5327,198.8564,212.2813
"ZNF132",0.927670720368682,36.2135,39.2748496598639,NA,2.76733722050439,36.2135,17.0629,36.2135,49.73905
"ZNF20",0.622056197344694,76.2389,64.1175598639456,NA,2.01698349436862,76.2389,47.554,76.2389,75.94315
"ZNF670",0.894817187935138,57.1792,62.586931292517,NA,3.35628696770717,57.1792,36.55775,57.1792,84.62015
"ZFP37",0.799758978457306,19.695,25.7296353741497,NA,1.95199270769022,19.695,9.6273,19.695,34.31615
"ZNF189",0.698077451479187,735.7052,579.803626530612,NA,32.9704546875153,735.7052,326.41445,735.7052,650.3207
"ZNF434",0.842142077359595,249.047,268.804669387755,NA,8.14033026147498,249.047,213.24585,249.047,309.92075
"ZNF287",0.468297044157413,45.108,23.5628972789116,NA,2.43552360326545,45.108,6.15925,45.108,28.3322
"ZIM3",0.86210192288861,0,0.0829489795918367,NA,0.0391846887402735,0,0,0,0
"ZFP14",0.662533822001675,158.831,126.281841496599,NA,6.11816258799466,158.831,77.249,158.831,147.2298
"ZNF473",0.36318975699391,143.5832,231.287193877551,NA,7.90348996759127,143.5832,165.1263,143.5832,267.64295
"ZNF614",0.648970410103098,65.4384,102.511230612245,NA,6.68084105942756,65.4384,46.31255,65.4384,145.7798
"POGK",0.353874789162733,614.3583,1245.04157414966,NA,55.7402689751931,614.3583,812.7325,614.3583,1453.65385
"ZNF514",0.839934846645494,142.3126,118.190008163265,NA,9.79980670568392,142.3126,51.6686,142.3126,148.29875
"ZNF300",0.745410358625058,33.0368,60.7308639455782,NA,6.99769797814204,33.0368,13.20775,33.0368,63.66045
"RBAK",0.746435772365695,387.5476,338.171347619048,NA,12.5286037806732,387.5476,238.33065,387.5476,427.81555
"ZNF92",0.802249294788674,112.4524,132.940465306122,NA,6.71244739706476,112.4524,77.57935,112.4524,176.6355
"ZNF157",0.745406815236662,0.6353,0.332094557823129,NA,0.0766124290293938,0.6353,0,0.6353,0
"ZNF182",0.909333705443728,138.5006,132.096891836735,NA,4.61427711252387,138.5006,94.6574,138.5006,161.69665
"ZNF673",0.919531184035126,213.4689,219.825001360544,NA,5.1627717008044,213.4689,173.4646,213.4689,259.01935
"ZNF41",0.58410062896272,165.8196,130.055296598639,NA,5.35849853280292,165.8196,82.6241,165.8196,176.8555
"ZNF7",0.269925034344574,218.1258,441.188475510204,NA,16.5567826303363,218.1258,295.4846,218.1258,546.1667
"ZNF214",0.690465046373244,32.4015,24.9906755102041,NA,1.5266738557287,32.4015,12.51425,32.4015,35.6602
"ZNF215",0.712240862446361,27.3189,16.8413510204082,NA,2.33042984582881,27.3189,1.45535,27.3189,16.81795
"ZNF547",0.898792608565797,34.352,31.4288244897959,NA,1.88593413554958,34.352,16.08345,34.352,40.0162
"ZNF773",0.730965124458463,50.8259,69.1242578231293,NA,4.36606832486834,50.8259,24.5542,50.8259,99.9747
"ZNF776",0.261442931871064,357.9098,232.164062585034,NA,9.16859482816561,357.9098,153.62465,357.9098,298.3493
"ZNF256",0.781963407154724,48.2846,63.2655537414966,NA,4.44122201916901,48.2846,24.19855,48.2846,90.39955
"ZNF599",0.730366025006963,45.7433,56.4192673469388,NA,2.54144156690708,45.7433,31.01,45.7433,75.5974
"ZNF18",0.955009507703101,170.9022,175.112372108844,NA,6.12367239677505,170.9022,119.39575,170.9022,216.0021
"ZKSCAN2",0.62061038471866,112.4524,142.102799319728,NA,4.91338560861534,112.4524,102.21345,112.4524,175.4025
"ZNF689",0.909878840153263,123.2529,131.35168707483,NA,5.87114242474387,123.2529,85.16375,123.2529,172.2193
"ZNF19",0.589472127583098,31.2452,41.6591136054422,NA,1.58288519802993,31.2452,29.69265,31.2452,48.98355
"ZNF230",0.652332724040053,53.3672,70.1305115646258,NA,3.05222176082204,53.3672,42.64835,53.3672,86.75385
"ZNF222",0.905142252316963,47.6493,50.9905823129252,NA,2.30074451900633,47.6493,29.09745,47.6493,69.49345
"ZNF221",0.845981424313076,10.8005,13.5258741496599,NA,1.15124071791211,10.8005,5.46745,10.8005,15.35255
"ZNF233",0.570445147303191,9.5299,27.9800210884354,NA,2.66684812255092,9.5299,6.4028,9.5299,38.15385
"ZNF235",0.891628557207987,55.2732,58.5428857142857,NA,1.96925038057672,55.2732,40.5584,55.2732,73.707
"ZNF208",0.823589718115484,12.7065,59.0475231292517,NA,17.0563012058109,12.7065,3.9049,12.7065,25.47535
"ZNF714",0.966040073563193,43.8374,41.6284666666667,NA,4.25744339209293,43.8374,7.6427,43.8374,60.07055
"ZNF394",0.572265066263802,312.5794,420.538882993197,NA,15.6789216507881,312.5794,333.92885,312.5794,459.89325
"ZNF333",0.999471083949299,108.0051,108.047356462585,NA,5.23084575857312,108.0051,66.2565,108.0051,131.7084
"ZNF382",0.518663743866421,41.9314,26.0032734693878,NA,2.02369974630635,41.9314,8.13415,41.9314,36.0097
"ZNF577",0.995775366069667,81.3215,80.7862272108843,NA,8.2956340990033,81.3215,23.1833,81.3215,94.118
"ZNF75A",0.578548891180192,193.1385,268.476204081633,NA,11.1229316069027,193.1385,182.4589,193.1385,327.9934
"ZNF496",0.998002272722784,163.9136,163.46853877551,NA,14.5864180079938,163.9136,55.6145,163.9136,205.10865
"ZNF2",0.435740897040318,59.7205,85.3070843537415,NA,2.69104620833521,59.7205,63.51865,59.7205,104.0424
"ZNF589",0.792150533312813,142.3126,124.338495238095,NA,5.59640241533872,142.3126,77.5514,142.3126,153.06975
"PRDM9",0.68163651477573,0,1.97494353741497,NA,0.394935524594081,0,0,0,1.53785
"ZNF12",0.784884342371926,397.0775,454.597142857143,NA,17.2897168215441,397.0775,311.2186,397.0775,567.0539
"ZNF202",0.49675023692458,114.3583,158.65482585034,NA,5.34428540879324,114.3583,119.5809,114.3583,183.26345
"ZNF3",0.22373358687983,404.0788,700.849190476191,NA,19.9651204387208,404.0788,536.34155,404.0788,820.59085
"ZNF606",0.315966295675912,61.6264,178.778024489796,NA,9.57011442065101,61.6264,106.5193,61.6264,225.83755
"ZNF91",0.513581464152887,386.9123,277.935036734694,NA,13.6788484569036,386.9123,156.96195,386.9123,332.508
"ZNF226",0.570225858941236,165.8196,232.03298707483,NA,9.5652766643411,165.8196,145.45575,165.8196,277.09855
"ZNF229",0.796194951798804,41.2961,66.3429551020408,NA,7.95695993123141,41.2961,8.35725,41.2961,90.09945
"ZNF180",0.737806160965795,149.9365,130.44186122449,NA,4.77775183348997,149.9365,89.12835,149.9365,159.02815
"ZNF641",0.572585103269025,108.6404,79.2653863945578,NA,4.26968429203188,108.6404,38.5659,108.6404,115.20045
"ZNF610",0.836334040362955,30.4956,20.823156462585,NA,3.84176908111136,30.4956,3.21885,30.4956,16.34525
"ZNF528",0.987404639426122,94.028,92.1925129251701,NA,9.54087170633747,94.028,23.3231,94.028,115.83805
"ZNF701",0.994104174706818,45.7433,45.3983795918367,NA,3.83032695832292,45.7433,12.9784,45.7433,54.66475
"ZNF283",0.823392361577529,23.507,27.5643857142857,NA,1.49166646685896,23.507,14.22785,23.507,38.52025
"ZNF558",0.456756589897039,368.4879,255.189502040816,NA,12.4809456948689,368.4879,144.8903,368.4879,344.96195
"ZNF597",0.187159212272129,47.014,25.9254904761905,NA,1.30803091633639,47.014,14.11495,47.014,34.6526
"ZNF30",0.546335177277589,67.3443,89.5927278911565,NA,3.02446262244717,67.3443,60.5121,67.3443,113.68975
"ZNF354A",0.850781734614183,156.925,137.23922244898,NA,8.58646104167291,156.925,82.4464,156.925,190.2332
"ZNF764",0.571121848347923,162.6429,223.877088435374,NA,8.86659488685897,162.6429,161.7165,162.6429,242.2709
"ZNF747",0.392153114099641,189.4727,316.085256462585,NA,12.1261982062792,189.4727,221.55885,189.4727,351.5714
"ZNF778",0.706811092564557,52.7319,45.2254115646259,NA,1.63721075429313,52.7319,31.08495,52.7319,53.80545
"ZNF212",0.187222780109295,171.5375,338.322729251701,NA,10.3464815667503,171.5375,259.27385,171.5375,390.773
