"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF671",0.999315721879206,0.934816614950327,0.8664089622865,0.671500883264053,0.571856851861148,0.983198495754234,0.833573484313455,0.743326442915371,0.997973603392984,0.999726301084274,101.323035135135,105.0997,89.8767357142857,82.5495306122449,85.2459617647059,13.5495170469727,13.0007957699792,7.94736582794817,9.43869488152352,8.36993140191822,33.3333,49.72,49.387525,37.2516,51.866,135.9773,143.7666,125.91595,102.0672,116.28205,66.44554,90.8349603773585,64.15175,77.4095,39.42225,88.9797,38.60015,128.11835,4.64768445795696,3.48885220948613,1.36705880300406,1.20666232799573,0.451075300718494,0.271022009247298,"LIHC"
"ZNF416",0.433535410453897,1.54414821735838e-05,0.0353016338264186,0.00789491169527534,0.670793597600324,0.362903913509094,0.021085958770072,0.748847822175543,0.438319501128959,0.999999633242962,109.485997297297,92.1469172413793,63.6068404761905,79.3361306122449,79.6618117647059,8.21911395995816,6.99567700463149,4.62879803009668,5.9003030305058,7.5713719182786,72.1863,71.0242,41.911425,52.2774,52.620125,138.1032,107.2046,77.582625,100.2331,96.753775,57.352698,80.9792075471698,54.17935,73.0124,45.22315,63.760325,53.2405,102.23865,2.1255143209624,2.05099782311878,1.41195114390555,1.34760568371529,0.497690169583169,0.430398418353082,"LIHC"
"ZNF586",0.984457669281243,0.0576078571670536,0.0209102706762899,0.000627018214812813,0.000212903711070855,0.671524290472401,0.375509994449636,0.180148612958245,0.934998254520963,0.239652747667347,91.0993891891892,95.935924137931,68.5832261904762,58.225606122449,75.2704647058823,6.92106276501406,10.7877306577566,5.0906200745846,2.94539832660209,5.25259194983387,67.0898,60.8519,47.298375,44.9191,54.00115,118.9065,108.1967,91.876175,65.1444,85.0771,82.775812,77.3349482479784,75.75135,69.4859,66.523975,90.70725,49.4285,96.8424,3.92647620455594,2.02596194742321,0.934269883670588,0.917289262831619,-0.0980887316865419,-0.124551342259905,"LIHC"
"ZNF446",0.0490994273385249,6.54377963162922e-05,0.569512257229803,0.000891107834640525,0.934264079774287,0.919154638439164,0.0250907456383358,0.999964178190331,0.604040393134319,0.956546716011337,278.989786486486,211.547706896552,176.095802380952,193.402028571429,208.759879411765,21.5313394054006,17.3334765245035,14.5023420087519,10.0329067569434,17.4879291099529,185.681,143.7684,121.1086,146.0755,147.1419,379.4927,240.2085,205.320675,241.0198,248.86245,129.239702,210.339570350404,110.0894,188.8029,87.7532,143.4819,142.9465,249.6175,9.53771948502152,5.14259057642958,1.62751512960316,1.71499617583528,0.702670954943599,0.77820535942454,"LIHC"
"ZNF8",0.987679080229338,0.0229920235724895,0.00884434185601091,0.000854115716932391,0.000329893129132341,0.89884984436175,0.430970882801922,0.227632328174787,0.749437705825472,0.230507892570521,69.6795513513513,73.5602655172414,48.1046547619048,42.1718326530612,56.8663176470588,5.23455078958673,9.06408208335379,3.50867204471188,2.6902060256551,6.2504254461934,47.757,38.2571,31.5457,32.7333,33.862075,86.4781,84.8008,55.083575,47.5573,69.594575,30.802178,53.993,28.2609,46.1155,22.103375,36.79745,34.6686,66.19935,1.69605935383312,1.57162600563385,1.75289552576444,1.63177747347041,0.80974001266727,0.706444329484789,"LIHC"
"ZNF264",0.906005529197732,0.101955130949477,0.622872945860552,0.0100964630002718,0.206983625955297,0.939197874585875,0.00995277940062955,0.167097452973472,0.860339971375534,0.998290133312241,435.188451351351,397.207710344828,337.636807142857,309.315242857143,297.70195,41.4874056823187,27.5618712182865,20.9382209100314,19.4064054137729,32.0992713908389,223.7465,306.222,274.1017,195.9757,207.7726,629.4518,491.3757,405.99685,378.8301,337.653125,362.186442,361.437431536388,350.42245,338.2732,303.342625,402.26855,244.1142,447.6098,11.9868507102565,9.03659796249173,0.997931975422725,0.9653297041899,-0.00298661806736875,-0.0509063220815393,"LIHC"
"ZNF213",0.426044971123024,0.0219735442770294,0.815637910418615,0.000641825888789027,0.283964763762641,0.874931867319381,0.262665898495693,0.999567618576064,0.89555053101081,0.358205744389389,294.232737837838,230.133779310345,190.81214047619,160.601187755102,222.160917647059,31.4229565904739,31.2230954464277,22.2628723666172,19.3654690533719,18.2063243068807,169.3509,121.308,90.075825,98.4848,159.6182,355.0489,259.2032,211.697025,176.5835,246.678925,93.996004,205.906013746631,88.2817,162.531,68.87125,107.711125,111.97235,232.90115,5.09140464570213,7.78467800254841,2.19058263100877,1.84104973057836,1.13131463561414,0.880528597404698,"LIHC"
"ZNF343",0.995143680286817,0.69649426653814,0.928080023521996,0.955597267980625,0.824298489090968,0.218725419697657,0.999895822808878,0.98538956145519,0.619781387484676,0.984155266894697,220.541189189189,212.088510344828,194.985938095238,233.973679591837,223.59275,16.1296432780011,20.4530185617255,12.697216475416,9.39056532329549,15.2300192137864,141.804,155.2487,140.907025,188.6024,160.14735,308.9509,256.2017,235.359075,272.4844,256.15775,157.260386,220.049345822102,162.27715,206.7535,137.561775,178.147925,169.45845,258.13665,4.54474117432805,4.48610121111696,1.39926749144634,1.27407647965225,0.484671782155693,0.349451881599975,"LIHC"
"ZNF302",0.171417236175048,0.0305931899379319,0.991950825858968,0.0494242455281775,0.999649612418125,0.998497119781212,0.0320954909585687,0.982096501010303,0.999921381105131,0.993923177363464,619.845967567568,497.224175862069,473.55705952381,486.926353061224,466.595532352941,47.0686599250995,44.0876856905769,29.3201148463133,28.1617986227345,33.0487410314691,440.9318,346.8452,330.593,361.4364,296.785275,805.5828,592.7312,577.757175,576.0344,604.24275,390.91045,521.859861994609,381.374,478.4148,299.485025,474.7799,362.1997,628.4777,18.9697055191489,12.8421865804854,1.33498570323359,1.2544504869236,0.416824291737216,0.327055528794531,"LIHC"
"ZNF268",0.98663152416638,0.968059150733662,0.999991356496346,0.999996385738135,0.989292731389688,0.971362218476008,0.983833651895267,0.999999999950547,0.999991595431599,0.986718516743273,277.285162162162,258.031927586207,255.130185714286,275.180785714286,257.88345,31.665884103575,29.0473004276072,17.7819095358779,23.3236710765317,21.5689539995803,136.7415,128.2522,165.455275,147.6645,162.706325,413.7882,363.8438,337.584075,379.3178,341.267075,331.56112,252.396960107817,323.0252,231.9295,264.784275,392.32575,147.268,340.14445,15.2352248335247,7.40598474518154,0.761238109304905,0.717991970905056,-0.393580306884255,-0.477960383986982,"LIHC"
"ZNF184",0.555441484731679,0.503371525097205,0.999995700103213,0.271701505447083,0.99906719615483,0.996411202137383,0.305319719086901,0.997444056465167,0.992847453035764,0.999971641244272,152.570943243243,125.236855172414,126.395278571429,120.891587755102,119.173982352941,13.4983741554455,8.73706739925659,11.5857400342782,12.2676409951939,9.31415982889345,103.2347,96.7224,80.1333,76.2664,85.194125,179.9271,140.3796,145.283725,136.9617,133.010525,83.804598,126.070213207547,82.8239,108.5433,72.1511,95.032575,80.5423,143.6407,3.2940846722442,4.21471855928418,1.50433527773198,1.31053113895868,0.589126142557236,0.390151633321084,"LIHC"
"ZNF500",0.998288318445403,0.999343831427657,0.984973863048941,0.999490305280272,0.99996484875227,0.989443020935478,0.913501027838419,0.80998191695184,0.966353666391614,0.795395792100834,166.229456756757,161.734182758621,169.432164285714,163.327320408163,178.587767647059,11.5951580586794,10.279850102389,9.37065650373592,7.75402864195258,10.9528508172174,117.4206,117.5182,123.5745,127.3934,136.5,202.5152,201.6118,204.707625,195.3303,207.3734,109.913668,168.472323719677,112.46925,162.701,88.961275,125.5599,122.61125,204.76155,4.05938159787257,3.49922154499777,1.5327695525517,1.44662652236056,0.616140808293369,0.532692507297725,"LIHC"
"ZNF419",0.999944345826069,0.680102008756202,0.654129044425058,0.608985177485799,0.588451128650854,0.999995211312477,0.986214582661988,0.974505612271651,0.940936919242143,0.913804459581713,155.330864864865,158.286165517241,127.013457142857,125.658159183673,143.771002941176,15.5951636533797,14.7673688490369,18.383064569461,10.0972318410234,18.0373720859581,92.8585,100.1387,66.919575,74.9027,94.691575,210.2984,192.1507,136.02355,167.7008,165.831325,91.233316,139.447397574124,90.4685,125.5025,72.979,108.94895,79.24535,178.7356,3.88962467555425,4.5561394953469,1.52847012131099,1.38725081105578,0.612088350551492,0.472228646460526,"LIHC"
