"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF394",0.989956377252105,0.695950923571501,0.999938468823506,0.0156471964416411,0.928486844331002,0.613610376740347,0.74778652124926,0.999995637337475,0.999941678697326,0.482615476485188,467.905931666667,429.48394,418.665454545455,363.210324528302,423.957913157895,34.8440573597452,44.716443145286,13.2538829918042,14.8844890171476,19.7512482980612,338.03665,385.0211,356.3057,282.4682,336.784825,491.301525,397.7456,450.5972,414.8307,491.951675,412.477098,440.091441778976,410.6333,403.4691,364.294425,452.640075,340.6354,497.56555,10.3264927787794,8.83697197592391,1.06694758063628,0.98255329024704,0.0934892979863414,-0.0253924386711293,"LIHC"
"ZNF333",0.214267087039696,0.068191937490493,0.907457090810689,0.0912168530559879,0.806778319661626,0.992452845644137,0.186897193365586,0.794411960096883,0.988264296634704,0.999982711677225,128.928756666667,71.61072,95.8196939393939,101.42090754717,102.570668421053,8.71373518177664,19.4483503809038,8.44718392059903,4.89505317582231,11.9439637609525,87.9141,50.6329,66.2016,73.1725,63.225175,152.711,90.2307,108.0051,128.1302,117.101875,74.655768,107.69568032345,72.2956,98.1421,58.40695,82.5776,69.96275,130.869,3.19100133804542,2.83885185980682,1.44256342421459,1.35751138381866,0.528634750266484,0.440964296232111,"LIHC"
"ZNF382",0.624127332190006,8.78247716348257e-05,0.956708030606999,0.00368408034448475,0.999998362132695,0.627496810396035,0.000741386832212809,0.995350120215775,0.968333558020598,0.945313792023316,38.34883,23.35124,15.6789575757576,22.796941509434,19.1656578947368,4.14241810912876,7.58649152853939,2.00899224501983,2.80560190969519,2.48390873274319,17.9484,15.8228,7.2993,7.7277,6.4227,51.6717,22.3881,19.8536,33.8824,32.89825,10.097258,23.7147199460916,8.0912,16.9173,5.688675,12.73465,6.52925,33.4929,0.962640216089785,1.17255580331689,2.34862969195119,2.0908270713862,1.23181926179613,1.06407374410328,"LIHC"
"ZNF577",0.947791554315428,0.0961239242555739,0.993854486957705,0.0944554424850159,0.998716568895934,0.997946233877574,0.997576188433837,0.978066667709807,0.275068676352642,0.319579872026159,110.137753333333,76.5846,57.1746181818182,63.934758490566,103.543363157895,16.4109276692059,20.5808547223627,7.6268715943097,7.84821918325467,20.1654551455116,36.852775,54.3188,23.8243,22.2829,19.596525,124.1987,103.7786,76.2664,93.7115,158.912975,64.905642,103.179234501348,60.60625,59.0529,45.624175,79.501,29.37185,141.98835,4.07776614357549,6.12532917151729,1.58968051654658,0.974369805094359,0.668736851354394,-0.0374586688635573,"LIHC"
"ZNF75A",0.832281604646379,0.410387240461512,0.999375848952698,0.999987511989137,0.817695392293869,0.390374330971909,0.999679688471039,0.880372033951809,0.616728689589244,0.998895637965296,280.137463333333,215.79726,230.342706060606,282.27471509434,274.828457894737,15.232474429284,32.0656655611356,16.8674816312644,23.4448002192878,19.6015886321512,199.025375,177.7541,170.7152,163.7864,194.299525,341.1428,227.0531,280.3158,339.3907,328.1861,176.464558,271.16991212938,176.7682,246.218,146.5564,207.894125,188.9981,324.48155,6.68318993186917,6.63998195134229,1.53668201253976,1.39288627705662,0.619818657289945,0.478077473140919,"LIHC"
"ZNF496",0.361541522285422,0.000363011161705007,0.999924108270099,0.016552693045547,0.981675453158785,0.592596471392725,1.24288403355877e-05,0.994725493621821,0.985173279571504,0.223871393253033,255.068088333333,121.6217,111.436327272727,162.099720754717,91.9843868421053,21.137668965298,52.8519254815565,11.5363482593057,29.1614300492984,17.1106066317675,139.050625,68.5654,56.5611,40.4084,20.08945,323.48025,108.6376,166.1238,187.7551,109.9497,119.30555,166.805782210243,112.4696,135.1248,97.83555,137.36515,62.6103,224.14025,5.10731815133591,7.86507057855058,1.39813933392237,1.20143398749529,0.483508142074003,0.264757382109482,"LIHC"
"ZNF2",0.955532441950537,6.23606087707396e-05,0.617845581842002,0.112488614033387,0.998670473230202,0.100188310288121,0.959083645764231,0.99513172350068,0.00329454369359994,0.57474149758965,96.3244966666667,86.59002,66.3764090909091,82.7145056603774,92.0890394736842,5.10430787058513,15.1808027403823,3.45173361522314,3.25824080549271,4.13289475534988,66.659275,63.772,52.8837,67.0051,74.2367,112.069425,101.1176,80.1503,104.8689,102.737375,56.818898,87.8458716981132,56.66365,84.4199,48.6793,65.546825,67.60235,104.05605,2.07936284607096,1.46582811564118,1.54606785401071,1.48984225336702,0.62860363782457,0.575159584155249,"LIHC"
"ZNF589",0.968675503326249,0.000439366526751583,0.712127563646795,8.59245750073345e-06,0.617426472936099,0.999142262845345,0.000424604492251235,0.752120071586986,0.999861038082236,0.992423374526817,162.192435,144.13478,107.172866666667,103.811801886792,109.450913157895,10.9193338779363,35.0518657941828,6.93202945398954,6.54100439582492,6.8159369540623,99.39015,82.2785,78.6937,74.325,78.5754,203.4364,170.9706,128.882,119.1876,136.170325,72.291386,134.843414555256,68.02765,118.6894,49.487875,92.668,84.278,161.21915,4.58667971989788,3.89272107109062,1.86527637684601,1.74472291781357,0.899389409549728,0.802997937961185,"LIHC"
"PRDM9",0.999783657575021,0.748395056785175,0.99582410949923,0.999161068754542,0.999992688153731,0.869525001302059,0.864958015025486,0.975198260205767,0.29509840152634,0.766521786150162,2.37201,1.91402,0.911493939393939,2.11079245283019,3.50555263157895,0.912664178938825,1.66289028874427,0.399645368693982,0.514479481240206,1.14739879771246,0,0,0,0,0,1.04595,1.0549,0.6758,2.3831,3.7077,0.095764,2.94574851752022,0,0,0,0,0,1.6985,0.0512238225637331,0.781501357406795,30.7604999532206,NA,4.94300704663218,NA,"LIHC"
"ZNF12",0.0297965314727525,1.80769903999067e-05,0.970287224217798,0.759399197215371,0.106884748541406,0.00176270252243238,0.00112026084525807,0.770558847561726,0.824763106009249,0.0464725995115712,522.348431666667,274.08312,328.759145454545,481.828486792453,374.637284210526,28.603762928367,62.7046601683432,19.0637683224251,27.0572360956738,21.7881346819273,368.58445,168.7764,232.7791,357.3508,293.325075,634.452625,378.925,377.3333,582.1053,464.535775,368.262488,439.769111590297,366.1709,419.7531,332.79675,420.237625,326.8576,531.0575,11.4216816681817,9.1302751334166,1.19417297694001,1.14633112571206,0.256011827305145,0.197023836782987,"LIHC"
