"gene","N1-N0","NX-N0","NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX"
"ZNF613",0.00402841166871537,0.529422168636777,0.00197368423503874,73.9302845849802,126.43695,69.9974763157895,1.99591351835884,49.2421420754029,2.82897598180865,52.1225,66.894625,52.19135,92.6485,156.448725,82.463025
"ZNF404",0.000414209047343128,0.991016168882676,0.000531085931282926,38.8075391304348,123.680975,39.4394728070175,2.56020659455382,55.6573067258076,4.4093648078459,11.9968,29.170975,11.56795,49.4998,210.4823,44.9115
"ZNF135",0.0356322061096457,0.103134150169835,0.0105077418977372,45.9907996047431,121.434325,32.0971271929825,4.23201889049473,52.7295727835177,3.52535012690087,6.8886,38.850125,7.578675,56.7485,209.19135,41.639625
"ZNF620",0.717790994531121,0.924004846150429,0.670207049411857,41.7713786561265,32.0983,42.827650877193,1.5728765073468,10.337879312912,2.26265253291592,23.751,15.688275,26.831175,50.9524,47.961575,53.7808
"ZNF619",0.987253419544307,0.863583880971114,0.96187887045147,38.0816434782609,36.2352,39.4797640350877,1.50653089722084,3.14094969847232,2.2888400798377,19.8895,34.4165,20.85365,48.9249,40.39865,55.37915
"ZNF354C",0.000262174809616655,0.451901169762833,0.000102444261013468,10.4003083003953,43.39385,8.15741578947368,1.12680057027683,21.8470765433082,1.0345068921284,1.0483,18.44775,1.18655,11.2236,49.4266,11.641375
"ZNF114",0.966393992697807,0.713302675286767,0.997072644597178,4.88122411067194,1.7607,2.68308421052632,1.88226937797807,0.587038713941991,0.357408425825956,0.7078,1.0449,0.681825,3.3656,2.66455,3.027725
"ZNF454",0.0572235667443561,0.925594289203956,0.0735029648076703,5.61298458498024,17.592125,6.04994298245614,0.671631245632797,3.94792118934657,0.8988362441119,0.9448,15.244575,1.07625,5.2609,20.5976,5.991125
"ZNF543",0.433382811524812,0.426115932686851,0.292155594444783,70.7652707509881,92.757,65.7927701754386,2.30651692307583,23.1163999581466,2.97495709086303,45.8716,56.775,45.579075,88.1881,123.62375,84.973575
"ZNF354B",0.246970351003467,0.916036223518782,0.216823959039911,66.3342984189723,95.637425,64.698652631579,2.34777741294158,36.2218863896396,3.03879645251107,41.2371,43.5202,41.521775,82.2462,128.956725,81.05805
