"gene","NO-[Unknown]","YES-[Unknown]","YES-NO"
"ZNF721",0.828045795276003,0.920581559039653,0.86476204056867
"ZNF662",0.740390268728998,0.921906717762133,0.616848314354468
"ZNF320",0.994115211488604,0.995577612289625,0.858821959668795
"ZNF530",0.361784489130521,0.371435941196252,0.99973592708373
"ZFP1",0.857572919369958,0.647255717329763,0.56382574416971
"KRBA2",0.777889590753654,0.568077926623969,0.597530980106867
"ZNF93",0.852273357746703,0.809521934396217,0.96605407891401
"ZFP90",0.645729458745722,0.626329510980461,0.990594591834286
"ZNF479",0.996002139812215,0.987897254536859,0.982544027032181
"ZNF445",0.811922724911506,0.451337250321039,0.225231750222058
"ZNF74",0.573470910883621,0.486106422135152,0.899283825392199
"ZNF829",0.900176723645466,0.997454553326861,0.582703608724176
"ZNF267",0.518017340748803,0.658933256415514,0.84235246092049
"ZNF566",0.807983958248849,0.569368489653546,0.511008292080625
"ZNF224",0.997872902781209,0.97046572353283,0.883751804664769
"ZNF529",0.987699430900409,0.947122334205183,0.414713898362642
"ZNF284",0.705535256416297,0.896335852091002,0.626287665203022
"ZNF749",0.991214997375855,0.968301338848853,0.943967539104868
"ZNF17",0.961269401312167,0.761580296319514,0.446737458187029
"ZNF555",0.512246185609843,0.318076445219613,0.576519772943434
"ZNF75D",0.422540742174549,0.65764412226825,0.589036359301808
"ZNF197",0.924594614620839,0.930883490304474,0.999621359115995
"ZNF732",0.99153889065533,0.922802386906683,0.754752284353316
"ZNF546",0.548869984029362,0.213196976999457,0.168146540449547
"ZNF286A",0.874663106013814,0.799378902798109,0.905818237607846
"ZKSCAN4",0.457715425785405,0.804561798870855,0.29592980302623
"ZNF643",0.412555767992366,0.475732010369154,0.9715030419379
"ZNF642",0.382154387821916,0.471346044879411,0.932832193851293
"ZNF490",0.40707622021705,0.289679489835997,0.772252191187333
"ZNF626",0.911253635710108,0.917006464469711,0.999830872530266
"ZNF793",0.949816347198561,0.998522102281593,0.774097564306643
"ZNF383",0.98482060284161,0.961497593518144,0.464106964726933
"ZNF669",0.275332807743477,0.389222021220069,0.853796710644375
"ZNF559",0.263159378187015,0.249413262953674,0.984567496238014
"ZNF177",0.708328060862928,0.668547637110401,0.974322229541924
"ZNF548",0.999988172659935,0.980919060035329,0.870604643656017
"ZNF563",0.593320229112678,0.434919130009075,0.728068145266451
"ZNF567",0.983779395730209,0.940837284653317,0.894381905212897
"ZNF573",0.866097929891601,0.766334823451595,0.854590070806616
"ZNF527",0.712609899447217,0.444514878925747,0.438095514681643
"ZNF33A",0.609978349222797,0.364593551273646,0.469235165969694
"ZKSCAN3",0.999871241941673,0.998213206386143,0.978653043043439
"ZNF676",0.991563278120884,0.925477508424564,0.360549125990913
"ZNF699",0.607235142568085,0.553407332622612,0.956489865965934
"ZNF250",0.695578585119062,0.82920552685063,0.826593368809189
"ZNF79",0.896608438582785,0.783008548142042,0.80230244080275
"ZNF681",0.997091178447023,0.998374639224064,0.936346384653562
"ZNF766",0.961396599332248,0.870277587379893,0.786721904102629
"ZNF471",0.767601673350903,0.961327339002505,0.493504186709866
"ZNF836",0.988763266870284,0.999974655523677,0.928244537229598
"ZNF493",0.999247733492673,0.994521427110305,0.983290287267103
"ZNF167",0.987055127971087,0.926850652161778,0.816805880607936
"ZNF565",0.835122433057968,0.661445973368141,0.677598108719145
"ZNF34",0.453214373260415,0.90434974271281,0.0986713668270317
"ZNF140",0.454234073577614,0.505778188694536,0.983904835306172
"ZNF658",0.851448259499686,0.881552310759034,0.988901871137021
"ZNF765",0.961327041635699,0.889614397344779,0.848855314193978
"ZNF124",0.419706345171578,0.233860160260587,0.51987411475389
"ZNF569",0.971277125300039,0.947183721639444,0.968089889778274
"ZNF777",0.925469186336539,0.884334701597587,0.955439403507915
"ZNF605",0.884249630636638,0.908285096243039,0.991310010717021
"ZNF799",0.924633716789696,0.974642451421934,0.905812787106165
"ZNF782",0.67621861462387,0.455793718239005,0.567065770634669
"ZNF846",0.497952844641486,0.436877517795547,0.9386817856547
"ZNF136",0.962246543365265,0.999723244214571,0.719005986983752
"ZKSCAN5",0.323868611255787,0.207718673318816,0.705922704423436
"ZNF33B",0.994553590634061,0.907955528387079,0.33210029553183
"ZNF431",0.109683439767615,0.0950409882703076,0.956135675942537
"ZNF418",0.936729357714144,0.955581911230685,0.200009676314369
"ZNF700",0.859021963943696,0.976590700617711,0.674052330311818
"ZFP28",0.928881182339691,0.946727954120564,0.15427773544643
"ZNF585A",0.967971014416748,0.76226706808591,0.409970086707603
"ZNF138",0.0467893116155721,0.0635852817002547,0.973857447567472
"ZNF429",0.969744222417495,0.908602365677002,0.866499265915313
"ZNF470",0.808296226084809,0.917872420872926,0.824012849862547
"ZNF100",0.839192984749523,0.812640545390553,0.98493609255951
"ZNF398",0.945797838482703,0.829685532796404,0.737780777559225
"ZNF498",0.960135289392085,0.972113696101099,0.993348355126158
"ZNF441",0.983864210042486,0.976734856971825,0.557494124201831
"ZNF420",0.92008371035769,0.944388157781097,0.985493225739369
"ZNF763",0.744035455721782,0.851692435467742,0.874690989820748
"ZNF679",0.911419888348113,0.998678580158634,0.595037663303269
"ZNF682",0.990953259278777,0.998707867064186,0.881027160755341
"ZNF772",0.894809032419669,0.972966659635967,0.163333222397556
"ZNF257",0.290413327813545,0.273451362015787,0.982516808077451
"ZNF785",0.228636955003686,0.447169422443631,0.511703795735395
"ZNF98",0.561008793016669,0.430103042344961,0.795753657473884
"ZNF786",0.998537969791324,0.979472478664222,0.917848781448761
"ZNF517",0.524781404556899,0.443373626311722,0.904989987374146
"ZNF675",0.818633468754114,0.740162584466737,0.912683838178777
"ZNF860",0.517876705767591,0.734968976360834,0.642670060111834
"ZNF695",0.533695794188986,0.46509749975289,0.929689054489302
"ZNF665",0.689535232815559,0.972445722588941,0.2477045229369
"ZNF624",0.714096937773703,0.971608829802419,0.300929658170522
"ZNF841",0.873176866787176,0.815223224350832,0.939491296458832
"ZNF615",0.849620264282025,0.956155177448828,0.773435552433868
"ZNF433",0.961332609290031,0.881036518258533,0.104602559946077
"ZNF595",0.977085229830232,0.905477789006272,0.812475625493542
"ZNF460",0.0210624532997924,0.0685313933467571,0.505598262177695
"ZNF81",0.225101565675999,0.54893019924313,0.253139984630673
"ZNF780A",0.403155058120272,0.179916694279857,0.338959010028514
"ZNF461",0.851124283236333,0.91062243762955,0.943115398491769
"ZNF181",0.500319035704397,0.586316867003175,0.94519011324355
"ZNF44",0.274960444322618,0.24657752391333,0.964325040727279
"ZNF790",0.237231719196825,0.11916378932884,0.53811956261176
"ZNF677",0.801504172244896,0.92487536585081,0.778124556521252
"ZNF823",0.900227602918105,0.923858947340358,0.989879163847426
"ZNF311",0.895543831009503,0.992557740383118,0.648843782131872
"ZNF347",0.998407806965965,0.815737133563978,0.279559930736133
"ZNF273",0.807049726588756,0.653787490303335,0.743154782645734
"ZNF84",0.992375177432588,0.93699274817651,0.417420492772111
"ZNF667",0.989661133384119,0.92829594049537,0.79810843277405
"ZNF649",0.753789109767487,0.991300540339498,0.25275288923677
"ZNF248",0.99966304140646,0.815902318252482,0.245169254795126
"ZNF544",0.142856419197588,0.269528702424957,0.676401871287651
"ZNF251",0.778410751028464,0.771472961899036,0.997445292700896
"ZNF607",0.997136972486535,0.982962599716892,0.954409757546151
"ZNF334",0.701042182149677,0.825852561883519,0.848071536296825
"ZNF485",0.0510431457788679,0.0522348928767673,0.994841533018529
"ZNF192",0.869154204405482,0.999998296468038,0.365339093013094
"ZNF442",0.85137119952246,0.940852683920247,0.0479683270213863
"ZNF813",0.990803342819742,0.798366313393396,0.0900106750281155
"ZNF26",0.858439243574827,0.990884888695541,0.180005493317552
"ZNF69",0.651607167361378,0.437007441685788,0.578527645391405
"ZNF583",0.324831480774179,0.40951813564789,0.931872223140276
"ZNF568",0.588102783260182,0.446627403054626,0.773884239587018
"ZNF480",0.63210809560677,0.715489435690135,0.945347304190285
"ZNF587",0.352323632930384,0.276084773760837,0.873146329749599
"ZNF808",0.99998730561963,0.996958157600299,0.974292654090684
"ZNF43",0.754204901180605,0.43677389412764,0.317179261020243
"ZNF28",0.955052425921054,0.987897576136542,0.461328042346282
"ZNF627",0.999882004528057,0.953327795267203,0.721521782072671
