"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE","mean-[Unknown]","mean-TUMOR FREE","mean-WITH TUMOR","SEM-[Unknown]","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-[Unknown]","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-[Unknown]","Q3-TUMOR FREE","Q3-WITH TUMOR","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF41",0.980234128766815,0.846874865933248,0.697697224692064,120.025011111111,122.620864529915,127.804607142857,13.0131490652206,3.62800873896299,5.33046657449041,96.024025,81.23055,87.34185,131.62185,158.51075,162.72105,139.873012,124.254559568733,144.43995,120.4478,116.8089,165.23195,84.3254,159.9447,5.58184376360564,2.91386874246314,0.888338341986467,0.833895331589356,-0.17081883347179,-0.262061783247919,"LIHC"
"ZNF7",0.0332098337206044,0.0795328914282124,0.834424165409321,601.642433333333,461.153980769231,476.215636607143,98.5297216736732,13.976325988404,20.5497471810214,319.052875,308.974575,315.369975,696.0566,578.852875,584.39325,232.522226,472.026433962264,233.0988,418.2707,208.5133,260.8377,309.4963,584.4609,5.32680364315842,11.9521194487411,2.03002715947793,1.79439233492408,1.02149902917499,0.843495362813548,"LIHC"
"ZNF214",0.723462993504556,0.983390867785681,0.425918528628521,27.3118277777778,23.6578273504274,26.4498160714286,3.08499591679697,1.29037857805269,1.86461975784841,20.00885,11.081975,11.618125,37.532975,31.096,35.703975,23.472938,24.3403223719677,21.85365,20.6872,14.470675,30.446475,11.10545,32.82315,1.75643350631943,1.0000267826721,1.03695252686168,0.946624476918043,0.0523498470643824,-0.0791358684885293,"LIHC"
"ZNF215",0.0246488363040153,0.0656009311075825,0.805757208497563,33.9159944444444,15.2221735042735,17.3197026785714,9.09684119153554,1.84209100529585,2.78375739201166,3.586575,1.6237,1.23285,42.38955,13.7646,17.0611,8.107752,16.8139221024259,5.543,4.6763,2.77895,10.85245,1.58435,18.08995,1.24440123866613,1.51632247266217,2.07380814095274,0.843640627818871,1.05228242891513,-0.245299521162305,"LIHC"
"ZNF547",0.999998652380781,0.682135488770523,0.158151542234354,35.9813833333333,35.9715705128205,30.5468866071429,5.70757295978406,1.80337366564398,2.01378373641759,22.604075,16.5354,16.607775,40.712275,45.010425,37.66315,18.022896,34.2561393530997,17.87345,28.0737,12.1253,23.79905,16.5696,43.78995,1.13750090198111,1.33533671636587,1.9007011610731,1.5706928432955,0.92653172118757,0.651401082108881,"LIHC"
"ZNF773",0.75456996341686,0.701893228985765,0.966112235038594,76.1181777777778,67.4665811965812,66.0457616071429,12.4619047607964,3.11804762199361,4.95287337796767,32.72615,27.66005,24.775525,106.570125,98.674775,97.224925,49.152872,67.4407172506739,44.4751,57.9111,34.326475,62.04275,27.21365,99.27605,3.05181448123804,2.57148935003689,1.37206056343308,1.30210162540388,0.456344164190136,0.380842051225997,"LIHC"
"ZNF776",0.846667194728146,0.844793630368543,0.998467416747454,215.049583333333,229.74440982906,230.406675892857,17.7038966319265,7.40690838065951,9.92207934461118,157.639175,152.45115,155.036575,257.49285,287.904375,278.980625,258.861266,228.756665768194,253.0258,214.6798,220.957325,298.971925,152.8592,284.7982,9.73279343341695,5.6708455511904,0.883703727880996,0.848450237090447,-0.178365324772203,-0.237098048918089,"LIHC"
"ZNF256",0.943374748883999,0.988127176069582,0.928454244653685,61.1586777777778,65.2549923076923,63.0833919642857,10.4362056890748,3.24786353543982,5.29665908633561,30.665575,25.157525,21.67115,86.932125,90.744925,92.8569,39.492272,63.9381700808625,38.57235,48.5629,25.687675,52.04355,23.82915,91.52675,2.31969046002411,2.66223754319493,1.61900460122584,1.25900807184421,0.69510708579877,0.332287532598059,"LIHC"
"ZNF599",0.956115067119044,0.980215101873249,0.559521491517264,65.7656055555556,62.7951123931624,67.8233151785714,11.6733897506517,2.45324494275797,4.78010744113832,38.6696,35.6635,35.810025,89.52455,80.921825,85.2016,46.03827,63.5198552560647,45.9121,56.2268,37.5815,53.2794,34.74525,81.39735,2.24572929586814,2.18765670898728,1.37971855276197,1.22466190829868,0.46437400327457,0.292383520213222,"LIHC"
"ZNF18",0.705712117058701,0.994688577910153,0.136790074351942,172.504227777778,188.01915982906,170.515475892857,16.4584120721548,5.44382748064086,6.90935750837663,129.495375,124.71265,117.95825,211.755275,239.50145,205.8694,198.99935,181.761295956873,201.3375,163.1869,171.5132,226.677075,122.44775,229.10465,6.24992000968192,4.155282306089,0.913376329906974,0.810514186378593,-0.130718692042459,-0.30309065752341,"LIHC"
