"gene","YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES"
"ZNF160",0.112772268248027,549.686516730038,511.94388976378,13.7447888665744,18.9049961386557,395.71945,354.82015,650.5204,652.49835
"ZNF415",0.507429787515406,117.960685931559,123.365262992126,4.69359981883703,6.5525843980743,57.64415,64.79075,166.5213,164.7186
"ZNF439",0.232687470895874,95.0973072243346,86.8935275590551,3.96758310153147,5.47990168484209,45.07615,36.35415,133.64955,116.39605
"ZNF440",0.397067360165547,277.041385171103,260.7284,10.9368325816932,15.9294948797634,163.9773,156.8146,329.42445,328.1964
"ZNF562",0.581698850162776,445.141073003802,436.055261417323,8.82604114513236,15.1146687124697,341.10075,341.1984,530.09985,499.4098
"ZNF561",0.878232983766151,578.046138022814,581.458091338583,12.8616536345305,17.7820187527244,449.03845,441.3041,671.137,666.8747
"ZNF584",0.526336415315958,168.464384410646,164.018181889764,3.91855576175053,5.99592877030746,120.7705,121.53905,208.5743,199.44085
"ZNF274",0.223939961855548,532.115345247148,506.989952755906,11.8653056151313,16.6532166515499,387.2627,369.23235,654.19215,637.53905
"ZIK1",0.923955214863713,84.6744269961977,83.8573251968504,4.68594505800429,7.57749173100214,28.8586,22.3982,108.3333,125.4383
"ZNF540",0.020273436844822,64.4458098859316,50.2255330708661,3.52779654319469,4.86855154490629,26.8803,19.6505,79.59615,64.4037
"ZNF570",0.769357002090936,53.1173904942966,54.0456732283465,1.62234254983097,3.07415313910559,35.80735,30.58165,64.68335,66.2271
"ZNF57",0.278391982522081,108.753506844106,96.7069102362205,7.34469674193673,4.84585561362091,65.434,64.86245,115.5126,114.42495
"ZNF556",0.116662647556058,2.8111897338403,1.21891102362205,0.682353025766848,0.352671769501274,0,0,0.6388,0.5234
"ZNF554",0.0991256778854473,105.036301520913,97.5377984251969,2.62004156702987,3.62891757675793,73.77725,68.5587,127.6358,120.67605
"ZNF738",0.161560017763532,198.973140304183,240.606385826772,9.49249724499301,37.971562119374,112.4747,108.56095,229.7193,229.37525
"ZNF596",0.227790255033938,50.7541292775665,46.4400401574803,2.0634841016414,2.85489914197402,27.12065,25.1791,66.03875,57.69375
"ZNF621",0.00523890573781782,570.057619771863,511.231181889764,12.5928489047985,15.1199677651175,415.558,384.7852,670.68205,613.8968
"ZNF680",0.716568472680313,321.90063878327,329.342177952756,11.6543464900403,16.9211166312764,200.96455,219.02355,381.74165,402.26115
"ZNF483",0.235579365080152,19.614852851711,17.4537086614173,0.983225332846448,1.64614516392197,9.28335,7.57225,25.5804,20.0631
"ZNF417",0.00206146921770856,168.58374486692,146.827919685039,3.82425427329665,6.25752911243615,123.1597,102.22655,206.46165,175.49525
"ZNF791",0.00273860643370227,199.790019771863,176.711442519685,4.61090613644105,5.48842326802535,146.96165,140.4812,249.9618,212.1731
"ZNF519",0.848305819648377,38.9236034220532,38.4123968503937,1.46547037876276,2.35893369163479,23.4976,20.01025,48.07365,45.72245
"ZNF25",0.00127462548506285,230.847701140684,201.872074015748,5.34341269878868,6.52556895355718,161.4807,151.1109,286.40435,244.0742
