"gene","N1-N0","N2-N0","N2-N1","N3-N0","N3-N1","N3-N2","NX-N0","NX-N1","NX-N2","NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF701",0.283119845970461,0.992686472955189,0.801454532087248,0.998476542397296,0.974070287389794,0.996246866573572,0.998494548524583,0.85777015394231,0.991792603432756,0.9998808229983,138.600327963526,123.772058333333,134.963612328767,151.9074,144.3337,3.71513039930169,5.64046899976856,7.92458368135923,23.6037,14.6211411519136,96.2241,85.996375,92.2401,140.10555,118.27575,163.9213,153.123325,163.1521,163.70925,183.34565,111.849376271186,135.354721553398,112.2369,126.4072,97.8324,122.71095,92.48805,163.84935,3.80001610017456,2.86289434915996,1.21015177791623,1.12625348704392,0.275188002470836,0.171531572838535,"LUAD"
"ZNF283",0.997357030089458,0.938366872994616,0.899745949315189,0.990401890645285,0.985814120451955,0.997713779181373,0.999999999750611,0.999959544305952,0.997874024510396,0.992794180638632,54.3371887537994,53.2389260416667,57.1830054794521,63.72115,54.2869818181818,1.54041116594282,3.34729138171763,3.00692008412354,4.13445,6.18468210160934,35.9708,35.145875,40.7862,61.653925,39.6702,64.9867,63.0809,66.8166,65.788375,66.7812,39.5770203389831,54.5159434951456,38.111,49.9385,33.4235,45.85535,36.79225,65.12125,1.38838227178235,1.24742783981263,1.37746457485198,1.31034347038913,0.462015216551392,0.389945024035676,"LUAD"
"ZNF558",0.0236547803163925,0.991859134974412,0.335190507837062,0.881104413357423,0.614827391011828,0.850455005067108,0.386229222399425,0.971663005460556,0.557014353179632,0.512691262472442,342.933446808511,291.017966666667,334.34002739726,442.4327,261.507681818182,8.79567784794382,11.8450204847321,16.788149858737,7.54560000000001,37.8208261873506,231.5905,220.123625,240.4971,438.6599,174.1127,434.0998,344.3948,409.5912,446.2055,324.90805,252.957677966102,330.83998407767,254.2604,302.0455,226.52645,275.73025,229.14855,409.0402,5.21406936007939,6.62512842912537,1.30788670554608,1.1879376418821,0.387237574149485,0.248459107091009,"LUAD"
"ZNF597",0.534411230141791,0.991240736664356,0.542584290845843,0.982412005860351,0.998426168783429,0.971520945929409,0.885963359780075,0.591469141593911,0.956879225592522,0.906455033586367,60.9056574468085,54.593221875,62.9749630136986,47.2575,70.9328363636364,2.0103628422204,3.01527030692887,4.44178827328132,2.2379,7.34882238924,41.1187,38.025725,41.2776,46.13855,50.5551,73.5087,69.114175,74.6867,48.37645,91.18195,96.561606779661,60.165813592233,93.1634,55.7991,73.5694,113.1146,41.02975,73.23015,3.42875167967099,1.54822304276953,0.623082150336648,0.598937994963687,-0.682505706806715,-0.739521439099709,"LUAD"
"ZNF30",0.662286250562341,0.993456929544084,0.656172358270976,0.0170839292238372,0.00907417400490984,0.023803894910558,0.937483196138946,0.729223736609596,0.979732530368399,0.0803355007683397,93.5568331306991,84.3228479166667,96.7728493150685,223.78295,107.618636363636,3.28868435938425,5.2260830641558,7.61892635447395,94.81385,16.4125000464074,58.5885,55.283575,59.1991,176.376025,74.70485,108.3679,100.48535,114.9979,271.189875,128.9777,70.3337050847458,93.6383326213592,71.6312,79.1946,54.46615,84.1731,58.2066,108.56515,2.86353224925058,2.73131542314747,1.33134366387401,1.10558806776935,0.412883026674131,0.144813950412906,"LUAD"
"ZNF354A",0.760913362005265,0.968401858045795,0.996752164720645,0.765514526964997,0.65424666407661,0.704508085321669,0.999891022261844,0.978798262722873,0.994769290528741,0.843643921720165,259.815587841945,244.131633333333,250.353417808219,355.054,265.009818181818,6.56149524338371,10.7569168642488,12.3878635554162,133.6534,23.5315064118603,185.0958,174.612025,181.9213,288.2273,199.39375,304.9499,282.50595,289.9344,421.8807,312.517,200.097571186441,255.84057184466,201.0776,233.486,181.58765,217.03825,182.80275,298.7605,3.99811115986387,5.01535301168964,1.27857909682612,1.16117359666119,0.354541412882297,0.215583672737703,"LUAD"
"ZNF764",0.410512976584828,0.232610244730015,0.992925802371126,0.0933618743020911,0.0471353584285547,0.0372856132169604,0.993643832654042,0.999355320995427,0.992574554049763,0.0995495710775479,217.428158662614,202.124559375,197.071736986301,351.6158,207.729563636364,4.53188514521509,6.05237540273003,8.02062405444784,55.4001,11.7467180407146,167.726,164.4758,148.9921,323.91575,179.7987,244.9667,225.271225,228.877,379.31585,235.0719,155.09216779661,212.315008737864,155.9055,200.3175,137.4094,174.74535,163.49285,243.2656,4.0680149465876,3.37545675645055,1.36896022380896,1.28486487006552,0.453080528591989,0.361616638378254,"LUAD"
"ZNF747",0.986638307849514,0.3779961613582,0.798144457986807,0.357484255851015,0.31919757689645,0.207042678343647,0.999998710107115,0.999918565909644,0.962459845075335,0.430049168313253,251.128924620061,244.92311875,226.647897260274,387.9928,249.551081818182,6.51212355542739,7.89300662167945,8.95909991717561,75.3373,21.2798512620179,189.0765,188.5892,180.2784,350.32415,201.23305,277.0548,287.008975,262.6487,425.66145,285.08305,247.818349152542,247.311430291262,246.0289,230.6043,227.6606,266.4663,189.12675,280.8849,3.90852591704546,4.65571222343936,0.997954474061288,0.9373057392851,-0.00295409249529314,-0.0934083782693139,"LUAD"
"ZNF778",0.70392787048783,0.288002906579238,0.961568461265458,0.780030940842698,0.883888934682499,0.935252518484485,0.999999864119834,0.987994855644977,0.927591993732972,0.821103201437398,97.4990103343465,89.4665770833333,83.7868,53.3854,97.9601818181818,3.12430178047718,4.61911224722783,6.17285089841262,3.7986,17.4540332605015,62.7682,60.399725,52.7473,51.4861,63.54185,117.3271,109.47455,94.3019,55.2847,103.26125,79.1061440677966,93.7975609708738,81.3679,78.496,63.3847,92.4967,60.37635,113.2749,2.56982558035103,2.38324277250985,1.18571777295182,0.964704754577665,0.245760657424888,-0.051840618082102,"LUAD"
"ZNF212",0.987686099412076,0.908548384573222,0.99669774004446,0.454027041954396,0.411721380097062,0.369747823593336,0.998222617972155,0.999968728222935,0.999996561625432,0.459869836985688,416.190205167173,407.669822916667,399.577252054795,591.3649,402.562645454545,8.1203315105234,16.5761555364862,15.8537954214804,157.4389,27.9411215631837,316.313,308.38315,306.642,512.64545,345.0443,476.1051,477.93925,499.1669,670.08435,454.4981,255.913018644068,412.029914951456,259.3968,383.7731,215.38655,299.86465,313.4448,477.9358,7.40630851769713,6.50111988467961,1.6100388996799,1.47948278467583,0.687095545294751,0.565092909369075,"LUAD"
