"gene","p-adj-Distant Metastasis|New Primary Tumor-Distant Metastasis","p-adj-Locoregional Recurrence-Distant Metastasis","p-adj-Locoregional Recurrence-Distant Metastasis|New Primary Tumor","p-adj-Locoregional Recurrence|Distant Metastasis-Distant Metastasis","p-adj-Locoregional Recurrence|Distant Metastasis-Distant Metastasis|New Primary Tumor","p-adj-Locoregional Recurrence|Distant Metastasis-Locoregional Recurrence","p-adj-New Primary Tumor-Distant Metastasis","p-adj-New Primary Tumor-Distant Metastasis|New Primary Tumor","p-adj-New Primary Tumor-Locoregional Recurrence","p-adj-New Primary Tumor-Locoregional Recurrence|Distant Metastasis","mean-Distant Metastasis","mean-Distant Metastasis|New Primary Tumor","mean-Locoregional Recurrence","mean-Locoregional Recurrence|Distant Metastasis","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Distant Metastasis|New Primary Tumor","SEM-Locoregional Recurrence","SEM-Locoregional Recurrence|Distant Metastasis","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Distant Metastasis|New Primary Tumor","Q1-Locoregional Recurrence","Q1-Locoregional Recurrence|Distant Metastasis","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Distant Metastasis|New Primary Tumor","Q3-Locoregional Recurrence","Q3-Locoregional Recurrence|Distant Metastasis","Q3-New Primary Tumor","count-Distant Metastasis","count-Distant Metastasis|New Primary Tumor","count-Locoregional Recurrence","count-Locoregional Recurrence|Distant Metastasis","count-New Primary Tumor"
"ZNF528",0.99918649067512,0.500174252451529,0.952647913959107,0.968189282081489,0.977108307595085,0.999999873355398,0.927842450412312,0.95941930907801,0.999918436851976,0.999947427001294,235.928170967742,193.0957,319.693576470588,316.19935,337.33615,23.7585407947769,NA,55.6596474280188,123.50835,128.93955,149.11175,193.0957,162.768,254.445175,272.866375,272.1629,193.0957,436.671,377.953525,401.805925,31,1,17,2,2
"ZNF701",0.999999748994171,0.724902484459255,0.994579512090061,0.998849448407257,0.999725590606938,0.999204997095176,0.999823067651671,0.999993579621403,0.962916537758664,0.997771584893007,138.212077419355,135.8406,165.533570588235,152.34795,129.40825,13.8390719323675,NA,15.8442766399044,56.12385,20.15185,93.32825,135.8406,111.8038,124.286025,119.332325,161.20615,135.8406,199.7687,180.409875,139.484175,31,1,17,2,2
"ZNF283",0.943825856003436,0.793537016088541,0.821752675722466,0.999917738184976,0.954987959147733,0.997655632820826,0.853495089095252,0.99999991826207,0.611386442932223,0.919860381821641,50.1563290322581,32.8375,57.8790882352941,52.4328,33.51445,4.07195752464061,NA,5.74186812894013,10.9046,12.00905,32.8809,32.8375,43.1976,46.9805,27.509925,58.0969,32.8375,71.1327,57.8851,39.518975,31,1,17,2,2
"ZNF558",0.992220292416448,0.850058709636994,0.949235955200905,0.996831518052716,0.979099254689893,0.999994331873183,0.981393832218523,0.999999675974997,0.878050843558342,0.965150229940125,342.236406451613,258.2094,399.937823529412,390.01355,266.1561,28.4319335760675,NA,58.195539403371,131.70795,90.6376,225.31885,258.2094,241.6798,324.159575,220.8373,416.53915,258.2094,390.4811,455.867525,311.4749,31,1,17,2,2
"ZNF597",0.680827946092643,0.986455219761527,0.776833724121052,0.999330842007088,0.873235558153582,0.999999936867324,0.999984714184926,0.835104244477162,0.99995703548731,0.999972558591282,55.1803451612903,103.2837,60.6538117647059,61.26405,57.53185,6.98053195441273,NA,7.70962707598754,10.59955,7.96175,31.29895,103.2837,43.5702,55.964275,53.550975,67.06345,103.2837,73.0994,66.563825,61.512725,31,1,17,2,2
"ZNF30",0.899862908764449,0.932190712263892,0.966713733014003,0.798550518121999,0.999993149393529,0.938580847901138,0.991525568381815,0.989604883768679,0.999956844828484,0.988217913999945,114.140258064516,49.9579,97.1766823529412,56.3558,90.98365,15.3108841333573,NA,9.43326350790911,9.2588,14.09945,61.9156,49.9579,69.797,51.7264,83.933925,142.3704,49.9579,116.7954,60.9852,98.033375,31,1,17,2,2
"ZNF354A",0.906652633674588,0.498445565817308,0.995127772964145,0.887401186118879,0.999793608562891,0.999123213494298,0.999918257553215,0.967714097820407,0.985290141897061,0.978507627152978,286.437822580645,201.7962,239.876682352941,222.05365,276.8784,16.8726810746641,NA,25.4156521231797,11.33505,1.714,211.64655,201.7962,167.713,216.386125,276.0214,348.6606,201.7962,313.7391,227.721175,277.7354,31,1,17,2,2
"ZNF764",0.518384464166676,0.991474806198688,0.613641372277447,0.999999989431701,0.692206394408768,0.999822157406004,0.993137185838518,0.826994508441906,0.999338484331489,0.998232728233637,199.982774193548,322.2004,210.266158823529,200.7918,223.4669,13.3684966857353,NA,20.3560451727835,1.0354,0.104200000000006,146.9729,322.2004,162.3884,200.2741,223.4148,220.96335,322.2004,254.9469,201.3095,223.519,31,1,17,2,2
"ZNF747",0.407897459562864,0.905315104800906,0.284150851060655,0.957228609982756,0.831489702412692,0.841141325886507,0.977152016858704,0.381458454482961,0.999505138868982,0.884061611290783,248.25865483871,384.1538,228.239882352941,286.6209,216.01675,14.0374820743201,NA,18.2567920808322,6.9033,38.61665,195.6521,384.1538,186.3134,283.16925,196.708425,284.33655,384.1538,258.2467,290.07255,235.325075,31,1,17,2,2
"ZNF778",0.865608885097377,0.999172040914679,0.89936039979015,0.999225881005056,0.875089220554799,0.997214204551444,0.998994679919802,0.964985615690759,0.999874112475059,0.996130709902827,90.3799451612903,134.1566,93.6544823529412,82.59805,98.69585,6.70601191634716,NA,13.5495345965012,30.27245,13.71865,69.30835,134.1566,54.1295,67.461825,91.836525,106.71775,134.1566,113.8996,97.734275,105.555175,31,1,17,2,2
"ZNF212",0.844594645578135,0.99992106127898,0.868097347210569,0.96104141809527,0.723353223324398,0.952584889311918,0.999664543287015,0.870269196306785,0.999173245361452,0.996686570570398,406.847922580645,558.2374,412.8201,335.0385,386.06805,26.2591871227997,NA,37.0203562538115,36.8657,55.76965,296.07115,558.2374,343.4856,316.60565,358.183225,488.27755,558.2374,445.9363,353.47135,413.952875,31,1,17,2,2
"ZNF282",0.931230752597323,0.999655787858015,0.949421622898215,0.816270167606763,0.691750086427446,0.788599293752699,0.992378164379331,0.994435285316446,0.996874877166078,0.803603353777186,739.521606451613,944.1482,754.562405882353,539.71315,819.8843,48.0066839500768,NA,57.9368122035286,73.76635,110.2232,555.70775,944.1482,574.2188,502.829975,764.7727,944.9718,944.1482,856.1777,576.596325,874.9959,31,1,17,2,2
