"gene","p-adj-Stage IA-Stage I","p-adj-Stage IB-Stage I","p-adj-Stage IB-Stage IA","p-adj-Stage II-Stage I","p-adj-Stage II-Stage IA","p-adj-Stage II-Stage IB","p-adj-Stage IIA-Stage I","p-adj-Stage IIA-Stage IA","p-adj-Stage IIA-Stage IB","p-adj-Stage IIA-Stage II","p-adj-Stage IIB-Stage I","p-adj-Stage IIB-Stage IA","p-adj-Stage IIB-Stage IB","p-adj-Stage IIB-Stage II","p-adj-Stage IIB-Stage IIA","p-adj-Stage IIIA-Stage I","p-adj-Stage IIIA-Stage IA","p-adj-Stage IIIA-Stage IB","p-adj-Stage IIIA-Stage II","p-adj-Stage IIIA-Stage IIA","p-adj-Stage IIIA-Stage IIB","p-adj-Stage IIIB-Stage I","p-adj-Stage IIIB-Stage IA","p-adj-Stage IIIB-Stage IB","p-adj-Stage IIIB-Stage II","p-adj-Stage IIIB-Stage IIA","p-adj-Stage IIIB-Stage IIB","p-adj-Stage IIIB-Stage IIIA","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage IA","p-adj-Stage IV-Stage IB","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage IIA","p-adj-Stage IV-Stage IIB","p-adj-Stage IV-Stage IIIA","p-adj-Stage IV-Stage IIIB","mean-Stage I","mean-Stage IA","mean-Stage IB","mean-Stage II","mean-Stage IIA","mean-Stage IIB","mean-Stage IIIA","mean-Stage IIIB","mean-Stage IV","SEM-Stage I","SEM-Stage IA","SEM-Stage IB","SEM-Stage II","SEM-Stage IIA","SEM-Stage IIB","SEM-Stage IIIA","SEM-Stage IIIB","SEM-Stage IV","Q1-Stage I","Q1-Stage IA","Q1-Stage IB","Q1-Stage II","Q1-Stage IIA","Q1-Stage IIB","Q1-Stage IIIA","Q1-Stage IIIB","Q1-Stage IV","Q3-Stage I","Q3-Stage IA","Q3-Stage IB","Q3-Stage II","Q3-Stage IIA","Q3-Stage IIB","Q3-Stage IIIA","Q3-Stage IIIB","Q3-Stage IV","count-Stage I","count-Stage IA","count-Stage IB","count-Stage II","count-Stage IIA","count-Stage IIB","count-Stage IIIA","count-Stage IIIB","count-Stage IV"
"ZNF75D",0.999999958920619,0.999999999995291,0.995696758822354,0.99209386786115,0.992498825627115,0.984934848864113,0.999985881973877,0.869032317778294,0.99455960892113,0.967078689268436,0.999788423619623,0.452546926583031,0.876555774653752,0.953192555315702,0.999991046702597,0.99945305363281,0.314011980352331,0.762478971433909,0.9457160144917,0.999822565457832,0.999999941512201,0.999997529063407,0.9980720383584,0.999971998540244,0.974580623275986,1,0.999999683726132,0.999995188058922,0.994561923524693,0.417101378090798,0.733774133758006,0.913934762548046,0.991215862017556,0.998894109081413,0.999791689863661,0.999263305803838,427.067516666667,443.033375572519,421.945944285714,631.9826,392.37188,378.469628767123,371.851747945205,394.470981818182,345.771580769231,55.6377046649687,16.1108814077259,20.4468523750454,NA,27.7432350194462,22.6887145143553,23.2779472881236,80.8524680662331,34.4676901663782,337.4524,323.40665,263.999975,631.9826,302.711,261.2082,256.5683,182.42745,231.839725,507.937875,513.80605,461.3436,631.9826,418.746425,446.4626,453.485,594.48745,409.843075,6,131,140,1,50,73,73,11,26
"ZNF197",0.999661873049695,0.999355489155547,0.99999996472615,0.810023119320312,0.870457469319023,0.879680503808435,0.928818867248974,0.597635353379615,0.67732613248698,0.967624648719066,0.998431267558769,0.99996941690639,0.999998860363724,0.897592208036222,0.89714690578477,0.99516782147266,0.996995902330651,0.999276132951685,0.916495536287687,0.972671576796424,0.999996541142057,0.999338252841534,0.999999397622734,0.999999949502435,0.921464484796823,0.998562157289199,0.999999999996077,0.999999999442421,0.999895499610839,0.999999999934087,0.999999956598334,0.872457771475969,0.899319375796384,0.999993419150691,0.999671067500988,0.999999028687807,335.067483333333,311.384267938931,309.260973571429,169.2626,280.51579,305.348821917808,300.181969863014,303.538690909091,313.089784615385,16.0220577878003,7.54363560795012,8.46067025226536,NA,12.0326264453526,14.269512264723,10.4292493023008,29.4271602379362,18.2438969529477,303.836475,254.08255,242.529,169.2626,237.06125,235.9036,239.835,239.879,267.199525,355.823275,358.13345,362.607525,169.2626,327.98075,337.6289,343.095,339.20845,360.70905,6,131,140,1,50,73,73,11,26
"ZNF732",0.738431231516702,0.746566101494442,0.999999999997996,0.999842502681895,0.999999995039187,0.999999996576233,0.604190347157926,0.999082027240095,0.998528264901154,0.999999523410477,0.659276830980271,0.999964136280544,0.999917771799382,0.999999907222952,0.999999343181643,0.579535255889307,0.997542266892379,0.996058694317652,0.999999497816984,1,0.999998283895751,0.533158403707043,0.987521314152565,0.985482337266912,0.999967999820363,0.999659211456407,0.997917387821917,0.999590718515404,0.999998712894423,0.14014628310897,0.14552845413234,0.99996491151275,0.0944325482817794,0.105043719191497,0.058723079162402,0.241725852735809,16.5017666666667,6.96356641221374,7.05009357142857,8.8568,5.47139,6.11225890410959,5.45942876712329,2.85850909090909,14.7796307692308,11.4478638457623,0.766315190446691,1.077130902552,NA,0.849853944077019,1.58188985937548,1.14529084992533,0.684088812742182,6.8970143967389,2.353475,1.86815,1.312475,8.8568,1.669525,1.2642,1.1123,1.5366,1.78695,12.092675,7.52805,7.051075,8.8568,8.99545,5.2182,4.7575,2.939,10.57365,6,131,140,1,50,73,73,11,26
"ZNF546",0.97999265437896,0.999977952203666,0.3955995109462,0.999994858726952,0.99670760792129,0.999828842033718,0.999999995939377,0.0677345823513594,0.897703724917093,0.99999782271854,0.999991533771206,0.00177089092701965,0.373968358888365,0.999999876132662,0.999875492843655,0.9999999088526,0.010113889377837,0.692369741327473,0.999998916472835,0.999999993161675,0.999979181691054,0.991260303470364,0.999999999733386,0.989187732221652,0.996760763978194,0.807711174039153,0.590550676317281,0.730694479551665,0.998619262816387,0.99979332325046,0.998657949228395,0.999041319643701,0.815298409799867,0.483727827689012,0.687980545596557,0.999976378174413,53.8257666666667,66.4491877862595,58.7258935714286,43.2997,52.118934,49.4136164383562,51.3446904109589,67.3306636363636,63.0651961538462,7.94287916369821,2.403451069395,2.42746226734158,NA,3.3432830186444,3.10627605424058,3.22667981606424,14.9492655585074,7.80903289103366,40.849025,45.55945,34.747775,43.2997,38.560925,32.2356,31.5148,35.701,38.258225,68.606725,84.2113,74.5727,43.2997,63.094275,60.6099,66.0248,88.45195,80.253325,6,131,140,1,50,73,73,11,26
"ZNF286A",0.999608252689242,0.999944630288264,0.999934798907256,0.999999222355572,1,0.999999999779837,0.999870905017768,0.999999985406003,0.999999957544594,0.999999999990152,0.999997996943466,0.995708479831253,0.999956364908508,0.999999986953044,0.999867264422767,0.999486370424869,0.999999999800079,0.999909165965455,1,0.999999822204498,0.996211116599795,0.998805271288505,0.999995824980647,0.999873557071116,0.999999999992611,0.999984178995996,0.99879001872171,0.999998920428054,0.999999999027046,0.894307829273919,0.966542880456987,0.999995472848707,0.967888560229994,0.99712788535825,0.903317416784839,0.969490032164465,242.69045,207.210842748092,215.353767857143,201.7374,211.027448,224.530176712329,205.252953424658,192.468527272727,250.093019230769,54.6768481621167,8.62481257659387,14.1161490193849,NA,13.1556070726634,24.0976512900594,11.0900640159476,26.9315021324676,31.7310417050889,182.092225,141.07575,132.482925,201.7374,145.35235,131.5249,137.1401,143.76415,139.09725,208.4184,240.6589,250.680425,201.7374,259.239125,255.611,258.0645,205.02715,306.5439,6,131,140,1,50,73,73,11,26
"ZKSCAN4",0.999999999755999,0.999999999948483,0.99999999999529,0.999133146368396,0.999029511887926,0.998950658705757,0.997126605283132,0.676604732379615,0.635871671444133,0.9999886907518,0.993403850665447,0.336264289340536,0.291768774004264,0.999994802447529,0.999999913768239,0.999869815096572,0.950186456727988,0.933527035666527,0.999902527656272,0.999195327177166,0.989305107359077,0.999990205989639,0.999938903738198,0.999910340728497,0.999881638950172,0.999945851676736,0.999652696857892,0.999999999695401,1,0.999999988371383,0.9999999982031,0.99876434451239,0.903925089916526,0.789620848897108,0.990998111565681,0.999895299916767,137.2109,135.383355725191,135.708601428571,104.641,121.807662,120.128952054795,127.286843835616,128.742527272727,136.909169230769,10.3418722726593,3.63079817342445,4.20230732760948,NA,5.78785234397424,4.6405234182579,5.68900030263213,13.5766591550692,10.1271641629124,121.328675,107.58535,102.975125,104.641,92.8261,96.8921,94.6402,105.4865,93.13685,156.259325,163.7517,161.301175,104.641,141.08835,142.4354,144.9541,152.8287,163.0519,6,131,140,1,50,73,73,11,26
"ZNF643",0.999999996708584,0.998053594070908,0.47368798244099,0.999999756067032,0.999997850171779,0.999767478577871,0.999966571675673,0.997160425480641,0.997903098098154,0.999967064542972,0.999997587074603,0.999876100189137,0.944987988585876,0.999988315137328,0.999997829916027,0.999992429053255,0.999242402590056,0.973241630644881,0.99998239613426,0.999999943132535,0.999999998167065,0.999999988195849,0.999999999964061,0.998196459130346,0.999997154112714,0.999996693485462,0.999999987931453,0.999999821440715,0.999999866576106,0.999999947596778,0.985375606138446,0.99999489769115,0.999989462763072,0.999999992073918,0.999999664206761,0.999999999999387,41.3290833333333,43.3935549618321,52.7966071428571,32.1468,48.217142,46.1579301369863,46.9184739726027,44.2752,44.8968615384615,9.81430848096855,2.64777122788103,4.03996637749124,NA,5.97599923968119,3.86410586683457,3.26947138452905,4.38878099776733,4.99827307641065,29.080525,25.22865,27.73975,32.1468,27.926375,26.3736,27.8087,33.11565,29.151825,57.83665,48.9831,60.55415,32.1468,58.333,54.5775,63.678,58.228,53.47545,6,131,140,1,50,73,73,11,26
"ZNF642",0.999880430554623,0.999999999997966,0.585625245573647,1,0.999999967751858,0.999999999996998,0.997679026442834,0.998708134231859,0.444554150466751,0.999998362600606,0.99996815952461,0.999999878796747,0.88978379341505,0.999999992979941,0.996647506863523,0.999950119283156,0.999999996350183,0.857022198983169,0.999999987609567,0.99805282100758,0.999999999988055,0.999999865085252,0.983181413633836,0.999999000058694,0.999999996213421,0.925102513861183,0.992858119660437,0.990851259394694,0.997886763049549,0.999607976626326,0.741889134726746,0.999997947711778,0.999999999999337,0.998795829917117,0.999283629007222,0.943717591558564,112.556216666667,101.993722900763,113.658420714286,110.8736,96.194596,103.520297260274,102.976350684932,117.933036363636,95.6302423076923,25.5809213651035,3.39995801391722,4.86870492039698,NA,4.97747205565395,7.29611664269747,5.22806083203945,17.8095480839315,6.84056007821036,97.666575,75.68705,79.467725,110.8736,73.936075,69.1134,77.1499,107.7605,63.85835,127.09915,120.07215,130.8557,110.8736,118.2014,120.1183,120.2916,139.35005,119.687025,6,131,140,1,50,73,73,11,26
"ZNF490",0.987128365492171,0.997856548395672,0.997212586132308,0.997322927498727,0.999967614811265,0.999851456016527,0.999999998419497,0.436512912093446,0.807288793812087,0.997276921042618,1,0.133312150484947,0.460414771486902,0.995965237832147,0.999999710617317,0.999999999307311,0.236911725150038,0.640243373226891,0.997065269368095,1,0.999999798786502,0.999997878478601,0.681325883763599,0.855046964549623,0.989433236447349,0.999485251706746,0.999889370063358,0.999486049584647,0.999999959110589,0.341250159968411,0.635176093279134,0.992360192209479,0.999750423095243,0.999979015780581,0.999727086063158,0.999999931907145,173.64555,197.879928244275,192.249656428571,223.3873,176.764262,174.212123287671,176.41001369863,164.560336363636,168.726215384615,15.7100180155583,5.45320883265575,5.3484852316937,NA,6.88808226412684,6.05543648721844,7.11123194013805,17.3062861193386,9.96872478088376,152.286975,154.2595,149.80655,223.3873,143.714375,149.4737,137.6018,144.0159,138.4897,204.2678,230.14985,226.83495,223.3873,207.6386,195.7779,201.0843,208.1128,190.517775,6,131,140,1,50,73,73,11,26
"ZNF626",0.0765444803251732,0.0607264238158486,0.999999144589679,0.763683912226158,0.999745949937389,0.999837462686861,0.015353796446241,0.792439008857752,0.883061654957047,0.999998310609298,0.0312732465156084,0.982344143183147,0.996288345517949,0.999976475213978,0.999323054212132,0.0553522224366761,0.999924070810754,0.999999382173149,0.999908536554012,0.976175409029015,0.999916846364523,0.0340435360215439,0.931120534311956,0.956693160314775,0.999999990821946,0.999975516800335,0.996993366328415,0.981295959358092,0.03201415153048,0.971417464061798,0.988377608961637,0.999996689197792,0.999999998419148,0.99998535252052,0.998134570414449,0.999939933601195,561.01095,259.830446564886,251.824653571429,121.6985,194.222578,223.05595890411,242.701169863014,160.522436363636,201.430092307692,196.428897265483,21.5894402944618,20.8347320627043,NA,22.5161455422276,29.0180131958856,32.5980853145813,45.2166266657104,32.7959723526284,262.571625,100.31795,68.365675,121.6985,55.745775,49.0944,59.1491,27.0581,40.2463,655.665875,336.47985,343.89715,121.6985,306.458625,308.8608,306.9928,252.3872,342.03795,6,131,140,1,50,73,73,11,26
"ZNF793",0.923504932441038,0.900419322202305,0.999999804715248,0.997860645666702,0.999999307766409,0.999999706501348,0.520129637005177,0.573231654785867,0.675301992664577,0.999999999994429,0.335097656011788,0.0813240486564137,0.121474270351215,0.999999983739579,0.999738566367014,0.702734558452339,0.913702410576597,0.960025832474516,0.999999999988561,0.99883942555319,0.897428131932645,0.999908818689841,0.988803118452967,0.98017567290584,0.999812567112074,0.623384029603402,0.365721599323836,0.832059841073482,0.92945027955763,0.999999969627994,0.99999999999868,0.999999820381379,0.958678851488251,0.737236879503007,0.998782054506066,0.990020050898018,171.15275,120.604781679389,118.111556428571,96.4403,90.862628,81.3416712328767,102.520668493151,148.260690909091,117.121938461538,48.750438770475,8.88276000896684,8.88475400522635,NA,8.29301633274306,7.36736310373459,8.67253191116715,51.1170216135246,12.5259632627829,92.256925,62.54765,53.672925,96.4403,41.6144,27.894,48.0248,31.8045,71.406275,211.500575,140.86735,148.248925,96.4403,132.6181,109.9554,136.1917,178.7736,150.95235,6,131,140,1,50,73,73,11,26
"ZNF383",0.992134226800643,0.99610115896635,0.999997430411969,0.999718984173249,0.986084272008975,0.989159002671982,0.999893367876401,0.987028526229339,0.997687757724095,0.995973645411772,0.999997331536375,0.744051282302429,0.872610180892766,0.99805750108794,0.999944608277154,0.998618079254464,0.999813681418943,0.999998648687454,0.992072920712167,0.999945589428513,0.983415572358386,0.97756953577309,0.999861317287482,0.999334932085787,0.971856563626621,0.987210174838387,0.937969263557586,0.99797104171813,0.999304664306077,0.99997757338381,0.999999708384831,0.99315788806868,0.999997319851707,0.99873989409419,1,0.998768819973388,69.3703166666667,84.2297183206107,82.7565378571429,45.2679,77.847114,74.5420849315068,81.1444328767123,90.6062272727273,80.7931615384615,8.25577076371095,2.69558389972695,3.66116069699465,NA,5.33819174774472,4.40711321537557,5.41889045135956,15.9451658740144,5.52723006113182,57.7627,66.1873,57.431575,45.2679,54.509075,51.9751,55.6931,62.53185,58.370225,66.9167,94.08935,92.2111,45.2679,92.320575,90.3818,90.1408,99.2761,100.061325,6,131,140,1,50,73,73,11,26
