"gene","p-adj-gender-FEMALE","p-adj-MALE-FEMALE","p-adj-MALE-gender","mean-FEMALE","mean-gender","mean-MALE","SEM-FEMALE","SEM-gender","SEM-MALE","Q1-FEMALE","Q1-gender","Q1-MALE","Q3-FEMALE","Q3-gender","Q3-MALE","count-FEMALE","count-gender","count-MALE"
"ZNF141",0.995323406075941,0.312793709153085,0.135218793429798,76.5751047619048,76.09559325,87.2204020408163,3.87471300083766,1.92556923941253,6.48034063633196,56.8938,52.572325,61.1811,88.5602,89.1862,105.9639,63,400,49
"ZNF304",0.981442244407335,0.713265610666942,0.483022788669669,255.27593015873,257.7310045,240.60972244898,11.9839132251686,5.05065677419928,10.9474299896646,205.68775,194.113775,202.5052,296.03215,314.4058,289.2199,63,400,49
"ZNF132",0.00268287869484407,0.954821879111417,0.0247295432738572,94.7483380952381,74.0191925,92.2143714285714,6.41940520988922,2.2253159061378,7.22258244043424,61.6871,40.4181,46.1942,124.1543,100.4694,126.48,63,400,49
"ZNF20",0.633658365466853,0.867251952449383,0.983096209937187,112.818712698413,107.78699875,108.871702040816,5.55167588692541,2.01934890452624,5.6148429266618,89.38435,80.619825,84.2587,127.46015,128.772725,128.4956,63,400,49
"ZNF670",0.0837146267736362,0.417846734271868,0.943257607898366,70.4155936507937,84.17693,81.8347489795918,3.99682126696015,2.46029902834168,7.1885945681325,44.02455,53.08055,55.0131,95.6374,100.014,88.9251,63,400,49
"ZFP37",0.427872013624291,0.786475698931816,0.956885159027593,41.7652412698413,47.78155225,46.2544244897959,3.52889020851548,1.87821267475508,3.93405622796522,18.743,18.82005,26.4256,55.91635,60.77395,58.5943,63,400,49
"ZNF189",0.787201816400189,0.963323779490837,0.962667958156446,449.821695238095,470.41786225,461.252446938776,19.0743829757879,12.255832064289,26.4662937652746,354.43465,329.423975,355.6299,528.32725,546.64885,534.7885,63,400,49
"ZNF434",0.275471833282456,0.865510876055052,0.745705277558561,360.147450793651,340.8937055,351.121104081633,13.604774071082,4.54720391141237,11.9602869297151,285.88015,279.623125,282.3898,408.9922,380.267725,409.4463,63,400,49
"ZNF287",0.986109973810114,0.921215820878128,0.937223485332669,87.9884301587302,86.934289,84.3997489795918,4.70979351864794,2.51327183282646,7.09963739260299,62.05505,49.688025,46.6422,108.2346,114.73235,118.5682,63,400,49
"ZIM3",0.373074016510824,1,0.45309347191275,0,0.01749725,0,0,0.00543581587981896,0,0,0,0,0,0,0,63,400,49
