"gene","p-adj-Magnoid-Bronchioid","p-adj-Squamoid-Bronchioid","p-adj-Squamoid-Magnoid","mean-Bronchioid","mean-Magnoid","mean-Squamoid","SEM-Bronchioid","SEM-Magnoid","SEM-Squamoid","Q1-Bronchioid","Q1-Magnoid","Q1-Squamoid","Q3-Bronchioid","Q3-Magnoid","Q3-Squamoid","count-Bronchioid","count-Magnoid","count-Squamoid"
"ZNF304",0.00112444855258964,0.296602036195437,0.0827802298589844,285.188517948718,225.184541666667,261.561575,11.0321231730915,13.3716692635383,10.6354369446231,218.980075,154.753075,211.152175,336.862325,291.252875,312.439675,78,60,72
"ZNF132",1.80423717842659e-05,0.980247984322622,5.48387597145705e-05,85.6801192307692,51.9915866666667,84.3667152777778,4.58665747223356,4.77863364102702,5.63315881232315,56.64455,25.359475,51.786975,106.21145,66.9612,104.392025,78,60,72
"ZNF20",0.00150285069491263,0.092966602980417,0.291542452543246,122.286112820513,97.44579,108.226255555556,4.36745096071575,5.8360292251109,4.70837705070563,93.015475,70.6615,81.2863,147.78325,109.51555,125.425925,78,60,72
"ZNF670",0.590045979173908,0.205459946949357,0.802891917938988,77.1387243589744,86.6100833333333,92.8213638888889,3.95041035072284,7.88385736404278,8.17170741529855,48.273525,49.904375,61.422825,92.544975,112.064525,101.683375,78,60,72
"ZFP37",0.000782400955806839,0.463385779422189,1.12976425687972e-05,48.6819692307692,28.3222233333333,54.87565,3.56911963034518,3.18961159345165,4.40433383791932,23.625475,12.14755,23.9514,61.669825,42.415875,74.282,78,60,72
"ZNF189",0.0530792102579187,0.00132830336820555,0.556386688918884,574.823016666667,470.380021666667,423.336193055556,40.1640146154592,26.3870912399379,19.1468615937214,424.512575,332.0966,315.445425,636.36285,545.324,492.61345,78,60,72
"ZNF434",0.152858235853678,0.00260806078419651,0.386162670043991,379.269821794872,348.074588333333,325.561175,10.2138010236341,15.8956959385753,9.40655894454075,316.088475,283.0404,272.6168,423.1831,368.37965,364.973925,78,60,72
"ZNF287",0.032193827940065,0.325390130586243,0.486093736640103,99.8105705128205,77.4235333333333,87.7477013888889,5.35606440180264,6.87143418419606,6.39433632140859,67.991325,42.474775,51.26415,125.38515,104.919675,107.416275,78,60,72
"ZIM3",0.53599065694968,0.0873540973009663,0.616373591552313,0.0323448717948718,0.0152866666666667,0,0.0149660753733026,0.0112858326935006,0,0,0,0,0,0,0,78,60,72
"ZFP14",0.344460418974606,0.00992409196118571,0.350868402363852,172.931514102564,157.706566666667,142.344068055556,6.48510527843355,8.21496405772891,8.18634973359428,130.174025,108.181025,89.27685,211.39,194.53,175.9389,78,60,72
"ZNF473",0.00698724281482077,0.240393412598994,0.294865874637362,195.634944871795,237.597593333333,216.730856944444,6.20106917650392,14.3573275816885,8.35805939251323,155.2847,158.53835,165.33575,227.942575,292.4971,248.07255,78,60,72
"ZNF614",0.371864632306493,0.908741313211676,0.203421408186476,298.073228205128,364.802735,278.396219444444,24.0807236010571,52.2706390870088,28.3853342795548,178.135,177.73395,162.084775,351.44145,385.2846,281.783575,78,60,72
