"gene","p-adj-M1-M0","p-adj-M1a-M0","p-adj-M1a-M1","p-adj-M1b-M0","p-adj-M1b-M1","p-adj-M1b-M1a","p-adj-MX-M0","p-adj-MX-M1","p-adj-MX-M1a","p-adj-MX-M1b","mean-M0","mean-M1","mean-M1a","mean-M1b","mean-MX","SEM-M0","SEM-M1","SEM-M1a","SEM-M1b","SEM-MX","Q1-M0","Q1-M1","Q1-M1a","Q1-M1b","Q1-MX","Q3-M0","Q3-M1","Q3-M1a","Q3-M1b","Q3-MX","count-M0","count-M1","count-M1a","count-M1b","count-MX"
"ZNF343",0.979285373761253,0.184258063857611,0.156642917257821,0.90469284438363,0.82854702402702,0.63754024325821,0.000700891086438116,0.216469727065439,0.484977695335468,0.999999996913662,183.163504360465,173.113358823529,293.39325,211.22702,211.575307857143,3.82286263760781,14.0532022162918,93.14045,23.4611418768013,6.09214789920664,136.409075,139.0625,246.823025,203.0999,162.633725,218.122125,205.052,339.963475,231.5821,245.32425,344,17,2,5,140
"ZNF302",0.999832335790798,0.984913689322037,0.98167231136852,0.587805546041541,0.64395571584409,0.997021811905347,0.081716238090817,0.776996313604469,0.999841715666506,0.902263204000403,455.076710174419,445.955211764706,537.59985,601.3277,511.831236428571,11.757890247515,44.130915919973,282.01775,113.0335107366,19.7031503663372,320.11245,361.4331,396.590975,443.9089,369.229875,549.15335,543.7894,678.608725,604.2566,613.9894,344,17,2,5,140
"ZNF268",0.969400153526977,0.991577860320396,0.968975608976824,0.676431431356718,0.574630823128647,0.997372041697668,0.99870032070893,0.951371226521468,0.994159220145492,0.72238793813643,343.66542994186,367.0126,296.49955,255.34956,339.54669,7.21353762036578,32.8863214444884,15.53525,37.1290479420305,15.3237975937084,252.1885,253.1092,288.731925,179.7887,233.517,417.0921,468.5908,304.267175,305.6496,396.230425,344,17,2,5,140
"ZNF184",0.848335034908681,0.046382720406933,0.151149008517465,0.999891593547025,0.970702395002347,0.110703272079804,0.915020935610191,0.966468514660286,0.0658164385397164,0.997325425761342,229.261959011628,251.429517647059,401.59175,223.39798,236.74146,4.29773896955401,22.8440985699796,191.50885,35.7264458535326,8.67469040313754,169.1437,191.679,305.837325,199.8247,172.389225,277.1124,291.0156,497.346175,269.683,271.7841,344,17,2,5,140
"ZNF500",0.993368285785948,0.263502381288371,0.246024309357056,0.439387856322996,0.43190187469737,0.933246977827604,0.70905602185679,0.895216887516452,0.362640425004598,0.630998673900282,239.707557848837,230.9491,358.6976,303.41488,250.355505714286,4.49291450855041,14.5596630057609,47.7862,56.0264688570179,7.18565028471493,180.228025,201.2184,334.8045,269.9387,199.2528,290.19035,267.8878,382.5907,361.8386,292.0005,344,17,2,5,140
"ZNF419",0.903838700372182,0.0939402545483727,0.0619658520333498,0.950509064006087,0.820461826610102,0.421382217138077,0.000775693412696676,0.116251276501273,0.306472359590436,0.999864705951414,156.693681104651,141.916617647059,276.0106,178.76106,183.572978571429,3.48999204633246,17.5990042013834,167.8797,20.3119842178602,6.02391637547562,115.0214,99.0516,192.07075,170.1145,137.825575,191.392075,159.2422,359.95045,171.3409,217.250425,344,17,2,5,140
"ZNF175",0.999039515124814,0.66807844523523,0.761099109013473,0.956370993294811,0.987853059838039,0.942789987643212,0.000522858897256118,0.666376713791433,0.942164178593029,0.999619427112694,108.195256104651,111.475905882353,156.93505,124.40958,129.163762142857,2.60837820514223,16.8154995874221,120.70415,28.2916358727169,4.55641739440985,73.34185,59.0406,96.582975,120.829,92.209175,140.046375,127.4448,217.287125,145.3768,161.3052,344,17,2,5,140
"ZNF14",0.999738772858822,0.946149455030753,0.940041833993381,0.879539620585992,0.945596788804096,0.78609702509429,0.378401402831588,0.904622497796748,0.988476822313273,0.673022997654241,173.251647093023,169.407605882353,217.37935,137.65816,188.303011428571,4.37775099543557,14.0933734528059,103.06955,28.2327189701523,7.760753011133,116.98565,121.9079,165.844575,103.1143,133.665025,215.268875,210.073,268.914125,178.8587,224.851325,344,17,2,5,140
"ZNF85",0.971900522662211,0.999964951032314,0.997944291679612,0.950303155678947,0.997100739395947,0.988655186518777,0.685657751726517,0.80096423623876,0.999993492814899,0.851936264653928,99.4544165697674,87.3590176470588,105.66895,73.74982,109.762002142857,3.79198126770347,12.8100938025198,28.99435,14.1530731919749,8.34686075682817,57.281525,49.4738,91.171775,54.7765,63.684825,124.519275,114.9469,120.166125,104.7775,127.6486,344,17,2,5,140
"ZKSCAN1",0.9999222538288,0.00543042640628222,0.00852580305430017,0.0386734772077869,0.0770020107579907,0.626534894191371,0.155009029968138,0.846381894998099,0.0164465091456034,0.146351935247892,624.847237209302,610.3877,1670.43125,1169.39316,722.214832857143,24.108406121201,83.8904413994605,1199.10955,138.08748894189,30.4116177821005,361.377375,338.3085,1070.876475,957.2421,468.5716,771.445325,962.0653,2269.986025,1409.7336,904.458375,344,17,2,5,140
"ZNF862",0.570595440744012,0.00841700598875261,0.0026914534605017,0.0432386207423141,0.0127521334798187,0.681972601521719,0.00440073116019601,0.04091285027684,0.0403125629000496,0.273112966361779,413.890273546512,319.690688235294,1014.418,734.12666,503.582401428571,14.1210636471884,26.398697520179,358.142,148.975150729662,20.5595969281084,237.939,255.0462,835.347,578.7513,322.39895,525.474975,336.0878,1193.489,873.2279,645.03775,344,17,2,5,140
"ZNF684",0.924220893721507,0.773581934329747,0.64456589769407,0.947068461025468,0.999079218791245,0.639321590867283,0.959427176500854,0.826010531110491,0.827102000813682,0.903036544223236,59.6369729651163,52.6210705882353,87.96575,48.1721,62.0038921428571,1.7077925313135,5.03156946259991,6.79734999999999,6.28962239081171,3.53803647226381,39.143875,37.5,84.567075,36.9543,40.595775,71.2246,57.8793,91.364425,59.1586,67.8418,344,17,2,5,140
"ZNF430",0.999673055821419,0.999999999978601,0.999996633906035,0.787348940858658,0.892920778951907,0.973660178540579,0.211527408642304,0.846987998824267,0.998185395798698,0.503120907896905,116.145349709302,112.7662,115.99175,80.5624,130.950415,3.42252401436885,10.922347092638,49.42805,10.8764990761734,7.20560227318022,75.371925,74.6207,91.277725,63.1799,88.438125,147.4556,143.3692,140.705775,94.0616,162.20025,344,17,2,5,140
"ZFP30",0.762628586181686,0.68718249217266,0.477608998786837,0.999888430986994,0.954511702515008,0.842729401381679,0.999591514704145,0.82629891653935,0.672373506424506,0.999688296417849,192.277218895349,223.070135294118,94.98505,185.22054,194.454858571429,5.73003314429269,35.9823355089218,41.34085,45.9891989227753,8.08740728492284,129.160775,137.915,74.314625,126.6433,131.49185,226.40825,266.1397,115.655475,259.5624,242.073875,344,17,2,5,140
"ZNF549",0.998841042894963,0.358061412187717,0.469095050964661,0.778429573207209,0.901071283008068,0.88530268523325,0.00101443803296519,0.713907917371435,0.70885035908189,0.998643704905673,148.781099127907,154.166441176471,253.1058,190.53304,180.265243571429,4.10934377140581,24.2016414495515,151.7155,50.5734496436282,7.18913902843031,97.078,84.1139,177.24805,154.4629,122.9553,193.917825,200.2658,328.96355,212.2457,228.17185,344,17,2,5,140
"ZNF211",0.837516455621713,0.128325516052349,0.0749618347650214,0.999999685696158,0.983416413558815,0.276536862713475,5.48384012799552e-06,0.0247581622068316,0.475290529123559,0.815145563983736,213.730879360465,182.930270588235,413.53225,215.57528,274.449216428571,6.00762865759363,17.7647846836026,209.90915,40.6394877897028,11.7932151953853,132.24235,122.918,308.577675,129.2989,179.5113,272.5007,231.3655,518.486825,282.0324,328.64145,344,17,2,5,140
"ZNF205",0.689562610467099,0.995536728877802,0.932272805847913,0.960245898184952,0.727655137906912,0.999999093820105,0.918336254524472,0.505886361024271,0.99897821273365,0.988232288110247,302.636526744186,258.957447058824,339.06245,344.1073,313.985889285714,6.77851605770949,22.7352601587127,92.30495,39.0921890030221,13.5035699488927,216.2838,191.0688,292.909975,333.3918,217.90795,358.7822,333.0703,385.214925,361.2346,360.80265,344,17,2,5,140
"ZNF45",0.997448952890335,0.99879183101883,0.999889662122919,0.999999895469766,0.999743292326238,0.99920526294641,0.496091816968626,0.879304266562742,0.987645168230423,0.997516749339697,226.273401162791,219.427158823529,210.12795,227.254,239.708817142857,4.52572064731265,16.9350319974712,102.83965,41.0274875164444,7.04629415491446,173.13695,179.1798,158.708125,193.4794,190.44475,270.0151,287.5927,261.547775,279.0196,272.107875,344,17,2,5,140
"ZNF133",0.752090474426126,0.00272043096487862,0.00122304510011573,0.981334695620472,0.818550649490479,0.0431971306228379,0.0201685372143137,0.130847626935099,0.0126472349395165,0.999947959097897,277.767999709302,237.540141176471,626.89175,311.51474,319.088123571429,6.76080772170014,22.7081068293693,278.34515,73.7569582163717,13.1749155097197,194.4034,171.1084,487.719175,243.4886,215.55495,332.643375,307.1749,766.064325,477.213,403.47835,344,17,2,5,140
"ZNF436",0.528511163255158,0.991319195925911,0.878881170838983,0.703180017070369,0.322693542603527,0.998094176202409,0.620114989059125,0.876621979791879,0.966686526816667,0.511786735732616,419.830162790698,486.776464705882,364.1271,319.72104,444.393783571429,8.66920631703776,74.0858471516594,128.0591,66.360390775489,15.4790457317242,307.8307,294.7429,300.09755,200.5305,309.133975,495.05275,507.176,428.15665,363.1801,506.5317,344,17,2,5,140
"ZNF484",0.830055882514558,0.00274188423166277,0.0170688735925851,0.859680590766064,0.633510297812033,0.00297205380724874,0.480907862793833,0.995374427538963,0.00653365756713775,0.667261249365653,111.50795377907,132.608429411765,319.762,75.54824,124.653954285714,4.01851045265799,24.09028175022,175.9549,12.9888972752347,7.65372899417337,66.0052,94.6372,231.78455,47.0869,69.869,132.291675,120.152,407.73945,93.404,146.4026,344,17,2,5,140
"ZNF780B",0.98652784014324,0.707176734553056,0.642206087558796,0.872761003129231,0.807321340202649,0.980261417865254,0.000460463867889782,0.224970598019974,0.958246277005329,0.999998874472606,233.632390116279,218.705076470588,340.42485,284.74736,282.209955714286,5.85414532441816,22.6134980956253,171.62835,38.2675169357067,11.8955661788024,154.3028,168.1614,254.610675,205.9597,198.379225,291.6638,271.875,426.239025,328.7025,355.69805,344,17,2,5,140
"ZNF557",0.486561378234583,0.826710244367319,0.99013640574707,0.997962002442978,0.824060300827117,0.823751270455536,0.000360019648994125,0.0131258482576551,0.471554366818354,0.973771331114137,142.130178197674,119.869470588235,100.48955,149.89234,165.223170714286,2.94581591244905,9.22149341014993,42.07075,26.7792231757682,4.95409851166383,101.504025,90.1976,79.454175,101.6652,123.22805,171.2161,152.8327,121.524925,200.7192,194.4874,344,17,2,5,140
"ZNF337",0.490099242534196,0.152100662764986,0.0551080200929045,0.237618974001343,0.0692077954424624,0.923202792135152,1.7133856400342e-07,0.00153892444426462,0.584783400545703,0.93632585847306,413.11750872093,319.206841176471,792.63005,631.03442,547.809867142857,11.3673468876573,43.8380709442718,248.94515,123.522295134722,24.2492285158085,258.816825,233.9727,668.157475,415.038,365.0488,517.2348,376.3014,917.102625,829.0061,679.324025,344,17,2,5,140
"ZNF317",0.717217966422012,0.99384672634458,0.927366304400459,0.80032026864031,0.498904955035217,0.999165391214336,2.59205454131717e-05,0.0189893170688455,0.999039407970826,0.999998106223791,571.851205232558,525.291941176471,615.56665,646.46816,642.824453571429,8.12073077261238,30.5906549574364,199.89465,105.319491770472,12.0552809945832,466.43625,422.4737,515.619325,514.698,547.7709,670.1796,617.7952,715.513975,626.8004,723.74805,344,17,2,5,140
"ZNF426",0.999628201445345,0.978811569962619,0.989377955595602,0.977638925189088,0.99365727518294,0.99979932929352,0.360039748402402,0.89384358075758,0.921727768511101,0.864896641094882,97.8124511627907,95.5784117647059,79.69625,86.13614,105.956366428571,2.38449922157147,8.30320357681335,33.35445,17.253161400526,3.91638980979693,69.2587,72.3427,63.019025,70.5521,75.272175,120.402125,100.8969,96.373475,119.6366,138.61915,344,17,2,5,140
"ZNF331",0.328410727883575,0.948896975178937,0.678741249707781,0.737750001554996,0.999836974122872,0.704043615738017,0.852296929015904,0.6101162595878,0.907433568663689,0.860234571981686,522.50615,712.992841176471,310.92495,747.01242,563.61945,19.1356666338315,256.832696119099,171.61865,303.544963279293,32.4044906707959,303.44445,295.1016,225.115625,430.4533,323.2076,647.105525,692.1136,396.734275,626.9375,673.733675,344,17,2,5,140
"ZNF227",0.836294585626907,0.999489846287403,0.999917559517565,0.996792725000106,0.999651582039348,0.999999999987882,0.075085926930221,0.99999999999936,0.999898666960192,0.999451256242687,219.599490697674,240.969705882353,232.426,232.61292,240.998021428571,4.3872755233641,17.9963295032758,78.7959,30.5017212122923,7.32968173692811,166.996225,186.0987,193.02805,176.3763,182.526325,260.667825,281.9642,271.82395,246.7134,277.2013,344,17,2,5,140
"ZNF141",0.977183944217368,1.24292629188893e-07,1.74758329385405e-06,0.971134828119383,0.998884017530727,5.98750467433184e-05,0.607975443415277,0.999999999059491,4.28117932438354e-07,0.998167184451239,74.8362055232558,80.2780941176471,228.3881,85.35614,80.2010642857143,1.85503241266094,6.23188615617808,101.6217,13.7005538807232,3.67349410028706,52.82135,63.5204,177.57725,65.5815,53.9304,89.76495,103.5817,279.19895,79.6366,92.709525,344,17,2,5,140
"ZNF304",0.995262117904419,0.992023549062863,0.998421207475933,0.54588309678134,0.772742663050286,0.991769854824919,0.00884588452523905,0.890067638075913,0.999999911948875,0.935892407921655,245.107164825581,254.420364705882,275.5508,311.76378,277.27324,4.98395331294417,21.5636086599178,153.3769,56.9514991279194,8.95199255776611,188.242525,183.4577,198.86235,281.7704,213.18125,300.991275,314.1956,352.23925,351.358,321.6785,344,17,2,5,140
"ZNF132",0.999937110160845,0.960625601590005,0.974658689049561,0.597961359437997,0.741239476602821,0.999629233412945,0.135366161151199,0.934431213987422,0.996819229361113,0.890359484703965,74.7571654069767,76.2409764705882,97.0626,104.8705,85.5806721428571,2.49732185614687,9.52455450989445,53.8102,19.250863136909,3.93254182414643,41.667225,54.7005,70.1575,88.5188,48.2539,101.347725,88.0632,123.9677,118.0467,113.725975,344,17,2,5,140
"ZNF20",0.947401900624284,0.948853653088165,0.991549879430648,0.804216367428636,0.667256502180344,0.742383748209589,0.159329451088754,0.500015172924118,0.832865055110152,0.975815752308655,105.887014825581,98.4512823529412,84.83195,126.05084,115.075540714286,2.15979406310211,8.0629872601746,38.18965,34.572295139354,3.44847197335953,81.652025,76.7151,65.737125,51.709,84.452825,125.1753,109.1214,103.926775,196.6863,136.244325,344,17,2,5,140
"ZNF670",0.999385452682031,0.988072376364115,0.995064394489219,0.952940769216697,0.985185472494672,0.99999976041935,0.998984118934826,0.997624517839489,0.984598220658417,0.940352921220489,82.0302319767442,79.3032588235294,65.32885,66.6114,83.280085,2.74666195332869,7.73598245018454,48.55315,6.52386464198944,3.50779994986227,49.703825,58.8492,41.052275,63.8826,53.48195,97.056825,80.7003,89.605425,66.6587,99.723675,344,17,2,5,140
"ZFP37",0.944159198395063,0.746653368160264,0.63065607665245,0.993066732838111,0.945799767443928,0.932234490617319,0.924507067677498,0.833461630920379,0.812874813177825,0.999242649698114,45.9331979651163,39.2803470588235,76.4777,52.78724,48.8629192857143,1.88355661680817,10.0035467458978,34.9105,21.4734995746059,3.05618011667355,18.532125,16.8888,59.02245,24.1017,22.756725,59.943475,50.5051,93.93295,73.1333,59.91185,344,17,2,5,140
"ZNF189",0.793009792867822,0.995884975861937,0.999999960086641,0.599925447377861,0.949906106927099,0.990689613584525,0.999952289722199,0.787433808488849,0.995187453903072,0.592299616322327,467.651694476744,406.014,409.3865,324.35602,470.31541,10.3223616664931,39.9278267018847,8.3192,54.3580316295338,24.173967085573,336.2188,280.6347,405.2269,311.0636,340.19585,550.5145,508.2212,413.5461,405.4175,533.00705,344,17,2,5,140
"ZNF434",0.99995808041121,0.986811120257244,0.992157948978425,0.998401358970742,0.997837214576905,0.977137037444713,0.98681320945569,0.999988486391746,0.992722617645017,0.994554958554384,342.433860174419,345.125382352941,375.7128,330.20492,347.138071428571,5.09376867719686,23.3636150156845,17.0553,34.6778565914245,7.51744283481227,279.194425,299.3844,367.18515,279.5793,286.412225,385.903,360.9385,384.24045,391.1296,384.5111,344,17,2,5,140
"ZNF287",0.675925657164856,0.935774567566146,0.761668586432462,0.976523793944321,0.768815769228855,0.996949509481307,0.345493391308341,0.265524130736293,0.985530520005774,0.999782975055063,84.4840395348837,68.5104058823529,111.3983,97.38626,93.4899314285714,2.66111578174112,11.7498205221914,27.4213,29.4151680196901,3.87924818326263,48.3592,35.5469,97.68765,33.3041,63.9954,110.0781,87.3394,125.10895,140.4971,117.66735,344,17,2,5,140
"ZIM3",0.996812952552595,0.999084217930666,0.996528154937878,0.994618753358678,0.984884421342091,1,0.639397813026185,0.905260657244567,0.999997399873038,0.99998445056491,0.0174357558139535,0.0258352941176471,0,0,0.00401285714285714,0.00598411033474787,0.0258352941176471,0,0,0.00401285714285714,0,0,0,0,0,0,0,0,0,0,344,17,2,5,140
"ZFP14",0.995633914622673,0.981654251380656,0.994700902377131,0.969003044152286,0.944791933491296,0.92727532383253,0.384385163422038,0.825754511972665,0.930283115533263,0.999296192291425,163.56014505814,156.354394117647,133.55845,185.53862,177.259191428571,4.10422301064565,10.6409411952155,0.973250000000007,39.583615654086,6.8136589221423,109.533575,116.9652,133.071825,152.0596,124.564825,202.6419,181.6143,134.045075,238.726,210.116875,344,17,2,5,140
"ZNF473",0.955431365979687,0.996065583912547,0.977459073400426,0.141539880405964,0.430946060687629,0.524488832699035,0.182232613970213,0.999783789953375,0.96148705792897,0.370098689814637,220.829022383721,237.054505882353,196.6087,317.51882,241.249997142857,4.74339289171008,28.7887823145048,91.0056,70.9751943038369,8.24908881885675,160.8662,161.0698,151.1059,191.9237,174.8956,265.52365,280.9533,242.1115,448.4233,280.94525,344,17,2,5,140
"ZNF614",0.870374168535614,0.999991831056609,0.994877548525414,0.905270838550893,0.998118340723301,0.98335945810972,0.528815986292762,0.99748551463058,0.998331260694582,0.984679380717602,287.988470348837,232.313252941176,300.7345,196.32582,251.881016428571,14.2964937146606,23.9014585524333,12.7046,21.0313798230977,11.9852430849237,164.6251,148.3997,294.3822,168.6783,153.180175,307.055525,331.8677,307.0868,242.8504,301.279525,344,17,2,5,140
"POGK",0.949835642690153,0.00593880747840403,0.0230159379786732,0.579874375720715,0.459251523413631,0.00223714146600851,0.735457746536272,0.760745630283292,0.00338955938681251,0.757988176196416,1918.10261482558,2032.98053529412,3460.32785,1496.68086,1840.01592785714,36.3523133088711,163.629586558221,604.55065,263.503737834302,43.7763116323653,1432.643775,1469.1814,3158.052525,1266.7023,1476.481275,2294.858025,2534.204,3762.603175,1977.7798,2170.12025,344,17,2,5,140
"ZNF514",0.962226468850202,0.307834724810152,0.246047024086518,0.797949594891423,0.680839186605008,0.843019549291463,0.123134235861825,0.511777949163738,0.512546186163636,0.977826407231532,250.704418604651,227.068288235294,443.302,321.8211,284.415302857143,7.70649740353924,29.8851296430623,5.23050000000001,60.5540889912894,11.860853025328,147.7392,140.1475,440.68675,203.3304,196.8576,315.42355,271.8489,445.91725,417.9583,349.0314,344,17,2,5,140
"ZNF300",0.612251245403529,0.999441124207573,0.959504801041143,0.998520107348532,0.877264514331113,0.999999641553684,0.538413755141988,0.278274975600844,0.999999999578843,0.999997940000855,102.439517151163,63.9961,119.69315,116.4723,119.185656428571,5.51859877746355,10.3019996969713,54.43965,20.0863017499987,10.8718641001658,31.367075,36.6125,92.473325,108.1101,38.869775,139.56345,77.2319,146.912975,137.6844,162.48865,344,17,2,5,140
"RBAK",0.986012562670646,0.713747428900003,0.842392883741529,0.991121889717391,0.999878599172769,0.922611638981181,0.00358867589242406,0.898217100869989,0.942938716288658,0.997267408456954,469.120560755814,493.121929411765,637.6848,507.70882,536.431261428571,9.98929916878682,50.3534035705673,115.848,80.6409928945347,16.3171920077031,344.0004,341.1779,579.7608,451.0957,408.04915,560.096675,662.8506,695.6088,633.1598,650.806425,344,17,2,5,140
