"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","IQRhealthy","IQRtumor","SEhealthy","SEtumor"
"ZNF205",979.217780146409,619.078543227198,1115.63415776732,1.80208823253933,0.849669649070807,0.006112366845676,0.0156976693991225,734,944.5,330,401.5,43.1326604790384,45.9240993799967
"ZNF45",604.856611953636,647.940527216182,588.53694708146,0.908319394080897,-0.138728410550494,0.579057775007895,0.683974166298524,750,635,219,434.25,31.1400064226069,37.7252879061498
"ZNF133",642.301025928891,666.037309497881,633.310009425486,0.95086266248798,-0.0726911139021465,0.260203434870197,0.366012300502062,728,556.5,211,304,31.1131804867326,29.7718060083923
"ZNF436",796.153022617568,970.718928266974,730.029573507945,0.752050415676213,-0.411098714888667,0.000216401009233635,0.000833635706025027,1117,667,450,291.75,67.9677688319986,41.8674908187124
"ZNF484",190.758601243759,241.105229280944,171.687908805431,0.712087038997293,-0.489874501090159,0.00393023393859764,0.0107447524611661,265,165.5,105,102.75,17.0333281148068,9.99583811818506
"ZNF780B",989.297568238762,863.727522705366,1036.86197942565,1.20045031814894,0.263575697409805,0.0278124386966042,0.0571419195039322,928,1055,408,788.25,70.2044708927667,60.2676151701648
"ZNF557",427.056729754095,411.396125986468,432.988776635772,1.05248627608616,0.0738014213662363,0.806951210833218,0.862953819478627,486,441.5,224,218.75,39.0011401542741,20.5678241156806
"ZNF337",984.420495701029,648.992349896307,1111.47661153615,1.7126189726485,0.776204213058885,0.00156699739843176,0.00482920107334879,742,992,244,505.25,57.3441737813587,48.8675825008924
"ZNF317",2093.14348102856,1568.53283886155,2291.85963336454,1.46114864578034,0.547102954063055,6.29395686830514e-06,3.74324803220253e-05,1779,2333,561,1130,85.3215697620869,101.828012640761
"ZNF426",367.182551928089,362.640048317419,368.903197235162,1.01727097971336,0.0247040341755115,0.386107933597834,0.503425344191021,398,402.5,149,372.5,31.5829848705491,29.4936434727507
"ZNF331",2214.84511452335,2494.35002438168,2108.97204260732,0.845499637978881,-0.242123957976747,0.469108782725154,0.57410786044703,2320,1358.5,1576,1286.5,298.450352766866,307.881487545062
