"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor"
"ZNF17",114.752418936095,132.775650778559,112.32341194924,0.845963934581432,-0.241331935690612,0.104951631841779,0.198763146337224,87.5,123,70.75,120,84,165,4.74161429498952,3.8521519012337
"ZNF555",88.6593227798018,63.350887178841,92.0701631572898,1.45333660280674,0.539368879818498,0.00205437044477709,0.00809804163697015,40,93,29.5,58,66,134,2.57457585173297,3.62728304194227
"ZNF75D",374.457345095686,411.693933571564,369.438936945298,0.897363081695931,-0.156236263391271,0.117773121433405,0.219368616296288,267.5,396,217.5,368.25,258,543.5,15.1560147688457,13.5802611738402
"ZNF197",443.72982540752,546.927904067846,429.821728553029,0.785883706711935,-0.347612253348653,0.00146835924826207,0.00638171519436977,383.5,453,283,466.5,320.5,630.5,17.6049503705924,13.928366149349
"ZNF732",3.24206073043531,1.55990605920632,3.46876621173301,2.22370199234812,1.15296345938837,0.216537880158415,0.330659195377039,1,3,0,2,1,5,0.188852604224694,0.334630593255826
"ZNF546",95.1050494778578,105.908165814291,93.6491038799557,0.884248189551016,-0.177476734795994,0.155848088052187,0.268185288577114,69.5,96,49.25,104.75,68,141,5.3272468671607,3.44699054135116
"ZNF286A",126.88988842126,108.079340624918,129.425002679527,1.19749992858198,0.260025569920181,0.0986330537663672,0.187846096779767,70.5,124,51.25,103.5,76,209,5.03909693885558,6.78441642778468
"ZKSCAN4",139.841495402634,97.6023904820149,145.534097143958,1.49109152373451,0.576368813480144,0.000286352339197482,0.00173345433907047,61.5,156,43.75,93,102.5,237,5.15611386647751,5.93444825284072
"ZNF643",31.2909839047464,20.5539321125246,32.7380259252615,1.59278651627503,0.671552913096285,0.0041592859139791,0.0143877339269277,12,30,8.25,17,18,50.5,1.16175799229145,2.0019147210272
"ZNF642",106.173631225371,94.3042348872912,107.773280327538,1.14282545695158,0.192605078426433,0.264883558085054,0.395575005245961,62.5,106,48,83.75,70.5,164,3.61906629067865,4.2443972383061
"ZNF490",219.531253607304,185.091136133454,224.172778873321,1.21114810550241,0.276375296088328,0.0904521476391009,0.174223170736677,115.5,223,82,179.25,161,318.5,9.06946480431644,7.46515600693657
"ZNF626",111.215959286163,121.395199691394,109.84409400244,0.904847096768909,-0.144254072161492,1,1,76.5,82,59.5,113.75,32.5,165.5,5.55337808574793,13.1368672298478
"ZNF793",38.9370027484217,22.9957703430478,41.0854168192268,1.78665103218201,0.837257875395376,0.000318804864614704,0.00185321617214949,13,28,8,21.75,10,72,1.68263398957026,4.59363642086539
"ZNF383",89.4276837508077,90.5922064070106,89.2707399966024,0.985413023229933,-0.0211995564368949,0.772569160410491,0.88339863766811,62,96,45.5,80.25,63.5,131,3.71415823957077,3.10697590752597
"ZNF669",92.7508122931124,62.674347613454,96.8042441906404,1.54455926350735,0.627195227085898,0.000343729354723114,0.00194207085418559,40,100,27,56,52.5,151.5,3.73425838879498,5.03184266497709
"ZNF559",228.40635724677,269.617591041973,222.852282611298,0.826549490892103,-0.274826889251245,0.0366959421205661,0.0857925819232546,168.5,231,121,252.5,142.5,350,12.8109850821672,11.2032208117183
"ZNF177",43.6986109067799,33.7376078823294,45.0410641445765,1.33504024060246,0.416883228087104,0.0494442779870376,0.108841624919518,21,38,13.25,34.75,19.5,74,1.9234938449157,3.25257417802289
"ZNF548",254.482473916233,312.233650256043,246.699296511946,0.790111175748174,-0.339872427147392,0.00608386386797761,0.0198415010034404,202,274,141.25,279.75,169,392,15.2162362264115,11.5341217836761
"ZNF563",345.663827665168,212.91233193645,363.554864825373,1.70753315000038,0.77191358722805,2.64805680599303e-05,0.000224422814307909,136.5,339,81.5,180.25,220.5,502,15.3534477946705,13.6675800415921
"ZNF567",98.8729225355616,107.945939263208,97.6501440008383,0.904620819155916,-0.144614896013584,0.490529609153332,0.621416823400498,76.5,108,55,100.25,67.5,164,4.79379190373618,4.77610170818721
"ZNF573",16.5578325825676,18.5614468234604,16.2878037091319,0.87750722581309,-0.188517089582084,0.6150405858368,0.741988464763969,11,17,8,17,9,27,0.996581913444189,0.821726151638616
"ZNF527",121.192439491275,119.1023120917,121.474127820059,1.01991410314968,0.0284476539828337,0.876464604229711,0.952312502672666,82.5,129,64.5,104.75,89,186.5,4.3696177388501,4.21545783635356
"ZNF33A",1190.14962105273,1296.92204139043,1175.75980699105,0.906577087494417,-0.141498395362003,0.107874562569691,0.20316375950625,855,1252,645,1203.25,917,1737,50.1816605251483,37.6265319183943
"ZKSCAN3",133.069044386478,63.9351046189028,142.386286942755,2.22704393449382,1.15513001948679,2.01489308887732e-13,2.27682919043137e-11,38.5,131,28,57,85.5,229,3.63908936803858,9.06002679946124
"ZNF676",19.6765155105861,3.13445862374184,21.905903231185,6.98873581079028,2.80503151075802,5.63425022916034e-06,6.58624423339778e-05,1.5,2,0.25,3,0,22,0.363306807993869,3.72779885890186
"ZNF699",10.6537064768926,15.0635935229363,10.0593820771562,0.667794312282754,-0.582524289111983,0.140857532086865,0.244875401935628,9,9,7,14,3,19,0.990357593632374,0.813117944082152
"ZNF250",222.272450620899,171.318017256391,229.139624928784,1.33751037163743,0.419550078842291,0.00216729808964586,0.00834902332261302,109.5,224,91.25,145,152.5,331.5,5.60324177305843,8.3154216032149
"ZNF79",135.860486187937,136.755329393124,135.739887373222,0.992574753580664,-0.0107523351416966,0.958830600695645,1,86.5,141,65,115,98,191.5,5.05993546784695,4.19100169641454
"ZNF681",59.2381598012789,18.5314215323183,64.7242431259367,3.49267556258754,1.80433263586625,7.99690207331546e-10,3.01216644761549e-08,11.5,37,7,16.75,12,117,1.45075349880182,6.65956554683274
"ZNF766",409.930100587834,363.42306886154,416.197894621027,1.14521594879711,0.195619667215784,0.118815763181107,0.220061241841119,246.5,433,175,306.75,315.5,572.5,13.8405570844588,13.223629827995
"ZNF471",56.8750047387889,71.2333977412088,54.9399113422364,0.771266190921193,-0.374699224315379,0.120093147788524,0.220061241841119,45,30,37,69,9,101.5,4.34724965832844,6.17283976142381
"ZNF836",71.9897976744649,58.964356905739,73.7452479128376,1.2506750142417,0.322706956368469,0.0552484954435146,0.119294522008608,40.5,78,29.5,52.75,50,118,2.5436660029756,3.66524050341682
"ZNF493",112.706744448399,112.126113708646,112.78499656966,1.00587626592255,0.00845284836522795,1,1,68,112,50.75,105.25,67,195,6.90205589011014,6.55661535980569
"ZNF167",42.726363283173,55.8800947468759,40.9536231937252,0.732883925469986,-0.448343373212226,0.0283472023456987,0.0691345438503012,37.5,35,20,56,15,72,3.26036056601232,3.31160546634667
"ZNF565",81.6427208711101,77.9326781649962,82.142726626651,1.05402160635031,0.0759044410310581,0.644628035264682,0.769467971671575,54,85,43,65,63,115,2.45813933282714,2.54352730978034
"ZNF34",220.600297145377,156.068966992442,229.297241909923,1.46920458518206,0.555035303638711,0.00212444829496032,0.00827802266656953,107,212,85.5,127.5,152,299.5,4.61253305944682,6.78118847872917
