"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor"
"ZNF584",488.532172783478,405.186446728867,497.016468250115,1.22663645899957,0.294707737581677,0.0285209649347754,0.0528339186496659,466,478,346.5,671.5,322,660,33.734549854746,11.6112007511941
"ZNF274",1012.62817332127,1294.51373723045,983.933235677817,0.760079408491169,-0.395777944420848,5.99166780162528e-05,0.000220779933125105,1496,926,1185.5,2096,639,1353,111.055726734823,27.5473681193834
"ZIK1",161.845187336735,157.09211248794,162.329033279426,1.03333662466274,0.0473103099819489,0.448678247207378,0.547129229508277,188,87,135.5,275,35,272,14.7104688272683,11.3907133460757
"ZNF540",72.4007438081667,143.490149332696,65.1640977368074,0.454136385249123,-1.13880246526988,5.37748896254305e-06,2.7208488929882e-05,177,43,131,261.5,25,80,12.9032194391719,6.03915204485586
"ZNF570",132.725574150485,123.723767137979,133.641925762537,1.0801637296858,0.111250010631811,0.324094554978664,0.414596430708555,161,126,112,204.5,71,199,10.2542900878457,5.64318290512932
"ZNF57",291.78027582946,194.369962489587,301.696295750286,1.55217551048531,0.63429169785406,5.38225696000246e-05,0.00020273167882676,256,265,186,296.5,188,396,14.7505877348547,8.48089708533539
"ZNF556",37.2645149256496,0.828188448215733,40.973602052095,49.4737666775833,5.62859183792948,4.55084045928616e-24,7.71367457849004e-22,1,14,0,1,1,58,0.376348019263061,3.42576920498712
"ZNF554",241.268043708967,231.041871107167,242.30903133909,1.04876674594925,0.0686938467605096,0.788646214757317,0.846047679755476,285,221,234.5,381.5,147,335,21.5080482598067,8.19378876065803
"ZNF738",380.021085421297,270.261792742975,391.194187071186,1.44746389454769,0.533527362165016,0.00105249366764656,0.00307582201148434,344,331,254.5,452.5,166,557,21.5470783617754,20.3441132941526
"ZNF596",99.5077687949538,129.330505953597,96.4719212997626,0.745933224249319,-0.422881608316051,0.0192501683070839,0.0370784491823945,176,83,130,227.5,49,133,10.0152071990694,4.1602366238783
"ZNF621",1067.83700645158,1179.44806429887,1056.47540176054,0.895737111060136,-0.158852715528555,0.0301147744155001,0.0551832893343488,1483,1019,1173.5,1927,737,1367,98.2317367756353,26.1415784132437
"ZNF680",580.852984221397,396.071285805822,599.663097233761,1.51402820331629,0.598392080096148,3.93806526662364e-05,0.000158929062545883,501,524,397,653,368,786,29.2710232613786,20.8001135132589
"ZNF483",26.2890713225391,53.5690202595759,23.5120705325413,0.438911714618084,-1.18799731843354,7.12565966226569e-05,0.000256978577181709,63,17,44,86.5,10,32,5.89620330208088,1.38946091956751
"ZNF417",337.376718379085,336.618822127249,337.453869494542,1.00248069125195,0.00357444924545275,0.833234871611412,0.873867652136556,410,329,310,546.5,227,478,31.3147619753075,10.8977460155598
"ZNF791",501.969660967118,545.981021840862,497.48946255482,0.911184533259884,-0.134184836404379,0.171417981973762,0.23913866621031,697,469,507,890,345,691,48.1284399101142,13.89865948239
"ZNF519",128.535534019457,66.6177462330518,134.838542356995,2.02406340624739,1.01725448491654,2.56320420507657e-08,1.97483233072945e-07,85,122,58,111.5,72,194,6.31521599749078,5.59750981482189
"ZNF25",499.456423211625,848.973596189157,463.876830752834,0.546397241133373,-0.871977895690635,3.40153789518348e-18,1.92186891077867e-16,1097,446,892.5,1287,309,611,59.1741863408716,11.9665975507829
"ZNF77",256.16201590914,168.732056112313,265.062071696841,1.57090524352057,0.651596160373759,1.81059031262251e-05,7.86910405101323e-05,220,231,164.5,271,159,364,13.4446832570196,8.5397915982576
"ZNF169",158.979213201337,134.079933048808,161.513870462373,1.20460882392877,0.26856473201599,0.306185913874177,0.394665493548844,177,147,114,232,101,212,12.8979408482051,4.42492674350117
"ZNF613",196.178283917654,234.343610622351,192.29319078005,0.820560843410125,-0.285317783413269,0.0726278960222103,0.115050732483782,308,185,228.5,384,121,267,17.4639656469222,6.30658173335361
"ZNF404",74.6946622916299,75.0464994104089,74.6588465370237,0.994834497592416,-0.00747155854025329,0.805821657654435,0.859036295424067,93,61,60.5,128,34,104,6.80551487249411,3.41356245523971
"ZNF135",188.435706146576,205.262286047366,186.722820767454,0.909679144489147,-0.136570316916193,0.848847474359501,0.882697220269543,228,95,190,370.5,41,264,21.1339118459308,16.8673793054973
"ZNF620",79.7816307141531,124.559852404476,75.2233686259167,0.603913437386297,-0.727586320839066,0.000213668965782922,0.000689845518099149,167,64,106.5,221,39,103,11.6410798676252,3.39180321047809
