"gene","HER2-enriched-Basal-like","Luminal A-Basal-like","Luminal A-HER2-enriched","Luminal B-Basal-like","Luminal B-HER2-enriched","Luminal B-Luminal A","Normal-like-Basal-like","Normal-like-HER2-enriched","Normal-like-Luminal A","Normal-like-Luminal B","mean-Basal-like","mean-HER2-enriched","mean-Luminal A","mean-Luminal B","mean-Normal-like","SEM-Basal-like","SEM-HER2-enriched","SEM-Luminal A","SEM-Luminal B","SEM-Normal-like","Q1-Basal-like","Q1-HER2-enriched","Q1-Luminal A","Q1-Luminal B","Q1-Normal-like","Q3-Basal-like","Q3-HER2-enriched","Q3-Luminal A","Q3-Luminal B","Q3-Normal-like"
"ZNF227",0.470553423294323,0.990974865819215,0.170219559430846,0.725243316113233,0.963368488934238,0.257206518133211,0.942562772110411,0.999999982929271,0.886207129108093,0.998078969501409,338.615489795918,307.058765517241,344.999430472103,319.282669767442,306.335,16.2571832638446,15.0405688359024,6.84914872143132,8.46881686206018,20.070948616088,231.092975,244.818075,283.563,253.4628,278.166575,419.647675,347.891075,387.197,370.1773,338.478975
"ZNF141",0.851521357341566,2.49411713504344e-10,5.53474248810026e-06,3.30072857934738e-10,1.45374415208011e-05,0.999258956822185,0.239268780776134,0.520378389334005,0.993092481196927,0.987977695790177,63.8639724489796,69.9574310344828,97.0850841201717,98.0479930232558,91.4922625,3.15928927576953,3.6289790793936,2.28507408095435,4.02771417122374,9.11162679921604,43.316025,50.18975,72.4638,67.6094,74.053175,75.51365,82.9748,113.4836,117.4354,108.259725
"ZNF304",0.505781027812538,0.000339509411579009,0.478370175769387,0.198690736403088,0.99984294090211,0.29427814739559,0.999335580504526,0.886934552228359,0.474746702622217,0.84203207879345,410.243958163265,478.004439655172,539.639909871245,484.62608372093,388.0832125,20.9377413070801,34.532738398297,19.9155245755028,17.2022224725826,48.0505930661536,267.50655,331.894625,396.8476,367.0516,317.643625,479.081075,553.857275,609.1468,557.6267,421.636725
"ZNF132",0.134000547004304,0.096430154277855,3.6334929962023e-05,0.922438311083022,0.403185160236088,0.001967585038821,0.99455331525856,0.615843214046544,0.993426020399421,0.954552435933331,77.2811948979592,58.6759637931034,91.6188321888412,71.9670620155039,84.3547125,6.28079138035484,4.34980449067685,3.00095824955789,3.94922989699321,17.9676301854637,31.856275,37.65855,60.9137,40.0157,41.4199,96.27745,65.841975,111.3884,85.4213,118.567175
"ZNF20",0.00331506133800274,2.47649567519659e-10,0.00101749499077786,3.39703997154217e-07,0.861019581827488,0.00153983810462055,0.862738446962271,0.972167955165412,0.166334911222682,0.82271394093931,141.706752040816,180.500917241379,217.851745922747,190.681747286822,165.29265,7.32422674130017,7.3942356815202,4.26578086472569,5.56190169297851,23.6477115121708,98.029125,144.878825,176.3253,144.1297,128.10995,172.5072,210.391675,249.9224,222.3287,171.99605
"ZNF670",0.000167177001651142,2.47647902185122e-10,0.134622659881454,2.47660336682998e-10,0.0831574065663566,0.983652161949281,0.00223282683695925,0.435306909442371,0.921877781854817,0.96548585498322,170.612995918367,127.150551724138,106.403994420601,102.851375193798,88.3982625,9.56725669686856,7.70103788277668,3.10665715036932,4.28192731712174,16.0819422557784,104.107525,81.986025,74.3802,68.1108,43.0356,201.374825,170.039825,131.4791,136.2044,126.3052
"ZFP37",0.0829140125697894,0.239719430848866,0.761970197559177,6.19498285010511e-05,0.750382341039978,0.00877013550933814,0.744867838980775,0.999996216923578,0.982012677037706,0.991126498035704,74.5506448979592,58.2941224137931,64.9849180257511,50.9626829457364,57.36425,4.31714892819072,5.36911791637901,2.4424818661793,3.24346296003894,11.2798316196906,43.729425,31.165575,36.4372,20.3179,33.217725,94.31485,72.9725,86.0656,73.2505,63.42425
"ZNF189",0.705432034286144,0.00107706742978964,0.405384791758235,0.948148926851873,0.286403317180016,3.42902836480974e-06,0.999508920796953,0.996789085975109,0.816742048523982,0.988347982114718,500.675619387755,533.994231034483,574.390860944206,485.157382945736,513.22665,20.5398542287229,21.6549115786122,9.34841392435731,12.5985585335287,16.0477493064114,372.028475,419.0175,486.0656,385.1074,474.90715,568.80365,625.747575,662.3012,568.082,543.892775
"ZNF434",0.000195009426878112,2.47613929360568e-10,8.88775034729727e-05,2.47647014006702e-10,0.0243189520171205,0.443536202411649,0.959002273289714,0.740264084954824,0.0169383388518388,0.0796302387783874,313.887002040816,411.382087931035,501.329327467811,476.024012403101,348.4974375,10.1412376810316,16.7683350896001,9.83062992575219,12.4141823989406,35.2762658988759,247.5227,326.618375,389.9638,375.4341,286.791475,366.057675,471.703625,599.4735,539.595,355.7239
"ZNF287",0.962020113133325,3.64102636929431e-10,1.0722387858153e-05,5.96530563501396e-06,0.00347627836800679,0.59913376114441,0.999915882614784,0.999851241728692,0.188177406100604,0.42362306355397,114.013740816327,122.419034482759,176.948134763949,165.009503100775,117.8628375,6.39702948463995,6.66275192932163,4.1694478337886,9.41106636767497,17.5242561078203,75.521425,91.267925,132.0325,108.6702,91.0118,133.26385,161.2295,212.6566,199.0083,133.88055
