"gene","M0-cM0 (i+)","M1-cM0 (i+)","M1-M0","MX-cM0 (i+)","MX-M0","MX-M1"
"ZIK1",0.993087101455994,0.999990793217593,0.844944613962823,0.99967046170961,0.0331501604602205,0.99817621966563
"ZNF540",0.999987027547684,0.997868564297983,0.927259537162646,0.999830308412405,0.986948476408682,0.895538739240574
"ZNF570",0.983193966864077,0.974233902644465,0.995590496364596,0.901978368775502,0.0761402762465205,0.924968441287917
"ZNF57",0.987682494890791,0.999942519897161,0.881749802423015,0.990038104978124,0.998671745900159,0.915886732912138
"ZNF556",0.999923968678225,0.99221212290045,0.914933508850335,0.999979491168304,0.998694699354103,0.906487540071852
"ZNF554",0.933724295514948,0.990104142914144,0.883741356009811,0.863748310949043,0.495037668899374,0.632226385201974
"ZNF738",0.861198106653701,0.986878436262576,0.651087136483716,0.954803026526233,0.207641546592672,0.974365949886095
"ZNF596",0.997761102697941,0.987512456119805,0.968885433975333,0.998194987910641,0.999765709325611,0.96707538824255
"ZNF621",0.928199607366289,0.669667996211878,0.374310380581612,0.846750143886625,0.407460803562337,0.755368866282944
"ZNF680",0.883407409684096,0.970569821262211,0.893626945753994,0.9627501831498,0.260576789953495,0.999984340015889
"ZNF483",0.784721556597235,0.721603598461137,0.963726056662406,0.699095103220255,0.66299979480782,0.99993607124538
"ZNF417",0.974517951331107,0.998742348472077,0.893041824018473,0.999955292224747,0.0300962974695138,0.991574364339208
"ZNF791",0.988519870524837,0.927989058932876,0.805908460979435,0.85916813259888,0.00269775803402383,0.982529767339765
"ZNF519",0.999673830302064,0.999946840331078,0.999516405816889,0.986722555668201,0.274487114711718,0.882827800513944
"ZNF25",0.821392571730926,0.802889858942435,0.994345603646111,0.910902661562911,0.448731321743517,0.872445604817213
"ZNF77",0.900880558060718,0.827764901983103,0.933179454085528,0.916945786706269,0.991169789078501,0.907923286335335
"ZNF169",0.999011530155972,0.995546614920078,0.7168787131822,0.996150523762913,0.928034045289275,0.614060429832903
"ZNF613",0.95030435634635,0.991084530174303,0.930713921388891,0.97465361849256,0.846218271690439,0.991537274056456
"ZNF404",0.996093120057296,0.999896483725623,0.975926775477802,0.968019122261816,0.291533840967016,0.741735428670482
"ZNF135",0.999698191032309,0.997970781452145,0.866459640887762,0.999791386834988,0.550137327154379,0.992754319453288
"ZNF620",0.905776004497469,0.690552782583544,0.541120395212815,0.848065290402883,0.719782377016926,0.802722778064526
"ZNF619",0.992446644666498,0.959910886065561,0.905791811707103,0.90188411540739,0.0122051614894789,0.974026596623233
"ZNF354C",0.918703813534134,0.938255007228983,0.999890666356526,0.797156338707665,0.163986606718198,0.859538047760042
"ZNF114",0.97869585077275,0.981639481743105,0.999999547430935,0.996501312644472,0.536285620317892,0.963442567490664
"ZNF454",0.99999999873123,0.999746569439964,0.994292109959855,0.999562359875869,0.86125245176004,0.999986508982688
"ZNF543",0.999141925078693,0.998357686095303,0.832705477675092,0.996792151939863,0.0540164386483785,0.999777749727012
"ZNF354B",0.931811348491909,0.712422532913584,0.475749304261199,0.938329338121396,0.999205558454769,0.489293255201935
"ZNF223",0.997504933582633,0.992854778480435,0.993158681735334,0.949468072745914,0.0470021496182853,0.914610929128004
"ZNF713",0.988882156720827,0.999924110047747,0.900205509561128,0.998800020384409,0.60455653423346,0.995885686045406
"ZNF552",0.998634333522469,0.931411018743467,0.553653209874022,0.99998051538029,0.817388722215985,0.402196804372348
"ZNF154",0.979448106553158,0.877868810418652,0.694383501422682,0.963353244983447,0.90640843395623,0.85236739037657
"ZNF571",0.965332740201914,0.989536224809744,0.981102679094094,0.997635436315534,0.158510611859511,0.983122123739909
"ZNF443",0.816070713227896,0.964878877591678,0.73846059284008,0.926385573995512,0.230386066955968,0.989964344977683
"ZNF792",0.999999916532222,0.9996374849635,0.992847963453546,0.998624723297391,0.675469468371782,0.999167391411945
