"gene","p-adj-TUMOR FREE-[Unknown]","p-adj-WITH TUMOR-[Unknown]","p-adj-WITH TUMOR-TUMOR FREE","mean-[Unknown]","mean-TUMOR FREE","mean-WITH TUMOR","SEM-[Unknown]","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-[Unknown]","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-[Unknown]","Q3-TUMOR FREE","Q3-WITH TUMOR","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF780B",0.191110061847474,0.247111243697499,0.998462989554267,224.634157142857,302.406780774194,301.37839,26.55718514561,6.06267479388105,16.049233563138,175.126025,198.33835,193.74805,250.876075,378.0809,382.2431,418.026322321429,304.545991765782,397.73,281.4311,296.187325,539.92365,199.8517,378.1238,14.7603462912471,5.26174972920573,0.728533050441764,0.707593342217082,-0.45693367218322,-0.499007621188537,"BRCA"
"ZNF557",0.0572549448731325,0.144854831507024,0.805655672590546,159.092178571429,214.466108774194,207.87958,14.0163277908074,3.30830412831987,7.35584217927083,130.908375,157.1305,165.3566,177.2784,260.00665,244.6741,213.339648214286,214.536887099726,199.2633,198.2759,163.464575,261.88365,157.6419,254.0434,6.49396205215824,3.51738516850123,1.00561189115788,0.995044747326778,0.00807361454993682,-0.00716668953775891,"BRCA"
"ZNF337",0.999844096633998,0.998772749978439,0.996667412221488,520.513735714286,519.51076683871,517.4897825,42.4403482832308,8.06232674537126,21.9403199237277,432.175275,369.19105,371.6005,570.6784,624.08325,603.078325,555.303220535714,515.752331655993,543.77465,471.4807,444.9003,654.1073,367.9803,622.6537,12.9566687751832,6.58136706445735,0.928776049882142,0.867051636187895,-0.106597324623762,-0.205810180962829,"BRCA"
"ZNF317",0.397470430738996,0.794211371928879,0.350969259067134,689.338857142857,783.478783870968,739.793135,48.2924782915697,9.99404691087245,19.6577973783096,588.02805,645.91225,620.09455,789.790425,875.6698,844.42465,797.150465178571,773.538112534309,784.9685,750.9016,675.928225,925.29935,639.6796,866.8627,14.9664657933308,7.75332306144923,0.970379051790464,0.956600933668039,-0.043379688497592,-0.0640108954535972,"BRCA"
"ZNF426",0.00680477267036439,0.0293932053412321,0.765591901114741,73.2486357142857,143.321129032258,136.3373625,12.0724664185534,3.10256286777171,9.00873367649212,48.482375,78.37565,72.965075,83.138625,192.20835,189.31255,235.1000625,142.56773494968,233.572,130.1118,194.421975,284.55475,77.9856,192.8177,6.82505661073821,2.60597040598214,0.606413003185313,0.557052215162776,-0.72162740564314,-0.844115530292002,"BRCA"
"ZNF331",0.995534978094239,0.772105187977935,0.299150970547521,465.429421428571,471.410505032258,514.3094725,58.6097754057442,8.6868308157963,32.3026204678946,343.033,346.1161,327.075025,451.343075,549.41185,619.654875,738.314764285714,475.542567063129,702.1692,430.791,555.882225,839.73095,338.4497,556.1336,26.1372089453203,7.41080676400485,0.64409191047831,0.613514520431828,-0.634661522494616,-0.70483060542936,"BRCA"
"ZNF227",0.202160682669722,0.209867600620495,0.96830595151792,259.838157142857,322.376790709677,326.22754875,16.8576440360322,4.8844703040736,15.784715670637,228.451975,247.38,239.5453,291.944575,376.12265,367.288725,383.644999107143,321.699361116194,380.1772,310.6362,317.9122,444.2289,247.245,373.2888,8.81051804126601,4.00481389774849,0.838533962034915,0.817082665662223,-0.254058878340305,-0.291446049187396,"BRCA"
"ZNF141",0.087152513823303,0.0758989134562107,0.86712763224931,63.7622785714286,86.8960516129032,89.31775875,7.11170832417581,1.46905867994684,4.34708659597884,51.04465,56.8336,64.632725,74.928175,111.0838,114.848125,108.60551875,86.9309420860018,102.9427,83.6951,72.13665,142.4306,57.6253,110.6323,4.4209153418105,1.22642950546639,0.800428404435956,0.813026081499708,-0.321155730477561,-0.298626460856749,"BRCA"
"ZNF304",0.0287820254398323,0.0241441380498252,0.823672765593391,266.311571428571,461.863049032258,481.61819375,26.0910226331188,10.2606688961726,31.6001607183211,212.04875,328.8498,336.37015,311.2536,551.6451,558.307025,499.797652678571,453.470331564501,498.3868,421.4686,414.49495,585.148925,322.6827,544.2302,11.9929043686784,8.15683834212108,0.907307845753601,0.845665655671458,-0.140335960684558,-0.241840706063465,"BRCA"
"ZNF132",0.999475953429262,0.921653094875648,0.654097076524271,81.5384571428571,81.0938989677419,75.57889,15.1897174356182,1.92618654898937,5.735396661196,34.09045,45.7466,38.427125,118.145125,102.3154,98.137775,159.523255357143,80.3907874656908,153.3239,67.7424,128.24045,187.426325,44.417,100.9477,4.13877542935678,1.61604312273719,0.503944000426212,0.441825442739195,-0.988664668297179,-1.17845159548622,"BRCA"
