"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","count-[Unknown]","count-NO","count-YES"
"ZNF862",0.728366332336205,0.96350160358087,0.887751398187208,824.935225,682.459044117647,760.83006,77.0432393712926,35.9078102964592,251.31354133526,751.497,392.83335,390.4103,872.136475,935.7812,966.6715,4,102,5
"ZNF684",0.95954337464006,0.477890221574972,0.345314864392117,56.788225,53.9312019607843,40.81642,14.3973945889164,2.02888376957396,4.36036564698421,46.462625,41.49345,31.7407,66.7656,67.679975,48.0795,4,102,5
"ZNF430",0.97453674845524,0.990362082169734,0.998802677244288,82.6452,88.4087392156863,87.29268,32.194438913887,5.16188600283249,20.161076578432,55.2623,48.070825,69.2747,114.7358,126.19945,123.1262,4,102,5
"ZFP30",0.0455500671205016,0.209568475086848,0.979037872225846,318.908975,205.088994117647,213.39386,67.817856697608,8.81757170435952,58.1149151438303,216.061475,140.644,102.3637,393.9721,244.13125,296.4905,4,102,5
"ZNF549",0.366896578823686,0.327461477041637,0.82646250539139,232.643275,169.069280392157,144.29258,22.733975246474,9.25467534702967,34.0825361825877,214.45105,97.5654,96.0156,260.578575,237.9005,209.5765,4,102,5
"ZNF211",0.0603236449506727,0.0395022191885457,0.539179971434957,329.610225,221.260948039216,176.23232,24.070507129832,9.21220332315982,46.2772024120452,304.5765,156.756025,95.9283,346.250125,274.6693,265.1812,4,102,5
"ZNF205",0.167462278500971,0.218141482663249,0.90267415767896,883.143025,621.738674509804,566.12018,336.926689721771,26.3023763639824,60.4995167017671,402.433825,450.071675,596.0717,1150.0516,748.909975,612.976,4,102,5
"ZNF45",0.851434385346942,0.410377148720675,0.414787138398066,250.667975,230.160374509804,186.85008,15.6583079512323,7.23311697315223,52.9675496195775,239.670825,180.659075,105.9495,267.43025,278.345975,261.6795,4,102,5
"ZNF133",0.994998203215872,0.995577977395534,0.969408069337125,458.681225,475.787928431373,437.51554,134.216143037219,35.4224928481204,107.678127780611,252.229475,337.24605,304.5206,617.31655,523.03515,485.5188,4,102,5
"ZNF436",0.825263216808692,0.949379185102277,0.976456629286619,547.921375,753.548865686275,688.53732,110.392815755943,69.5673934926949,127.822423811358,472.96635,432.5922,470.7294,676.117575,841.121175,804.3886,4,102,5
"ZNF484",0.732275352028625,0.921706181098128,0.959239945644048,44.257825,56.474168627451,52.4694,11.4230200023443,3.09635778588207,21.1944381398753,33.480125,32.1744,14.2624,60.86655,76.9316,56.7603,4,102,5
"ZNF780B",0.701852051635429,0.480408841196095,0.701894630494451,296.256725,248.481223529412,205.55212,69.2073760996179,11.458914349423,55.0208603161692,222.449625,170.20795,116.7412,381.6106,313.4281,310.5807,4,102,5
"ZNF557",0.987053124317804,0.8476751895959,0.594964398941307,165.94005,169.958582352941,147.08748,11.2682409968238,5.1275907546996,24.0567068067389,157.04955,134.197775,120.6194,171.9709,195.24585,183.0883,4,102,5
