"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF202",0.104818200522109,242.52756639839,193.62374,3.01392804650387,20.0729231492974,178.94715,135.5938,286.691,233.0442,309.096313392857,243.256916193962,302.83285,226.4717,222.755675,371.6686,178.4286,288.46,9.83653049850818,2.93858382545846,0.786993909839311,0.747843901346898,-0.345575623422225,-0.419190929392832,"BRCA"
"ZNF3",0.614898839995603,884.196687323944,841.74864,8.4255075936132,75.1598953232643,706.644,716.436025,1018.777075,994.428175,729.784359821429,885.021584812443,715.45845,857.0605,600.76385,854.657725,709.8307,1022.9597,16.4354008800295,7.92067925864411,1.21271656880808,1.19791792241744,0.278242409028021,0.260529062569203,"BRCA"
"ZNF606",0.716308886469527,426.734284607646,395.9538,8.46671054494805,64.6107376081922,285.8082,302.2043,502.518725,505.346625,328.376132142857,420.532700548948,317.6763,381.9334,236.6265,418.07685,280.5798,500.6723,10.900187358322,7.87156061834455,1.28064332143969,1.20227225008602,0.356868719206153,0.265763625977991,"BRCA"
"ZNF91",0.561650944019771,822.376290945674,916.32534,16.1525117705357,157.698599640236,453.913525,569.931,1093.755175,1202.378275,640.715994642857,796.673755626715,626.0312,703.6656,438.72765,846.998275,433.3004,1053.9715,25.0822405191427,15.2742742502514,1.24341168675021,1.12401043270687,0.314304043853961,0.168655426256892,"BRCA"
"ZNF226",0.634914894303678,323.665154527163,344.05352,4.29136535702435,33.6915050617603,240.36795,300.654425,392.42885,397.09245,367.102795535714,323.913564409881,360.43375,310.8356,306.3524,425.037025,240.152,392.9766,8.60177059888488,4.02199396507185,0.882351124396078,0.862393158243367,-0.180575216179617,-0.213582362306591,"BRCA"
"ZNF229",0.595977536222311,161.63247665996,134.03981,5.18786134220578,56.3580323221129,44.783,20.5258,233.808175,205.7634,209.135274107143,159.02777904849,199.0563,111.2372,140.363275,283.9191,41.2157,229.2818,8.49592321060585,4.89801857968157,0.760406295530128,0.558822805407314,-0.395157618539381,-0.839537196944776,"BRCA"
"ZNF180",0.830825766253195,230.38456861167,223.79463,3.08444114291982,21.9023331075839,174.089475,163.661325,270.4384,270.9975,272.987528571429,225.30375315645,268.88225,212.4524,206.37355,332.306,169.2003,267.8225,7.6050459549142,2.87992047187039,0.825326176384275,0.790131739822915,-0.27696369667748,-0.339834878883947,"BRCA"
"ZNF641",0.848933359002813,166.554724949698,171.3895,2.52408284251949,33.2274025763408,109.678675,85.49985,213.565475,216.414725,220.991166071429,162.822508874657,229.6082,159.5598,193.77125,256.1642,105.1345,211.7971,5.97796885756699,2.4208112917824,0.736782884896085,0.694922045467017,-0.44068854616486,-0.525076945721586,"BRCA"
"ZNF610",0.297318809954167,122.392828772636,97.02657,2.43552599824702,13.1759615733523,70.7845,70.781775,160.989375,113.6399,99.1681821428571,120.189043275389,100.69825,106.8113,73.2777,125.4518,66.6709,156.4434,3.27062117307342,2.27944779437221,1.21197183086658,1.06070661605341,0.277356167506103,0.0850256721854922,"BRCA"
"ZNF528",0.384173227663329,313.958047082495,257.42037,6.49475761899651,47.1614400618534,169.262575,150.795275,425.2489,300.17325,335.079633928571,313.744032662397,329.3671,286.4455,257.6917,405.300275,171.258,424.3423,10.1822104008588,6.19198659671667,0.936326773978981,0.869684616344498,-0.0949159828938787,-0.20143578004917,"BRCA"
