"gene","TUMOR FREE-[Discrepancy]","WITH TUMOR-[Discrepancy]","WITH TUMOR-TUMOR FREE"
"ZNF20",0.770389745751481,0.644056964716918,0.4532269272176
"ZNF670",0.997019320188374,0.994079542487082,0.57912679695061
"ZFP37",0.776671851368497,0.875817906961022,0.565647032019257
"ZNF189",0.510167297921582,0.706825363376255,0.204021542788193
"ZNF434",0.395836218512453,0.696446459403974,0.0202588798007114
"ZNF287",0.255112720829165,0.182380164966328,0.494645521344773
"ZIM3",0.940150862659002,0.996484544438641,0.331834918872004
"ZFP14",0.614553482634023,0.547816785346379,0.793923866523064
"ZNF473",0.999495680666786,0.977135100349685,0.585444707154205
"ZNF614",0.86875276298147,0.962015810200768,0.379920160632264
"POGK",0.671509627570682,0.592615883748494,0.733220668236585
"ZNF514",0.536868088951663,0.744990531179735,0.164145290596585
"ZNF300",0.99828912428192,0.937113669103821,0.0644112755514593
"RBAK",0.786416439688181,0.964885265282632,0.0634442444771453
"ZNF92",0.946666866705532,0.680265011315659,0.0090881380185539
"ZNF157",0.276434858944649,0.206733829470585,0.564479728603555
"ZNF182",0.986845746629287,0.951006968960259,0.0283194588853403
"ZNF673",0.86515814894485,0.767235514397655,0.54592629932326
"ZNF41",0.939770647883274,0.988256966315596,0.545515640902118
"ZNF7",0.991295263909141,0.680387723929036,2.99291754268793e-07
"ZNF214",0.487290012746852,0.44848968449987,0.904488370674348
"ZNF215",0.943005156604446,0.999390137271193,0.23162934156151
"ZNF547",0.992518095585019,0.996548868840666,0.977001289814107
"ZNF773",0.628384048808991,0.723289221421522,0.698378039888806
"ZNF776",0.879325512271165,0.955069949742828,0.532863752483916
"ZNF256",0.83281298718141,0.632640776265037,0.131809533153301
"ZNF599",0.998685104830972,0.993851763503929,0.659517996258785
"ZNF18",0.78703313667833,0.985978096661573,0.0155216322466661
"ZKSCAN2",0.0624246894898531,0.0196032730438648,0.0254913306584376
"ZNF689",0.0908149989584039,0.0871957473801754,0.974549546492232
"ZNF19",0.633021279287412,0.394901148208448,0.0641646953391471
"ZNF230",0.976327433578228,0.991802927156142,0.882827108215091
"ZNF222",0.992686097567115,0.995878320369745,0.493977817654509
"ZNF221",0.855604766385564,0.806771247900939,0.84630492879284
"ZNF233",0.13885266491521,0.176940577169658,0.828331875717694
"ZNF235",0.228635411490715,0.440816488835912,0.0584382768887154
"ZNF208",0.969630729848786,0.951625356144609,0.927038125025081
"ZNF714",0.964986649987316,0.98140625057044,0.923549537426057
"ZNF394",0.903380841325383,0.711506719193712,0.104277500837954
"ZNF333",0.879867111700416,0.961106828804428,0.465783639320981
"ZNF382",0.983916865952741,0.932457970808727,0.544525857007049
"ZNF577",0.959481820429821,0.930884767295614,0.869641286090354
"ZNF75A",0.476608173284147,0.602321391186876,0.530410818520106
"ZNF496",0.999988787150549,0.999921530704295,0.995289200465942
"ZNF2",0.892561165899257,0.87309063680688,0.962674830824239
"ZNF589",0.90974896886389,0.923935757239363,0.982816142652297
"PRDM9",0.995658510106802,0.999303604222695,0.952876892843668
"ZNF12",0.922114390975137,0.999954292745155,0.0925964186530379
"ZNF202",0.998109970643199,0.957878731384105,0.138694837448734
"ZNF3",0.956002731140728,0.695318228856147,0.00830061388725101
"ZNF606",0.871204135989346,0.902460281973914,0.930878785157485
"ZNF91",0.999532100319524,0.987782937727116,0.573694876596434
"ZNF226",0.41416137803207,0.548781467868299,0.460995519408914
"ZNF229",0.973287578680916,0.976382841373286,0.0427789566300923
