"gene","p-adj-N1-N0","mean-N0","mean-N1","SEM-N0","SEM-N1","Q1-N0","Q1-N1","Q3-N0","Q3-N1","count-N0","count-N1"
"ZNF211",8.34689582263071e-06,220.336062037037,260.698428,3.66014274620807,9.77222682683676,176.7136,211.73155,249.798275,309.0962,324,75
"ZNF205",0.555861598313144,402.20474845679,386.3844,12.3221361372972,16.5697185039832,271.98485,290.1307,463.806875,470.2273,324,75
"ZNF45",0.266721155795575,259.487840740741,267.711801333333,3.13046606368937,7.30756280891538,223.2629,234.845,301.992075,299.6856,324,75
"ZNF133",0.552169383440692,311.580143518519,320.364689333333,6.62760787640799,11.0119737768336,229.635825,252.63975,370.1019,382.93195,324,75
"ZNF436",0.615826748626821,626.793113580247,614.694005333333,10.646380672379,19.7905489444929,514.111175,503.51815,724.84285,711.76885,324,75
"ZNF484",0.0163263310393842,64.1085080246914,71.756212,1.33861167114522,3.16466000488387,49.6634,54.34055,79.99715,87.9336,324,75
"ZNF780B",0.0610917480144908,352.894568518518,382.038702666667,6.51969597159183,15.7311628469269,274.055125,286.31375,426.100425,470.07175,324,75
"ZNF557",0.0541574486347137,167.173688888889,176.473917333333,2.11235585174783,4.1091666533745,141.037325,159.824,192.765125,196.30355,324,75
"ZNF337",0.0155329950856415,476.587278703704,531.673090666667,9.87005412642254,20.0353480654118,350.978375,414.9662,566.464375,613.04825,324,75
"ZNF317",0.331598187953671,639.300294753086,653.065536,6.07154533669865,13.3580810785758,569.96955,588.30135,714.51395,706.0037,324,75
"ZNF426",0.361562288966137,124.788518518519,132.446462666667,3.57508809837112,8.07357976581423,78.3663,85.03005,165.268975,161.764,324,75
"ZNF331",0.475976405727457,809.288801851852,779.205122666667,18.4586792348899,36.3413094364747,600.976525,593.05865,931.208975,917.62545,324,75
"ZNF227",0.0172749021162867,403.209478703704,431.824741333333,5.04100521373376,12.0369711607518,345.951575,360.34655,455.940875,502.73885,324,75
"ZNF141",0.365782807225887,87.4059716049383,91.1938693333333,1.80078633168823,3.88552472798417,65.106925,66.6382,106.81665,106.74075,324,75
"ZNF304",0.182382740779039,353.364231172839,376.860750666667,7.15165400299453,19.5828123769464,268.22525,289.5477,420.913,439.90015,324,75
"ZNF132",0.781028933947976,146.37267962963,144.755149333333,2.53275197161738,5.13301620970806,115.154575,110.969,176.07805,176.1344,324,75
"ZNF20",0.0619914634630824,120.770642901235,127.194204,1.42973162955337,3.57345854376171,104.2416,104.6311,135.52665,143.4255,324,75
"ZNF670",0.0968874004007826,67.957475308642,72.8218893333333,1.22675828057831,2.97469120873912,53.57195,54.7487,80.3714,82.73735,324,75
"ZFP37",0.660512312512754,65.1935580246914,67.3085546666667,1.99796875545639,5.0594546335801,39.0381,40.18115,87.56115,87.5819,324,75
"ZNF189",0.0781537190902586,640.755808950617,681.88568,9.91080634327358,22.5986333635379,540.17385,578.11985,717.57845,800.4653,324,75
"ZNF434",2.8256680106864e-08,315.193749691358,363.063824,3.21359663046195,10.7860801250287,275.083125,303.7399,346.20805,398.33715,324,75
"ZNF287",0.272446212828818,159.833654938272,154.89198,1.89223013353212,4.53546603678246,138.01135,121.65345,182.42175,183.35755,324,75
"ZIM3",0.471948728165805,0.0297364197530864,0.016312,0.00869659009620262,0.00939941592204939,0,0,0,0,324,75
"ZFP14",0.0195799600569394,211.657257716049,232.283614666667,3.40915523781514,10.8735273398983,170.073075,171.3646,250.508825,270.391,324,75
"ZNF473",0.0105070643953641,255.485522530864,310.644268,8.11586650065845,27.628748522216,179.969275,187.4166,270.57675,333.38545,324,75
"ZNF614",0.0415524091995575,828.346958641975,707.346782666667,27.3837875552165,33.4321190284192,489.751675,531.73445,1052.027275,832.30795,324,75
"POGK",0.00748940031030665,910.792467901235,987.914506666667,11.9896725458089,29.5869207081977,763.8602,812.5023,1032.239025,1126.85755,324,75
