"gene","2-1","3-1","3-2","4-1","4-2","4-3"
"ZNF670",0.258827152833935,0.947350272413631,0.327409705015411,0.00195660821108501,0.0716532693908358,0.000535646269600787
"ZFP37",0.0291733534591953,0.385409614869761,0.410334925508591,0.00614108878399722,0.841020524493927,0.114293942445069
"ZNF189",0.982555282588475,0.995878452114345,0.856378133315249,0.999999976221896,0.96797839006427,0.991783520799996
"ZNF434",0.0741894321760479,0.185709003650079,0.955984085656316,0.0173541474552746,0.834594175872443,0.564665991964432
"ZNF287",7.26663657502069e-06,0.110636952580219,0.00276523779080207,0.00571938773392477,0.252956161414553,0.473258974207778
"ZIM3",0.527853263527185,0.991038987935226,0.500367157968388,0.427961008421947,0.991314336224279,0.39152625832005
"ZFP14",0.00155862281853092,0.656551362100756,0.00545881924189118,0.00828001392104327,0.976300263248887,0.0399151726951036
"ZNF473",0.314906093229763,0.342687643258779,0.999977147970904,0.0141531884681234,0.269488479556967,0.26965912966613
"ZNF614",8.4936795929913e-08,0.999963128944998,1.27198251931304e-12,4.59700910671046e-09,0.733695413039954,6.9289018966856e-13
"POGK",0.125463046999125,0.603476276430203,0.594104247420228,0.0597265179406151,0.948902149351017,0.332038007668219
"ZNF514",0.0264930521299154,0.922484912021857,0.0217813298267553,0.215345377759953,0.758634299118025,0.325145022400218
"ZNF300",0.270235749202016,0.256291688887898,1.0437653113482e-05,0.999971151345066,0.0957979269913575,0.117864840254435
"RBAK",0.000343551454507374,0.247901680867865,0.0210720022294072,5.46543746804407e-06,0.459937081725856,0.000291685130452746
"ZNF92",0.156087378518078,0.575074430098151,0.715916878959482,8.07404075497953e-06,0.000906784709374109,2.06627988638131e-05
"ZNF157",0.87431622109072,0.968518063890396,0.979986645159103,0.0320213292857728,4.65453955812434e-05,0.000318638198776422
"ZNF182",0.814425720301968,0.773547014972232,0.999414106833003,0.9909882620005,0.891275657117938,0.850283935318569
"ZNF673",0.00173230016545101,0.905304993361416,1.26932999000573e-07,0.686814850189134,0.0107560994323656,0.110174775964675
"ZNF41",0.87283939489745,0.138660151342906,0.236278079588036,0.704076579260485,0.967429557549109,0.569187898157626
"ZNF7",0.479406547111734,0.0697664742892444,0.505481897093666,0.0180736763087448,0.167033410043572,0.882635156983426
"ZNF214",0.503487134794156,0.427052747853258,0.997485464539116,0.175172325927053,0.789487625307707,0.884152499393084
"ZNF215",0.00389251779642408,0.880521070131829,0.0025966925261014,0.000283833893421903,0.682399527404538,0.000102924830968631
"ZNF547",0.87424617251277,0.695625908990268,0.0675582134329418,0.705671121432034,0.967303562608197,0.033621633308365
"ZNF773",0.559632999816098,0.998563892251389,0.212079873052809,0.284268404091131,0.89732823771776,0.0647657234670318
"ZNF776",0.727206983557404,0.999635502021317,0.602011119000883,0.229077929643346,0.631773747786605,0.0968547547550577
"ZNF256",0.998366672165915,0.963847881986411,0.974706356670791,0.872519082085837,0.860475528081232,0.981215111092534
"ZNF599",0.548368841881764,0.998288476929628,0.422666235720952,0.431470550925741,0.988148488365681,0.310153934848265
"ZNF18",2.18226735015925e-07,0.99723324863979,1.41031630818134e-12,6.88080582700312e-06,0.942976146190032,9.91180582055051e-10
"ZKSCAN2",0.00429078407578154,0.0299908791072531,0.865645452177398,0.309316012304785,0.199507304173745,0.615819084753905
"ZNF689",0.0136415835876028,0.677977554145571,0.0585027921206592,0.290635990978906,0.449339360995062,0.815945483446153
"ZNF19",0.942118100942627,0.971569428941551,0.998554176189841,0.428731252567657,0.577573298719147,0.500742554349675
"ZNF230",0.640015798654423,0.996804464549568,0.255633043976287,0.743321403826218,0.998758808328467,0.406509708436447
"ZNF222",0.0117241898980692,0.849653518263642,0.0153005153638013,0.0938728639377812,0.849382378427124,0.197836876911949
"ZNF221",0.610406471220987,0.943774871294965,0.818950366888077,0.910959408260988,0.910088932982638,0.998667484218413
"ZNF233",0.999484656698922,0.997651675385413,0.999614962838535,0.962975885397676,0.866843542256515,0.829777803050221
"ZNF235",0.999500489345378,0.999880174155641,0.999940602971509,0.759350896822712,0.66066551179421,0.643627622001549
"ZNF208",0.765169627915076,0.468965475733669,0.912489571809077,0.717542174255223,0.998409702231062,0.970087699687677
