"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","mean-1","mean-2","mean-3","SEM-1","SEM-2","SEM-3","Q1-1","Q1-2","Q1-3","Q3-1","Q3-2","Q3-3","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF221",0.994937699713064,0.00245527839486204,0.00212896626552583,16.3597544642857,16.227759047619,20.8847834782609,0.935877186792943,0.851880582967357,1.06720809820486,9.838675,10.5103,13.28635,21.442975,20.8563,26.8464,19.1335134615385,15.2249064386318,19.41615,13.6337,11.662425,24.9922,8.3428,20.0228,1.34396270057175,0.450349330806451,0.795719326157027,0.702183491577887,-0.329668455786551,-0.510080016211671,"PRAD"
"ZNF233",0.172463255681918,0.430154735249591,0.00747788133235538,130.225098214286,141.75652,122.441175652174,4.93153960420861,4.65546729777444,3.86573710603341,95.92505,110.8591,99.10865,159.863575,177.2841,145.9043,82.0623346153846,127.422187122736,69.12875,124.6305,52.315275,101.7983,93.8176,154.6521,5.79122751114314,2.26175397454689,1.55274874545,1.80287507006853,0.63482440215345,0.850299428918259,"PRAD"
"ZNF235",0.336536264260765,0.418020379803909,0.0222440806371922,108.646157142857,114.036576190476,103.935034782609,2.92606687022959,2.81985003394029,2.26170073796568,88.50255,91.5267,89.198,123.314625,131.3948,118.20985,90.5118192307692,105.784199195171,86.84925,101.7592,77.32525,99.4132,83.9858,122.533,2.92706737235805,1.46589213722294,1.16873354324548,1.17167620906341,0.224946050779703,0.228573938260063,"PRAD"
"ZNF208",0.618234216869137,0.742868990125648,0.974016775916603,22.4609973214286,30.4464952380952,28.5927782608696,3.75536472778322,9.87962595235422,2.10377972923625,6.333475,6.3593,14.1497,22.10315,18.0316,35.10195,38.45645,28.2170243460765,35.1694,15.0824,22.706,50.05415,7.4083,25.4742,3.2249559462464,2.98248094356389,0.733739706761192,0.428850079899003,-0.446659735313726,-1.22145470540884,"PRAD"
"ZNF714",0.641593772602398,0.826326692023734,0.943324859757783,170.148014285714,182.357573333333,177.964442608696,9.39554381444934,9.48727717863206,9.61319244255044,98.083075,124.2038,110.5228,223.653675,241.5721,213.8277,139.308607692308,160.941075251509,131.07205,138.4733,95.85415,173.24775,93.7012,214.6307,9.22300822261387,4.29480678769535,1.15528450048816,1.05646703473395,0.208248173633399,0.0792477511177746,"PRAD"
"ZNF394",0.342700268636882,0.342780341708518,0.0156663859537439,436.278921428571,418.925505714286,453.236586086957,9.41985625898452,7.97424895865403,8.49740814058953,360.7212,362.4969,383.2174,498.756875,478.3862,515.1947,491.762488461538,474.795187726358,465.2064,456.3989,415.347375,564.946775,387.3371,527.5437,15.4343780203061,5.73285528877966,0.965496960151918,0.9810675433528,-0.0506563780010861,-0.0275756300986247,"PRAD"
"ZNF333",0.0941218740987925,0.000174721782094323,0.139818692307589,177.992707142857,191.174015238095,203.109442608696,4.91765897416529,4.25353441913273,4.03217646669502,142.91625,166.146,174.1565,212.9678,216.4666,228.8024,211.031296153846,185.874900201207,218.30765,182.5957,171.334675,236.3317,146.6072,218.8629,6.51648192305819,2.38794934212427,0.880793055764111,0.836414573653282,-0.183125000251852,-0.257709895281553,"PRAD"
"ZNF382",0.99201174569406,0.0120547775668053,0.0197132092972591,44.7479392857143,44.4747819047619,38.3912860869565,2.09372733415817,1.47658098551839,1.00110305619712,33.821925,33.8544,30.30015,49.674,52.4642,44.9916,32.3425076923077,40.1798641851107,31.15545,38.7822,24.71735,37.666525,29.2445,47.731,1.59916517238872,0.897816818348089,1.242323711178,1.24479665676471,0.313041144299825,0.315910090697464,"PRAD"
"ZNF577",0.00063055875144058,0.997477338080077,0.00044638973093325,403.873307142857,501.895836190476,402.140255652174,19.5470591446155,19.4384804166839,16.012847661578,258.742,364.4544,268.26425,518.8385,604.6002,491.6714,271.721192307692,447.115082092555,262.7625,405.2565,206.558675,303.502225,300.2755,547.7607,12.9500854861708,9.42200631123471,1.64549212483305,1.54229199372057,0.718519121879164,0.625075928685428,"PRAD"
"ZNF75A",0.217205012309868,0.000427686509254288,2.76783300279249e-07,469.153277678571,493.73142952381,413.971200869565,10.9534979787894,11.3898600921659,8.47102947269705,392.5649,419.5241,355.93905,543.5382,550.5451,464.5897,349.049492307692,468.892202615694,356.7339,450.0637,287.65635,393.719475,384.4891,532.3555,10.0886487953505,5.64519333233761,1.34334016507424,1.26162301928693,0.425824675074514,0.335280888567092,"PRAD"
"ZNF496",2.7123044288313e-07,4.93098586740182e-06,0.762614146009921,271.617046428571,344.84148,335.501888695652,9.93511400981389,11.2839117161797,6.65685115436366,212.7368,268.7676,292.3802,313.957325,394.1883,374.4445,308.597405769231,291.730993762575,309.0184,289.2893,254.255825,361.995975,216.5103,348.4955,10.4203751683526,4.74907925035208,0.945344932616614,0.936155581674101,-0.0810872663181241,-0.0951797806159034,"PRAD"
"ZNF2",0.261887932514461,0.995852498130362,0.221721852514443,112.068566071429,117.079647619048,111.79704173913,2.54145513073967,2.21232518992576,1.92969890939056,95.952825,99.1965,98.47755,125.575475,132.3484,122.9151,108.854032692308,114.269193561368,105.63195,113.0215,90.95,127.1044,98.6573,128.1006,3.13973207577053,1.12346999470783,1.0497469936127,1.06995563368848,0.0700416564213091,0.0975509757062017,"PRAD"
