"gene","YES-NO"
"ZNF673",0.297099962273913
"ZNF41",0.616509234075574
"ZNF7",1.5124999359406e-05
"ZNF214",0.313936006642213
"ZNF215",0.0850945652537886
"ZNF547",0.159282994218283
"ZNF773",0.482361044603955
"ZNF776",0.0887860387411156
"ZNF256",0.495312514451902
"ZNF599",0.275971731264843
"ZNF18",0.395214923339261
"ZKSCAN2",0.944470393908967
"ZNF689",0.217008770203943
"ZNF19",0.015251618787574
"ZNF230",0.777498091248773
"ZNF222",0.585196296656719
"ZNF221",0.471743995684447
"ZNF233",0.93651370569173
"ZNF235",0.0978442393362131
"ZNF208",0.978094615056007
"ZNF714",0.448060281371552
"ZNF394",0.59225140177165
"ZNF333",0.380120340172687
"ZNF382",0.0458078473128561
"ZNF577",0.177426884456782
"ZNF75A",0.0354861989239472
"ZNF496",0.663335589730841
"ZNF2",0.0645089926874237
"ZNF589",0.0148409848746333
"PRDM9",0.797107089578253
"ZNF12",0.0357021577401022
"ZNF202",0.106536593549922
"ZNF3",0.000605719100870705
"ZNF606",0.286866963911007
"ZNF91",0.50560636780926
"ZNF226",0.153333445653731
"ZNF229",0.0157645554478867
"ZNF180",0.34730765294878
"ZNF641",0.511144990543018
"ZNF610",0.234974522365483
"ZNF528",0.15232220597548
"ZNF701",0.472765911165749
"ZNF283",0.480343119228723
"ZNF558",0.0262727325961795
"ZNF597",0.0611947505241557
"ZNF30",0.788888133178932
"ZNF354A",1.84153140725396e-06
"ZNF764",9.58482170732022e-06
"ZNF747",0.589448273254117
"ZNF778",0.0578887623179976
"ZNF212",0.000466119174614255
"ZNF282",0.00764208497185337
"ZNF160",0.187905375511389
"ZNF415",0.0347025224458888
"ZNF439",0.313208333321783
"ZNF440",0.566800329101395
"ZNF562",0.336289885094374
"ZNF561",0.0368880371508112
"ZNF584",0.236963546310324
"ZNF274",0.0734375698259764
"ZIK1",0.631992952197902
"ZNF540",0.141899510914882
"ZNF570",0.393591900876469
"ZNF57",0.659325754603778
"ZNF556",0.985565515705046
"ZNF554",0.598005318705384
"ZNF738",0.0342694615490385
"ZNF596",0.689277183051155
"ZNF621",0.00348683460039378
"ZNF680",0.197878403849918
"ZNF483",0.838952039927687
"ZNF417",0.414962598381524
"ZNF791",0.597400965998559
"ZNF519",0.221026920141785
"ZNF25",0.259601335167234
"ZNF77",0.00294631032399428
"ZNF169",0.0290587554514933
"ZNF613",0.148395178362809
"ZNF404",0.065858904207682
"ZNF135",0.373865879323847
"ZNF620",0.297585688370686
"ZNF619",0.752761964775416
"ZNF354C",0.809104120013267
"ZNF114",0.512609779448245
"ZNF454",0.10794144324504
"ZNF543",0.667267892668061
"ZNF354B",0.00564474719565788
"ZNF223",0.55684337214282
"ZNF713",0.490371821609332
"ZNF552",0.181061622779161
"ZNF154",0.186922602536384
"ZNF571",0.113353200873143
"ZNF443",0.33889946179287
"ZNF792",0.638697008880555
"ZFP82",0.0902366716951144
"ZNF707",3.32155105524645e-05
"ZNF746",6.29168799770596e-06
"ZNF678",0.659069990020434
"HKR1",0.185568720252864
"ZNF101",0.0630052295314536
"ZNF716",0.570986370897971
"ZNF708",0.642666938418752
"ZNF721",0.00010354929312717
"ZNF662",0.00833461694519777
"ZNF320",0.00475923256670308
"ZNF530",0.0278897284694124
"ZFP1",0.306061325347621
"KRBA2",0.398921088622877
"ZNF93",0.0441545464188058
"ZFP90",0.411962812093551
"ZNF479",0.289965347657134
"ZNF445",0.540082787083443
"ZNF74",0.0265184621243371
"ZNF829",0.0620571142459996
"ZNF267",0.410385493989024
"ZNF566",0.00974182017710445
"ZNF224",0.234113683828831
"ZNF529",0.00375615237393867
"ZNF284",0.30822568846705
"ZNF749",0.215461233468302
"ZNF17",0.203293327428442
"ZNF555",0.510628225542639
"ZNF75D",0.00336584285438501
"ZNF197",0.302215176399233
"ZNF732",0.0053407668221428
"ZNF546",0.900443478394496
"ZNF286A",0.032669134831154
"ZKSCAN4",0.226202220855
"ZNF643",0.16294529032618
"ZNF642",0.178721643574616
"ZNF490",0.285324544392446
"ZNF626",0.30479880632966
"ZNF793",0.00286560238019384
"ZNF383",0.729363585138885
"ZNF669",0.395547539697945
"ZNF559",0.0416759197899884
"ZNF177",0.037540798395449
"ZNF548",0.166980812544492
"ZNF563",0.00211631317729388
"ZNF567",0.051604999158427
"ZNF573",0.863412763677591
