"gene","p-adj-T2b-T2a","p-adj-T2c-T2a","p-adj-T2c-T2b","p-adj-T3a-T2a","p-adj-T3a-T2b","p-adj-T3a-T2c","p-adj-T3b-T2a","p-adj-T3b-T2b","p-adj-T3b-T2c","p-adj-T3b-T3a","p-adj-T4-T2a","p-adj-T4-T2b","p-adj-T4-T2c","p-adj-T4-T3a","p-adj-T4-T3b","mean-T2a","mean-T2b","mean-T2c","mean-T3a","mean-T3b","mean-T4","SEM-T2a","SEM-T2b","SEM-T2c","SEM-T3a","SEM-T3b","SEM-T4","Q1-T2a","Q1-T2b","Q1-T2c","Q1-T3a","Q1-T3b","Q1-T4","Q3-T2a","Q3-T2b","Q3-T2c","Q3-T3a","Q3-T3b","Q3-T4","count-T2a","count-T2b","count-T2c","count-T3a","count-T3b","count-T4"
"ZNF671",0.947092148662859,0.999619986241425,0.950854560458365,0.910393719321476,0.999882901963631,0.503505192574521,0.995841266047947,0.982709213306844,0.997086148446967,0.849795238817279,0.999999999185969,0.970352606477611,0.999922765434864,0.966699412637322,0.998864911850191,160.917435714286,134.670663636364,154.644207792208,140.191720261438,150.501988617886,160.2194,17.9352900716811,23.8761243700376,5.31681155478008,6.16193762258879,6.66204247185252,32.977401390085,136.597975,98.8271,112.33175,88.6528,97.55475,94.2833,206.389675,178.53735,196.919775,190.5541,205.9593,239.9459,14,11,154,153,123,9
"ZNF416",0.986042521990999,0.956700413596921,0.587143928887767,0.959296783561387,0.594608784270627,0.999999996699925,0.911969542769274,0.494199363389192,0.998685955514319,0.998190295442286,0.0089908593783784,0.00194234137505633,0.00545504661335827,0.00527824984911585,0.0096431637823623,115.199792857143,107.659654545455,121.962407142857,121.86614248366,123.330907317073,156.545811111111,6.38923820624141,5.16807575143898,2.08863859505025,2.64937800162106,2.29370981068501,13.0031153710738,104.128825,92.61715,104.7943,102.2624,107.4102,122.152,128.752925,122.4347,138.231275,134.0799,138.7917,188.2353,14,11,154,153,123,9
"ZNF586",0.999968544543979,0.980130780834806,0.998706903821854,0.996408687998206,0.999955907896365,0.994396088408553,0.887485183909283,0.977793925805837,0.951258463870412,0.733607990456728,0.354243279459403,0.521441755971636,0.411147283109888,0.306291260180709,0.621147268053397,195.860307142857,200.062909090909,207.003086363636,203.548441176471,212.944157723577,243.154177777778,10.5784314119955,10.5491593575159,4.2637214402293,4.50153411044478,5.56594631294415,20.9140478482485,170.035625,178.743,171.4425,164.3404,172.18425,235.1471,214.0241,223.46095,229.27965,234.7933,248.9139,267.783,14,11,154,153,123,9
"ZNF446",0.999978797276747,0.966092106785595,0.996175732228388,0.884631504267346,0.974857605467412,0.982398821874651,0.496722786621425,0.755996601306286,0.227267378606693,0.619904636275648,0.2383442607143,0.379452201404662,0.295797645866104,0.431326749823866,0.7889590132034,538.043178571429,525.837445454545,498.454109090909,484.510209803922,451.154310569106,372.751288888889,72.2307855095233,67.5641722151176,15.2058454469421,14.0306539775535,13.1401594589658,28.1628537686536,396.204525,391.66925,379.989025,361.3947,352.88535,345.7803,619.4108,600.4277,592.132425,540.6911,514.6935,428.4128,14,11,154,153,123,9
"ZNF8",0.983941724025459,0.875041627990494,0.999996845956424,0.976067544361329,0.999939874426415,0.945480486590436,0.999934101032635,0.984291153691858,0.305784157557828,0.830134789855614,0.99999991348212,0.9936552891481,0.960591863035788,0.994697535183694,0.999998095952369,68.8889142857143,63.3780272727273,62.6412571428571,64.7115385620915,67.6614536585366,68.3981666666667,5.31718020019098,6.23525828083679,1.50988056029893,1.55279613254723,1.9855553975246,9.21448001215719,58.68345,51.6517,50.378625,51.6355,50.2023,45.4754,81.413375,80.63125,75.756025,74.1751,81.52825,83.0809,14,11,154,153,123,9
"ZNF264",0.999999682329486,0.999039227391565,0.999893278843734,0.98516986005736,0.996048784198274,0.979194579182919,0.985929909582092,0.996229796650734,0.984170304905155,1,0.736514041304841,0.812124996947124,0.714953124149466,0.846655267050754,0.849947647999877,743.33455,749.555672727273,765.06925,782.210903921569,782.151718699187,866.321311111111,62.3083113526614,61.6491205687907,16.1866576682915,18.0403227092854,17.27939361028,79.6489236968213,662.7143,619.64095,640.6215,668.9695,683.04115,708.256,918.582475,895.60275,910.710375,870.7461,898.7246,1012.6935,14,11,154,153,123,9
"ZNF213",0.999918945621395,0.999991518270332,0.999983716740415,0.98281212174882,0.999502392941961,0.761564504620682,0.956177431086369,0.996860126229914,0.552880857039888,0.9986408370795,0.679801556758628,0.836621916641673,0.517781259284067,0.798422282484734,0.870597285191306,606.000621428571,622.227990909091,613.134481168831,640.414485620915,649.093159349594,718.336577777778,36.3174901619982,56.4949316211744,13.4804181016451,14.4106773992987,17.0592823558179,80.2330646630798,522.55265,504.4243,518.066625,547.2036,535.6003,606.8937,680.733025,721.52195,683.42205,723.888,737.68325,834.5588,14,11,154,153,123,9
"ZNF343",0.950253665027129,0.878389481414411,0.99998905929631,0.999940816285855,0.932760589599196,0.245139616579947,0.9999998091911,0.840726527387687,0.0748118192357256,0.987448909979742,0.738427418219214,0.286327667428325,0.0940786187952249,0.407700290466053,0.563033918774175,270.495928571429,250.600409090909,253.232866233766,267.186622222222,271.552352845528,303.457888888889,14.3353000583261,11.971095064138,3.57018398557661,4.65248737337073,5.74022351266391,32.8738731860139,246.29585,217.2115,221.5304,229.327,240.3148,221.9218,307.646575,278.72985,282.436725,303.0029,307.8722,347.5985,14,11,154,153,123,9
"ZNF302",0.994714626954324,0.999317295638313,0.99898437164636,0.918129076396962,0.99995253767543,0.605260991211994,0.912935218231579,0.999921959810001,0.624471821687814,0.999999890432335,0.514674850911322,0.854738281155157,0.423765661594223,0.763851702953942,0.780797321004193,609.909878571429,647.428836363636,626.860748051948,658.45071372549,659.715067479675,738.284588888889,50.1678142403482,38.0386270005498,13.4915664359762,14.497082609826,15.3116513545391,87.7718725263513,442.00885,545.7899,525.900575,522.3971,541.57515,522.3146,710.1067,721.38375,701.849725,750.4887,760.8914,943.4738,14,11,154,153,123,9
"ZNF268",0.405711892347309,0.999999965432797,0.156425797772798,0.999185375901359,0.276778429390689,0.972598845842174,0.999076200417027,0.291729700781854,0.97448591636536,0.99999999619607,0.84105205798017,0.054270528194958,0.649739870998395,0.480815972205922,0.481589670893898,355.367292857143,258.691772727273,353.684901298701,342.580779084967,342.111423577236,419.761688888889,39.033964659767,30.2993861168119,10.0795212778876,9.87475463772675,11.8604630169571,50.2891974558664,261.76275,175.47595,270.19425,261.5842,267.5547,324.9897,454.899475,364.9311,430.538225,427.9493,407.67985,474.9226,14,11,154,153,123,9
