"gene","2-ETV1-1-ERG","3-ETV4-1-ERG","3-ETV4-2-ETV1","4-FLI1-1-ERG","4-FLI1-2-ETV1","4-FLI1-3-ETV4","5-SPOP-1-ERG","5-SPOP-2-ETV1","5-SPOP-3-ETV4","5-SPOP-4-FLI1","6-FOXA1-1-ERG","6-FOXA1-2-ETV1","6-FOXA1-3-ETV4","6-FOXA1-4-FLI1","6-FOXA1-5-SPOP","7-IDH1-1-ERG","7-IDH1-2-ETV1","7-IDH1-3-ETV4","7-IDH1-4-FLI1","7-IDH1-5-SPOP","7-IDH1-6-FOXA1","8-other-1-ERG","8-other-2-ETV1","8-other-3-ETV4","8-other-4-FLI1","8-other-5-SPOP","8-other-6-FOXA1","8-other-7-IDH1"
"ZFP90",0.99883962219221,0.988278504892557,0.95143538481834,0.99352061851235,0.97685575029998,0.99999381923307,0.901423848004932,0.999825659233925,0.789532302452107,0.928232955741112,0.959402605852113,0.99811301668292,0.836593657666916,0.903357114453806,0.999958693515937,0.99999997447583,0.999981560327546,0.999994998980966,0.999877215503193,0.99957349310959,0.997723201090583,0.999999873616921,0.997753741489722,0.994411880285217,0.995641639770422,0.89320483895698,0.951114974583418,0.999999997813224
"ZNF479",0.999998369171179,0.99999996305377,0.999996349000957,0.999999999421534,0.999999878450538,1,0.286495808716205,0.801256587121902,0.821121219704197,0.987803105434275,0.999999991196617,0.999998772006823,1,1,0.918058316609294,0.999999999783612,0.999999950166408,1,1,0.99448663283469,1,0.999977923624531,1,0.999992530048543,0.999999859716341,0.527969065318522,0.999998058679127,0.999999946456466
"ZNF445",0.999728144285921,0.999169879539219,0.993483455986164,0.999998566021899,0.999999999999676,0.999731785685346,0.00765692636319648,0.315267347658043,0.147229946464452,0.965838533258348,0.999995758487378,1,0.999045202831329,0.999999999992546,0.777610819964944,0.999967581166371,0.999999744991575,0.999149815822487,0.999999980808728,0.9945261898692,0.999999757703075,0.985497568675133,0.999999992536747,0.977225910273694,1,0.10587360862442,0.999999996987035,0.99999994065143
"ZNF74",0.999973735208513,0.894774747975285,0.985628218534171,0.795609329010674,0.766073176291272,0.480308539553458,0.999123703108582,0.999999940310276,0.991358274137401,0.709812178492213,0.871983563908427,0.967973849879254,0.999997639024999,0.441737330559692,0.977462077919934,0.78225107916588,0.750958144335876,0.489447661484911,0.99999978280894,0.702250151156917,0.44701476128061,0.00089633905248554,0.0699156876073975,0.0286216811812336,0.999926450451793,0.0158442965574886,0.064993966718645,0.999206403600249
"ZNF829",0.993789016014514,0.999653711279535,0.983907661402854,0.999999999329341,0.999998180619977,0.999985447942727,0.792951549856791,0.999764233136369,0.88371020584466,0.999802541505858,0.999901000018443,0.999999999959609,0.997887997394653,0.999999747616199,0.999954779180705,0.953756059916415,0.992932103848191,0.919437696188091,0.993037157824136,0.998674637087944,0.994939532946304,0.975881429203742,0.999999969006024,0.980905029460383,0.999999584504018,0.995519655974758,0.999999999999774,0.987886913497028
"ZNF267",0.983985715451091,0.978049215932381,0.85320495286985,5.36604903988991e-05,3.34153345104005e-05,0.00353839604132045,0.741811677605345,0.999882413234824,0.61453465205349,8.6195478276041e-06,0.94343582286903,0.999419977731246,0.771302937881009,8.51782579928129e-05,0.99999462669331,0.97921090195026,0.998703893669562,0.89500972930674,0.00243425314198054,0.999849239694075,0.999997173789188,0.999720210287225,0.999194577259733,0.939999651289375,3.66371186679704e-05,0.939206202573121,0.981259358412448,0.990368146010069
"ZNF566",0.999999990679374,0.999750514005922,0.999975279687407,0.971600103453363,0.973331823753649,0.946496455165038,0.944583179501101,0.982682230195896,0.957023488967226,0.999109847825947,1,0.999999999427696,0.999981419612368,0.990073995317372,0.999328980391286,0.85655732156023,0.865365608288506,0.810888873995717,0.99993000813507,0.972964829989228,0.926609195070636,0.871573886618076,0.980578428677219,0.955941337917285,0.998160125482109,0.999999956676786,0.999602255230525,0.961364976054882
"ZNF224",0.988456568250436,0.944300086451684,0.999860493158687,0.988031546286609,0.999679545419654,0.999998940702003,0.499568468384935,0.377626118234097,0.365518177701124,0.789905536129984,0.925274572579859,0.77328362901763,0.664620523299055,0.840206328508308,0.999999903021904,0.995287306136988,0.971926888638812,0.933179796827667,0.944025331983117,0.999999974586961,0.999999999999347,0.999850159766102,0.9571212498811,0.889036468465966,0.976492853484508,0.784866069523907,0.970311095895857,0.998212249505391
"ZNF529",0.998839386073025,0.988465157687697,0.951891439749693,0.999999740976808,0.999999999713997,0.999035384146332,0.938386695004734,0.999957590023985,0.826967629198614,0.999997585870221,0.948849816986085,0.997160921859159,0.817772455911169,0.999655853101457,0.999782322846332,0.833378649982219,0.935238177276033,0.68060693178272,0.975599000864968,0.966492753709008,0.997378136378444,0.902862399097873,0.999998246760638,0.83433491373449,0.999999812854548,0.999999023789485,0.99867930477042,0.946880085140061
"ZNF284",1,0.103948674804716,0.260187849752211,0.985993559386296,0.989690457024498,0.37099189791391,0.915666840803991,0.984022046624648,0.0316355227751249,0.999875750689981,0.998287579117315,0.999139593136808,0.280173133794627,0.999931796133213,0.999999999999536,0.968272448664464,0.974554575959931,0.371781370214657,0.999999429391463,0.998508236432439,0.999101686746963,0.999971686701729,0.99999879123169,0.0853416483664882,0.993072008334425,0.982950252047765,0.999686592395107,0.980615812944037
