"gene","Distant Metastasis-Biochemical evidence of disease","Locoregional Recurrence-Biochemical evidence of disease","Locoregional Recurrence-Distant Metastasis","New Primary Tumor-Biochemical evidence of disease","New Primary Tumor-Distant Metastasis","New Primary Tumor-Locoregional Recurrence","mean-Biochemical evidence of disease","mean-Distant Metastasis","mean-Locoregional Recurrence","mean-New Primary Tumor","SEM-Biochemical evidence of disease","SEM-Distant Metastasis","SEM-Locoregional Recurrence","SEM-New Primary Tumor","Q1-Biochemical evidence of disease","Q1-Distant Metastasis","Q1-Locoregional Recurrence","Q1-New Primary Tumor","Q3-Biochemical evidence of disease","Q3-Distant Metastasis","Q3-Locoregional Recurrence","Q3-New Primary Tumor","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF671",0.958955152312243,0.281655519297811,0.651852344409573,0.993065971068253,0.998937650222586,0.605537516880519,163.642594444444,144.88526,77.8357,152.4533,13.0201016431504,18.788370733318,62.3508710652065,49.4687450427877,116.065325,151.9149,15.49005,127.897275,210.734425,164.5902,109.7073,195.844375,196.081851923077,147.816096780684,192.23235,148.5116,150.418,233.608025,96.4028,195.507,9.50175672535872,3.28086863942044,0.753848942831652,0.772562994730075,-0.407652631420863,-0.372275519825926,"PRAD"
"ZNF416",0.976302239676004,0.866999198715091,0.803228055080056,0.99919791275483,0.997531086962807,0.897811200481329,123.689847222222,128.91056,111.352566666667,125.5177,4.40241940976414,12.1928093741188,16.6286993851327,13.3243929124995,104.05355,115.7447,94.72415,112.09885,140.157525,144.2623,119.75075,133.54505,129.085307692308,122.079900402414,129.61255,120.5273,114.3006,143.766775,103.8534,137.0952,3.68054944609083,1.30525696201831,0.945730405612143,0.929904550138085,-0.0804991141958829,-0.104845456203844,"PRAD"
"ZNF586",0.999999004370042,0.999703210623167,0.999886650697102,0.778804056311982,0.882279220069589,0.937218272227007,218.119641666667,217.7698,215.173766666667,191.881475,8.84571599643541,22.414487907802,32.9800656701556,22.3349795572392,182.28715,172.1468,182.99585,175.025375,250.296025,249.2153,237.5237,215.25145,222.487594230769,208.582176257545,219.40485,198.2627,181.6991,251.01595,168.5966,239.4458,7.84472153760186,2.53893100969508,0.937500254693748,0.903638638799461,-0.0931090124497678,-0.146182134456753,"PRAD"
"ZNF446",0.191439242209607,0.491835243594349,0.998581988895639,0.999524516026015,0.53010262576218,0.724435474511551,494.404641666667,339.4251,357.814166666667,485.20055,26.4567539691866,69.3456967896206,64.347729576687,99.572592390757,397.1495,242.2534,308.5635,331.2682,572.51765,346.5876,418.30385,646.29855,359.145719230769,481.614602816901,347.1885,443.5761,307.78795,414.523025,371.2755,543.3128,10.0397494196938,7.82498497621691,1.34100053830083,1.27762325077011,0.42330981636527,0.353462472922457,"PRAD"
"ZNF8",0.991500964123252,0.85906888835142,0.836148440468259,0.9556024436832,0.92891200127111,0.993251899400555,73.4988833333333,76.23126,64.0960666666667,68.138575,3.14073631281882,13.3220503036357,12.7542254308567,5.41933225689522,60.73855,65.7376,53.4714,64.116625,85.23185,75.5617,75.51905,74.886,62.6847865384615,65.528714084507,64.1132,62.5624,50.130075,73.823425,50.8985,77.1447,2.51576827692661,1.02976597677687,1.04536870432351,0.975811533350387,0.0640118744419019,-0.0353255599641924,"PRAD"
"ZNF264",0.59621702225665,0.890036243716252,0.995632532392369,0.793556929704072,0.998270412254054,0.999863096980761,798.266627777778,916.31282,883.1528,894.017975,28.7497734394942,105.704637918917,184.355616406399,141.915178183962,693.966525,738.2979,704.79005,728.925,865.78235,1031.3873,1012.71105,1092.354675,773.315288461538,774.838392957746,783.88765,772.4888,649.075275,912.55475,663.9065,894.2696,22.7023462196149,9.24289013528917,1.00196957763403,0.985458566670874,0.00283870527681558,-0.0211328800519498,"PRAD"
"ZNF213",0.727094847964991,0.92105662729831,0.998537786929312,0.999694055188638,0.847509830190258,0.942572249074097,670.458908333333,592.21442,610.556933333333,678.3004,26.4236456683777,39.0060705762757,117.912039896658,91.2498615836302,583.7869,536.1702,505.3342,606.06325,748.797475,610.1989,709.2505,782.2693,557.171709615385,635.458572434608,542.55785,613.8794,445.8226,652.798225,524.8741,718.3571,18.6545777293139,7.87194647270769,1.14050760558763,1.13145427717984,0.18967606743652,0.178178285516248,"PRAD"
"ZNF343",0.589498317831447,0.895283076498902,0.994548125871309,0.256996900434374,0.941469854190013,0.882488994748695,296.596377777778,255.00824,267.494066666667,228.834275,11.0848938970358,32.3156596770761,68.6120721990266,19.8975277412118,248.4131,240.9287,221.1069,210.312975,341.8018,307.892,334.4699,242.98045,241.294719230769,264.281147484909,233.87055,258.4081,210.51505,274.027775,228.107,296.4371,7.23318014356227,2.52767017047055,1.09526287325068,1.10491936671804,0.131277171580085,0.143941090448773,"PRAD"
"ZNF302",0.999999979487108,0.446326858286849,0.607377958513176,0.998168012684796,0.999160196090302,0.56873570526915,702.479752777778,702.16902,855.7012,687.080925,29.0496605327005,79.9639239642503,46.6482325479041,75.0513560144138,595.47375,563.4043,830.40175,619.1624,792.194625,741.9962,902.292,730.271725,566.614211538462,647.27100362173,533.32675,634.3745,487.5361,645.74615,527.5946,734.6362,17.737308888317,7.83289500894702,1.14234869235678,1.18946686998168,0.192003088484633,0.250315089183167,"PRAD"
"ZNF268",0.0767832085399127,0.201987240158442,0.999992867309753,0.999971670318421,0.287212165198963,0.385642578453756,325.199219444444,469.5893,471.986333333333,322.459225,16.162183534652,113.654516911978,60.4247819659653,60.6676387557152,279.334075,286.383,424.66305,251.262425,389.5112,740.9138,528.18635,348.5793,433.898361538462,343.568557746479,449.0458,337.2598,358.72035,498.375825,266.2454,419.5584,14.4164585572596,5.60117819536119,0.791818057409337,0.751058800683583,-0.336759126486454,-0.413002233574213,"PRAD"
"ZNF184",0.548669535060263,0.583336904331474,0.997914466283703,0.559413139989035,0.999774948311318,0.999669662261994,205.688569444444,244.38618,252.3729,247.8673,9.25888741767625,41.2550663694097,45.9003017422544,26.81160011385,160.03815,185.9574,226.01855,216.853325,239.470925,262.398,298.09565,280.169125,201.933701923077,208.103810865191,201.016,206.5693,171.49515,226.118425,167.9956,239.3594,5.35374613944217,2.52869454985989,1.03055512221761,1.02762615911171,0.0434216736526687,0.039315520867512,"PRAD"
"ZNF500",0.72016007073846,0.725332393525244,0.419780833489526,0.850026153740185,0.999476313844948,0.519183470164168,334.387627777778,292.03122,387.272666666667,298.42485,12.982407095521,28.2248586228417,117.331891913443,14.1078712275866,289.997775,243.5656,270.9013,292.7872,378.155175,325.5319,458.43365,311.3196,295.801978846154,314.001702615694,303.4533,307.047,260.873225,342.67235,259.4197,361.7415,8.30532495613513,3.86177684717762,1.06152671405557,1.01184267892292,0.0861406781208686,0.0169849975607242,"PRAD"
"ZNF419",0.845914097490908,0.842032823092254,0.998892337213723,0.342239082857862,0.878534295960744,0.955061132217665,286.027583333333,247.53454,237.075233333333,198.26205,18.0030483074521,24.4693346215339,19.508072650088,21.8455929496661,213.56455,220.339,222.07045,173.5454,329.401125,234.7806,255.3742,215.90885,165.857865384615,240.326073038229,156.2173,227.0838,133.98675,187.411675,180.6002,285.5163,5.76169743154339,3.68509960394473,1.4489880988214,1.45364053789177,0.535045745452565,0.539670557898717,"PRAD"
