"gene","M1a-M0","M1c-M0","M1c-M1a","mean-M0","mean-M1a","mean-M1c","SEM-M0","SEM-M1a","SEM-M1c","Q1-M0","Q1-M1a","Q1-M1c","Q3-M0","Q3-M1a","Q3-M1c","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF547",0.742560493790027,0.79960694231349,0.595081566873931,66.5671218527316,43.521,86.5388,1.52542891715279,NA,NA,45.6085,43.521,86.5388,77.2532,43.521,86.5388,44.8348942307692,67.0135136820926,42.1476,60.7586,35.902175,48.717175,45.6085,77.6317,2.23345886902491,1.42723434109275,1.49467317436209,1.44156725412598,0.579830058822371,0.527638145144066,"PRAD"
"ZNF773",0.640040433657377,0.765811640371881,0.495693699310691,151.931077909739,118.233,177.9744,1.82086257113368,NA,NA,131.6122,118.233,177.9744,171.8588,118.233,177.9744,134.000817307692,152.480293762575,132.4039,151.0989,114.721025,152.1307,131.1742,172.2512,3.96277166231762,1.6905616198674,1.13790569957831,1.14119674722572,0.186381003700917,0.19054753989767,"PRAD"
"ZNF776",0.977921201079252,0.3289430706983,0.661841018488232,504.126197624703,536.7345,735.0147,7.88750935992485,NA,NA,418.6035,536.7345,735.0147,597.1086,536.7345,735.0147,500.169132692308,508.0203722334,493.9394,501.3396,403.708375,567.3113,420.1857,599.2514,17.5619313791261,7.21459638184322,1.01569716927318,1.01498199981617,0.0224703258195278,0.0214541421826543,"PRAD"
"ZNF256",0.9979085463274,0.0157771426693961,0.111111482743233,108.114881947743,106.1065,198.6234,1.58650420761006,NA,NA,89.1058,106.1065,198.6234,120.4673,106.1065,198.6234,112.907061538462,108.728268410463,112.6877,104.7352,96.981575,128.7098,88.9306,120.4673,3.1979428105182,1.55360550876952,0.962989089689707,0.929428855145681,-0.0544086419273711,-0.105583659281935,"PRAD"
"ZNF599",0.462449290476222,0.141820906939897,0.0758439539289497,154.640568646081,93.547,252.2124,2.50854509337171,NA,NA,123.0196,93.547,252.2124,174.3257,93.547,252.2124,126.904276923077,153.754961569417,124.021,148.6014,111.013325,142.971975,122.8171,173.9377,3.18596470023025,2.29788408116264,1.21158218853897,1.19819546689674,0.276892274352405,0.260863280513551,"PRAD"
"ZNF18",0.760338650663059,0.962438026905628,0.771750706089768,278.298879097387,184.9285,313.176,6.44199295354418,NA,NA,190.3645,184.9285,313.176,329.8298,184.9285,313.176,215.486926923077,274.089339235412,214.65965,248.9078,167.69805,255.040725,189.3355,325.7301,8.70664446201445,5.72565785540751,1.2719534458499,1.159546286412,0.34704586820829,0.213560410190249,"PRAD"
"ZKSCAN2",0.441179418752411,0.0592943070780215,0.0359114878256065,192.535025415677,122.997,322.5172,2.77151812076096,NA,NA,155.853,122.997,322.5172,219.3455,122.997,322.5172,205.578361538462,193.236361167002,206.8499,186.2981,182.0722,233.036075,156.5511,220.9535,7.08367731697984,2.57823541492929,0.939964496851239,0.900643896854676,-0.0893218287183156,-0.150971299384822,"PRAD"
"ZNF689",0.977491527062583,0.329139004990071,0.662889785372812,135.310383135392,123.8631,55.0639,2.74208364775936,NA,NA,100.294,123.8631,55.0639,173.5479,123.8631,55.0639,179.879076923077,136.576429376258,182.91985,141.98,155.653325,213.8204,103.7277,174.3363,6.22841854149178,2.47499982186959,0.759268013336886,0.776186947452668,-0.397318863712581,-0.365523922268558,"PRAD"
"ZNF19",0.426162912452918,0.269149755190077,0.975108135935152,63.9594821852732,38.5015,32.3353,0.993740680105904,NA,NA,50.914,38.5015,32.3353,75.2797,38.5015,32.3353,78.5952788461538,63.9700575452716,75.42775,64.4604,64.373375,90.737475,50.914,75.2797,2.64540594939159,0.915996405297561,0.813917305013825,0.854597943064721,-0.297045872517404,-0.226682250292744,"PRAD"
"ZNF230",0.64895896632001,0.00445940467144468,0.236009582255302,91.7280011876485,110.0043,157.3255,1.00327395915733,NA,NA,76.6219,110.0043,157.3255,105.3859,110.0043,157.3255,108.450388461538,91.5138587525151,104.8443,89.5649,93.804075,124.812625,76.6926,105.0988,3.20025969118964,0.93301601411599,0.843831544088661,0.854265801765093,-0.244973075533854,-0.227243065762475,"PRAD"
"ZNF222",0.529734355131747,0.753850722524454,0.413674757438919,60.8420434679335,76.1585,50.6391,0.693166346303747,NA,NA,51.765,76.1585,50.6391,69.165,76.1585,50.6391,60.9243307692308,61.5097963782696,59.3997,61.3693,50.324575,71.440325,51.9165,69.9976,2.09801397316853,0.659570480042883,1.00960971752413,1.033158416625,0.013797701483417,0.0470614830089445,"PRAD"
"ZNF221",0.930495662528783,0.958344086597209,0.998065440542817,15.3196111638955,19.0559,18.1908,0.503050714753549,NA,NA,7.874,19.0559,18.1908,20.1699,19.0559,18.1908,19.1335134615385,15.2249064386318,19.41615,13.6337,11.662425,24.9922,8.3428,20.0228,1.34396270057175,0.450349330806451,0.795719326157027,0.702183491577887,-0.329668455786551,-0.510080016211671,"PRAD"
"ZNF233",0.488047241513416,0.977330954157734,0.606582232303636,127.857859857482,70.1602,138.1514,2.45686583455041,NA,NA,93.8176,70.1602,138.1514,154.9635,70.1602,138.1514,82.0623346153846,127.422187122736,69.12875,124.6305,52.315275,101.7983,93.8176,154.6521,5.79122751114314,2.26175397454689,1.55274874545,1.80287507006853,0.63482440215345,0.850299428918259,"PRAD"
"ZNF235",0.983694134969987,0.0244267413487613,0.193362328822327,105.099158432304,110.8705,192.7778,1.62685643443538,NA,NA,83.2131,110.8705,192.7778,121.7395,110.8705,192.7778,90.5118192307692,105.784199195171,86.84925,101.7592,77.32525,99.4132,83.9858,122.533,2.92706737235805,1.46589213722294,1.16873354324548,1.17167620906341,0.224946050779703,0.228573938260063,"PRAD"
"ZNF208",0.975243059596073,0,3.89524490862492e-06,27.5121111638955,41.5764,499.0167,3.21046862322793,NA,NA,7.3676,41.5764,499.0167,25.3205,41.5764,499.0167,38.45645,28.2170243460765,35.1694,15.0824,22.706,50.05415,7.4083,25.4742,3.2249559462464,2.98248094356389,0.733739706761192,0.428850079899003,-0.446659735313726,-1.22145470540884,"PRAD"
"ZNF714",0.930356376157915,0.907727109061756,0.845007581115682,164.089322327791,199.2204,123.4022,4.7251088028209,NA,NA,95.0724,199.2204,123.4022,215.6197,199.2204,123.4022,139.308607692308,160.941075251509,131.07205,138.4733,95.85415,173.24775,93.7012,214.6307,9.22300822261387,4.29480678769535,1.15528450048816,1.05646703473395,0.208248173633399,0.0792477511177746,"PRAD"
"ZNF394",0.890198201392262,0.946796048426163,0.994245615225672,475.6857152019,415.7644,434.6116,6.34837590276728,NA,NA,388.4534,415.7644,434.6116,530.2594,415.7644,434.6116,491.762488461538,474.795187726358,465.2064,456.3989,415.347375,564.946775,387.3371,527.5437,15.4343780203061,5.73285528877966,0.965496960151918,0.9810675433528,-0.0506563780010861,-0.0275756300986247,"PRAD"
"ZNF333",0.834832152813734,0.232268881141222,0.732690353081081,184.7121695962,215.2447,271.8781,2.59597183987995,NA,NA,143.8904,215.2447,271.8781,218.8629,215.2447,271.8781,211.031296153846,185.874900201207,218.30765,182.5957,171.334675,236.3317,146.6072,218.8629,6.51648192305819,2.38794934212427,0.880793055764111,0.836414573653282,-0.183125000251852,-0.257709895281553,"PRAD"
"ZNF382",0.736921413742659,0,0,39.5152049881235,26.8515,276.7945,0.827662668260286,NA,NA,29.3065,26.8515,276.7945,47.731,26.8515,276.7945,32.3425076923077,40.1798641851107,31.15545,38.7822,24.71735,37.666525,29.2445,47.731,1.59916517238872,0.897816818348089,1.242323711178,1.24479665676471,0.313041144299825,0.315910090697464,"PRAD"
"ZNF577",0.872349251563356,0.00343157645876568,0.0219874372066098,447.955104750594,344.3049,1126.8437,10.1336155969559,NA,NA,302.3556,344.3049,1126.8437,551.105,344.3049,1126.8437,271.721192307692,447.115082092555,262.7625,405.2565,206.558675,303.502225,300.2755,547.7607,12.9500854861708,9.42200631123471,1.64549212483305,1.54229199372057,0.718519121879164,0.625075928685428,"PRAD"
"ZNF75A",0.186391334796804,0.227285699595795,0.0434052537237263,469.372075059382,248.1594,676.9912,6.1374794278875,NA,NA,387.1409,248.1594,676.9912,532.3508,248.1594,676.9912,349.049492307692,468.892202615694,356.7339,450.0637,287.65635,393.719475,384.4891,532.3555,10.0886487953505,5.64519333233761,1.34334016507424,1.26162301928693,0.425824675074514,0.335280888567092,"PRAD"
"ZNF496",0.998763856577836,0.863359200934078,0.941028433228071,289.58997695962,284.5388,234.5133,5.19124288206723,NA,NA,213.1843,284.5388,234.5133,350.8325,284.5388,234.5133,308.597405769231,291.730993762575,309.0184,289.2893,254.255825,361.995975,216.5103,348.4955,10.4203751683526,4.74907925035208,0.945344932616614,0.936155581674101,-0.0810872663181241,-0.0951797806159034,"PRAD"
"ZNF2",0.996970958314215,0.00422437307621659,0.0702591191933218,114.224640142518,116.0676,193.707,1.20942518265967,NA,NA,98.3325,116.0676,193.707,127.713,116.0676,193.707,108.854032692308,114.269193561368,105.63195,113.0215,90.95,127.1044,98.6573,128.1006,3.13973207577053,1.12346999470783,1.0497469936127,1.06995563368848,0.0700416564213091,0.0975509757062017,"PRAD"
"ZNF589",0.468739064113532,0.966980809219992,0.788405855522126,971.782688598575,296.2321,829.8918,27.9859264863695,NA,NA,568.9122,296.2321,829.8918,1200.2263,296.2321,829.8918,797.227767307692,973.84893501006,753.2248,814.2645,586.4548,929.91525,583.2377,1199.1363,41.1501349413785,26.5066760595956,1.22154417463259,1.08103782562656,0.288706036647347,0.112417004006074,"PRAD"
"PRDM9",0.998401288684264,0.998401288684264,1,2.03107672209026,0,0,1.83533183288829,NA,NA,0,0,0,0,0,0,0.0833423076923077,1.73097847082495,0,0,0,0,0,0,0.0384950310544558,1.5547265344429,20.7695049339834,NA,4.37639492311618,NA,"PRAD"
"ZNF12",0.916731356545257,0.0072237281920321,0.149759719386504,653.29573111639,721.0914,1171.0914,8.30848277564525,NA,NA,553.9112,721.0914,1171.0914,747.8613,721.0914,1171.0914,707.958632692308,655.344933400402,691.566,634.8439,602.406525,812.015775,555.7877,744.4432,18.1388099463123,7.52671463389965,0.925682523155598,0.917980207239801,-0.111410610692214,-0.123465047157672,"PRAD"
"ZNF202",0.942042977244422,0.973691058965941,0.996709560085175,227.167987885986,247.7263,240.9046,3.04055427123229,NA,NA,187.512,247.7263,240.9046,257.4107,247.7263,240.9046,226.202953846154,228.23285472837,221.9777,218.0695,189.027425,255.10275,187.512,260.9506,6.77337662944262,2.82362624437147,1.00897380360292,0.982393726937436,0.0128887176526239,-0.0256267464605683,"PRAD"
"ZNF3",0.448086161945908,0.964324538453248,0.778382419809485,868.058324228028,589.9004,809.0265,11.1935838810952,NA,NA,709.8877,589.9004,809.0265,986.98,589.9004,809.0265,632.698646153846,869.288860160966,613.5827,839.0486,544.07175,691.094225,703.9374,988.8039,20.6907981762796,10.5699120604801,1.37393823338384,1.36745804599771,0.458317147974202,0.451496571402089,"PRAD"
"ZNF606",0.789851673400084,0.145890605757154,0.172811760847579,384.386725178147,297.0896,635.0295,6.49168509603035,NA,NA,298.8678,297.0896,635.0295,443.522,297.0896,635.0295,310.579757692308,383.863650100604,303.2631,366.2618,260.130075,346.617075,298.8883,443.522,9.53231877468224,5.89677146813541,1.23595836687109,1.20773612087986,0.305630147028512,0.272305273632871,"PRAD"
"ZNF91",0.959730853062677,0.969663877051004,0.93081771503645,547.694477434679,495.4526,592.9204,9.31276756577167,NA,NA,435.8499,495.4526,592.9204,647.57,495.4526,592.9204,510.941932692308,544.524531991952,517.7804,529.5256,404.678025,588.3774,435.0962,642.191,18.854386868191,8.31525569135087,1.06572684125315,1.02268374778188,0.091837705198868,0.0323600785679415,"PRAD"
"ZNF226",0.99992419987789,2.17158706132814e-05,0.00389307305095066,427.120637767221,425.7254,967.5516,5.79234058361256,NA,NA,342.1919,425.7254,967.5516,493.4073,425.7254,967.5516,359.583844230769,427.236398189135,328.1267,418.9304,288.291575,409.89555,346.4173,492.6943,13.89680984481,5.27079943280148,1.18814125006948,1.27673365197041,0.248706358580786,0.352457586074247,"PRAD"
"ZNF229",0.444418905774915,4.74262523975089e-06,6.09117795338232e-05,232.366733729216,123.4301,668.6332,4.36143231598623,NA,NA,168.1914,123.4301,668.6332,281.3199,123.4301,668.6332,185.197582692308,233.550849295775,176.57815,227.3497,150.95305,218.0435,171.1377,282.8755,8.3544384889706,4.0397903268849,1.26109016057624,1.28753019555364,0.334671423617241,0.364606267219867,"PRAD"
"ZNF180",0.856771793183257,0.978742139495486,0.864167004387594,218.636359857482,162.8411,239.4297,5.12691137827174,NA,NA,164.9763,162.8411,239.4297,249.4019,162.8411,239.4297,206.593855769231,216.902050301811,206.5262,201.9231,177.75755,225.25515,166.5574,247.6074,6.23815433295944,4.44534561030198,1.04989593951959,0.977711786688565,0.0702463421973548,-0.0325188497458169,"PRAD"
"ZNF641",0.28492283164163,0.278282967576993,0.0803165928086721,123.025884085511,223.4734,21.6323,3.22775386861918,NA,NA,76.8939,223.4734,21.6323,165.3423,223.4734,21.6323,138.345796153846,122.99253501006,136.73045,121.3626,97.694275,177.8069,77.2219,164.0321,7.3822003664929,2.90691888175364,0.889022568298987,0.887604772748133,-0.16970805180559,-0.172010669802246,"PRAD"
"ZNF610",0.730993320339741,0.770908462588585,0.998756518963982,195.727932066508,134.6903,140.118,3.93739350543709,NA,NA,140.1752,134.6903,140.118,238.3548,134.6903,140.118,136.753434615385,194.113284305835,133.23405,182.6426,96.70395,158.236075,140.7286,235.9914,7.56479617912794,3.53872474843084,1.41943992011443,1.37084026193004,0.505321786161767,0.455060469915305,"PRAD"
"ZNF528",0.993695684052883,0.99668827195566,0.999758975632063,374.906618052257,361.6284,365.2901,6.03497002801784,NA,NA,292.5652,361.6284,365.2901,442.3398,361.6284,365.2901,349.501892307692,375.946790140845,334.10665,357.2331,291.18605,413.826875,297.4699,442.5963,12.3435066292767,5.45888974489844,1.075664534056,1.06921876592399,0.105228216821816,0.0965570637447873,"PRAD"
"ZNF701",0.903409414394676,0.21806951753997,0.298620975964579,129.384326365796,148.1161,56.5388,2.1236739983135,NA,NA,98.7709,148.1161,56.5388,153.6439,148.1161,56.5388,135.7531,129.300865593561,142.15775,130.078,105.13335,163.321825,98.4316,154.0453,5.05255872938194,1.98139628917864,0.95247081351042,0.915025737253157,-0.0702532099967997,-0.128115771725335,"PRAD"
"ZNF283",0.586526269772729,0.227405622426001,0.886331260861297,50.364764608076,65.8294,76.2045,0.763991927414056,NA,NA,39.4737,65.8294,76.2045,59.5596,65.8294,76.2045,44.6005596153846,50.1828241448692,45.10465,48.4452,36.845875,52.18755,39.4655,59.4771,1.56455861559448,0.697735542729877,1.1251613113742,1.07406220866363,0.170131851607957,0.103077555270631,"PRAD"
"ZNF558",0.949219239662148,0.00011627141254078,0.00481219366141905,325.615504038005,296.2321,722.7139,4.65154663018117,NA,NA,266.7884,296.2321,722.7139,381.8117,296.2321,722.7139,319.656330769231,326.28568470825,326.6046,317.8259,280.815475,364.8207,267.4095,381.1999,8.55594181561511,4.22274360344224,1.02073900405184,0.973121321622537,0.0296140261618103,-0.0393084140413055,"PRAD"
"ZNF597",0.84686624153145,0.930099303126104,0.794942010954774,41.6433413301663,51.1044,35.3982,0.838363811238639,NA,NA,29.6827,51.1044,35.3982,50.9631,51.1044,35.3982,44.2726096153846,41.3323782696177,42.4072,39.0405,36.452425,50.1304,29.9556,49.6091,1.61261358698295,0.744312264360528,0.93358802719537,0.920610179403498,-0.0991420355737036,-0.119337700018641,"PRAD"
"ZNF30",0.685647169520486,0.741266844913216,0.50928633851124,246.595205938242,71.8926,402.1632,10.2670026409717,NA,NA,129.7539,71.8926,402.1632,269.9514,71.8926,402.1632,95.0112076923077,239.608060362173,87.62525,177.3585,76.19345,107.664825,125.7461,268.2686,4.63891031070694,9.07850576235188,2.52189258701079,2.02405699270473,1.33450682939851,1.01724991351783,"PRAD"
"ZNF354A",0.627464501751493,0.000825682847924614,0.128819114273155,198.319104750594,253.7895,418.8791,2.93263785984684,NA,NA,159.7484,253.7895,418.8791,225.5103,253.7895,418.8791,184.387951923077,198.666510865191,184.84215,190.3855,153.733125,208.777075,160.8974,225.5103,6.54304235246552,2.64789451506229,1.07743759173631,1.0299896425139,0.107604306715715,0.0426298298658056,"PRAD"
"ZNF764",0.619890961948106,0.989126587149199,0.727729691553242,221.321794299287,169.7705,229.1052,2.69051326285995,NA,NA,184.7134,169.7705,229.1052,248.2057,169.7705,229.1052,175.008019230769,221.407799396378,170.98905,212.1569,151.207775,186.46785,184.6212,248.6211,4.6223571892268,2.49805958836546,1.26512945160773,1.24076307810354,0.339285013091379,0.31122766125658,"PRAD"
"ZNF747",0.616800411592464,0.104360205620166,0.715903283917208,317.358997149644,259.1208,190.7375,3.02370229315004,NA,NA,279.2709,259.1208,190.7375,354.3804,259.1208,190.7375,343.451930769231,317.112181287726,333.82765,319.659,313.669175,365.091825,279.0901,354.085,6.99891548462773,2.88568043837072,0.923308774469513,0.957556990860404,-0.11511489782819,-0.0625697405026371,"PRAD"
"ZNF778",0.987774820233,0.53544294377856,0.792885236456498,79.3011014251781,72.3257,29.4985,2.27321201571594,NA,NA,48.6654,72.3257,29.4985,95.0861,72.3257,29.4985,88.1630153846154,78.0993261569416,85.6891,69.0877,67.385875,111.42975,48.0395,94.1612,4.41198344275402,2.0192767024872,0.885851349528253,0.806260072751377,-0.174863467541533,-0.31068281550419,"PRAD"
"ZNF212",0.986746477061152,0.0699993533385116,0.312754539252386,412.0109847981,425.7254,607.178,4.29136773374748,NA,NA,355.2413,425.7254,607.178,460.8185,425.7254,607.178,351.152184615385,412.458652313883,347.1831,402.444,302.4072,397.777075,356.4979,459.7043,8.90849495202313,4.00645470401427,1.17458660485239,1.15916932592629,0.232153090348603,0.21309132374839,"PRAD"
"ZNF282",0.984622337593495,8.7585149666225e-06,0.00163719096048975,1090.97353444181,1053.7029,2144.5428,10.8210499358254,NA,NA,954.3749,1053.7029,2144.5428,1206.182,1053.7029,2144.5428,843.317998076923,1092.05778410463,797.31115,1075.5814,705.553325,985.9873,954.3749,1208.5483,24.6792357588644,10.1035950245325,1.29495372634632,1.34901085981301,0.3729005458165,0.431901962322735,"PRAD"
"ZNF160",0.82940596641984,0.984934869029473,0.953130950392187,522.822260807601,591.165,542.2812,5.7084116039063,NA,NA,446.0285,591.165,542.2812,583.3054,591.165,542.2812,564.033121153846,523.050084909457,575.41885,515.1515,492.9633,638.112275,446.5759,581.0023,13.3392081959838,5.50869373911577,0.92733930915165,0.895263511092833,-0.108830784016051,-0.159615708384803,"PRAD"
"ZNF415",0.948759550677078,0.247216501716228,0.36802487651062,201.714488836105,184.9285,288.5939,2.64504185193957,NA,NA,167.5373,184.9285,288.5939,232.0261,184.9285,288.5939,289.993071153846,200.818422736419,290.1543,200,231.707075,337.4182,166.5444,232.0261,11.9109082957216,2.48027456696076,0.692493865240942,0.689288423435393,-0.530126804412429,-0.536820309358984,"PRAD"
"ZNF439",0.859196760805855,0.498690617730792,0.472632221001237,104.715533016627,137.722,33.9233,3.06103537288657,NA,NA,56.0034,137.722,33.9233,146.6784,137.722,33.9233,124.808671153846,103.146140241449,126.27995,97.6896,97.6795,147.8292,55.0397,144.8137,6.76777996383165,2.75078709376873,0.826434087374466,0.77359549160417,-0.27502833357901,-0.37034870785345,"PRAD"
"ZNF440",0.678421349814421,0.88069793966787,0.618714817808935,348.472393824228,242.5292,409.0462,6.1403216627117,NA,NA,268.4802,242.5292,409.0462,411.1484,242.5292,409.0462,370.832755769231,346.757789939638,346.58745,331.0088,285.498075,421.4893,267.2929,409.2191,21.287968051677,5.4695472646691,0.93507864271684,0.955051315331816,-0.0968403901155268,-0.0663498430103889,"PRAD"
"ZNF562",0.964766321027395,0.891011255340188,0.988726094013949,563.475180997625,514.9415,476.4012,9.26151507766924,NA,NA,428.2308,514.9415,476.4012,663.4314,514.9415,476.4012,534.497825,560.518505231388,499.06755,519.5246,423.553925,589.9991,430.8177,659.0739,22.5857089655641,8.39726767870134,1.04868248103982,1.04099054326413,0.0685779263697233,0.0579569627315592,"PRAD"
"ZNF561",0.758713533972796,0.872232796460375,0.669517210718601,894.31555391924,744.045,1000,10.3274471206,NA,NA,751.2513,744.045,1000,1033.0171,744.045,1000,1130.78664807692,889.717430985915,1124.11195,888.1748,962.15945,1222.052675,746.2295,1024.9752,35.3385155868488,9.3931445089774,0.786812819641103,0.79011240828816,-0.34590763106607,-0.339870176605958,"PRAD"
"ZNF584",0.660537959894921,0.591551741259735,0.996721155297795,176.945152019002,143.3521,139.1347,1.88309735651484,NA,NA,149.6051,143.3521,139.1347,199.3294,143.3521,139.1347,186.95945,176.788387525151,183.77405,173.9503,168.055175,204.16065,149.5399,199.1716,5.34906940247554,1.77429582608328,0.945597494671443,0.946544411466146,-0.0807018817385341,-0.0792578967250772,"PRAD"
"ZNF274",0.347411115691013,6.43165853957406e-05,0.000199782078030397,458.281456294537,272.4123,1032.94,6.51262194818306,NA,NA,362.908,272.4123,1032.94,535.2413,272.4123,1032.94,437.876192307692,462.421496579477,438.01255,454.0506,386.10585,498.20955,363.5409,536.6134,11.9921251887969,6.36482873051536,1.05605535241006,1.03661550336857,0.0786854545397833,0.0518808755916593,"PRAD"
"ZIK1",0.853071629003642,0.927552145645994,0.797100512129307,76.3928456057007,48.0728,95.8702,2.56655408246663,NA,NA,39.9015,48.0728,95.8702,102.1898,48.0728,95.8702,106.627723076923,77.6437038229376,106.9472,70.8569,86.945825,123.16905,41.2916,103.0487,4.52684458614899,2.38112447981163,0.728175577442689,0.662540954788905,-0.457641740390543,-0.593918457766206,"PRAD"
"ZNF540",0.731661003831295,0,1.40330949971457e-07,111.624535154394,67.8735,524.2625,2.82640442077725,NA,NA,76.226,67.8735,524.2625,130.872,67.8735,524.2625,110.133211538462,113.69712555332,99.9109,100.2999,84.969875,125.65045,75.8859,132.533,5.01657362910299,2.76248574305461,1.03236002986814,1.00389346908095,0.0459461904545183,0.00560618185538827,"PRAD"
"ZNF570",0.488042641250832,0.0610839282796936,0.704295976903867,55.5852712589074,80.9874,106.0423,1.08165930046474,NA,NA,41.2998,80.9874,106.0423,67.1812,80.9874,106.0423,66.3825884615385,55.5329245472837,65.87265,54.431,49.217975,80.63315,41.2998,66.4835,2.97781482994457,0.967610641947939,0.836558589146596,0.826306517196439,-0.257461510617474,-0.275251048339042,"PRAD"
"ZNF57",0.486696941289043,0.997988710627581,0.669794019927896,102.629328028504,72.3257,104.2281,1.28788509649579,NA,NA,86.7767,72.3257,104.2281,117.3745,72.3257,104.2281,118.851065384615,102.904143863179,110.05095,101.0269,86.206475,143.411525,87.1387,117.8344,6.13525202712132,1.22261850326501,0.865824328374085,0.918001162188968,-0.207853756185635,-0.123432114795992,"PRAD"
"ZNF556",0.947437628352037,0.948326107766139,0.999997941229444,7.14118123515439,0.4331,0.4916,1.04328027663698,NA,NA,0,0.4331,0.4916,1.5931,0.4331,0.4916,1.69276153846154,6.92771247484909,0.3563,0.4276,0,0.78985,0,1.634,0.81398168198893,0.941345611083582,4.0925507328961,1.20011226494527,2.03300030103515,0.263169369587191,"PRAD"
"ZNF554",0.304281415704146,0.00913908042886047,0.00516079845370709,133.164437767221,88.783,222.2222,1.46529878584048,NA,NA,114.4913,88.783,222.2222,150.4854,88.783,222.2222,134.665569230769,133.616933802817,135.44885,131.2921,115.006325,148.352175,114.4217,151.8442,3.80029851660938,1.37565755096384,0.992213039799688,0.969311293525194,-0.0112781774363256,-0.0449680345070382,"PRAD"
"ZNF738",0.902596504743215,0.0473950231901513,0.355034912151896,183.409876009501,213.5123,349.0659,3.39776431872535,NA,NA,135.516,213.5123,349.0659,224.5908,213.5123,349.0659,157.795688461538,182.125065995976,157.00225,168.9389,119.85195,176.963875,136.206,221.0437,7.78042641954925,3.07770235326834,1.15418277756282,1.07602852825358,0.206871708734759,0.105716327917175,"PRAD"
"ZNF596",0.976593559161875,0,0,62.5522562945368,56.3014,376.1062,1.46798788431943,NA,NA,42.1384,56.3014,376.1062,75.2288,56.3014,376.1062,78.2077730769231,63.1990804828974,72.6759,58.3533,64.409575,91.853225,42.3692,75.6087,3.17467266301718,1.45513297284069,0.808092060372777,0.802925041175961,-0.307408436220158,-0.316662786810408,"PRAD"
"ZNF621",0.949648384728864,1.75816916581084e-10,2.33072996476125e-05,562.283280285036,609.7878,1601.7699,7.55305003366824,NA,NA,473.5895,609.7878,1601.7699,657.0333,609.7878,1601.7699,551.317959615385,568.883900603622,556.71825,569.0134,486.5676,616.679425,477.4428,657.0333,11.6569921821006,7.47383746790196,1.03186172458538,1.02208504930456,0.0452496542682293,0.0315152501940703,"PRAD"
"ZNF680",0.44918646671883,0.983287650261149,0.590649825930888,680.58364584323,1343.8718,584.5624,26.7329965650068,NA,NA,352.631,1343.8718,584.5624,782.7997,1343.8718,584.5624,445.246646153846,665.349879275654,351.57475,494.0063,267.0116,513.7614,341.9617,773.1443,35.3435918731977,23.6263790304999,1.49434001361519,1.40512451477246,0.579508448090571,0.490697980186612,"PRAD"
"ZNF483",0.78730170931075,0.627712869235609,0.50337761903633,27.8016802850356,16.0243,44.2478,0.86985250051586,NA,NA,15.544,16.0243,44.2478,34.5214,16.0243,44.2478,56.5973134615385,27.62253722334,53.9185,23.9662,38.829725,68.78145,15.6845,34.4688,3.76687424762608,0.774699758171083,0.488053858636088,0.444489368213137,-1.03488773132113,-1.16977918339052,"PRAD"
"ZNF417",0.646355631420089,0.795638715189189,0.983351657936329,171.920109738717,231.2689,214.8476,3.24286163883472,NA,NA,125.9992,231.2689,214.8476,210.6568,231.2689,214.8476,189.939809615385,172.035487927565,191.46925,167.5632,154.04215,225.61455,125.2874,210.1889,7.21381076934842,3.01051287751792,0.905736866199486,0.875144181115244,-0.142836114116334,-0.192407372520559,"PRAD"
"ZNF791",0.916294803379528,0.648226362002332,0.633907442903958,218.947036817102,261.5851,123.8938,5.21110914447216,NA,NA,152.8207,261.5851,123.8938,279.5155,261.5851,123.8938,291.278317307692,217.875893963783,301.1842,215.1018,212.52435,351.26135,153.6426,278.8043,13.2343997609276,4.64095176683769,0.747999013375339,0.714186866376125,-0.418891727714885,-0.485626491330584,"PRAD"
"ZNF519",0.909406627457511,0.853056924632851,0.995894227069915,37.4706864608076,44.6081,46.706,0.836921144392192,NA,NA,25.6185,44.6081,46.706,46.4426,44.6081,46.706,45.0119730769231,37.7506384305835,44.05875,35.2239,34.6081,54.843525,25.8945,46.4175,2.35852792042861,0.799468862485144,0.838679930028165,0.799475700059579,-0.253807762723486,-0.322873911008291,"PRAD"
"ZNF25",0.127225704398493,0.981056556091334,0.426918659302438,298.139183847981,460.3725,313.6676,4.05833401862192,NA,NA,237.8347,460.3725,313.6676,353.3644,460.3725,313.6676,428.057825,299.250306036217,393.8334,296.1007,334.453525,514.806175,238.255,352.2227,19.4303715690761,3.79257891631033,0.699088507577726,0.751842530369441,-0.516452976396648,-0.411497566554077,"PRAD"
"ZNF77",0.841669205348844,0.0437020937665324,0.0912835419458502,80.0451054631829,61.4985,159.7837,1.61380925405879,NA,NA,59.0455,61.4985,159.7837,91.8652,61.4985,159.7837,77.75475,80.4545585513078,71.53585,73.1219,57.640325,89.3693,59.506,91.8652,4.00536897660244,1.49301871213389,1.03472210445417,1.02217140077318,0.0492433548179101,0.0316371320016239,"PRAD"
