"gene","Prostate Adenocarcinoma Acinar Type-Prostate Adenocarcinoma  Other Subtype","mean-Prostate Adenocarcinoma  Other Subtype","mean-Prostate Adenocarcinoma Acinar Type","SEM-Prostate Adenocarcinoma  Other Subtype","SEM-Prostate Adenocarcinoma Acinar Type","Q1-Prostate Adenocarcinoma  Other Subtype","Q1-Prostate Adenocarcinoma Acinar Type","Q3-Prostate Adenocarcinoma  Other Subtype","Q3-Prostate Adenocarcinoma Acinar Type","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF175",0.685725223209926,147.814246666667,143.073426548673,14.9386290882647,2.07600749689722,119.8845,115.124,177.05055,170.202175,169.714976923077,142.853022736419,167.56045,141.1876,146.957475,194.145075,115.1936,168.8274,5.44414902838821,1.98974227674728,0.84172313679285,0.842606951700118,-0.248582321049067,-0.247068276373957,"PRAD"
"ZNF14",0.709003628332265,240.066986666667,245.792601548673,16.3959469171728,2.74019513803844,194.816,208.635875,266.6558,275.43775,260.887625,245.375185110664,246.68935,242.1299,214.33905,300.90075,207.1307,274.7391,8.90814571257042,2.60447695113183,0.940539763473503,0.981517442889205,-0.0884391566111271,-0.0269141883307637,"PRAD"
"ZNF85",0.0281951503103264,142.254613333333,118.084390265487,14.7380941217741,1.94121038982155,110.85715,91.579375,150.96175,136.1574,92.4627307692308,118.348601207243,88.5063,112.2145,77.357425,101.03905,91.7526,136.1685,3.26012118123412,1.85723673904579,1.27996004684978,1.26787019681085,0.356098778107089,0.342407051468629,"PRAD"
"ZKSCAN1",0.900486175855363,1463.67741333333,1497.0159579646,192.085238330678,48.0974507013674,1148.3629,758.643025,1795.1203,1944.640275,1306.55306153846,1473.80279195171,1153.4545,1256.2104,724.9472,1876.891025,769.9243,1910.4116,90.348928653985,44.5890997622978,1.12800837205671,1.08908535187127,0.173777775431631,0.123117022829989,"PRAD"
"ZNF862",0.648836775933751,768.857693333333,723.366901327434,70.3656790004199,18.0265327297029,588.68735,487.69975,1034.7203,870.364725,478.298075,729.614200804829,445.30495,642.7916,359.020275,544.907875,503.8432,875.1493,23.7527387101482,17.2115167782816,1.52543829662043,1.44348631202056,0.609223824649386,0.529557427162613,"PRAD"
"ZNF684",0.922287071768904,36.38874,36.1101561946903,2.76785716197997,0.511748714614588,30.1829,29.5317,39.85865,42.11185,43.4251519230769,35.9374583501006,41.66845,34.8582,35.75465,48.5293,29.2867,41.6269,1.94836854550707,0.493682286979522,0.827572426545796,0.836560995189406,-0.273042517292556,-0.257457361259516,"PRAD"
"ZNF430",0.874028091693687,116.016726666667,113.771692256637,12.2427620292367,2.54533237390912,105.86185,81.886425,151.2749,144.295325,165.029225,112.976104225352,166.83325,113.8329,104.8553,206.554475,80.9031,143.3428,8.99195268873869,2.38821550034339,0.684582407905946,0.682315425731981,-0.546703875798376,-0.551489261886979,"PRAD"
"ZFP30",0.431653258774965,214.923126666667,201.403999336283,23.4388201172501,3.03399748005419,173.2152,158.490025,229.02895,234.813175,209.850923076923,201.136053722334,197.6943,195.0391,175.9246,245.3945,158.5661,234.2864,7.35097099102421,2.90081284785732,0.958471141194864,0.98656916259093,-0.0611931007423351,-0.0195079014860672,"PRAD"
"ZNF549",0.189059755729477,249.064213333333,226.231971238938,20.1945046087976,3.0918040565297,191.29695,186.31165,316.9042,261.4369,200.225042307692,226.782762374245,195.67915,223.3288,172.71175,224.78875,185.6502,261.38,6.00466458607741,3.00582802005538,1.13263935300231,1.1413009510722,0.179688561545029,0.190679267848828,"PRAD"
"ZNF211",0.168279211943751,251.18886,225.413899336283,20.581477450925,3.33437644524961,217.9328,178.112825,287.9346,256.26915,248.205678846154,227.005559959759,226.74585,218.4021,195.56395,286.170975,180.1465,258.21,9.87169004003575,3.25082186132461,0.914586487364232,0.963202193116214,-0.12880849080549,-0.0540894179119615,"PRAD"
"ZNF205",0.213330649558799,468.742666666667,401.601876548673,58.828526434834,9.62120511654987,316.1765,276.76345,558.85965,464.31275,280.079328846154,403.227746076459,263.8147,367.7533,218.71015,323.476425,281.5317,465.0148,11.6417629215504,9.01296423701797,1.43969120369447,1.39398335270931,0.525759404256288,0.479213332291605,"PRAD"
"ZNF45",0.573993065189784,250.9346,259.396623893805,14.651799536722,2.69656433229494,221.285,223.2629,285.9182,298.926075,282.927321153846,259.707069416499,281.4471,266.0473,244.190925,320.103925,223.7199,299.3767,7.43968989240198,2.58584599340914,0.917928563269714,0.94528350087814,-0.123546212954962,-0.08118102060946,"PRAD"
"ZNF133",0.0878242064766656,368.39112,315.349690929204,29.0974990433431,5.56498669178531,290.59535,233.8657,415.43045,374.980325,298.736823076923,317.983020120724,294.3983,301.6529,246.765575,343.889725,237.7363,375.5783,10.0667421503215,5.31243566644507,1.06442525847858,1.02464212599054,0.0900746505812162,0.0351201114750017,"PRAD"
