"gene","p-adj-Magnoid-Bronchioid","p-adj-Squamoid-Bronchioid","p-adj-Squamoid-Magnoid","mean-Bronchioid","mean-Magnoid","mean-Squamoid","SEM-Bronchioid","SEM-Magnoid","SEM-Squamoid","Q1-Bronchioid","Q1-Magnoid","Q1-Squamoid","Q3-Bronchioid","Q3-Magnoid","Q3-Squamoid","count-Bronchioid","count-Magnoid","count-Squamoid"
"ZNF354B",0.240981798460718,0.0434117150250912,0.79760139713977,98.3857685393258,85.764846031746,80.6137576923077,5.70423891562974,5.00201751991312,5.1327758606709,62.0931,56.31465,48.3224,123.1203,107.3339,100.5707,89,63,78
"ZNF223",0.96474192078545,0.982350172697164,0.910470450631004,98.3545426966292,96.4471063492064,99.6200448717949,3.93300225336338,6.56361288044289,5.44981931495713,74.8773,60.24845,73.492375,126.8648,117.7647,112.3902,89,63,78
"ZNF713",0.99864127765439,0.50735609442291,0.535607195929223,51.8161404494382,50.6179523809524,77.1014448717949,3.57725880716885,4.10405815918995,27.9997739314506,28.9937,29.3746,23.041325,66.5929,64.12295,62.709725,89,63,78
"ZNF552",0.00973231383306861,0.000159533738289364,0.641549311649472,358.50323258427,279.96770952381,255.363914102564,16.6876450767182,22.8875919233729,16.8218882277826,237.8426,171.18005,145.63785,421.2145,312.1555,308.698175,89,63,78
"ZNF154",0.0041707213875396,0.0317291516946508,0.698381852564684,67.3271101123595,42.1849952380952,48.6752320512821,6.23862199772417,5.55381531263125,3.76139915725405,23.1689,17.6351,22.162725,84.8256,47.3688,70.06665,89,63,78
"ZNF571",0.172481299437133,0.611068674047866,0.653066965003688,85.7244438202247,75.2806714285714,80.5427025641026,3.1696160993526,4.81845626492091,4.3391614735687,67.0834,47.0291,58.26505,97.8593,87.51115,95.173025,89,63,78
"ZNF443",0.503458632156622,0.939778657095789,0.715640789628042,81.3763808988764,73.9149142857143,79.2672076923077,3.84409207863897,5.17464471676271,5.03236386412042,59.499,50.5719,50.0437,100.1595,87.38515,94.00345,89,63,78
"ZNF792",0.0494502285947261,0.0992074256275344,0.913428930154452,154.336166292135,132.241793650794,136.14063974359,5.21951246961115,7.44317884326349,7.08988313685002,117.5975,92.83645,92.8755,184.3904,159.35685,161.0621,89,63,78
"ZFP82",0.0770154028612494,0.836829678700664,0.249037463878463,91.4075415730337,71.7716634920635,86.5782884615385,6.72089699572855,5.57231141221229,5.84299147604297,58.5413,36.25065,49.63925,113.7627,98.05745,110.6347,89,63,78
"ZNF707",0.168919356240811,0.768287652642511,0.046048949838905,215.684242696629,249.531331746032,203.483841025641,10.3135024759789,19.6804337273799,9.87325146391797,158.4046,156.23875,135.128125,240.4959,314.9741,252.8481,89,63,78
"ZNF746",0.00244063106698911,0.16594970455676,0.23857509486932,470.211430337079,544.751358730159,507.969774358974,11.1658963116315,20.3362960335796,15.6867476577161,393.8714,427.65705,415.9049,531.2679,645.6139,585.706,89,63,78
"ZNF678",0.812744203881553,0.342041384181853,0.146979409684313,64.7445797752809,68.0267301587302,57.6866602564103,3.15463675070075,5.09776935865765,3.16076907172864,40.7869,37.7305,41.342925,81.1057,90.0691,68.456625,89,63,78
"HKR1",0.751687161683111,0.315030522302818,0.802998315993601,592.7427,554.325877777778,519.683621794872,38.3590679466462,42.2386181602636,29.765946539397,372.7648,343.9633,335.0663,694.5731,664.64925,577.69645,89,63,78
"ZNF101",0.355277536313732,0.153741977224553,0.00748095856908526,117.269662921348,103.542785714286,134.722266666667,5.58410922675418,6.16361573786895,8.56790164043072,83.7093,70.4408,88.98015,138.5108,120.1423,157.99875,89,63,78
"ZNF716",0.681733422036214,0.893293257438132,0.916787524380082,4.74457415730337,2.14861428571429,3.41888717948718,2.62499255518451,0.931951078440019,1.98187474113989,0,0,0,0,0.4306,0,89,63,78
"ZNF708",0.0266221020069064,0.0777078797296219,0.852915184223193,176.714548314607,137.749084126984,146.031238461538,8.83670447065482,14.505030451656,8.60463591538235,119.9078,79.26875,96.16285,217.8423,149.80995,183.148525,89,63,78
"ZNF721",0.0870754720151526,0.0669501690667466,0.999866224280459,463.299476404494,411.106934920635,411.500565384615,18.3255869066405,15.8901305440168,15.4577449574356,350.7461,333.01755,319.091775,507.4037,479.42845,480.136375,89,63,78
"ZNF662",0.345140522002691,1.69645667477125e-05,0.0114089158711234,120.703457303371,101.282136507937,59.7605705128205,9.82878145412072,12.8955989958578,6.00442399009438,51.9878,25.3236,20.933325,155.4109,126.3806,77.5681,89,63,78
