"gene","p-adj-1-[Unknown]","p-adj-2-[Unknown]","p-adj-2-1","p-adj-3-[Unknown]","p-adj-3-1","p-adj-3-2","p-adj-4-[Unknown]","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-[Unknown]","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-[Unknown]","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-[Unknown]","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-[Unknown]","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-[Unknown]","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-[Unknown]","count-1","count-2","count-3","count-4","count-5"
"ZNF416",0.989906888291449,0.999998360680149,0.125730318590029,0.999894983264962,0.409433382838065,0.973208984157702,0.999993151644854,0.131577929707524,0.999953602028087,0.989339716765581,0.978107195885747,0.2927448383123,0.733467141076043,0.611077930076278,0.700064915462746,99.4634,118.532302631579,102.645759663866,106.806608148148,103.692870238095,72.09195,30.6481,5.9910714455321,3.9909500722747,3.52897308805739,3.13549392443975,7.8032315657788,84.13935,87.807375,71.61945,74.27075,78.343725,60.0765,114.78745,143.900125,126.25555,133.38345,121.2776,83.26285,2,76,119,135,168,4
"ZNF586",0.906667613437878,0.979222617221507,0.642587862708291,0.927480847700081,0.999345645555559,0.729232558095928,0.922563114463711,0.9997523111866,0.630400184861864,0.999999169490705,0.99998270812359,0.854157815663725,0.978097480454738,0.88997217248185,0.880574943763138,117.1792,164.565747368421,150.144977310924,161.388497777778,162.054805952381,126.361375,9.16529999999999,7.70654906084736,5.73137297064478,5.37257593931088,5.04338191176894,22.681014296704,112.59655,122.557725,112.2433,115.5491,119.0581,96.26025,121.76185,196.5603,169.71085,198.88455,194.346025,144.762475,2,76,119,135,168,4
"ZNF446",0.862120741047784,0.956164600337942,0.713626831223344,0.925498040045581,0.952541782821971,0.985758579580623,0.94133017927797,0.836285934027612,0.999239096397904,0.999288596858675,0.769221151217307,0.987654833830958,0.896997284806839,0.947076487363624,0.924118527733072,270.7682,200.377990789474,218.292876470588,211.133271111111,214.62397202381,172.07455,47.5713,7.22598677504609,8.99568678125065,6.92374465565872,6.94554108164598,23.6440342752494,246.98255,162.679725,153.65385,157.0594,148.224575,140.94845,294.55385,237.27065,264.30115,250.31535,274.290175,186.9277,2,76,119,135,168,4
"ZNF8",0.999964953407877,0.997660177945942,0.0234357646259828,0.999999999702624,0.90241095063825,0.141146782217829,0.999640129404849,0.108136883711161,0.954799051342579,0.485899170572084,0.99567736886617,0.991072273195165,0.660811383131394,0.946125521976532,0.780502006492843,91.73825,86.0427171052632,105.118635294118,92.2840888888889,100.806879166667,73.242125,11.07535,4.93286538322778,3.70302910847503,3.30457637430669,3.44245391514031,13.8654085474954,86.200575,60.6077,78.15035,65.21475,69.654675,54.7155,97.275925,97.884275,121.7867,110.67745,119.357575,83.235325,2,76,119,135,168,4
"ZNF264",0.920619333310319,0.99255159358348,0.321646601994731,0.90500698575113,0.999953231792883,0.0962175518860416,0.977522451828397,0.753421044464222,0.937347590619152,0.420410653901347,0.999999536923934,0.65175675614404,0.93466820970115,0.603108279214184,0.850779463663166,500.98495,676.516688157895,602.511642857143,683.688548148148,630.195895238095,483.8432,62.83165,30.5677021259181,20.8532640795884,24.0557286522947,17.3721895189244,61.721120179252,469.569125,483.6116,449.04905,467.65505,467.819,438.603875,532.400775,808.73655,719.6406,877.1683,777.0651,533.576175,2,76,119,135,168,4
"ZNF213",0.984396354397472,0.834666462872216,0.113328103622574,0.919136367048311,0.622320294061119,0.842863220517982,0.895974307407251,0.368539691034016,0.95561328861406,0.998680489737888,0.98464838434354,0.999962553462685,0.994496704063402,0.999875566626645,0.999410253353176,659.09625,563.625363157895,490.087492436975,519.469225185185,510.373255357143,544.0941,76.34365,27.3541163008354,18.3878484931472,16.3002660339238,13.9371415869251,21.8164417844661,620.924425,411.04825,357.23025,391.61285,397.139675,515.20445,697.268075,673.446625,582.3008,621.11915,611.482225,578.6021,2,76,119,135,168,4
"ZNF343",0.999999869262479,0.997096630850154,0.351800487602936,0.999999998707283,0.998062104149126,0.0570048242102296,0.999892466421632,0.943936198046002,0.736652553491867,0.581885866687445,0.869004767294981,0.453769651256232,0.805020902967077,0.365489125258807,0.601076011134305,182.27435,185.505486842105,206.66322184874,180.998585925926,194.631367857143,253.242175,50.30405,9.65448454439958,7.39247198887769,5.76305078523047,5.00108629868224,35.5566025208721,157.122325,138.65175,156.9651,138.20105,143.529425,222.337575,207.426375,217.04155,243.7173,222.89025,235.579575,294.73765,2,76,119,135,168,4
"ZNF302",0.902880578769231,0.99027877055425,0.274501282854779,0.967908502469754,0.810325907026683,0.898299220286734,0.985061895692689,0.36865450698674,0.999310795606336,0.969755607876191,0.999994584532302,0.818938635156149,0.988536575938337,0.947467819138726,0.979664202360878,356.35435,524.442921052632,454.191922689076,484.050837777778,463.612202380952,381.88385,104.61215,34.6759660796049,17.7045800456546,17.4556197004718,17.2031458152416,81.2137035030675,304.048275,359.259175,332.2861,342.04,321.0471,305.014625,408.660425,617.5583,569.9927,582.40455,545.616025,470.702175,2,76,119,135,168,4
"ZNF268",0.804214340673526,0.808120760276914,0.999999840017918,0.766509108655613,0.999646224658896,0.998260938440023,0.778793751329919,0.999961452389993,0.999652936886631,0.999990836609212,0.999887320036073,0.752276842815672,0.75592817410573,0.690594680946288,0.708809321640644,208.13685,342.396522368421,340.98765210084,348.880608148148,346.383939880952,239.1651,66.25335,15.0979323436587,13.5894760487549,10.8475943851881,13.2255939767993,16.6507386023864,175.010175,262.8224,228.95325,264.7692,244.488775,217.817325,241.263525,386.78825,442.4991,423.50495,416.1825,252.296725,2,76,119,135,168,4
"ZNF184",0.771423894200801,0.826456879775584,0.994892594574166,0.812927574843726,0.998374519967513,0.999991298949281,0.912885007997583,0.572194610108485,0.816284213447858,0.700237403681329,0.994018021366655,0.940905698710476,0.971385760966488,0.964962489826144,0.99663614537353,158.99155,243.223085526316,236.296218487395,237.906288148148,223.091892261905,201.24875,8.29465,9.54340573980554,7.75554655322431,8.94155458390008,6.26253955242793,35.3188031879267,154.844225,182.820875,174.58665,168.86275,167.93895,193.6171,163.138875,286.326975,278.8719,284.8836,264.390925,235.1158,2,76,119,135,168,4
