"gene","p-adj-LIVING-DECEASED","mean-DECEASED","mean-LIVING","SEM-DECEASED","SEM-LIVING","Q1-DECEASED","Q1-LIVING","Q3-DECEASED","Q3-LIVING","count-DECEASED","count-LIVING"
"ZNF20",0.000155345479758373,74.0247189189189,85.6171200668896,2.31263720779449,1.98081077158753,53.893325,63.2354,91.74125,103.07405,222,299
"ZNF670",0.168544546005752,60.2100441441441,64.3442846153846,2.03941361016868,2.09323463622218,41.97855,41.94225,72.4396,75.64835,222,299
"ZFP37",0.473216787056789,57.9047427927928,55.2836789297659,2.92833129927493,2.27461353048594,31.94825,27.255,71.0919,76.4053,222,299
"ZNF189",0.561674045172012,327.893484684685,335.047523411371,9.25126861418125,8.09289911666975,238.40995,249.94295,395.614,400.99535,222,299
"ZNF434",0.403731756919325,302.719376576577,309.290945150502,5.81939655414126,5.21975701517961,246.923725,248.45515,348.855225,353.891,222,299
"ZNF287",0.086839055665263,63.0096581081081,70.6446946488294,3.40815431352742,2.88145287507644,25.580875,35.8433,86.938075,94.79125,222,299
"ZIM3",0.0421395770286792,0.185883333333333,0.369330100334448,0.0469341930190068,0.0693164672460188,0,0,0,0,222,299
"ZFP14",0.00307464254274448,70.3720040540541,86.1383411371237,3.32697075655936,3.8418461517417,35.2054,39.58765,92.13555,114.11165,222,299
"ZNF473",0.00118952680845719,253.296590990991,287.398908695652,7.11325824410885,7.30583461021453,183.128775,200.2625,287.616275,354.0821,222,299
"ZNF614",0.758337873401469,161.957151801802,158.521573578595,9.43336803639083,6.59084909410353,72.504525,69.09435,205.73015,217.60955,222,299
"POGK",0.0450923608295063,1442.56803108108,1312.36617123746,66.7633774418309,25.7642315810112,1057.1362,1017.39945,1603.9828,1504.8538,222,299
"ZNF514",0.0582224941843229,125.781286036036,139.098254849498,5.04707004549916,4.74327434609912,73.273275,85.6202,154.247075,166.34875,222,299
"ZNF300",0.00196955973903734,83.7967900900901,107.944632441472,5.16064403359007,5.48253281555659,32.513625,41.363,115.83145,151.03285,222,299
"RBAK",0.71057227711966,554.583632882883,547.322841471572,15.3810525058247,12.3907107651504,400.5376,397.86245,670.03925,654.96595,222,299
"ZNF92",0.29767381017607,151.680358108108,158.897889632107,4.60587192539539,4.88782678083849,105.64895,102.79605,186.418775,194.12005,222,299
"ZNF157",0.00578241454959871,1.53876486486486,2.64014414715719,0.198023282639404,0.309215747567754,0,0,1.715775,2.4345,222,299
"ZNF182",0.0261666245616291,105.16435990991,117.937117056856,3.10402074622074,4.36326931498012,75.659425,74.79265,125.54875,139.8383,222,299
"ZNF673",0.316063264093829,146.614688738739,159.125141137124,4.6004159728594,10.182069024534,100.2339,106.69485,174.233725,178.7848,222,299
