"gene","p-adj-[Unknown]-[Not Evaluated]","p-adj-Negative-[Not Evaluated]","p-adj-Negative-[Unknown]","p-adj-Positive-[Not Evaluated]","p-adj-Positive-[Unknown]","p-adj-Positive-Negative","mean-[Not Evaluated]","mean-[Unknown]","mean-Negative","mean-Positive","SEM-[Not Evaluated]","SEM-[Unknown]","SEM-Negative","SEM-Positive","Q1-[Not Evaluated]","Q1-[Unknown]","Q1-Negative","Q1-Positive","Q3-[Not Evaluated]","Q3-[Unknown]","Q3-Negative","Q3-Positive","count-[Not Evaluated]","count-[Unknown]","count-Negative","count-Positive"
"ZNF233",0.981996407363432,0.01133340556133,0.764751985128224,0.928560211080169,0.999981973669575,0.550736608711884,12.0590784,10.7188222222222,7.13242615384615,10.5667285714286,1.13679885551495,2.78832774345812,0.646882295965087,1.42237909455456,5.851,4.1396,4.2903,6.376,13.3671,16.6667,8.5185,14.0795,125,9,65,21
"ZNF235",0.834495212021071,0.446182198462094,0.998034008302056,0.801587370347979,0.585896017772441,0.296454633245071,67.0628032,50.6221111111111,54.1796076923077,79.1578095238095,6.37500083025087,7.2796370610164,2.85512803488194,7.59947628652604,46.6448,31.5996,38.8213,57.839,74.8274,61.9775,68.9588,85.2813,125,9,65,21
"ZNF208",0.975300730926723,0.974407035143565,0.935615156659973,0.968925966896249,0.922060692789324,0.998312535883041,10.3469024,14.7262,8.38228923076923,7.10403333333333,3.36765278742704,10.9965655691018,1.75261367282378,1.86653252557138,1.8479,1.2658,1.8527,2.3087,7.2939,5.9137,8.3515,6.3938,125,9,65,21
"ZNF714",0.474575533303701,0.546168867589803,0.202491553673611,0.0599096093303773,0.0334465129228453,0.405428730082029,101.1244024,62.6489666666667,116.823016923077,147.038485714286,6.73836916480552,19.7198712822033,9.00535919214902,22.9787371343993,47.3453,33.195,71.5316,52.4463,137.7079,64.4444,150.7428,207.2334,125,9,65,21
"ZNF394",0.997419074472655,0.632938551909363,0.9881839058679,0.382219674024677,0.864426691913378,0.86565792239777,533.3725456,519.299722222222,495.012470769231,454.049723809524,18.5098535483976,40.0656286507136,30.5515994836756,25.1899104544382,411.2423,428.815,360.4707,405.3953,601.5625,602.047,525.1974,493.9074,125,9,65,21
"ZNF333",0.332890100587812,0.861357134422754,0.200797564472915,0.0466964550596725,0.0153889609747501,0.199014135409723,109.664532,80.1897444444444,115.738150769231,140.884919047619,4.2440015074815,11.2778489453652,6.54272270900711,14.3903775021856,82.6149,61.4799,71.8659,86.7015,132.6585,102.2222,142.2498,168.7187,125,9,65,21
"ZNF382",0.979018402660953,0.970569836425982,0.939531265100836,0.408734096570889,0.58889698271928,0.635877230297282,8.8345776,7.76483333333333,9.36792153846154,11.7038571428571,0.778575961145329,1.93518410407554,0.79684904065256,1.52437552868569,3.592,3.1927,4.9335,6.9261,11.0979,11.964,10.9624,16.315,125,9,65,21
"ZNF577",0.111133226568229,0.00246513394819992,0.913112039615709,0.958828237046252,0.112556054575699,0.0431371032309741,67.714728,35.2467888888889,44.9746830769231,72.6331666666667,4.17333396049537,8.71124307420596,4.42825069226506,6.4983127691195,36.4856,15.1124,24.1857,56.278,89.286,57.9539,50.7308,87.3647,125,9,65,21
"ZNF75A",0.829517908683581,0.000992590611920585,0.846715652150397,0.00473206245763191,0.0335417523246693,6.25329577341738e-07,249.525768,215.774322222222,182.439338461538,341.059914285714,11.3698392303571,32.8611346055251,11.543064983886,22.4484344845431,150.4702,149.3076,124.5288,295.3548,308.7993,275.8017,223.1057,391.3182,125,9,65,21
"ZNF496",0.981587505748545,0.0113484336973462,0.324334482068636,0.155265603745389,0.396581666360303,0.99980220851202,237.5383904,222.009633333333,294.171507692308,296.621157142857,9.53657968057287,24.4479375865214,18.2741366793001,22.9960925574196,152.9621,170.8071,190.6745,247.3615,293.5885,249.2474,369.1956,324.6206,125,9,65,21
"ZNF2",0.231690251137083,0.716653366427465,0.102054747648931,0.000438210017845386,0.000441250595936693,0.0100716716540479,97.7470624,72.8329222222222,103.886458461538,133.927771428571,3.00077954297764,8.32785573386721,6.1531540159299,4.92883966244129,71.885,62.0253,74.0872,118.1542,116.0115,86.4454,124.4153,146.2257,125,9,65,21
"ZNF589",0.97874082734692,0.481104102372604,0.995691739785899,0.0805442388298826,0.293970699684093,0.0108167233640063,287.9123856,261.501444444444,245.723346153846,396.892133333333,16.1745741180443,67.4045933221751,20.1541917199383,68.1577061448976,169.1631,110.9448,142.0354,235.4412,328.0142,381.1111,296.5269,414.9062,125,9,65,21
"PRDM9",0.986112328024424,0.995590201905993,0.97284627450479,0.731451470278198,0.989315984470401,0.683746325468011,0.8978192,0.460966666666667,1.02882,0,0.260260304448961,0.299144471321504,0.673799842359333,0,0,0,0,0,0.4715,0.3991,0.2971,0,125,9,65,21
"ZNF12",0.987939161144417,0.0988091394616091,0.905928514989921,0.545898743601016,0.958206030576413,0.998551088963441,534.6958712,556.563377777778,603.2368,595.469290476191,16.3110082584076,80.8888614802619,26.9880894048261,34.6434396465361,408.4125,423.4181,474.8201,475.0085,626.0504,686.8203,667.6529,715.9272,125,9,65,21
"ZNF202",0.17402073635869,0.116126187871786,0.735467915674301,0.00182889345535286,0.979902884358241,0.166523537200393,240.4194064,188.285744444444,215.159976923077,176.8398,6.79671636580429,18.2653068742897,9.43781012968575,12.4510719434895,184.2397,137.1969,159.0563,137.2657,290.6419,211.5739,256.835,193.744,125,9,65,21
"ZNF3",0.977070876000123,0.322373924964036,0.986612939450109,0.761035030678863,0.78705572706374,0.206183047063557,533.879536,502.1578,475.011344615385,585.988976190476,20.3733849111484,59.676598395188,31.0704164697458,25.6180222996865,387.4996,395.235,317.5057,475.8042,624.3459,631.519,538.2874,692.1401,125,9,65,21
"ZNF606",0.970037391981981,0.736040135084749,0.999999935549803,7.92753104716937e-06,0.00555688205676608,1.72477078808075e-06,116.1524896,103.876833333333,103.717590769231,209.381814285714,7.42106064754792,27.2184348006191,9.31057631042172,15.1686588071264,47.2145,52.9333,43.673,155.0996,165.9157,131.6649,138.3562,243.1092,125,9,65,21
"ZNF91",0.31105464821601,0.915720527778583,0.207636160957711,0.189447330669788,0.989515328189396,0.106139311279403,130.9919944,74.4342555555556,140.401012307692,86.1890857142857,8.32729901534344,19.7280661152463,13.2567288437758,15.8808915211876,56.9467,23.9391,52.7927,21.731,179.9104,103.0429,211.8077,147.6214,125,9,65,21
"ZNF226",0.998902410386017,0.00133585611599996,0.459082711355213,0.649665087638763,0.847144029105757,0.00484504025381349,232.1674424,225.261833333333,153.414043076923,269.988323809524,14.6917803690936,37.7147634129417,7.54619156251916,31.2125241306243,162.0317,127.8564,111.7867,198.5666,270.6054,276.6252,172.0733,312.3665,125,9,65,21
"ZNF229",0.907554637999682,0.999956506124263,0.922005255599658,0.625513957874002,0.999212741905729,0.689716920181179,58.8006008,19.4774444444444,57.5190353846154,10.6946952380952,19.2155566606959,8.36272501796765,10.6744967509101,3.87738317832356,4.5539,3.1927,8.1171,3.1375,36.7608,23.6546,63.7758,9.8557,125,9,65,21
"ZNF180",0.982003959631491,0.903493876033731,0.999876355430508,4.67958768590737e-06,0.00548343889674285,2.79900609168049e-06,141.2467424,117.348722222222,121.951367692308,362.909871428571,6.16460046633087,25.3204276660816,5.49715000726124,125.465689044871,103.845,74.0506,95.3069,194.2113,161.7386,123.0982,141.4497,250.4854,125,9,65,21
"ZNF641",0.97128409202861,7.30000835891254e-06,0.316562596938087,3.94463572916948e-10,0.00162240077994436,0.00417353148105182,96.4244208,108.396933333333,156.482618461538,223.973342857143,5.67259512574991,26.3591507500453,9.34846714323805,31.7943066485754,50.5428,42.8769,113.8226,115.2526,129.4619,173.8616,191.4894,311.2916,125,9,65,21
"ZNF610",0.994836301063568,0.610259223734812,0.991470219612794,0.934572549156269,0.943135846148113,0.561757542686451,9.0199424,10.1304333333333,11.4873892307692,7.18580952380952,1.19057630482984,4.9236208201158,1.74377400182974,1.52392556120393,2.8736,1.2658,3.199,2.6327,9.6594,11.4255,16.0299,9.3535,125,9,65,21
"ZNF528",0.140621832105856,0.986191377797774,0.214545322432991,0.0324116388758388,0.99545256614112,0.0846767252628191,111.6277192,42.4658888888889,106.752849230769,51.1683142857143,8.9416031247601,14.186400829075,11.7787513001493,10.2797084993766,29.1088,9.1789,25.9169,19.472,175.7338,55.5556,169.5244,61.7384,125,9,65,21
"ZNF701",0.913942766932059,0.048638193599293,0.299197005265717,0.917840100114332,0.779193024881219,0.761236199895768,36.5364264,29.5506333333333,48.8348384615385,41.2285904761905,2.47670759526541,6.85633181944495,4.78387687926134,5.57138071898274,16.4103,13.0577,21.3493,21.814,49.3346,48.7658,59.3783,56.2031,125,9,65,21
"ZNF283",0.968304694293929,0.561202563512227,0.999413603522453,0.84609208503892,0.815527291898336,0.402108860567017,59.3517304,54.5206444444444,53.2356476923077,65.2648095238095,3.26493233952879,7.77145076576781,2.23896187258836,5.49496092695456,42.5091,40.8052,42.156,47.4308,68.7553,57.3997,62.8319,81.7942,125,9,65,21
"ZNF558",0.375824015952451,0.698368865087729,0.693524989024237,0.275387848430954,0.0692473829639955,0.0892197118350206,340.0683592,255.698477777778,314.829107692308,404.631838095238,13.1485751237791,32.2405693323118,19.1287697735124,41.1384394649714,243.3016,240.686,223.8246,280.542,394.1168,291.6213,348.711,509.3277,125,9,65,21
"ZNF597",0.854730230590817,0.0124316242446432,0.156449427056592,0.979001729742208,0.790771749249682,0.436308887523578,38.8630912,31.7624888888889,50.9880061538462,41.2635,1.95007064632492,3.73578248178806,4.26634778023744,4.22099789093595,26.1034,23.5131,33.4317,29.1472,50.6667,39.7171,62.3842,49.8164,125,9,65,21
"ZNF30",0.444895537173894,0.0547158640836166,0.985448801361403,0.910692958015859,0.805573705515355,0.787322331514915,53.2987952,38.7221333333333,42.2324553846154,48.8656904761905,2.59747663365189,5.03396563395986,2.82253840322211,8.97885079374995,32.0679,30,27.0371,16.6748,67.4754,51.1757,51.9187,64.3761,125,9,65,21
"ZNF354A",0.988483184890478,0.0300842417983966,0.813911015372005,0.999970915271142,0.990214773249874,0.309032690707094,272.1255176,258.370988888889,219.458735384615,273.389180952381,11.8239038444285,39.796296736343,13.7536245489438,24.4660563000287,164.8525,172.4701,142.2383,189.9736,343.1755,273.1674,268.0394,327.1211,125,9,65,21
"ZNF764",0.996778688197015,0.919129774296785,0.964008505448416,0.697091976856114,0.966916301835017,0.493198367858157,156.9358528,161.414944444444,150.854784615385,172.897985714286,5.54592459671791,37.1688043956895,7.24032297742902,9.9064473036726,117.1244,116.1826,114.4248,158.9853,176.784,140.37,169.5138,198.7288,125,9,65,21
"ZNF747",0.70894047165402,0.939836430062726,0.858771629479005,0.000704095962475337,0.00747385878006301,0.000455176412837766,187.7676984,166.090022222222,182.61138,241.990214285714,5.45752379063501,16.1947544730606,6.56663606548804,14.3238441153542,150.7973,138.6646,146.6965,216.1198,211.1005,185.5556,220.5815,276.7954,125,9,65,21
"ZNF778",0.937334452156767,0.261591685945441,0.530709013495421,0.996567654742146,0.981527502962467,0.553831392926769,69.9408952,62.9701333333333,79.6538215384615,68.1969095238095,2.98696144029019,6.03692529673288,4.96038895750407,6.29137420781859,45.3816,51.1757,59.2058,45.1325,84.5536,70.2532,89.8261,76.8688,125,9,65,21
