"gene","p-adj-stage II-stage I","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","count-stage I","count-stage II","count-stage III","count-stage IV"
"ZNF30",0.999109668774041,0.990980311348207,0.932499103449834,0.999723482860828,0.999728582583115,0.910324573295726,45.5466925925926,46.3486337837838,43.8166987654321,46.0337951492537,4.88485690780324,3.41637735656149,3.25220087391472,1.49703300406662,27.70825,30.02975,24.3478,29.113025,61.4726,57.0687,57.1227,60.032925,27,74,81,268
"ZNF354A",0.99629259914878,0.999996666655198,0.992565951599478,0.996333237171483,0.893050037011008,0.980704802371766,233.943425925926,228.126247297297,233.391792592593,239.148132835821,17.7092184337465,13.6492668676362,13.5694606644272,7.29663820555097,166.7946,151.75475,145.0034,155.206275,271.0419,284.423775,265.202,285.0162,27,74,81,268
"ZNF764",0.992812664423039,0.918651732463319,0.583364024194547,0.983453842415363,0.732489535658901,0.948318031330752,148.336396296296,144.953191891892,156.161611111111,152.377142910448,8.7772861110579,5.36185149834863,7.35516948348235,3.31453950019959,113.38545,114.437175,113.3171,116.800075,169.56775,166.964975,174.6088,174.3731,27,74,81,268
"ZNF747",0.995846144144203,0.997477244195146,0.936942907283997,0.618423124126173,0.452457240682952,0.106701219712197,205.598888888889,202.309156756757,208.347343209877,189.836273507463,14.6822766404539,6.93448826220401,8.7014710324671,3.63082370690761,161.85595,171.278325,151.9052,147.438225,237.2531,229.90505,248.9976,223.439025,27,74,81,268
"ZNF778",0.993024983904793,0.445676443794211,0.337063618824708,0.994224178852035,0.999859359503861,0.124059463261036,76.75,74.7761027027027,66.0437172839506,75.0872268656716,4.68523907839391,3.5507117042004,3.15786413781344,2.11306242821918,61.7783,49.93085,46.2375,53.549625,92.6982,90.588875,80.612,88.940325,27,74,81,268
"ZNF212",0.970804446663775,0.97407650777438,0.999988022800793,0.516476751434041,0.529885639163197,0.47398972806941,462.177177777778,448.216583783784,448.940596296296,423.359530597015,21.1622939276019,16.5025694379203,17.3366896147727,8.35992564576442,387.77205,356.43485,342.1971,337.286075,516.0459,529.4393,508.7108,494.863125,27,74,81,268
"ZNF282",0.840977106544131,0.173063168291987,0.341777770342967,0.156814363071812,0.27450252914196,0.994432288373193,1251.69941111111,1185.06173783784,1089.08131111111,1100.47592238806,77.2504342172969,47.4056746724363,38.8361815219243,20.8096575450557,1028.07245,959.47515,868.1701,857.04745,1404.72335,1352.071175,1295.7435,1297.9323,27,74,81,268
"ZNF160",0.74004856085797,0.991952565772072,0.73343398176142,0.727036059328728,0.998946415954889,0.655861765375164,265.614444444444,305.093075675676,276.543897530864,301.838292910448,33.4514143636552,18.0297892075231,16.6178104613757,11.2057609484748,142.0558,211.440525,170.5577,169.870975,326.18505,405.957825,364.4566,413.690375,27,74,81,268
"ZNF415",0.853606373593324,0.980596340155244,0.935372625939692,0.708519615257114,0.993014517636685,0.733108518245036,20.5089592592593,26.9460283783784,23.5633308641975,28.2181589552239,5.17450342060617,4.37944659643135,3.19351780010418,2.30533831176794,8.8951,6.622175,7.1225,7.9125,23.44905,22.431225,23.583,33.52885,27,74,81,268
"ZNF439",0.741146023711366,0.793239201902245,0.998925113858437,0.918344552448652,0.876773347852188,0.934079172095386,38.5893740740741,30.2779405405405,31.124250617284,33.8660175373134,7.56756746177818,3.87381068087465,2.84162242921368,2.41927642575916,14.3127,13.502925,13.7384,12.361525,41.04565,33.345025,39.0123,37.8738,27,74,81,268
"ZNF440",0.345503843097317,0.17145811139744,0.956695984411117,0.0914039136767518,0.877466832593959,0.99925044508208,399.375733333333,337.011105405405,323.31897654321,320.609666791045,53.6029440576502,18.0796820992374,15.4368780999236,9.96466686039472,293.83255,229.4372,231.2057,215.5796,404.1045,431.225225,392.6478,413.439325,27,74,81,268
"ZNF562",0.0241485253016319,0.0148099496875971,0.99792820791192,0.00366138340494149,0.976804088064982,0.997336659519441,759.521218518518,608.686697297297,601.855224691358,595.993914925373,54.6642450680253,25.219033468557,25.9380500652629,14.4580332870221,559.22615,436.968575,435.0337,434.007375,926.79615,741.4318,710.79,725.60535,27,74,81,268
"ZNF561",0.530151805774413,0.188389734719351,0.816622494099221,0.0824825224227942,0.535522451232858,0.992409480391834,766.205681481482,691.925740540541,657.456401234568,648.812261940299,52.4643604202085,26.1103610418381,27.5102707635271,15.0019414882459,678.97465,521.694275,513.9557,494.220325,933.20135,870.434,768.5874,757.9692,27,74,81,268
"ZNF584",0.991456045461454,0.954312483648836,0.989446504561558,0.528742820762628,0.388129953488407,0.59802039682182,211.328018518519,216.797824324324,221.002233333333,234.230875746269,12.2916946441901,9.43757627681017,9.84437350969914,5.17037263737853,165.22685,163.00905,157.8716,180.56705,240.89925,258.5604,262.3748,264.922025,27,74,81,268
"ZNF274",0.997461510894075,0.999555214168234,0.999367887988234,0.999979865441515,0.993027526649727,0.999259690677781,398.984011111111,391.314922972973,394.756043209877,397.616643656716,32.5052643542955,15.5874147078427,21.1318093258023,11.231808282442,238.90565,301.399975,257.8996,269.869775,536.69985,464.397125,499.2264,494.79055,27,74,81,268
"ZIK1",0.602629631738313,0.748557096066014,0.985558893654474,0.787200451260108,0.90234885354454,0.993123724093985,31.4701444444444,23.4519094594595,25.0614481481481,26.0465410447761,9.12283421322427,2.18711799839786,3.03318965768054,1.77675560893865,12.7983,10.979525,9.1312,10.9367,33.598,27.527,27.6498,28.3134,27,74,81,268
"ZNF540",0.991919131301333,0.984691069351143,0.999724542456549,0.996746940711553,0.998373505390319,0.991670546399464,15.5465703703704,14.5145094594595,14.2773456790123,14.8654078358209,2.69987726556441,1.41637885350676,1.38610101993215,1.10432990359631,7.34095,5.809075,5.9828,5.51575,16.7709,21.6349,18.1366,17.5176,27,74,81,268
"ZNF570",0.899805376158743,0.962909287331005,0.990455037921225,0.948445255754274,0.985063863440727,0.999997764556676,25.2662333333333,28.9570054054054,27.8076716049383,27.8629007462687,4.17162769933073,2.82522356527337,2.40478218130378,1.48378415965812,8.0545,11.3738,11.0872,8.86595,40.36435,44.31755,40.1291,40.52535,27,74,81,268
"ZNF57",0.946617818998769,0.933014841839402,0.999936174070453,0.651795689523632,0.833377653076666,0.853085594216257,135.513785185185,144.774913513514,145.452311111111,153.080812313433,9.71532845519385,6.47747574837384,7.72697556958177,5.05002524956482,106.5467,103.563,101.7339,99.5021,156.1914,183.115725,173.8162,185.640625,27,74,81,268
"ZNF556",0.995869780712448,0.99446831286938,0.910623225112048,0.98578288961062,0.998958854259438,0.755319212240304,22.4600888888889,23.8055067567568,20.9922135802469,24.2999768656716,3.82541299089297,2.96890153866382,3.16846928460768,1.61594691394842,4.6629,4.715275,3.225,4.87875,39.76145,38.297025,28.0921,34.510325,27,74,81,268
"ZNF554",0.969974344236879,0.971103308860202,0.999998649419372,0.999994499114074,0.885438211331183,0.882831885095718,78.3800259259259,73.6746067567568,73.791337037037,78.1459470149254,10.7901230752291,5.17939706984232,5.5032195721797,2.77243462318036,50.41965,49.218025,42.0032,43.0562,74.29735,90.723025,87.5861,99.983625,27,74,81,268
"ZNF738",0.98800683278824,0.939291698373872,0.986495322981073,0.93482934610017,0.985261957963728,0.999885673294936,77.2172333333333,83.0518378378378,87.3982185185185,86.7093716417911,12.0839300729101,9.80486730146644,8.88171145762618,4.8605517369943,39.01715,35.24455,47.1349,35.82125,83.14665,97.559325,105.4621,107.714425,27,74,81,268
"ZNF596",0.844161506733889,0.685665250328032,0.981265983246477,0.366666959943324,0.696768562707444,0.917232558291524,39.3157074074074,35.3277959459459,34.0080530864197,32.2425955223881,5.25910805012365,2.88801867321459,2.45628363201307,1.20676963196129,20.5978,18.892975,18.9316,18.461025,45.9199,45.576975,42.6654,40.761275,27,74,81,268
"ZNF621",0.798601510885785,0.792337336068305,0.999999999184047,0.686003268264819,0.999028553866119,0.998958059987668,326.686877777778,300.61477027027,300.587898765432,298.283304104478,19.536767124717,13.1900594421917,16.685232505585,7.66390778961512,266.6479,224.553225,209.468,201.65725,386.2283,378.47015,342.7896,368.798775,27,74,81,268
"ZNF680",0.990666329509956,0.975659208957264,0.998624580365704,0.985432413017571,0.999995327890468,0.998107668532384,121.2472,126.842851351351,128.93962962963,127.099469776119,10.3309790718605,8.91382828627822,9.18750140935245,5.32780158813455,79.72195,77.188425,78.1693,77.5816,149.2284,150.44815,162.121,159.81075,27,74,81,268
"ZNF483",0.988545567883404,0.913769599257568,0.968391324025451,0.425756308112932,0.280019042746026,0.579963643561618,5.5871,6.13237162162162,6.68657654320988,7.90683582089552,0.943227818084855,0.708757821987009,0.656830840880437,0.519537450378777,1.7948,2.2705,2.2112,2.697575,8.1632,7.24335,9.7989,9.660325,27,74,81,268
"ZNF417",0.385698828736823,0.0978514759157684,0.76861725730796,0.211520354247033,0.993350816091842,0.778127975844014,106.99477037037,92.0822918918919,85.5969913580247,90.620426119403,7.81708374782486,4.77890426997677,4.1762629261872,2.63651335629297,72.61445,65.91165,57.7421,59.68805,137.82915,101.387875,105.7176,113.18495,27,74,81,268
"ZNF791",0.269577597160451,0.0647538455040759,0.808613040042367,0.217553405257332,0.999121447304435,0.581236458567857,210.555707407407,178.188562162162,166.774425925926,179.597710820896,14.2299942782621,7.75274796059643,8.44354673595239,5.13972575890511,168.7286,128.694075,120.3298,123.350825,232.0138,205.232525,205.603,229.585675,27,74,81,268
"ZNF519",0.984731392549109,0.716694423782554,0.207187695857521,0.946045684788636,0.465749816213762,0.765822396137278,30.1453074074074,27.6696337837838,37.4348283950617,33.6073861940298,3.79646399871389,2.37486206300839,5.64541592679166,1.60175295899869,14.1702,15.285475,17.8,16.9479,42.92905,33.002825,39.636,42.16765,27,74,81,268
"ZNF25",0.919190853120416,0.999996320472748,0.792030971907021,0.999785468901854,0.769306227930985,0.998183404940637,138.734237037037,127.743662162162,139.103030864198,137.433810074627,9.15792838502499,6.77921466719476,10.8715543693009,4.62973421854119,100.6548,91.797175,86.8494,87.568675,173.6412,151.653375,169.2745,167.5996,27,74,81,268
"ZNF77",0.827210916177145,0.998832572711452,0.753917814822491,0.998797480203472,0.326518826157859,0.959278922756083,80.4047777777778,71.6582243243243,78.9062345679012,81.7799436567164,9.16563162368953,3.35921723499941,6.14169600111999,2.7871602676803,50.84675,52.2129,47.989,49.672625,88.32405,85.648375,84.8126,99.068225,27,74,81,268
"ZNF169",0.996203071084405,0.993909175467687,0.999957007445473,0.858218861785305,0.83562648655578,0.851194061395026,42.0249,43.100977027027,43.2728012345679,45.4915649253731,3.81422689158423,2.35233092432905,2.53041282148716,1.33830651138809,29.62055,29.077,29.935,28.337675,44.52465,52.002575,51.7928,58.546025,27,74,81,268
"ZNF613",0.997509826712463,0.987506878627926,0.997589140697979,0.999999953053003,0.988656681343556,0.940508250431023,70.3195259259259,68.6703972972973,67.5036679012346,70.2802902985075,6.26271549335663,3.91289400542531,4.67482496335848,2.37247070317502,52.2844,42.683425,42.9207,41.61515,86.58145,90.194575,89.1618,94.774725,27,74,81,268
"ZNF404",0.696618062742234,0.251413293222325,0.729338499404058,0.0859622332590187,0.290045464323662,0.954377647070676,10.2658481481481,14.7673364864865,17.8261975308642,19.0376552238806,1.27141820920129,1.36149821456711,1.59582861541027,1.31201307683568,5.63295,6.42145,7.6263,7.817225,13.6629,18.760125,23.7691,23.4196,27,74,81,268
"ZNF135",0.476192965288969,0.666632656440196,0.971659992257164,0.486925418294647,0.992524984542354,0.993153850829749,28.9599222222222,18.3170148648649,20.6412444444444,19.5168347014925,13.9822989849634,2.43392098619809,4.16729126890909,1.6777579703484,8.40945,5.184425,5.5625,5.6709,18.44325,21.1405,18.4922,22.604825,27,74,81,268
"ZNF620",0.997298721519896,0.858948891255249,0.846563444969817,0.938539277407834,0.945872688886945,0.96690222658433,15.072262962963,16.0619702702703,19.0001061728395,17.6848111940299,4.49622313777648,2.15746677825656,2.72170745778687,1.37796057610339,5.84235,5.749025,6.0807,7.520125,12.1901,17.123425,18.9355,19.683275,27,74,81,268
"ZNF619",0.699956527393261,0.265136039762491,0.749021390640405,0.118523210139136,0.400542373371872,0.985234495118252,44.9611592592593,40.0287067567568,36.7695481481481,35.870097761194,4.28891065510483,2.40345800502121,2.52662299375131,1.16690942262223,29.98395,25.33235,21.4055,22.4754,56.3005,47.964675,45.7971,45.423575,27,74,81,268
"ZNF354C",0.910954502182369,0.727745802727639,0.957562792997973,0.578992819105872,0.841972848389894,0.996549744405628,26.3765111111111,22.783977027027,20.8213296296296,20.1682473880597,6.2700170901868,2.77314807740004,2.98696993073509,1.35916370818776,6.3518,5.749225,3.3097,5.275925,33.5179,33.00025,24.7172,28.411725,27,74,81,268
