"gene","p-adj-1-[Unknown]","p-adj-2-[Unknown]","p-adj-2-1","p-adj-3-[Unknown]","p-adj-3-1","p-adj-3-2","p-adj-4-[Unknown]","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-[Unknown]","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-[Unknown]","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-[Unknown]","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-[Unknown]","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-[Unknown]","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-[Unknown]","count-1","count-2","count-3","count-4","count-5"
"ZNF229",0.999999999127797,0.999986122634311,0.888485843276034,0.999999996319816,0.999999989859512,0.926867587076643,0.999999998030655,0.999756932176294,0.962488749016309,0.999747427069346,0.70808629254987,0.327010271671808,0.432051950316787,0.328192169441395,0.353763627341466,42.22155,40.1831641025641,56.3332242937853,39.4896459459459,44.617265,221.4845,42.22155,19.5894140063243,6.24035359811646,6.97841690367443,7.70818154565984,219.6175,21.110775,4.8608,8.1171,4.676375,4.65,111.67575,63.332325,18.7815,60.793,38.006975,27.77505,331.29325,2,117,177,74,140,2
"ZNF180",0.989936345458706,0.999926741653859,0.17315519358162,0.999986292406644,0.244099469687851,0.99955273488506,0.999865899174616,0.30080599609057,0.99997100118459,0.997603131753901,0.999992734622321,0.965661308739278,0.998382689525545,0.999287398463727,0.99777815975318,121.0182,180.722721367521,142.466753107345,136.435131081081,145.296270714286,102.08135,109.7212,24.3774059313329,4.25625851572758,6.31329381109165,5.0883153969127,54.16145,66.1576,108.4511,101.7386,105.0818,107.1547,75.000625,175.8788,184.7484,170.8204,160.7183,170.474525,129.162075,2,117,177,74,140,2
"ZNF641",0.407596893693485,0.5484393048053,0.769199577151275,0.619456266654705,0.652038378513306,0.996623363371454,0.477880755263957,0.98773694679755,0.983232405102241,0.914457665884807,0.998948508401124,0.752081413055293,0.864745276082096,0.905439542250338,0.81337577712613,31.321,156.600382905983,141.91273559322,135.660297297297,149.135935,66.7282,16.548,10.7245704445091,6.72204385430175,8.36038570588522,7.19046399245439,49.3028,23.047,79.0183,86.0759,89.6701,91.82965,42.0768,39.595,199.6131,184.5368,164.5723,183.854175,91.3796,2,117,177,74,140,2
"ZNF610",0.999353372717606,0.941932546626326,0.0090910684169484,0.989971029196171,0.780900188582979,0.643066868784348,0.982901127475748,0.364374877470684,0.716297796087491,0.999197074547978,0.999999999862741,0.999531712754192,0.947513362316515,0.991519966907476,0.985230040053199,2.9582,7.22590341880342,14.2722870056497,10.5929337837838,11.4922157142857,3.2315,2.9582,0.67905092700594,1.66460479659033,1.79462716475042,1.470956421857,1.9868,1.4791,2.5497,3.5308,2.71085,3.211375,2.2381,4.4373,9.6048,14.4025,10.8635,11.430725,4.2249,2,117,177,74,140,2
"ZNF528",0.963280339565212,0.991105119063402,0.755869425773701,0.967505080141109,0.999999070164038,0.895224997336169,0.959932605398846,0.999999159404279,0.64911311139215,0.999977992394595,0.954241026412144,0.998795099334203,0.989550999062165,0.998518512703989,0.999006279482684,165.66725,103.711505128205,120.715518644068,105.155804054054,102.517850714286,74.1604,75.29145,8.73503439115586,8.19412176560289,11.805398586757,9.45789005057873,69.804,128.021525,21.4493,39.6354,22.650125,21.6475,39.2584,203.312975,177.2526,168.1305,154.250575,158.31645,109.0624,2,117,177,74,140,2
"ZNF701",0.99999978287942,0.9999730584727,0.985270117246229,0.999999876694156,0.999999993646999,0.990161865193307,0.999996666619083,0.893854218478845,0.41118614237092,0.947448625232098,0.999994910297347,0.99999744444327,1,0.999996622510868,0.999669746088271,41.188,43.0648606837607,46.1117994350282,42.8720391891892,37.948135,46.1408,32.498,3.46229485961961,2.84141632096206,5.32898076236954,2.94151543526798,31.8271,24.939,15.3799,18.9744,17.103125,15.918325,30.22725,57.437,58.5462,61.0632,47.518225,49.123525,62.05435,2,117,177,74,140,2
"ZNF283",0.93326928219249,0.984680449907025,0.560754213077059,0.981827576956594,0.847120990767325,0.999984365215394,0.991950419717003,0.302211537943795,0.993906769509072,0.991650564845415,0.994465184452574,0.999964416371812,0.999999351710472,0.999999937308994,0.999978393877158,43.48695,60.6089538461538,55.6152621468927,56.183272972973,54.03713,57.15575,4.38205,3.37578886890726,1.50428171830148,2.32011923752228,1.86925451811464,25.41655,41.295925,44.2195,41.816,44.3916,39.436725,44.447475,45.677975,67.7549,66.1376,67.5832,64.352925,69.864025,2,117,177,74,140,2
"ZNF558",0.999833226135213,0.999658257415723,0.99988847668506,0.956225543076296,0.0472990374035566,0.0469724191907329,0.99930488101054,0.996104634635343,0.999666452853168,0.114711433398971,0.997677567055423,0.999104244654453,0.999482441744021,0.999912387495087,0.999761902497552,353.0282,327.55838974359,323.636447457627,269.177593243243,318.984579285714,291.6402,246.1414,14.3835319278316,10.2254708903408,12.7064249983406,10.8776042483522,174.0186,229.9575,245.9939,229.9967,206.991175,233.918,204.6309,476.0989,377.1645,383.2454,329.36885,373.0153,378.6495,2,117,177,74,140,2
"ZNF597",0.311594781190877,0.345201756345307,0.998781545752204,0.31891676687959,0.999999999836037,0.999545889119772,0.285090612676817,0.999814684075094,0.980656586212023,0.999867151108161,0.767074405493301,0.999966217513224,0.999995878542125,0.999969856446516,0.999898226117589,9.1435,43.5537068376068,42.454515819209,43.4968094594595,44.3392814285714,40.38435,9.1435,1.90173639442591,1.79816010865488,2.70837661682563,2.12991267764266,14.86855,4.57175,31.0213,30.5552,29.805075,28.47745,32.950075,13.71525,56.4452,52.7887,49.217925,60.34155,47.818625,2,117,177,74,140,2
"ZNF30",0.999995608758675,0.998349796289563,0.500870169971866,0.999999990705978,0.998193195230804,0.365684861913204,0.999947619324051,0.997382669428609,0.768142948923592,0.959235724168998,0.999984918433833,0.999292453912954,0.987446845150189,0.999834209333295,0.998060791200757,41.7891,44.1318752136752,49.5731853107345,42.4749986486487,45.6417778571429,37.5796,20.0641,2.68603672338541,1.97000081908879,2.69323911088739,2.10274701635733,18.2872,31.75705,25.1321,29.7468,25.44905,28.52425,28.436,51.82115,53.3956,64.7897,59.34455,59.3739,46.7232,2,117,177,74,140,2
