"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF20",0.0959874333171256,76.4302306569343,82.19287734375,2.47966841133775,1.86436974817704,57.625,59.00675,93.2203,101.2047,137,384
"ZNF670",0.164614977450404,59.1281058394161,63.8151572916667,2.69014069999975,1.76775421746465,38.8689,43.5604,73.7791,74.6568,137,384
"ZFP37",0.000235006086021783,45.3423270072993,60.3457658854167,2.63475350804722,2.22869426479462,23.2558,31.979775,58.2895,78.505675,137,384
"ZNF189",0.00873006407622157,305.319852554745,341.517560677083,8.69597731867739,7.60229914660113,233.1782,248.231575,364.8847,404.8963,137,384
"ZNF434",0.366614086222911,300.608324087591,308.589463020833,7.34355984169451,4.57881877879,244.0244,252.919575,346.9902,355.014175,137,384
"ZNF287",0.00374169040465877,56.7171832116788,71.1996190104167,3.69033597619935,2.66199077082109,20.4082,33.069,81.3243,94.45445,137,384
"ZIM3",0.75852326269898,0.314183211678832,0.282949739583333,0.0939020621798746,0.0505685337861365,0,0,0,0,137,384
"ZFP14",0.000161645949855904,62.8290912408759,85.3394880208333,4.19047428381543,3.20582503462214,28.1642,40.8655,80.2213,110.083025,137,384
"ZNF473",0.000290844442987992,241.347257664234,284.1133921875,8.42140898527013,6.32322539067644,182.5568,197.642575,276.9231,352.1518,137,384
"ZNF614",0.355170211204755,151.440709489051,163.034013020833,8.58109514141671,6.8258636459782,76.7237,70.047425,196.0035,222.034925,137,384
"POGK",0.255728073709011,1306.62454525547,1389.68756614583,39.4624415014095,41.2522742315553,1033.1259,1044.47785,1463.4441,1564.4127,137,384
"ZNF514",0.0036782698520903,116.555975182482,139.44181015625,5.86132907438032,4.19163705548918,72.7778,84.14545,132.4434,168.369475,137,384
"ZNF300",3.06384016582895e-05,70.8265094890511,107.226824739583,5.12684050890197,4.83324748654774,30.4251,43.153175,102.2489,144.07895,137,384
"RBAK",0.195690518810637,571.361450364964,542.944211979167,21.1612656910899,10.7096045351341,397.744,399.443425,674.2175,655.19635,137,384
"ZNF92",0.81094610366144,157.195638686131,155.332567708333,7.23228682895133,3.8687395944735,104.9487,103.0235,190.0812,189.480775,137,384
"ZNF157",0.0324767762393084,1.46326861313869,2.42328411458333,0.26108948966004,0.250579936330151,0,0,1.7699,2.135675,137,384
"ZNF182",0.0141300309757724,100.831304379562,116.655721875,4.03665963845788,3.55714441263285,70.0231,77.84865,119.5917,140.532475,137,384
