"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF671",0.999990785771531,0.857315251322992,0.96242236453977,0.999871722267536,0.999952278924193,0.999911069487114,0.9781256037573,0.977575138602056,0.866494954569299,0.989588428433436,36.6063696721311,36.9253457831325,39.7730012269939,38.2555888888889,32.16025,1.97235903896414,3.05896348255323,2.72150205246076,9.63895566874401,5.57863339406488,16.0442,16.289,16.561,15.8826,15.36755,49.3149,53.25845,53.0263,53.1661,35.269475,244,83,163,9,18
"ZNF416",0.975107329911301,0.138162429201277,0.143177706114504,0.999998281214758,0.9998278694102,0.947170791251535,0.885282117207235,0.977933767846259,0.33942310515451,0.986098863834441,149.041346721311,153.80023373494,134.343010429448,150.153144444444,163.224161111111,4.38179682582888,7.16021936527346,4.04993071719802,17.1313145060532,13.4580560819257,106.135325,106.20135,98.2272,115.1811,128.902925,180.362175,177.4681,160.9518,189.2763,184.539475,244,83,163,9,18
"ZNF586",0.862479618131366,0.124363917210441,0.0542002764316312,0.159617851376875,0.0830188855384786,0.537114807265677,0.964343028590286,0.999911189518196,0.486825582457179,0.154561053547683,128.889009836066,121.604821686747,142.874418404908,173.586055555556,119.470633333333,3.5398758626295,5.87223605395214,5.0588349028508,30.638187869816,7.35568355274817,95.75295,93.2295,94.9391,116.6166,102.2127,155.6718,139.10645,185.64335,248.5932,133.467125,244,83,163,9,18
"ZNF446",0.999999956567884,0.375666118699099,0.648016826438201,0.999781494451595,0.999840142151555,0.955007488795124,0.997781961031841,0.998019019476052,0.993499963648268,0.99721332393839,187.756168852459,187.494796385542,205.654989570552,181.854877777778,195.39805,6.37744800250947,8.45657348012219,8.66183639091552,13.7096602682883,14.4425812159088,125.620875,127.1822,133.3548,157.0982,160.98095,217.95675,229.66905,239.82795,193.405,248.685625,244,83,163,9,18
"ZNF8",0.988221572814306,0.993881064900002,0.999878738077675,0.99895002286608,0.999992223931531,0.999917229397673,0.967155523596218,0.915499980625731,0.929186638382911,0.974194147851511,91.6661409836066,93.9449987951807,93.1939337423313,94.9266333333333,85.8891555555556,2.2580616610767,4.43406741739187,2.7465616362544,18.7177800966384,8.78475464338041,66.938825,67.08565,67.67895,59.2612,59.49485,111.6356,111.07015,112.58725,135.2681,103.8666,244,83,163,9,18
"ZNF264",0.611477395277342,0.999997860008714,0.69029290118062,0.999912465285769,0.995551361335324,0.999948651085092,0.818646106034802,0.997875153454965,0.838590289929322,0.984553675452083,658.676230737705,614.607936144578,657.312651533742,647.082933333333,594.712122222222,14.7681594429699,25.6490665264649,20.1670532077237,75.8609892638392,75.4812164890383,499.2821,474.9484,486.98995,552.595,379.5636,794.68985,759.9142,793.69525,832.096,641.919025,244,83,163,9,18
"ZNF213",0.431272600743691,0.288911896965694,0.999914799397467,0.633743958823264,0.28575953904877,0.288810392072329,0.694206663506668,0.99542060185233,0.989422139115529,0.301924367845103,510.439190983607,472.331310843374,475.637125766871,593.449255555556,454.813272222222,12.3129447058849,17.992102478444,12.2546641932132,65.7968747155954,34.1600324150429,381.927575,350.7097,379.78285,469.1143,346.5788,584.11895,576.6372,564.71725,733.3975,576.856225,244,83,163,9,18
"ZNF343",0.999996154715355,0.683511537403199,0.834153956162656,0.525755711143748,0.543873241105558,0.776502960602627,0.982445556383335,0.982652402583538,0.999999999996663,0.869375554998902,251.129934016393,250.273407228916,265.081265030675,306.661722222222,265.13245,5.80897994895068,13.8027891478571,8.86036195608906,35.5184426356646,24.9859523676508,190.194625,184.912,194.30885,274.4124,215.326025,285.64365,275.547,299.2735,358.4229,288.011475,244,83,163,9,18
"ZNF302",0.994199766671161,0.118997508526236,0.189421342555454,0.990208502533745,0.975141219549367,0.999220850674249,0.777001451320598,0.701258577029515,0.999848144228412,0.99817719091863,218.431849180328,211.855580722892,249.172611042945,238.576833333333,254.25945,7.65245229106421,11.2014953743043,11.4543310005852,31.1756974044287,36.1609229837525,139.30605,143.32125,153.7861,201.2012,178.55065,274.471925,260.13215,317.57755,284.3489,291.170475,244,83,163,9,18
"ZNF268",0.555659566827856,0.999929021370097,0.547331784610894,0.901478319091882,0.624344753402751,0.917869100613292,0.80530136120973,0.389916753839251,0.841539677772553,0.999991425772362,263.427936885246,291.225491566265,261.477498159509,219.817888888889,224.452077777778,9.3575382342558,16.3540685945223,11.1786966900112,52.0912843832249,26.9534468942305,158.5942,178.61045,154.8066,131.3763,167.108,357.800375,391.6247,341.1395,268.8172,259.8295,244,83,163,9,18
"ZNF184",0.945768143424212,0.999859958170941,0.924303134788461,0.219837286746426,0.144976918064954,0.248865242727912,0.874157253555536,0.98370485000764,0.852910888000189,0.139594168905593,200.894907377049,192.632628915663,202.290014110429,263.238088888889,180.49285,5.821327050048,9.84509210815785,6.42327342964896,34.6220975875774,13.6204125709092,146.78405,136.3817,146.31845,187.6805,156.871075,230.258,218.9866,238.0257,346.7643,183.841325,244,83,163,9,18
"ZNF500",0.99918887059563,0.898689437520267,0.895559463211458,0.288323399979569,0.275856826251238,0.44951796022442,0.995460283325707,0.999278874640146,0.946863939524618,0.342363047802729,196.932156967213,194.89674939759,202.825252147239,240.184488888889,190.854261111111,4.07851520681256,7.37550354616123,5.28993920041485,16.5131883694304,13.2473316727207,150.856225,158.66885,153.9308,211.9126,154.71405,229.52625,229.48505,247.58765,248.3157,205.62215,244,83,163,9,18
