"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"POGK",0.229407139182393,0.184427428618052,0.00135889461675365,1391.17878846154,1230.42115072464,1638.48242222222,92.1143751302496,33.1224433110436,190.672628008862,1161.3148,953.778075,1191.588275,1554.184475,1365.08805,1724.082125,1331.9801875,1398.16849034483,1296.75805,1279.07645,1214.63805,1444.033325,1046.1762,1570.023175,33.9205389523569,32.0284343065896,1.04969165717777,0.986364765578282,0.0699656040915661,-0.0198068294464655,"KIRP"
"ZNF514",0.416735708156507,0.973259449018608,0.369182381340107,299.152615384615,256.463626811594,309.883533333333,33.9966116664333,13.1726716971888,37.3365446189058,143.56695,153.162975,212.762775,427.948575,322.1675,388.355075,186.001734375,261.065750689655,178.55095,216.48855,118.0232,230.783175,146.809725,331.97555,14.6577558383934,9.78875742983701,1.40356621709407,1.21247492662459,0.489097128559902,0.27795491339594,"KIRP"
"ZNF300",0.875160379570498,0.993403401239477,0.844615240895204,232.215684615385,255.974948550725,224.628766666667,26.933216442188,20.9500483650503,34.2596904549733,132.249725,114.8462,134.2599,307.157575,309.77545,290.647525,104.596621875,225.913050689655,83.7291,173.05235,55.884475,160.35875,103.08455,290.81575,10.8828079491313,11.8481676541398,2.15985035309875,2.06681249410301,1.11093135761033,1.04740751014789,"KIRP"
"RBAK",0.838925174110103,0.993970193552242,0.933372293357693,485.307196153846,462.56518115942,479.259461111111,46.8553863734365,15.419754574022,37.2764990204741,282.17425,347.752025,362.58915,682.10345,571.18925,601.620375,350.116115625,484.451267241379,355.97695,470.61455,304.22165,389.8436,351.01095,607.184175,12.2485279573917,11.5646959765916,1.3836874271742,1.32203658130112,0.468518077226074,0.402762097368711,"KIRP"
"ZNF92",0.971829409769036,0.647073586498242,0.406232909216888,161.296907692308,157.563177536232,182.237155555556,17.966165612072,6.10679646079616,21.2512204888819,99.70615,107.84605,136.8967,227.872375,199.635725,202.69455,121.80459375,173.275025172414,117.34365,159.17185,103.66125,141.559275,112.5005,221.7037,5.91934211508356,4.92563966116321,1.42256560149164,1.35645899884655,0.508495183824938,0.439845440502397,"KIRP"
"ZNF157",0.728094798739629,0.355546328285467,0.555405406437711,3.12235384615385,2.72230507246377,2.08313888888889,0.494728522610152,0.212975793087026,0.474925806599077,1.2593,0.71195,0.634575,3.790125,4.0134,2.74625,5.2217375,3.21523,4.51315,2.4757,3.34775,6.582525,1.0112,4.63,0.512968850248828,0.171145848887913,0.615739492841224,0.548552563065708,-0.699607990523167,-0.866298226599954,"KIRP"
"ZNF182",0.852961757480026,0.27519999060747,0.33045949423723,196.15695,206.147902173913,237.186138888889,16.9679109895303,7.60528630099874,15.3834157283013,126.74925,144.998325,199.96295,248.6588,245.421225,252.39635,145.04045625,203.477022758621,140.31805,187.917,110.870875,170.0451,142.1388,241.7896,6.81409126185124,5.31859626425782,1.40289839138327,1.33922186062306,0.488410521747597,0.421394982847876,"KIRP"
"ZNF673",0.625052867420229,0.0794535698740211,0.15226959223978,182.887792307692,194.502578985507,221.927916666667,10.4716504321994,5.18965964810393,10.9405786229993,136.702975,157.8947,188.814675,216.490625,212.8323,251.678775,186.80591875,189.622267931034,187.82805,181.87795,161.630175,207.400925,151.4512,216.2394,5.83551374460178,3.54537443621534,1.01507633805117,0.968321557935569,0.0215882282838841,-0.0464418810616646,"KIRP"
"ZNF41",0.715962300245895,0.98376587936185,0.892530594338039,186.657357692308,173.310202898551,182.426988888889,15.2368170436027,7.0004462552796,15.1381732813788,130.93245,119.323375,135.827275,223.53295,218.21685,221.949325,236.751525,193.92409,242.78795,190.11785,216.054125,253.76325,137.72765,233.818325,6.69016391914731,4.89566405535265,0.819103868496729,0.783061309261848,-0.287881686899409,-0.352802828104956,"KIRP"
"ZNF7",0.407220743567772,0.000337698365262873,0.000744526213107721,303.867946153846,331.653650724638,426.453433333333,14.7478205284549,8.71871699104761,29.2230488955253,249.689075,264.14865,327.73135,356.091675,379.87685,491.579925,265.554978125,325.260965517241,259.89055,310.754,212.83065,313.49235,249.0686,373.51175,10.681524437715,6.5225117790399,1.22483475103275,1.19571104066693,0.292587120699675,0.257868785384611,"KIRP"
"ZNF214",0.621306338403834,0.807085884271834,0.266619333577282,79.4374961538462,72.8296289855072,85.7893333333333,6.60412574739919,2.77896966197764,8.64025424763216,52.078675,49.93765,65.7413,105.307275,92.687825,110.8625,71.21604375,79.6259624137931,68.8167,70.683,56.382,82.12935,52.476025,103.7016,3.53684744588774,2.38059942463159,1.11809022547385,1.0271198706128,0.161036612681576,0.0386045620328405,"KIRP"
"ZNF215",0.741991786731988,0.0393926008098789,0.0480764547741078,36.6969269230769,40.8285789855072,56.4683444444444,2.94221817653363,2.37888513602827,5.869852452128,25.467775,23.860625,37.671475,45.93605,50.47805,77.398,38.30258125,42.716674137931,31.99485,37.7703,27.349275,41.59905,24.1465,52.23535,3.55956421692092,1.64946864132952,1.11524270020134,1.18051186362805,0.157357705011017,0.239412540093753,"KIRP"
"ZNF547",0.473514025258977,0.601787073446275,0.982258945637446,38.7760538461538,46.3147333333333,47.6774333333333,4.00903693940896,2.71565664928593,6.54639298473505,24.993,25.718125,26.9237,50.046175,57.836425,61.590225,48.011915625,42.9878820689655,43.73175,36.539,37.51845,56.56215,23.445925,55.47035,3.29524550433085,1.77918765334777,0.895358610656675,0.835525676425023,-0.15946246592498,-0.259243930656127,"KIRP"
"ZNF773",0.737998665964077,0.592256609154015,0.840758495819244,85.2069346153846,79.0033362318841,73.5123222222222,9.51987788203341,3.06987741696917,10.7911017578287,60.975275,59.109725,27.127375,97.70375,95.3479,101.427225,96.457103125,81.9041989655172,95.62835,79.7195,80.683925,112.711925,58.27075,101.081425,4.69255268031054,2.41144009572469,0.849125635251315,0.833638769256188,-0.235950066498453,-0.262505721645908,"KIRP"
"ZNF776",0.718747028377776,0.995246631937494,0.847860327494999,285.856323076923,268.448708695652,282.862133333333,19.1288864107746,8.97545648447579,26.4500980449744,201.008125,188.779425,203.134675,349.494075,335.718775,364.719025,416.55025,302.346247931034,405.54325,286.4223,372.600325,461.7402,214.329825,362.638425,13.6921555625126,7.6397460592201,0.725833792996246,0.706268197041869,-0.46228886825312,-0.501711960870251,"KIRP"
"ZNF256",0.827015805406892,0.82854718055601,0.975051970667066,82.4055846153846,77.6555492753623,75.6264333333333,8.4154925677891,3.12987743742902,9.00080033779132,50.640775,57.77305,52.048725,100.05325,90.349425,98.794725,80.984665625,76.1284786206896,79.7555,71.57,69.76145,90.649425,55.165225,91.374275,3.30936968141645,2.09744351508191,0.94003572198721,0.897367579665352,-0.0892125136773152,-0.156229032001829,"KIRP"
"ZNF599",0.179881319300787,0.41167373516686,0.999030322907744,127.829873076923,110.719388405797,110.246222222222,10.1020637322686,3.65574579675024,11.941876696856,86.826125,79.03215,74.63835,163.727975,137.948325,147.123925,110.259325,115.636833793103,107.96315,108.19135,99.754175,121.77365,78.627825,146.51525,3.63776420483514,3.26979699437758,1.04877146484529,1.00211368415983,0.0687003381110679,0.00304618345344352,"KIRP"
"ZNF18",0.993447555969132,0.839534538273608,0.822137163769007,280.688442307692,277.855336231884,259.713283333333,31.1834080285912,10.0178444480088,18.6607538718343,215.141775,198.973225,197.29955,282.121375,321.833075,303.346025,138.67025625,249.913584137931,135.80305,226.23295,128.370225,150.331275,183.268475,287.3689,3.55526082184267,6.60635322377554,1.80221477118624,1.66589005180664,0.849770948366824,0.736293186449147,"KIRP"
