"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF567",0.151092462075674,82.8360184210526,76.8574460093897,3.93218191514705,2.0466975265424,63.376925,59.3714,93.5266,92.864,87.099559375,78.4390837931034,83.63215,78.021,74.040975,95.9267,59.98615,92.875475,3.73556065775127,1.82552540822619,0.900568089620183,0.932906782858028,-0.151092736197537,-0.100195162392451,"KIRP"
"ZNF573",0.00131545665981636,21.04425,16.2300802816901,1.4494779415138,0.720121976993471,10.83715,8.2961,28.640275,22.6904,26.28395,17.5101534482759,28.54715,14.31305,21.0355,34.665475,8.572625,24.4995,1.68043723191413,0.661801346087953,0.666191856561737,0.501382800034329,-0.585990376074444,-0.996015589602626,"KIRP"
"ZNF527",0.130234892521996,97.1528618421053,89.9845568075117,3.9067913070375,2.45297096753459,71.22375,66.5048,117.59365,104.146,118.578715625,91.8203217241379,121.20035,87.22215,102.170125,136.886725,67.6252,107.771025,3.928311491552,2.07768245386095,0.774340666789778,0.719652624765522,-0.368959683348677,-0.474627407030192,"KIRP"
"ZNF33A",0.432637095398949,964.255902631579,924.849371830986,36.8021027546865,26.9140054958079,747.42355,668.7337,1121.907825,1154.3201,1060.613721875,933.668427241379,1058.23695,897.50655,952.78585,1167.321975,680.358625,1141.722075,33.2575615834052,22.0412163148731,0.880309586784149,0.84811492360005,-0.183917115714615,-0.237668324822895,"KIRP"
"ZKSCAN3",0.0581871784685488,85.0237328947368,76.9576502347418,3.94471387086006,2.1069619800702,60.138075,56.0921,105.712425,92.5811,74.93915,79.0116196551724,74.61185,74.3708,68.039625,84.50925,57.13375,98.110875,2.39402533427893,1.87033401556149,1.05434368624641,0.996769279946818,0.0763452214538014,-0.00466848915720126,"KIRP"
"ZNF676",0.814097282434827,18.0049868421053,16.8559845070423,3.89413038755129,2.56331339097403,0.8663,0.4876,13.98715,18.1577,33.21575,17.1273189655172,30.22525,2.80615,20.292875,40.1914,0.607675,16.887675,3.2983573645795,2.13853438136428,0.515638483716828,0.092841250279154,-0.955568154315134,-3.42909023840438,"KIRP"
"ZNF699",0.00097498627563708,24.0814552631579,17.105455399061,2.21608447521108,0.969801195386273,9.62045,7.1313,35.700675,23.4332,31.424040625,18.91009,31.7491,15.65345,25.865725,39.1591,7.79525,24.86875,1.73849527228325,0.934966060298345,0.601771434350671,0.49303602306837,-0.732712470267877,-1.02023503570106,"KIRP"
"ZNF250",0.0160982607576342,387.753736842105,467.129079342723,32.1740011275603,15.8750982463645,241.70075,309.8244,454.96625,569.195,287.98843125,445.585120344828,276.60635,391.10285,231.0681,316.408325,286.03335,546.0999,12.9405181834967,14.5206014709958,1.54723270796256,1.41393301346842,0.62969019832231,0.499713772604087,"KIRP"
"ZNF79",0.148131781737243,89.6133223684211,83.1237460093897,3.79202588399292,2.30550813167661,63.91915,60.1614,106.863325,98.2756,86.711278125,84.8796896551724,88.5483,79.8466,75.1625,95.44575,62.422825,101.6784,3.05781889129991,1.96784410937295,0.978877159817812,0.901729338677309,-0.0308002688081426,-0.149233632964649,"KIRP"
"ZNF681",0.00519431804506421,62.6879013157895,47.1015671361502,5.25976622722044,2.72245497864447,34.064925,27.933,80.064625,53.6557,46.710315625,51.1620037931035,44.48345,42.2783,37.269975,55.190625,28.951375,59.19435,2.47039442269277,2.45738763680199,1.09530417657295,0.950427630950387,0.131331575847897,-0.0733513159291957,"KIRP"
