"gene","Type 2 Papillary RCC-Type 1 Papillary RCC","Unclassified Papillary RCC-Type 1 Papillary RCC","Unclassified Papillary RCC-Type 2 Papillary RCC"
"ZIK1",0.697774987691176,0.62657146358009,0.297611219104782
"ZNF540",0.000351966626896627,0.0415165775057834,0.849701563601706
"ZNF570",0.964021078760291,0.245418085993571,0.190601083198758
"ZNF57",0.994548887557551,0.935792092560388,0.962612115990074
"ZNF556",0.526982447048797,0.277796910987288,0.0608798907305683
"ZNF554",0.00429340652451871,0.837555661342696,0.162631840270864
"ZNF738",0.158129094502706,0.474484070083938,0.971171098393897
"ZNF596",2.36948644898316e-05,0.0209248547710837,0.709531293691305
"ZNF621",0.000136409006590288,0.901063863307582,0.0227240714807452
"ZNF680",0.529355876557191,0.622116601527643,0.993756633409485
"ZNF483",0.74015346859028,0.991901508742213,0.903992902162143
"ZNF417",0.0653126393700706,0.925928072113335,0.10935962129914
"ZNF791",0.972211512079979,0.0953723613515958,0.154444383581514
"ZNF519",0.310798637419904,0.974935733461064,0.658508106207436
"ZNF25",0.882552938023824,0.314710039804617,0.185396517922022
"ZNF77",0.0296142657024748,0.997517654520578,0.162684334439508
"ZNF169",0.0134607056038492,0.584482976695301,0.486762789084898
"ZNF613",0.451097567766317,0.981128200119706,0.533943972430882
"ZNF404",0.049656571156271,0.28688836286598,0.957865333842127
"ZNF135",0.0230205099313675,0.447397420427256,0.70964572575668
"ZNF620",0.000476325532431154,0.631942458522358,0.124751665846628
"ZNF619",0.910171142237837,0.0337531221374303,0.0853662179027416
"ZNF354C",0.837508344665155,0.217320080319154,0.105182427235576
"ZNF114",0.307361925727069,0.998799118690503,0.552626364487188
"ZNF454",0.947539651788655,0.999727142789792,0.976182857548986
"ZNF543",0.839543505607574,0.0771458616983157,0.208175634356855
"ZNF354B",0.271745267323399,0.939591788957969,0.309353332732715
"ZNF223",0.0100226560283394,0.935711573791084,0.0341445014283747
"ZNF713",0.135634765290477,0.993016851106136,0.28075111333723
"ZNF552",0.142260152040176,0.0713419868527785,0.735119491759343
"ZNF154",0.692735491329954,0.367353930782655,0.13748977045566
"ZNF571",0.16373477253868,0.999239276238941,0.390262515410248
"ZNF443",7.02929525697726e-09,0.078405884949392,0.0301169913329523
"ZNF792",0.767726918772858,0.5321018226991,0.857354176629576
"ZFP82",0.663740707960171,0.992204858054144,0.860764913720392
"ZNF707",0.0557667640033972,0.999131727443392,0.21842782187444
"ZNF746",0.260943190244141,0.834014912545657,0.818839927649498
"ZNF678",0.0666786034143223,0.120330488456304,0.962656163816331
"HKR1",0.00475574756883368,0.126749772528172,0.888861797676535
"ZNF101",0.949236824762336,0.917153812768849,0.986463588993222
"ZNF716",0.0432339382768381,0.999160814559231,0.164337391042472
"ZNF708",0.000436955273009021,0.956588113410731,0.0280142973634996
"ZNF721",0.952227188957246,0.881509124737896,0.967711619876164
"ZNF662",9.21614129456572e-09,0.156623152552069,0.0140078542840781
"ZNF320",6.95186098742528e-06,0.545632255065363,0.0276376009910851
"ZNF530",0.00240243392987805,0.401112208834545,0.420719254958521
"ZFP1",0.828818347740551,0.824034989145181,0.574316645312422
"KRBA2",0.0979829745346338,0.284622297894836,0.0086430450843491
"ZNF93",0.113686345489244,0.348857442486172,0.990116099020366
"ZFP90",3.55182547706612e-07,0.915316717008437,0.000849194371171924
"ZNF479",0.17309931352403,0.998714638782435,0.356878548820845
"ZNF445",0.233395931028316,0.646809000377206,0.0992389377815942
"ZNF74",0.0475261297372521,0.900402875917286,0.376613303951374
"ZNF829",0.430741315168806,0.266579517741967,0.822801067552278
"ZNF267",0.757549924031238,0.503776408699151,0.244849949404702
"ZNF566",0.13576828172742,0.994016577707001,0.387899299715896
"ZNF224",0.00285322376874597,0.830522580846315,0.138902398622853
"ZNF529",0.35728423735862,0.605415116336824,0.995926686382188
"ZNF284",0.0083533783865547,0.98897361281935,0.0957253461822968
"ZNF749",0.375054508298153,0.343484559763096,0.0525735726287074
"ZNF17",0.105174348134343,0.972454799155818,0.403095071107664
"ZNF555",0.968443823898103,0.0395792924004323,0.0303457229246472
"ZNF75D",0.163137155812608,0.545134099298533,0.941737626981264
"ZNF197",0.331601304500774,0.696671731898466,0.161295100204145
"ZNF732",0.848857568201115,0.984554218164542,0.968849045912516
"ZNF546",0.00790954978255065,0.965293310696406,0.117363012276796
"ZNF286A",0.376106756071873,0.43360061082764,0.0767470113165399
"ZKSCAN4",0.203787535871163,0.302574094095126,0.0209418624210106
"ZNF643",0.528892541205712,0.69444472163865,0.999981874366698
"ZNF642",0.370609616488327,0.809767931237826,0.917839661407907
"ZNF490",0.669202884623936,0.0613332515879507,0.0139603589267145
"ZNF626",0.678511808324215,0.734447291709938,0.993776413769079
"ZNF793",0.000389467919245323,0.213483944347192,0.422922997891987
"ZNF383",0.862619659894617,0.967507773363699,0.988489708551379
"ZNF669",0.0452307380712812,0.576259908825201,0.701530825968094
"ZNF559",0.00125588830037127,0.415242577424718,0.331900158209704
"ZNF177",0.0142365272803309,0.679253360152957,0.409424226308918
"ZNF548",0.966722601574125,0.698475336773768,0.819962741519242
"ZNF563",0.668505127082504,0.983772558382164,0.887850589238262
"ZNF567",0.589710857975515,0.888706844671431,0.471270142386432
"ZNF573",0.897982179205546,0.431954332286916,0.280963610757727
"ZNF527",0.844750622903025,0.999606992823488,0.901328917439465
