"gene","p-adj-DNA_meth_cluster:1-CIMP","p-adj-DNA_meth_cluster:2-CIMP","p-adj-DNA_meth_cluster:2-DNA_meth_cluster:1","mean-CIMP","mean-DNA_meth_cluster:1","mean-DNA_meth_cluster:2","SEM-CIMP","SEM-DNA_meth_cluster:1","SEM-DNA_meth_cluster:2","Q1-CIMP","Q1-DNA_meth_cluster:1","Q1-DNA_meth_cluster:2","Q3-CIMP","Q3-DNA_meth_cluster:1","Q3-DNA_meth_cluster:2","count-CIMP","count-DNA_meth_cluster:1","count-DNA_meth_cluster:2"
"ZNF3",0.138563481502347,0.149244791180232,0.920510228771684,549.599166666667,781.09061,755.920380327869,46.724543922624,92.0345506113562,24.0012989710435,440.5705,557.490925,548.4179,659.3462,822.5544,951.01665,9,30,122
"ZNF606",0.990303863377475,0.839429132022054,0.759170536650016,185.026355555556,189.528713333333,202.384122131148,24.1751905587693,21.285143631927,7.44541292163599,133.348,106.7099,144.671925,186.6138,255.273,252.323075,9,30,122
"ZNF91",0.933628867943264,0.750610559933561,0.147011466736875,305.548511111111,321.410166666667,276.053209016393,42.9720273489545,25.0637244809165,10.1748863432403,227.2947,236.6635,194.451775,341.5155,427.6705,348.54245,9,30,122
"ZNF226",0.998751861405629,0.563926839747935,0.165889851236141,228.112733333333,226.147716666667,266.47088852459,30.6401993867851,25.7919517000338,9.08400940636835,152.4675,135.694675,201.399175,308.9163,269.39685,326.679125,9,30,122
"ZNF229",0.000381804757403348,0.000171543914881833,0.947587085735957,236.508166666667,105.61745,111.210241803279,61.1449503540994,18.82947270741,6.58625295859732,125.7654,14.10155,54.737675,399.0641,200.9837,148.951625,9,30,122
"ZNF180",0.999881663629576,0.997946013925415,0.990608246140109,98.5316777777778,98.7402633333333,97.7415040983607,10.7886031679754,6.7675811248151,3.42815253257394,73.7095,70.9769,73.147725,105.1712,112.891875,114.750175,9,30,122
"ZNF641",0.999575347162278,0.410567353401902,0.0906933096328314,127.865833333333,127.239493333333,101.687819672131,39.6927112974053,10.129982803681,4.89900616774169,83.6108,87.26545,66.37805,99.4475,161.810375,141.519975,9,30,122
"ZNF610",0.0846950275808152,0.00419306042809131,0.298651005310482,141.237522222222,104.527923333333,90.8414778688525,18.9751309941371,10.8107461279625,3.62117934880043,102.8394,57.098225,61.3592,166.4888,152.668825,114.55485,9,30,122
"ZNF528",0.0916293080862091,0.856832384940571,0.00796058576888314,227.442222222222,376.307636666667,261.460531967213,70.4350717834158,61.0147538978363,11.2362288089334,39.6071,153.6653,168.94815,353.3082,440.053475,320.004575,9,30,122
"ZNF701",0.865403973515996,0.751297803509433,0.078095454251521,120.4034,130.569803333333,107.399043442623,22.8101245966384,11.6040826872611,4.32342844467428,83.8436,89.02135,69.130025,136.2799,175.370375,134.189825,9,30,122
"ZNF283",0.784548788441463,0.915365669249215,0.841666675793143,31.5855222222222,35.5954966666667,33.7838959016393,7.20583697503431,3.67912310146525,1.28436132074157,19.4841,21.377175,24.459025,40.1064,45.839875,40.75955,9,30,122
"ZNF558",0.861625051268518,0.866605451177805,0.993860936298026,313.042822222222,357.429323333333,352.593322131148,61.0911974616474,50.633845212106,19.2430187355429,206.8073,186.1268,234.699025,356.044,434.105475,429.6837,9,30,122
"ZNF597",0.573673317603134,0.544063501235015,0.995426721131501,52.2688333333333,43.8693866666667,44.2772909836066,8.176040425621,3.87069002648072,1.98706143458263,28.1083,28.75625,28.88095,55.4963,54.2897,56.38005,9,30,122
"ZNF30",0.583246183911971,0.814507090622276,0.69476686797778,52.2297444444444,61.7584866666667,57.5629680327869,7.42568906901932,7.0234297244569,1.91474359436735,39.8839,36.970575,43.92365,55.6777,73.06305,70.24395,9,30,122
"ZNF354A",0.0903524667089438,0.700577636927969,0.0291254498398776,182.549877777778,496.525513333333,291.219809836066,21.119224018407,159.635491546716,11.4622355169821,148.9335,238.123475,202.635225,213.4472,391.450225,340.727725,9,30,122
"ZNF764",0.0241464318020255,0.681217698391434,0.00162892522852554,192.821044444444,248.06201,208.677850819672,11.0427540421575,13.4547783479202,4.5832583593227,187.993,201.891525,173.45155,210.0611,292.32245,235.183125,9,30,122
"ZNF747",0.218088894990754,0.715671745033333,0.172617294089016,326.283511111111,389.132453333333,352.895655737705,34.7761953978638,23.7686960280044,8.07194872108458,260.1776,324.662,281.458225,395.7274,472.449175,411.582575,9,30,122
"ZNF778",0.999744031089097,0.998514235782855,0.998739308536854,61.1690333333333,61.4424233333333,61.7678368852459,7.59867165407145,4.22901812241256,3.25448559620419,39.5856,45.632775,38.02125,74.8733,76.88465,71.54,9,30,122
"ZNF212",0.99400167955896,0.349539203082517,0.0817523093195514,315.075433333333,320.944583333333,385.954558196721,23.2741865368767,23.3160069946615,14.1141022080707,256.0118,240.197725,278.26635,363.4969,369.376,442.980775,9,30,122
