"gene","p-adj-mRNA.Cluster 2-mRNA.Cluster 1","p-adj-mRNA.Cluster 3-mRNA.Cluster 1","p-adj-mRNA.Cluster 3-mRNA.Cluster 2","mean-mRNA.Cluster 1","mean-mRNA.Cluster 2","mean-mRNA.Cluster 3","SEM-mRNA.Cluster 1","SEM-mRNA.Cluster 2","SEM-mRNA.Cluster 3","Q1-mRNA.Cluster 1","Q1-mRNA.Cluster 2","Q1-mRNA.Cluster 3","Q3-mRNA.Cluster 1","Q3-mRNA.Cluster 2","Q3-mRNA.Cluster 3","count-mRNA.Cluster 1","count-mRNA.Cluster 2","count-mRNA.Cluster 3"
"ZNF287",1.71809528559663e-06,0.616840646444779,7.07212066686225e-14,147.412834782609,224.956138961039,133.037431147541,8.47311830528525,7.78630587124109,7.89530362771271,123.2426,193.3508,94.6411,173.99045,261.7986,173.6963,23,77,61
"ZIM3",0.810538769516911,0.508508934221827,0.74617450798163,0,0.092587012987013,0.171470491803279,0,0.0590637365671606,0.107643084426414,0,0,0,0,0,0,23,77,61
"ZFP14",0.159866803824259,0.320056125432664,0.877322742164022,135.062208695652,162.507607792208,157.263116393443,10.7258864786848,6.73414119816863,9.03322229745458,97.3607,125.5663,113.189,152.5681,202.6956,196.8665,23,77,61
"ZNF473",0.754599642292489,0.0354007328297439,0.0288634047603324,158.745039130435,168.826150649351,195.048442622951,14.7278822972017,5.50500456719006,8.55917676579583,113.7271,134.3664,148.4677,179.55905,198.815,241.2803,23,77,61
"ZNF614",0.0555586562037846,0.00261532757606897,0.24655680156547,99.8942260869565,143.774733766234,165.644580327869,8.55379483178995,7.63309149268181,13.0216860036595,62.6816,93.4073,102.8394,127.5994,183.3601,207.08,23,77,61
"POGK",0.0800033572851748,0.00252254808000218,0.161378260458694,1177.5189826087,1422.39298571429,1571.98462131148,59.8959235619926,44.1452109561156,78.3959604392338,962.52735,1200.5513,1153.6415,1281.3108,1627.6347,1755.2469,23,77,61
"ZNF514",0.0193387753752137,0.809388461033379,0.0119324938701953,175.869073913043,281.102932467532,200.499221311475,22.764376854867,20.8832204938319,19.2080946640747,105.42055,169.1892,108.6957,188.03045,335.9375,250.8772,23,77,61
"ZNF300",0.00935196653148718,0.998898093251108,0.000221855303132124,147.923547826087,259.990057142857,149.656127868852,22.5601143860183,19.9991906175167,19.2992748618646,79.13725,150.6082,67.1388,172.6399,322.2179,171.9298,23,77,61
"RBAK",1.91763192991523e-07,0.804911624197884,2.39452013772734e-10,361.1759,595.131444155844,387.831081967213,37.6296537363,21.7503998337828,18.611496860854,257.65025,468.3861,301.2394,448.18475,713.4448,507.4091,23,77,61
"ZNF92",1.5566274548795e-05,0.718898340427751,6.1670738626951e-07,131.320404347826,212.741233766234,145.096250819672,14.7777465693643,8.8209768365603,8.55644615922518,81.24425,158.3899,92.2604,185.124,260.1175,186.705,23,77,61
"ZNF157",0.00358114121303033,0.865920731906423,0.000551103666214248,2.19021304347826,4.61358051948052,2.57869672131148,0.497205187771817,0.380881856573998,0.387290612456704,0.25265,2.1758,0.4697,2.91245,6.6778,3.4797,23,77,61
