"gene","p-adj-T3b-pathologic_T","p-adj-T3c-pathologic_T","p-adj-T3c-T3b","p-adj-T4-pathologic_T","p-adj-T4-T3b","p-adj-T4-T3c","p-adj-TX-pathologic_T","p-adj-TX-T3b","p-adj-TX-T3c","p-adj-TX-T4","mean-pathologic_T","mean-T3b","mean-T3c","mean-T4","mean-TX","SEM-pathologic_T","SEM-T3b","SEM-T3c","SEM-T4","SEM-TX","Q1-pathologic_T","Q1-T3b","Q1-T3c","Q1-T4","Q1-TX","Q3-pathologic_T","Q3-T3b","Q3-T3c","Q3-T4","Q3-TX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF671",0.45747998343143,0.957965234055272,0.704699345208189,0.950430193463393,0.999560354837089,0.861017146212621,0.627039863029467,0.240697546785109,0.999192920405984,0.5569969995159,136.994721582734,66.9345333333333,207.767,84.4731,238.44705,6.16426331263916,22.9017587040336,NA,66.9423,40.19775,58.124475,36.14585,207.767,51.00195,218.348175,200.728125,86.6047,207.767,117.94425,258.545925,171.448221875,136.157349310345,181.3624,117.7047,125.9596,207.6678,57.9912,199.602425,11.0870482757852,5.9973058808212,0.794160171632546,0.649002770144198,-0.332498085610284,-0.623703458781951,"KIRP"
"ZNF416",0.618046339598545,0.999988361888258,0.990566720066052,0.978833424733019,0.999505233989383,0.998941628601791,0.469591741272453,0.203845132818657,0.844780547191597,0.514846243325488,79.6913827338129,61.2933166666667,77.0227,66.8735,116.4699,1.87933308336466,13.3507085754132,NA,34.509,31.6078,58.623825,59.3017,77.0227,49.619,100.666,95.682375,75.819725,77.0227,84.128,132.2738,99.062896875,79.3832789655172,100.62525,73.8811,81.061025,111.298625,58.623825,95.682375,4.30907499607562,1.85159583748112,0.801342192381927,0.734220287651459,-0.319509655210962,-0.445715115985485,"KIRP"
"ZNF586",0.691279586714397,0.99954875738227,0.998226586138971,0.504080120192621,0.950330470549413,0.944687723323793,0.999999770037765,0.970201728034202,0.99986961971258,0.802844461451024,124.052810431655,98.4453833333333,113.9159,70.1492,122.9795,2.86585356155164,19.0339425043686,NA,39.1332,16.7236,94.948725,60.25085,113.9159,50.5826,114.6177,147.9348,133.133475,113.9159,89.7158,131.3413,126.608075,123.233772413793,118.85645,119.6513,107.774225,142.84975,94.948725,147.5674,4.86170055291455,2.80180494418359,0.973348440956812,1.00668747888735,-0.0389717389538884,0.00961587536282844,"KIRP"
"ZNF446",0.284565851386314,0.963036383056367,0.999931468243203,0.934911055151305,0.45022397007472,0.854655557135421,0.99960821113816,0.925393867011382,0.992971679082675,0.955913975354852,316.876119064748,432.14505,411.9159,237.8201,337.48665,8.4339881865806,85.3852216864048,NA,42.3116,110.08475,229.17825,318.168775,411.9159,216.6643,282.444275,366.748425,599.693975,411.9159,258.9759,392.529025,263.497053125,318.697742758621,253.8523,292.45565,236.261125,280.900925,227.720925,373.97105,9.35262056332297,8.35132740544975,1.20949262611842,1.1520701210901,0.274401973704098,0.204228529514787,"KIRP"
"ZNF8",0.966625801215735,0.99989126110613,0.995299585262352,0.999880685651388,0.999666163462052,0.999573311589005,0.877772324174153,0.778431865552504,0.992968631956165,0.936149174935237,80.9070179856115,89.8512333333333,75.9547,84.4979,58.4578,1.94620117725661,28.1179460590286,NA,20.6634,2.6271,56.8368,50.724775,75.9547,74.1662,57.14425,100.264875,99.060375,75.9547,94.8296,59.77135,81.973490625,80.8191817241379,79.6548,74.48165,69.744125,95.434175,56.6421,100.264875,3.61934728275314,1.95134668602332,0.985918509849207,0.93505538900355,-0.0204596879342018,-0.0968762677759278,"KIRP"
"ZNF264",0.991516423274202,0.979347205084382,0.956324947095436,0.999911029844762,0.999972593040149,0.982167135922438,0.999258628208787,0.999999974312337,0.974186034809587,0.999994334328871,661.273802517986,617.22535,796.7638,637.5443,620.7761,14.2087218496594,106.635316444962,NA,223.5485,94.4885,489.715075,567.9004,796.7638,525.77005,573.53185,824.121525,789.9751,796.7638,749.31855,668.02035,637.4946875,660.166481724138,632.12955,640.92615,562.544875,687.1283,493.4914,821.994275,22.7791553978976,13.835774572567,1.03556389514875,1.0139158183635,0.050416571781851,0.0199378757425557,"KIRP"
"ZNF213",0.989808858928161,0.999948415088079,0.999995590741778,0.999748822118692,0.999990897725243,0.999999999794045,0.961053534275468,0.921867175986682,0.987940734927824,0.973291460467678,547.714144244604,585.382416666667,571.521,572.8197,454.6303,11.6987821238466,47.7968834204101,NA,74.3166,69.5418,430.269325,504.4784,571.521,535.6614,419.8594,633.100625,626.79625,571.521,609.978,489.4012,409.883159375,547.585537931035,406.7508,505.93805,350.0942,471.87335,430.67085,633.100625,15.1066178634223,11.2879697269599,1.33595519944271,1.24385262426036,0.417871628601223,0.314815560352691,"KIRP"
"ZNF343",0.999551389041617,0.952605321044262,0.945534173335673,0.967377227060909,0.963085003485501,0.999548157046638,0.511205886022054,0.575972577497569,0.997440563893927,0.963976534598146,260.286548561151,268.646916666667,191.5858,216.4456,152.9456,5.77556099649285,32.6399844001129,NA,1.13180000000001,21.0171,193.819975,209.66715,191.5858,215.8797,142.43705,311.7533,292.642225,191.5858,217.0115,163.45415,204.181196875,259.345228275862,196.1678,237.0566,186.258875,232.73165,193.0912,307.8701,6.80830595606431,5.60780279024102,1.27017194651197,1.20843787818388,0.345023811634179,0.273143310803443,"KIRP"
"ZNF302",0.964334026778669,0.999999999980999,0.999135311135585,0.955620307208788,0.878725614106755,0.994042547947711,0.820825251521394,0.712267185556127,0.971220388927058,0.998965872668312,538.382682374101,608.35995,539.1586,410.4477,343.4016,15.3904552004203,114.782557564666,NA,22.0737,105.8683,370.671125,391.056975,539.1586,399.41085,290.46745,649.748,801.42915,539.1586,421.48455,396.33575,491.55044375,537.157846551724,464.0551,503.71405,404.519275,587.9292,370.671125,649.748,20.3788961442544,14.9825386471781,1.09278275176356,1.08546172641999,0.12800661774727,0.118308857157524,"KIRP"
"ZNF268",0.765753984239743,0.991388721771167,0.908543169391959,0.420211614418788,0.225904165853128,0.970078126805045,0.650501755030887,0.976096452276765,0.773958645814774,0.185330003675661,411.882397122302,320.5464,497.0874,642.5223,229.3652,11.3255299594758,27.3306998940264,NA,276.1742,119.3538,279.803925,270.216225,497.0874,504.4352,169.6883,521.91885,366.98995,497.0874,780.6094,289.0421,450.02109375,410.523025172414,486.2456,395.90395,378.09065,531.54935,279.803925,515.605225,18.474803296235,11.0920145733448,0.912230628461322,0.814205722375688,-0.132529484889629,-0.296534733868765,"KIRP"
