"gene","M1-M0","MX-M0","MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX"
"ZNF213",0.21058903445162,0.950730939584235,0.305174393597994,546.310071717172,653.40696,555.02994,13.6635979464955,95.8812195010405,23.834609936059,430.269325,464.73225,453.7629,626.68305,763.1654,639.153075
"ZNF343",0.377131269713436,0.894026754202179,0.532236206388802,254.253306060606,295.10058,260.52752,6.36291886649432,50.9021883245216,12.461568124266,186.798025,216.896875,196.771125,301.63745,342.556925,292.937
"ZNF302",0.788189155104227,0.588530712620885,0.978164792802726,524.64469040404,580.12428,562.332575,18.756104784494,64.5792719982741,33.0012797674165,347.34595,458.702775,423.811275,634.385875,649.989375,667.13615
"ZNF268",0.998166457120658,0.00588211176961018,0.3443624008141,417.325659090909,420.67626,335.23098,12.8058752479849,54.2037262207133,22.8393351774222,290.07255,294.441325,221.5168,525.3463,473.487875,417.222625
"ZNF184",0.721058425267353,0.085343822544786,0.22597594778909,165.720861111111,185.88519,140.370556666667,6.21411731235274,19.5455038434274,7.21421369137374,120.857575,141.3984,102.865125,193.118875,219.75775,168.059325
"ZNF500",0.978594180830492,0.997205423904001,0.986458308947801,258.400646969697,263.46032,259.227911666667,5.40724765844267,30.0763953542338,10.9348637988224,202.92465,201.1079,213.27625,309.5174,329.157275,304.441
"ZNF419",0.299179822302501,0.529683921505304,0.148094435618492,145.641676262626,107.00138,158.363866666667,5.80634991161913,26.433547861533,9.61573637996699,99.14285,52.198925,120.918425,165.251275,132.58295,186.000875
"ZNF175",0.557515208569202,0.405696673668595,0.905187494927972,148.099633333333,129.08614,137.344458333333,4.1113006379887,14.7913092415798,7.0857091383531,109.777525,101.938375,99.946425,178.294275,164.878,175.360875
"ZNF14",0.808626505834237,0.521636575123508,0.540169942408948,133.476272222222,143.69086,125.33361,3.64241774548755,13.6223378160301,6.4622255791349,100.02855,116.514475,85.08575,155.5056,172.482325,159.663475
"ZNF85",0.479558922332788,0.999100728150404,0.526586318947612,65.3778,78.44815,65.585155,2.32873502970202,11.2655873053911,5.2764514475013,44.968275,52.187025,45.16065,79.623525,96.95265,73.585925
"ZKSCAN1",0.591935354248338,0.00220029298606172,0.850767745563258,667.830231313131,534.4202,456.47416,31.3888592075608,89.1717157561709,47.1588641668482,371.12755,375.99525,207.56305,883.395975,560.6559,604.50165
"ZNF862",0.839941781069421,0.981444221320795,0.89242073330853,1009.74513737374,863.92362,988.031376666667,60.4736854285716,245.48488681702,77.485011791002,498.977625,347.65515,608.363625,1302.979525,1034.0585,1227.793075
"ZNF684",0.866734941989504,0.989945784059846,0.850653497628612,108.846743939394,120.95113,107.384586666667,5.39593224726378,26.8398098404344,7.93100441205504,65.172775,51.141125,63.8225,135.42215,205.968625,143.1766
"ZNF430",0.669972191414439,0.0195213343598299,0.931258217549188,55.6493323232323,46.59352,42.5742816666667,2.31741363170996,6.10129515044506,4.48074794295449,32.9981,38.967425,18.0462,69.311375,54.044675,57.552075
"ZFP30",0.988759878176385,0.216604761831475,0.827251694825725,146.384296464646,143.63156,131.741211666667,4.39031246220437,9.63691838103401,6.97140108968008,104.998975,125.076175,91.058575,177.4312,163.743125,167.910375
"ZNF549",0.00629772060634037,0.822559165595796,0.0217085271559415,132.069327272727,61.43572,125.873551666667,4.99664546388475,20.3104792817392,9.34533764904834,85.5141,23.27945,78.688525,168.47605,79.77195,166.347075
"ZNF211",0.591304502627412,0.609499413942632,0.375503262955387,199.049842929293,151.13162,220.197028333333,9.3184234583024,50.9483774230278,26.2162870408291,118.46835,75.12375,127.168075,246.684525,140.847775,245.367
"ZNF205",0.704526191109241,0.131591212771106,0.996781352093892,496.143541414141,564.87639,571.816646666667,18.6199201828642,114.466637126058,33.6459735403521,326.79515,325.9094,382.89695,561.9171,559.549175,678.887975
"ZNF45",0.830579389996844,0.557062115160836,0.993875995756687,171.598462121212,159.45651,161.782586666667,4.56473472983582,19.4591527984788,8.50628519727508,122.999225,138.3206,111.0322,201.068975,164.926525,202.7406
"ZNF133",0.555425719978009,0.105153480357771,0.994193890188536,339.129543939394,420.32334,411.827308333333,16.4394597178769,110.161040541995,33.1455425286544,201.366325,237.543075,272.1182,392.401575,372.01905,460.3027
"ZNF436",0.780728425286071,0.00606416295470291,0.763178960743099,369.337364141414,325.5292,277.284695,16.0666536955884,40.093174934844,12.4559328132832,264.264775,238.470425,217.069025,390.321725,402.3835,327.91295
"ZNF484",0.779218890988814,0.00267747618979652,0.0952577936512298,55.1562949494949,59.66447,44.9650166666667,1.49251573415728,7.57720623781982,2.43757653498174,40.683025,42.80615,29.99635,67.15645,67.82925,58.4469
"ZNF780B",0.823634679547403,0.990420247136748,0.809100874280644,291.413486363636,324.26361,288.089008333333,12.3298417969311,41.7317218014531,21.5046740130109,169.03045,216.132925,168.101425,374.6303,448.8931,375.3118
"ZNF557",0.988950736356284,0.559292874634737,0.94867521160798,147.904486363636,145.71268,140.681931666667,3.57106263415869,16.7383373681153,4.71350238412175,113.5625,106.404425,110.887325,174.143725,165.234925,162.152175
"ZNF337",0.553646775901955,0.410610479892405,0.901093747829087,766.045142929293,1013.19892,904.08419,49.7736497117025,285.049890463037,105.100844212482,332.164525,451.61855,494.867675,868.485675,1341.02245,1118.346575
"ZNF317",0.960478098905324,0.681014641348791,0.8107593972189,623.324997979798,634.37831,607.792445,8.98620803054298,43.4239744355746,15.882973386444,543.308275,593.143025,536.4044,698.1056,708.835675,671.60895
"ZNF426",0.430493870322767,0.0599707525400583,0.979869089432064,69.0749106060606,49.94248,53.0646816666667,3.44291379428619,19.053405593068,5.45030102556854,31.336775,15.7295,22.07885,93.43885,57.65785,76.522725
"ZNF331",0.797039486643642,0.989084686906507,0.781071240592689,354.681824747475,297.08481,360.437333333333,19.2612557801174,96.3519037417049,37.569976619272,208.66,121.01185,190.518525,430.86095,324.053425,381.74005
"ZNF227",0.736579226442624,0.956625616466189,0.828235163708783,183.906572727273,168.74111,181.283171666667,4.36614389269537,24.9612385847892,8.30432409844077,147.644425,127.81885,142.442075,213.222575,220.792,203.5014
"ZNF141",0.0434003273457289,0.97519201409805,0.0469605345304355,79.2449702020202,127.52815,77.3029416666667,3.93200904008001,50.0157491748821,7.16283029229325,44.35305,43.364175,46.277625,93.851575,120.8598,91.0695
"ZNF304",0.180870834915999,0.713376972771375,0.372268890170358,203.065966161616,149.9296,192.383568333333,6.41231043262614,25.7630345500896,13.0579222485708,146.7554,123.19075,139.278125,251.35835,168.93975,231.13075
"ZNF132",0.585588207096717,0.711352632773874,0.821720069813413,122.113296969697,104.5672,115.753483333333,3.9374411381173,15.738004855953,6.92683970828732,80.778275,51.4531,83.83535,151.129625,148.2346,144.497925
"ZNF20",0.289968029698713,0.900038842737746,0.24013249561396,118.124004040404,100.59932,120.438165,2.51749397824856,10.1752891152024,4.90836526048866,96.69945,86.3751,95.4977,135.970625,113.68465,144.684375
