"gene","Stage II-clinical_stage","Stage III-clinical_stage","Stage III-Stage II","Stage IV-clinical_stage","Stage IV-Stage II","Stage IV-Stage III","mean-clinical_stage","mean-Stage II","mean-Stage III","mean-Stage IV","SEM-clinical_stage","SEM-Stage II","SEM-Stage III","SEM-Stage IV","Q1-clinical_stage","Q1-Stage II","Q1-Stage III","Q1-Stage IV","Q3-clinical_stage","Q3-Stage II","Q3-Stage III","Q3-Stage IV","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF461",0.819931472837639,0.65454606734644,0.998181065003618,0.820355046641131,0.622344653564357,0.477505591199742,87.5077945652174,62.25695,68.0023833333333,103.54842,2.4334725263372,4.77695,6.91196686611545,35.2486421355547,62.2573,59.868475,63.331925,64.6613,109.23565,64.645425,70.9342,96.7742,94.000390625,87.2113368965517,93.005,80.1316,83.020275,105.5885,62.363575,108.13105,3.60831542494477,2.39469251958903,0.927776324297075,0.861583785817967,-0.10815106402082,-0.214936994889317,"KIRP"
"ZNF181",0.720298780466859,0.643446776552167,0.988776413288241,0.941792417977801,0.936684895819026,0.981584792777926,172.00699057971,109.497,131.33605,150.53748,5.12177510065582,35.2678,20.3088590466123,6.81802457163363,130.88025,91.8631,96.2443,154.2834,200.325125,127.1309,153.64005,158.2264,235.6463375,170.21218137931,235.92445,161.5368,195.348275,271.37745,128.8776,197.503975,8.92135680344588,4.91898192676608,0.722320504469162,0.684697156229462,-0.469288970228763,-0.54646207442777,"KIRP"
"ZNF44",0.715273129045043,0.727685426429292,0.979011638239679,0.978393799699265,0.681892504117274,0.746888263825446,289.450550362319,138.1224,203.185033333333,325.77198,12.2358828389428,40.6157,17.9341840818527,99.7485125468465,192.626475,117.81455,181.344175,187.6234,324.44575,158.43025,231.669975,372.4726,741.322615625,286.941337931034,711.39305,245.4268,440.609975,1011.3663,191.2724,322.869825,52.5237610718423,11.8044957815465,0.387066753236872,0.344994655205023,-1.369345700975,-1.53535408363116,"KIRP"
"ZNF790",0.759958207626199,0.999775263378686,0.849675181334345,0.984976921343121,0.736259179466853,0.988563050933478,87.9554619565217,66.98375,86.8930166666667,92.7402,1.78878690303526,17.87835,8.92209926543511,24.8251305981862,66.668625,58.044575,72.581375,60.4953,104.57525,75.922925,91.034725,90.8492,119.706796875,87.8479137931034,119.82765,85.50915,105.269875,134.2308,66.596475,104.2806,4.48977746990694,1.75880854937295,0.733859029615802,0.71360115966557,-0.446425139185067,-0.486810135119045,"KIRP"
"ZNF677",0.990037548784049,0.885344469138546,0.920816969856634,0.959251809682186,0.999999687548169,0.820990580726704,27.7114188405797,32.3897,21.22955,32.5616,1.29040959066395,0.414100000000001,9.82593787441348,12.1821992636798,9.449,32.18265,5.73485,10.1943,40.78315,32.59675,27.72335,53.9829,63.145728125,27.7110055172414,59.6976,23.76085,54.827,74.05605,9.536,40.754575,2.42275994539466,1.25826460579001,0.438842125034747,0.398020188416285,-1.18822607629811,-1.32908648575315,"KIRP"
"ZNF823",0.730737070297212,0.793869843249475,0.972968002344165,0.964045301682984,0.926277264756008,0.992978694427695,171.759919927536,121.33585,145.607533333333,156.93194,4.1954511157778,44.82275,12.4063804470836,17.4099899944141,127.8893,98.924475,123.5337,141.1909,204.85815,143.747225,169.609275,178.0047,152.81393125,170.357928965517,150.35005,160.51285,114.5231,177.21395,124.7033,203.829875,8.58758893562723,4.03712899874154,1.11480627173196,1.06759425753433,0.156793023961922,0.0943634505241208,"KIRP"
"ZNF311",0.997800007258993,0.973321369946574,0.999931004704018,0.85314559461317,0.992549867724804,0.990113840121455,29.9450394927536,33.86915,35.2874833333333,40.85426,1.77945778492944,11.04905,16.2412954235475,22.4251234344563,7.708075,28.344625,6.3375,14.154,41.2224,39.393675,56.179675,38.8787,30.920340625,30.2418613793103,25.26165,22.11,17.227625,45.66215,7.733625,41.2322,3.33147214184848,1.75926127921145,0.978057187211544,0.875239740872033,-0.0320092725580686,-0.192249848693206,"KIRP"
"ZNF347",0.491677109484253,0.976566676619298,0.737123919932757,0.931485471022995,0.424594246981724,0.885696726429627,93.6760043478261,38.4513,84.3454,108.6179,3.29218589346022,6.4757,29.0243183158996,27.6660006004301,52.278125,35.21345,39.306475,51.1571,126.025975,41.68915,84.17975,155.5146,120.95575625,93.3555293103448,120.15475,87.9058,108.0698,142.018775,50.4341,126.088725,4.19749504762513,3.22377717214245,0.771815515066443,0.731604867889118,-0.37367204960312,-0.450863420489462,"KIRP"
"ZNF273",0.735896566517146,0.944561045656989,0.929515614502599,0.705800015360081,0.47104233588821,0.640078389255129,116.013215942029,43.61435,93.0957,164.31714,5.9997644010576,0.599550000000001,24.0529134474946,64.330067246231,52.54335,43.314575,68.001875,72.0278,137.617325,43.914125,82.96045,159.5615,42.0435375,115.805542758621,39.17785,82.8182,27.90205,52.204675,52.830925,137.398625,2.96089208685405,5.83957658223039,2.7544195765787,2.1139036470863,1.46174833977179,1.07990961937019,"KIRP"
"ZNF84",0.716035533067862,0.704012475819947,0.461479847194671,0.961237517547579,0.652074014701102,0.982880057280274,829.293747826087,518.65925,1013.33055,920.91202,24.8623384437014,72.52295,165.812274004759,238.804630146625,561.42855,482.397775,767.02185,487.6167,987.599575,554.920725,1123.936475,1223.8315,535.93918125,831.806420344828,524.1258,735.48175,429.388575,613.628525,561.23985,1009.790625,23.0262009384004,24.2717188070939,1.55205375804911,1.40325423781848,0.634178528612475,0.488776416235873,"KIRP"
