"gene","p-adj-T1-T0","p-adj-T2-T0","p-adj-T2-T1","p-adj-T3-T0","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T0","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T0","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T0","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T0","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T0","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T0","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T0","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF17",0.999999999999853,0.9999918666011,0.999900954022699,0.999957352150085,0.99945507322621,0.996185151318666,0.999987825130639,0.999798032628606,0.380604583378495,0.138507626211676,0.997633162183891,0.99406934902183,0.996376951763885,0.997943261705109,0.969515859250288,124.903,124.6411,117.8325015625,115.047527317073,132.601250793651,93.2836,NA,26.9902993333407,4.27410967634626,3.14022445538274,8.07836077915735,NA,124.903,97.8724,81.782325,84.9673,98.42015,93.2836,124.903,141.01455,141.089025,139.1655,152.1325,93.2836,1,3,128,205,63,1
"ZNF555",0.776323419614131,0.882587679360626,0.979956068540791,0.880071655222063,0.980551370343839,0.999999983701239,0.871962414184989,0.986430437950751,0.999959044079226,0.999974946305868,0.999994910261248,0.85679811112928,0.942750620175358,0.94120649868375,0.93566747356654,31.4197,70.0068,59.38425625,59.5014848780488,60.1540555555556,36.0697,NA,13.2151690682841,1.92884700389443,1.94532398987251,2.99608317673575,NA,31.4197,57.7523,44.9769,45.1435,42.76115,36.0697,31.4197,80.41785,72.31195,67.9157,77.83075,36.0697,1,3,128,205,63,1
"ZNF75D",0.999999251386477,0.999802708372774,0.987941328675783,0.99735053565786,0.926623201832233,0.531736392694095,0.999716969295636,0.985194737865356,0.999991868528787,0.846978230722806,0.999991827153891,0.99999932924217,0.997096797564111,0.985787795709788,0.996469423632073,310.6168,323.0431,277.4330921875,254.033034146341,274.760674603175,335.199,NA,66.204723031241,9.70583747630112,9.08438695859488,15.0062538706226,NA,310.6168,256.86275,194.964275,184.8158,196.30625,335.199,310.6168,357.6889,340.361775,302.7916,317.6815,335.199,1,3,128,205,63,1
"ZNF197",0.994071398215996,0.992419152107194,0.999999149299805,0.993645348320184,0.999994919330763,0.999956653266699,0.993007973710811,0.999998410716429,0.999999954267606,0.999998451100008,0.989456399128122,0.999940621352118,0.999690378092896,0.999555083676132,0.99965564366539,425.9116,348.408133333333,354.8729265625,357.619538536585,355.821650793651,318.408,NA,76.8636785084332,9.81733356545423,8.73576656341039,16.9669019016793,NA,425.9116,296.40905,264.2622,273.8854,280.09075,318.408,425.9116,423.429,427.3699,421.3911,447.98335,318.408,1,3,128,205,63,1
"ZNF732",0.994477878629408,0.923654083482685,0.989585049876999,0.857625342092838,0.941549095491666,0.643338114206606,0.975762286388854,0.999929879406176,0.659501154372291,0.0580288971178813,0.999920238512614,0.999825223883567,0.985688538961132,0.960372412163329,0.998098390992679,22.1102,14.1337,9.50664609375,7.29828390243902,12.4745666666667,18.0348,NA,4.25257380222064,0.94442546260372,0.675392755100115,2.81422767558993,NA,22.1102,11.86565,2.24085,1.1131,1.6004,18.0348,22.1102,18.38305,13.771475,9.5412,16.171,18.0348,1,3,128,205,63,1
"ZNF546",0.999999673993621,0.999999459675996,0.999999999999282,0.999999535488655,0.999999999985263,0.999999999093074,0.999999561445499,0.999999999979739,0.999999999549324,1,0.998828926359642,0.993872217543183,0.988582947643261,0.988719310075592,0.989034919285186,38.4019,41.3895333333333,41.27595078125,41.1861619512195,41.1692968253968,19.2786,NA,11.744082121269,2.46732320751573,2.59779428136446,4.87655312925244,NA,38.4019,31.9586,20.045325,23.0169,18.7428,19.2786,38.4019,52.166,54.31515,50.0695,43.446,19.2786,1,3,128,205,63,1
"ZNF286A",0.990039038042123,0.992323363689131,0.999934830641597,0.985744899910167,0.999999686459039,0.976921485284818,0.996164955283256,0.999343463788611,0.995852996880576,0.872575277172952,0.999998224254487,0.996672100856135,0.998082675358475,0.995552173691483,0.999279967392998,173.3902,286.886233333333,266.64298125,279.986372195122,254.111403174603,197.1393,NA,46.7748244070937,12.9629862579529,12.1321518106306,17.8363613244874,NA,173.3902,243.07315,165.95265,175.2694,167.8152,197.1393,173.3902,322.9781,307.9979,320.1058,291.538,197.1393,1,3,128,205,63,1
"ZKSCAN4",0.99998998760376,0.999891721537561,0.981275206896701,0.99999069339074,0.994173185103976,0.960720741357443,0.999884379934336,0.981403940481192,0.999999997877924,0.983809609467267,0.997016155789838,0.978314478865058,0.998166341466536,0.995268124399083,0.998283765983931,119.0846,126.9461,108.03734296875,112.359289268293,107.844819047619,88.3085,NA,23.9624835274504,4.33114496718947,3.1004972092042,5.5928874221071,NA,119.0846,104.37665,78.5294,82.8198,76.9693,88.3085,119.0846,145.2033,125.34015,132.9739,132.17885,88.3085,1,3,128,205,63,1
"ZNF643",0.999979208395425,0.999989114369037,0.991082587687296,0.99999999769685,0.998845947425942,0.882276647369844,0.999999993376107,0.998769424458775,0.973979065875367,0.999999968794275,0.999997188697154,0.999601103687944,0.999999999976495,0.999993859898433,0.999995368392559,48.4872,37.8360666666667,56.61699453125,49.9781643902439,50.3390603174603,57.2139,NA,4.04670549844081,6.90836543209323,2.68959220321362,3.93859977275769,NA,48.4872,34.214,25.089875,27.0156,33.3495,57.2139,48.4872,41.2099,59.416375,60.4265,57.148,57.2139,1,3,128,205,63,1
"ZNF642",0.999999999846227,0.993694776194895,0.921990754220777,0.996976462471532,0.95749944165825,0.97921174569361,0.998991107414865,0.984454853147038,0.860871203243969,0.985908772468218,0.999998299295678,0.999991538068922,0.998521741517072,0.999489077076329,0.999907097159206,84.9496,82.8697666666667,147.28201171875,138.194343902439,127.539596825397,101.3682,NA,7.82195309802979,13.1839923590779,6.65609990389093,8.05866035855537,NA,84.9496,75.58395,89.60495,93.7002,86.0663,101.3682,84.9496,88.9774,148.280125,144.6371,149.0793,101.3682,1,3,128,205,63,1
