"gene","p-adj-Stage II-Stage I","p-adj-Stage III-Stage I","p-adj-Stage III-Stage II","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage III","mean-Stage I","mean-Stage II","mean-Stage III","mean-Stage IV","SEM-Stage I","SEM-Stage II","SEM-Stage III","SEM-Stage IV","Q1-Stage I","Q1-Stage II","Q1-Stage III","Q1-Stage IV","Q3-Stage I","Q3-Stage II","Q3-Stage III","Q3-Stage IV","count-Stage I","count-Stage II","count-Stage III","count-Stage IV"
"ZNF429",0.312608931986311,0.131085561613248,0.0351914993311999,0.218733356159606,0.627365350671565,0.416479517225676,192.01495,105.442904444444,82.7046263513514,95.3427589041096,22.82005,6.89120801985871,5.13320986308288,5.70691823196223,180.604925,50.41565,38.9885,41.023175,203.424975,140.6943,109.089525,132.334575,2,135,148,146
"ZNF470",0.989465268383164,0.934507070977027,0.339266085772813,0.940586487831583,0.411452768894767,0.999295834558419,141.44505,122.43881037037,105.410835810811,106.661073972603,30.08355,8.16452045214831,6.80761522975686,6.54542053979375,126.403275,54.9275,43.230875,57.324225,156.486825,161.83485,146.1913,134.024775,2,135,148,146
"ZNF100",0.99954952771517,0.99234597909968,0.0951499288724877,0.990894468315668,0.0759727886030561,0.999595138677485,214.63635,224.041051851852,190.271143243243,188.785086986301,73.57835,10.1875266716356,11.281411971972,9.04409548099071,177.847175,150.55555,103.2396,101.6424,251.425525,278.69255,240.928125,252.0012,2,135,148,146
"ZNF398",0.983165324898893,0.999999999052929,0.129029724239136,0.9711683473103,0.970024370027829,0.0373720696412609,522.67605,584.188244444444,522.907669594595,596.788685616438,41.50135,18.3528957377516,20.4252020901671,20.0836189862643,501.925375,455.96125,378.823625,410.85265,543.426725,722.92355,586.701425,706.284625,2,135,148,146
"ZNF498",0.997774712878653,0.98028578617239,0.619905037552872,0.973337119654583,0.460804019343587,0.993716667696095,365.5213,348.971017777778,330.799208108108,326.952058219178,30.0446,9.19733666890545,10.0548972903204,12.005839184485,350.499,270.5657,243.24875,245.389775,380.5436,411.5498,398.8439,378.031275,2,135,148,146
"ZNF441",0.675629424217343,0.464481536117271,0.191285176502535,0.421573089810449,0.0762666474210655,0.972693699212546,181.02065,127.138871111111,111.140497972973,107.73457739726,16.76235,6.01782404598685,5.62550764359553,5.2955889097113,172.639475,69.35535,68.80515,65.694025,189.401825,168.9575,140.3599,135.6842,2,135,148,146
"ZNF420",0.989091991861556,0.979287207846633,0.966632786546556,0.996934959333243,0.912201531880166,0.65905372019803,116.7774,99.1650585185185,94.8311452702703,105.330661643836,29.0802,5.86779239749781,7.38696555802658,6.17361513810851,102.2373,54.0582,48.6899,62.787725,131.3175,120.31395,117.253325,130.787375,2,135,148,146
"ZNF763",0.99996040743725,0.918260530845354,0.00237638923715333,0.96205463233542,0.0454308841493022,0.778501692686648,84.3491,82.5361992592593,60.0794945945946,65.9551417808219,19.5883,5.42886250199844,4.20597039830406,3.66884833810281,74.55495,38.86225,26.26715,31.9924,94.14325,114.8735,79.390025,87.89295,2,135,148,146
"ZNF679",0.994059217474096,0.99999850146033,0.47475974295867,0.999999935361751,0.399599696969704,0.999166070152769,0.2917,0.925542962962963,0.331394594594595,0.277778082191781,0.2917,0.449767174571211,0.194533346933885,0.17463556412821,0.14585,0,0,0,0.43755,0,0,0,2,135,148,146
"ZNF682",0.90042297533984,0.800579066506801,0.567236796429433,0.678556740302257,0.0549454271618315,0.574441227562288,284.29275,188.687764444444,158.785552702703,129.733871232877,101.93825,15.8808695653905,21.1125632151886,9.26462239815059,233.323625,72.1568,44.6377,53.20435,335.261875,238.18215,184.565825,195.124925,2,135,148,146
"ZNF772",0.649130591410396,0.376915391457044,0.044261435167578,0.548644038863441,0.784526554043919,0.315216069816348,255.46935,171.394031851852,139.746660810811,160.052276027397,105.52765,9.47349005490899,6.42303975334547,9.31690607581296,202.705525,104.4735,81.783025,89.123025,308.233175,203.7621,192.016725,205.5503,2,135,148,146
"ZNF257",0.621391662999097,0.474251460185649,0.509831577919491,0.453882668192685,0.392194813322482,0.997037492899044,116.21835,61.638762962963,51.1978087837838,49.6974335616438,76.31375,5.91959564542365,4.97902267406936,5.00289152467226,78.061475,13.6264,7.1482,6.019375,154.375225,91.3451,68.95195,63.069225,2,135,148,146
"ZNF785",0.99942271345741,0.964162412792508,0.139049354635341,0.967584899920341,0.173288375039095,0.999631784284497,245.0812,235.218451851852,205.000847972973,206.390463013699,64.5503,12.6546030394337,8.49774668921506,8.3498249619632,212.80605,139.2032,126.921625,138.3431,277.35635,297.5673,263.7413,247.52515,2,135,148,146
"ZNF98",0.19344119248342,0.240168577945851,0.900490806544118,0.22884100865044,0.95140422627347,0.998509536467476,58.42825,12.4457844444444,15.1141256756757,14.5043650684932,47.75615,2.51441693082199,2.94437079201478,2.58901430524677,34.550175,0,0.188025,0.049575,82.306325,8.8131,16.29985,9.56085,2,135,148,146
"ZNF786",0.99917531310512,0.977021697703785,0.00722078675552873,0.992183790470403,0.0663625929082543,0.86766747347136,240.97515,249.560261481481,214.475965540541,222.675209589041,9.89995,7.87475510364083,7.57890223926637,7.46786794697042,236.025175,176.53775,147.03605,166.1357,245.925125,322.3679,256.868,278.6535,2,135,148,146
"ZNF517",0.981989406352324,0.998921079111558,0.512476165547423,0.999867065542331,0.270184455792931,0.970724390124592,228.6037,267.257784444444,243.493862837838,235.999101369863,3.3995,15.5333125888499,10.0292850178391,10.6115785872112,226.90395,150.0116,154.8956,151.877625,230.30345,330.5352,294.159675,286.1813,2,135,148,146
"ZNF675",0.215650568548704,0.136621449215885,0.537587653018214,0.214786208337434,0.999999910611555,0.524402066767823,413.331,216.374694814815,193.55755,216.267344520548,166.0156,10.869361904896,12.6296634737363,12.044541742517,330.3232,126.55035,98.857175,113.097225,496.3388,269.4215,240.02515,295.815925,2,135,148,146
"ZNF860",0.855008167569227,0.796554150302278,0.89855457551641,0.550344455040815,0.0107619649956822,0.0658242464439244,17.60675,47.6978281481481,52.0797013513514,67.3302404109589,6.52155,3.31485477549684,3.59834781364347,5.80738047116916,14.345975,21.2121,21.3436,27.632575,20.867525,66.9559,76.9058,90.293125,2,135,148,146
"ZNF695",0.798030946786333,0.599133368411928,0.197982198864933,0.627532963113803,0.321791410774938,0.992980198361874,26.7582,61.7470511111111,74.4134952702703,72.7080198630137,23.5102,3.8050883503931,5.0107625313858,4.49191267684672,15.0031,30.6636,34.20605,33.366875,38.5133,77.3376,84.59905,98.7748,2,135,148,146
"ZNF665",0.993139720661086,0.944542965675226,0.314730250980563,0.99712217459718,0.976734691897683,0.132157447813218,34.31975,30.3588955555556,26.1380405405405,31.3683075342466,0.48075,1.70950043608828,1.65488371317144,1.80785374856234,34.079375,15.2395,11.424575,14.22105,34.560125,42.03435,38.131875,42.8586,2,135,148,146
"ZNF624",0.901194601647659,0.79277012469473,0.504197572486206,0.879583961311178,0.988777643926559,0.692623094136742,124.5423,102.167135555556,94.6096189189189,100.432230821918,20.6917,3.4956884406858,3.73221796702426,4.13490071813654,114.19645,68.2686,61.54355,63.32815,134.88815,128.39315,112.134375,128.8487,2,135,148,146
"ZNF841",0.933236759189436,0.995396390315973,0.136579069068479,0.993701236516234,0.191662481764199,0.99850998937305,231.57255,398.194231851852,297.368003378378,304.74282260274,56.64215,34.2212397784339,40.687213653669,20.0971223314423,203.251475,188.72015,128.16345,161.51925,259.893625,421.48635,316.96485,365.65295,2,135,148,146
"ZNF615",0.99029525615087,0.999729560495247,0.0864842420564041,0.999724824463818,0.586373985049128,0.680974925233144,218.51685,271.713654074074,202.567511486486,234.56041369863,28.27425,22.2179789302957,20.2151141027433,19.5030550580043,204.379725,109.11615,98.7834,102.200075,232.653975,317.0768,206.072625,245.34365,2,135,148,146
