"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF446",0.626526042829007,0.0136115709461453,0.999498317040903,399.031541706161,334.957145454545,337.053726315789,18.0859144021936,48.7954713744074,12.5475793325319,241.7599,213.0542,218.1757,453.68505,437.42085,403.9435,211,11,209
"ZNF8",0.975979141662047,0.389140758904614,0.977321739173637,117.731503317536,113.867263636364,110.112979904306,3.75099678918527,16.4036721284777,4.45258151927837,79.06975,63.00665,73.8658,143.8737,155.34565,128.5894,211,11,209
"ZNF264",0.957739939913036,5.10990256481492e-05,0.519700293548229,724.063790995261,699.231454545455,602.346903349282,21.131877875154,86.9458988772604,18.3288591713601,499.7088,514.5758,435.1524,896.0346,833.1055,721.8068,211,11,209
"ZNF213",0.476206884103901,0.0222017139513203,0.943789561224285,547.950324170616,475.491445454545,495.687670813397,14.1273321422246,53.3803389608935,13.7530680943847,397.65795,339.6008,355.8871,637.90115,632.37415,584.5214,211,11,209
"ZNF343",0.135761443943259,0.136466004391832,0.0325856960463282,297.4158492891,357.2897,278.547308133971,7.54304787411871,35.5533372661389,6.28238575328872,226.7127,293.37435,213.6364,350.72945,397.5694,326.3672,211,11,209
"ZNF302",0.995391177243186,0.200520180500099,0.894566794293924,450.79082464455,441.400036363636,395.254985645933,27.1141111087345,76.9190730311803,17.8612787274872,247.5658,311.43005,227.7133,545.59025,422.94405,458.3596,211,11,209
"ZNF268",0.866849944651813,0.0667182585605078,0.97913692196301,300.894458767773,278.185545454545,269.463662200957,10.3847994380837,38.7565863405654,9.5346545056848,193.8607,180.207,171.4007,369.3638,385.02165,338.351,211,11,209
"ZNF184",0.925743647264834,0.452434564142133,0.999985066776215,249.003298104265,231.629863636364,231.388165550239,10.7256023997722,34.5406662281861,10.0807572908346,168.4558,163.6041,145.5064,277.9946,265.3276,282.0919,211,11,209
"ZNF500",0.952324999466476,0.576326598791495,0.99981526878674,205.701509004739,199.267572727273,198.871862679426,5.16013813245368,16.6800529016225,4.49803967801921,151.34385,165.9473,149.7528,258.73635,228.2944,236.2637,211,11,209
"ZNF419",0.730068561958739,0.645545340720191,0.553651042781876,190.459697630332,211.571690909091,182.599349282297,6.544497451657,29.9545299942413,5.85793590386597,127.8314,168.2279,127.9279,223.78865,261.0671,218.8739,211,11,209
