"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF493",0.10338772444129,0.999864473748312,0.172113699052812,0.999153937281456,0.735991241923647,0.999724166794285,0.0129275503430216,0.000165863553460488,0.0485517992684181,0.734237394351508,160.5941224,107.247284313725,163.414953658537,173.2335375,241.2222,8.85304322439741,10.3627920010215,12.7909107390761,57.3691718877518,40.0870981801476,63.549475,52.32715,77.238575,59.28625,75.6096,218.588525,148.75915,228.993425,210.743225,325.8217,250,51,82,8,36
"ZNF167",0.374430899769286,0.846036736920233,0.923294608759053,0.877030491935102,0.999814066394199,0.979253135420129,0.978708984354559,0.930380223479007,0.999920619584593,0.973351679400388,62.3879452,45.4468901960784,54.4391487804878,41.4973875,56.1156611111111,4.54068187557093,5.11906564230902,5.26374735646447,8.09209064912941,5.9106982753125,19.76645,19.85305,23.863825,19.15445,29.2174,80.097225,66.0521,75.2587,55.265725,83.964475,250,51,82,8,36
"ZNF565",0.994748819919912,0.229870480971248,0.783212746309155,0.998592985698713,0.999970396375776,0.992152403710508,0.747270128161362,0.954551562806404,0.999152876070407,0.99844280027533,69.9614492,72.1656470588235,79.5352890243902,73.635125,77.7377666666667,2.37753501920973,4.30796276350662,4.20796693312436,8.69986638630465,4.88282841073192,46.52355,51.79245,54.378125,54.7532,57.7446,85.0488,92.6443,95.487625,92.078625,93.667825,250,51,82,8,36
"ZNF34",0.665372360449737,0.999986504513761,0.74063474993499,0.960795147460105,0.760667362802678,0.970381662997352,0.940071946424618,0.997745686693953,0.947161373429893,0.866836350835792,121.2728264,108.779862745098,121.95026097561,136.0661875,112.992008333333,3.93824019641523,7.80231425532393,6.43669764747684,29.2623678640541,9.18886587795197,78.9919,72.4699,82.2104,94.201025,72.14935,144.155725,125.2225,155.975375,140.500625,133.40675,250,51,82,8,36
"ZNF140",0.968907907052249,0.968288559624264,0.999983888334387,0.956316711229349,0.889493299294099,0.897053548903522,0.999999471771782,0.98899794460137,0.992027194489271,0.970878513457034,455.1810964,435.242396078431,438.576729268293,506.415175,456.598208333333,13.702453057912,27.1685253808467,18.6827363739266,111.135352863259,27.0265561430415,319.700475,330.93325,338.264625,313.770525,322.367375,538.4338,516.52285,509.78295,609.6814,546.373025,250,51,82,8,36
"ZNF658",0.113446916957161,0.939090131674372,0.543076938219034,0.997381490997597,0.964279288325926,0.999997579274553,0.991844763731737,0.235659493216338,0.901595818671243,0.986568311824508,46.8600064,35.1828176470588,43.7753524390244,43.109275,49.3585472222222,2.12010427802618,2.7901985595051,2.85696110683674,17.302062390133,6.14118231583764,25.2526,19.7809,25.69715,16.783225,31.56855,55.6266,48.2427,56.106125,43.45215,57.208275,250,51,82,8,36
"ZNF765",0.196494845800347,0.264231693613717,0.992865062331685,0.360019053138594,0.914292318813692,0.816415539320478,0.557769839488048,0.998437299627704,0.999995426618493,0.859836958670619,219.50973,258.734117647059,249.678441463415,296.957175,251.260136111111,7.14782283518711,16.9957992621763,13.8335843232625,43.9136478975083,21.6410476365849,146.523425,170.22265,170.2375,213.2022,171.693225,261.950325,350.2965,286.2076,383.871025,294.510175,250,51,82,8,36
"ZNF124",0.99998248750359,0.999669658122662,0.999997220465734,0.999431625734519,0.999132892096186,0.998546166119043,0.908211807356213,0.967471505834026,0.966636824170076,0.974608812043543,79.6992256,80.561362745098,81.1925634146342,74.8653375,88.9676805555556,3.65058987537988,9.10601276201479,6.67714732316684,20.8224936958632,10.9187753909513,41.008725,38.22665,37.256225,37.7265,38.91305,96.144,101.5192,103.61485,94.59275,111.714475,250,51,82,8,36
"ZNF569",0.840806401575233,0.999997944114186,0.886115103497987,0.998746416901798,0.999862993434173,0.998547463552663,0.999600919509458,0.98071946133701,0.999494849914125,0.9998570893628,88.6180076,76.6862392156863,89.1435426829268,81.1845375,85.8574777777778,5.06113528929143,8.4979870404555,8.2742479021627,12.1205508520938,10.9601602066788,47.21185,34.5995,39.852725,55.931775,42.6026,102.953075,91.71045,103.525075,116.21705,106.39505,250,51,82,8,36
"ZNF777",0.955329689648361,0.999818686298984,0.988534025112394,0.979253902701206,0.999078428771728,0.987769571853901,0.881781807992398,0.712231066667015,0.879500399862537,0.876039851127406,582.050476,600.470343137255,585.698629268293,616.908225,553.600477777778,11.3897099371987,24.9207078862046,17.4193563505473,39.0081399129754,18.8216749242729,464.48,494.1836,502.037825,567.845175,452.443275,650.8936,670.09165,672.4895,678.60355,631.8336,250,51,82,8,36
