"gene","p-adj-cluster 2-cluster 1","p-adj-cluster 3-cluster 1","p-adj-cluster 3-cluster 2","p-adj-cluster 4-cluster 1","p-adj-cluster 4-cluster 2","p-adj-cluster 4-cluster 3","mean-cluster 1","mean-cluster 2","mean-cluster 3","mean-cluster 4","SEM-cluster 1","SEM-cluster 2","SEM-cluster 3","SEM-cluster 4","Q1-cluster 1","Q1-cluster 2","Q1-cluster 3","Q1-cluster 4","Q3-cluster 1","Q3-cluster 2","Q3-cluster 3","Q3-cluster 4","count-cluster 1","count-cluster 2","count-cluster 3","count-cluster 4"
"ZKSCAN1",0.997629717466727,0.31720808166055,0.333675420660042,0.819726997172668,0.875513322633873,0.827258048798423,560.0366375,576.200664705882,704.004884615385,636.96209,64.0709361214696,39.6828001622189,70.0045483717184,41.4025391852734,380.745775,443.89625,353.63055,457.413925,608.6879,682.359725,841.85705,768.55415,24,34,39,30
"ZNF862",0.939027339095334,0.158007420637413,0.343844428516828,0.0490565434934214,0.117689086042639,0.897184597225942,293.342833333333,351.956841176471,501.478415384615,566.26905,58.3466441448527,32.5586546281311,70.5730578978565,92.5749472562239,152.5264,206.76435,247.81035,289.608325,335.84195,513.3903,532.7114,676.643975,24,34,39,30
"ZNF684",0.713396979643296,0.997270067662755,0.486640925400933,0.999983453254697,0.695771067574207,0.99442074804645,54.9518458333333,43.4293735294118,57.0344641025641,54.5529366666667,13.8789713334676,4.47707530095833,4.56660604321122,7.12007179672002,29.37895,30.0836,35.38825,31.803925,47.239125,46.57555,75.9531,60.64445,24,34,39,30
"ZNF430",0.273635956750468,0.185642747570417,0.997955331673021,0.839690733540735,0.739292129439656,0.61360961173224,114.6191375,147.829726470588,150.71918974359,130.280766666667,13.5243071639358,11.0790747813793,12.1028277800136,12.0770351355218,68.425825,108.340875,109.26015,84.133775,139.95085,186.111275,189.6832,175.321,24,34,39,30
"ZFP30",0.440086672123178,0.00422670886585419,0.155883837532657,0.0240090127812753,0.410908707627712,0.971619592701341,115.7226,172.375041176471,242.443917948718,227.355683333333,11.2875332707825,15.6578028490756,30.420142499152,29.3342287042492,76.769075,112.491925,129.4978,127.639475,138.188325,247.8269,304.8905,255.068975,24,34,39,30
"ZNF549",0.763329319889375,0.304532120076666,0.844110231096337,0.0950422273868753,0.43017769748441,0.867216151035689,132.743779166667,159.677158823529,179.632138461538,199.02159,9.39518938436855,21.1762601827201,13.9105035624793,23.4654115724749,105.10535,95.1117,110.1161,115.390875,165.77155,175.59165,224.2844,241.603825,24,34,39,30
"ZNF211",0.4487272726013,0.0776397789496119,0.753926675321226,0.00477047334887282,0.143563690242853,0.591416583604944,207.436720833333,331.808397058824,404.895120512821,500.75707,19.2401046313385,34.1468666448656,43.8236269653796,94.4118483284055,155.10875,189.24385,213.504,287.269725,233.489075,454.319475,467.9316,524.6567,24,34,39,30
"ZNF205",0.566323754433785,0.355165036353555,0.985295141521105,0.00646932114774867,0.116580723051269,0.201198527769029,256.635525,314.8877,328.691792307692,409.664616666667,17.7984539582636,19.8231695926042,17.7736180087637,52.5715643647859,190.903275,243.52445,265.87535,238.422825,305.09385,383.5388,403.23455,493.36435,24,34,39,30
"ZNF45",0.995716384267247,0.95236601388374,0.833466291913307,0.547969110935271,0.330982123945829,0.787368603054991,242.91495,235.344088235294,259.83288974359,287.852293333333,14.7930484553569,14.4497089686867,21.4132009872443,31.2155384248993,194.105625,182.71915,176.2822,183.636175,274.941375,254.955175,294.71155,343.77605,24,34,39,30
"ZNF133",0.32450069199968,0.207899245175653,0.995660891934814,0.0106357721086547,0.362439199796879,0.4619622974358,318.423754166667,428.675020588235,441.780617948718,527.951833333333,27.7491835290803,32.8123971164287,31.9520714714264,68.4249136513276,234.515775,321.8244,317.34775,343.163675,370.41525,478.703475,569.38595,551.917125,24,34,39,30
"ZNF436",0.753808079565452,0.00610281774392141,0.0557927828561343,0.0119002687215093,0.0913782133598109,0.999967366629644,676.54545,893.631523529412,1386.47738461538,1377.53899333333,115.358560939054,90.3831747807725,147.209846663579,198.017586167556,350.403575,535.47615,848.566,700.43395,822.59655,1162.075275,1557.41175,1377.727875,24,34,39,30
"ZNF484",0.963679455210836,0.978385738661751,0.999611303569921,0.458361141604583,0.691216007718316,0.607771233001838,84.9075916666667,80.8553382352941,81.6197820512821,72.1187466666667,8.27188540060157,5.31346818895576,4.89139721239284,4.68871958575888,60.80425,62.54775,61.6377,60.9764,92.5706,91.276525,94.0777,82.924675,24,34,39,30
"ZNF780B",0.989274071475793,0.761534065799694,0.886330130645584,0.188254992067829,0.246878596964227,0.611787330774159,207.251629166667,245.252185294118,322.745294871795,458.065013333333,17.6970315739597,15.7375379757384,30.4587265577068,164.685987367919,142.8977,182.192425,183.87935,179.19155,238.260575,299.454625,431.08125,389.01355,24,34,39,30
"ZNF557",0.919108387513978,0.0344299239216067,0.100945734069857,0.0146353100934745,0.0438297583013204,0.957530130174754,133.522445833333,147.058629411765,190.141807692308,199.90188,7.35727786572682,10.5299126570511,16.7707753633663,15.3491962711837,112.44535,102.6713,113.1005,139.00865,156.1014,172.51165,253.6388,260.7127,24,34,39,30
"ZNF337",0.765045320593696,0.153550479695735,0.605993055547312,0.00527408794585449,0.0431486181825328,0.409616796821916,420.197329166667,517.207697058824,625.560417948718,766.558176666667,36.1318133786163,39.4275447640568,48.492092493937,113.725652750548,313.375625,363.24445,419.1239,397.829325,495.3634,611.16625,752.79895,948.44085,24,34,39,30
"ZNF317",0.936769867744789,0.392112435776852,0.698231502996942,0.129243756506813,0.28655484645777,0.859430290822661,660.8626375,701.669679411765,768.51681025641,818.730533333333,22.5511952545025,40.3696654809437,47.0759722313264,59.2938027233919,595.865925,501.149875,547.7116,602.3426,710.11995,841.64475,902.46725,992.343475,24,34,39,30
"ZNF426",0.976198314702088,0.921053285194467,0.647277990894418,0.796802421750333,0.477158703939214,0.984553171673832,101.516045833333,94.3471911764706,112.223923076923,117.84611,6.66673730988562,7.32060967259378,9.11239422087332,19.0118445173549,70.343125,59.7376,67.5335,64.6557,124.181375,120.811,146.15685,122.22675,24,34,39,30
"ZNF331",0.999869584604574,0.863317093546642,0.862633983536216,0.625298732335951,0.602196770855262,0.952989964032673,461.105466666667,475.188623529412,611.179069230769,705.647376666667,62.1014467897242,50.617752230474,95.165364646787,237.793877766941,286.72285,248.888025,256.7393,199.014975,564.97725,666.07355,646.44145,559.3491,24,34,39,30
"ZNF227",0.674046360895691,0.20150200590247,0.800311630680169,0.0723434908789926,0.449507557957852,0.913920363223535,229.818620833333,267.152197058824,293.656833333333,313.40682,15.1863161294366,12.0487744296366,25.0649498108509,27.958681396949,180.990275,212.213425,193.64495,216.98435,270.43405,302.327425,349.44845,381.236175,24,34,39,30
"ZNF141",0.705267065254074,0.316028516775727,0.903066833817262,0.00998821565422237,0.0966562519234022,0.305889201173838,52.6223666666667,67.6086588235294,75.9974692307692,98.1321066666667,5.5968296209747,6.51156947398746,7.97745164810858,14.2637172469114,37.520975,46.941375,38.82575,48.65765,60.3089,77.435875,114.07605,126.841575,24,34,39,30
"ZNF304",0.970463340861161,0.609189604337818,0.828301288784249,0.144119876115404,0.244573563268914,0.685437830655775,259.3978375,274.322970588235,299.533143589744,333.374523333333,14.4132546305925,22.9343220195444,19.4518370860245,27.9733993438975,206.12585,179.3593,218.6462,232.93525,322.310375,314.345275,393.0741,389.6329,24,34,39,30
