"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF445",0.295648120830988,598.480533070866,557.371634285714,17.6951362993429,38.1118205758883,447.85235,366.0296,727.82235,682.80435,909.231445454545,639.519342972973,861.0763,601.31115,794.2681,1023.10945,489.30775,737.985025,58.1027329592278,11.4235961291413,0.703362544454523,0.698325049708139,-0.507659584445721,-0.518029370136676,"UCEC"
"ZNF74",0.110578379733263,554.240937007874,491.524808571429,17.7316115135997,37.5323597928275,412.38815,354.9409,662.643,603.2559,412.679072727273,681.928144054054,394.9511,632.14375,382.1349,440.06025,483.67935,789.654925,18.0315184326531,16.1481117911623,1.65244178617393,1.60056206958279,0.724599447964422,0.678578625488893,"UCEC"
"ZNF829",0.196123808239903,10.674805511811,7.86806,1.07983907353065,1.25198793180346,2.73845,2.3517,13.7249,10.95545,32.7158454545455,14.1457564864865,28.8372,9.9194,23.3157,42.4372,5.31855,20.086025,3.55390733238179,0.790431143125001,0.432382421727118,0.343979304509453,-1.20962022260714,-1.53960632699413,"UCEC"
"ZNF267",0.499777486667786,271.979641732283,256.147468571429,11.119127051525,18.9414981502333,185.975,199.47345,336.46385,294.29445,231.355154545455,234.285405405405,218.2796,232.9355,195.28235,260.32515,167.7117,283.315025,17.887335483395,5.2382296107433,1.01266559574049,1.06714278384237,0.018157843423609,0.093753221860292,"UCEC"
"ZNF566",0.310686218065758,180.285166141732,160.434882857143,9.47998379654067,14.0344421510673,122.5134,109.54855,200.5519,193.5214,263.575445454545,165.897725945946,230.3665,152.8607,213.8395,256.88155,118.016175,200.877775,25.9993844162384,4.13859316336867,0.629412674082175,0.663554379651555,-0.66792186532728,-0.591713392609402,"UCEC"
"ZNF224",0.156118916124137,190.068056692913,162.688357142857,9.00653499055339,16.4692644200401,113.7729,102.66795,233.4328,202.94345,215.002963636364,188.687849189189,198.8387,170.5518,185.69075,242.4018,122.68235,236.6557,12.3067334900066,5.21440269181989,0.877605805975394,0.857739464198871,-0.1883550246793,-0.221388594933803,"UCEC"
"ZNF529",0.636503075114338,358.693586614173,339.873194285714,17.8834521674435,39.0870969616184,241.5981,215.92405,425.91205,398.1768,478.028090909091,373.448867027027,477.5059,324.7942,442.69825,501.3329,240.447625,435.747875,18.5480529721069,10.763492502717,0.781227869510388,0.680188873058951,-0.356184678065059,-0.555992689126776,"UCEC"
"ZNF284",0.0899243022242781,36.148694488189,27.0153857142857,2.63686536661481,3.49614587130088,16.4325,12.90335,46.9921,37.97835,44.6898909090909,43.2422913513514,52.7432,37.01175,30.17025,56.7782,26.36375,54.5241,4.54437973366212,1.41098209690357,0.967607896813078,0.701735010389965,-0.0475055514411889,-0.511001752917684,"UCEC"
"ZNF749",0.0372704692053604,64.6144716535433,50.3403057142857,3.28781267574675,5.00403196747163,41.4248,28.6185,84.52145,64.3867,77.5912727272727,84.8478208108108,68.323,81.0082,52.3906,106.1848,58.6697,104.894975,9.49701296314785,1.84897319772342,1.09352273559224,1.18566514936405,0.128983215982891,0.245696627454519,"UCEC"
"ZNF17",0.298135137809062,101.582488188976,92.2406885714286,4.1496838970282,7.99507842071973,70.1714,61.34455,116.95665,110.2718,152.511454545455,93.473967027027,150.289,87.83805,128.0413,169.7565,68.4026,110.3118,10.9010288795588,1.8596062715135,0.61289801022236,0.584460938591647,-0.706281073806916,-0.774821486868205,"UCEC"
"ZNF555",0.0374723484525126,73.1641787401575,62.9529942857143,2.27946652354022,4.18540781166928,54.99005,46.14265,88.09855,74.0944,95.8198272727273,74.198037027027,91.0995,72.7115,86.1813,99.23755,55.82885,88.1629,5.87672336080839,1.31835584915769,0.774349517619571,0.798154764845032,-0.368943193222531,-0.325259577981326,"UCEC"
"ZNF75D",0.00721749240112257,337.180399212598,463.727908571429,15.484099282116,68.9368583497296,229.04695,250.02825,393.05905,506.9369,381.904272727273,329.748731621622,379.3774,289.63535,330.50405,407.2469,219.574525,397.446225,20.5842835625766,8.85639017887617,0.863432946865989,0.763449140618287,-0.211843950694324,-0.389396043984105,"UCEC"
"ZNF197",0.199907270713766,384.027816535433,352.3617,11.103592405444,23.9799140133925,299.3518,258.91805,466.77915,444.72325,410.414554545455,339.037531621622,422.9287,343.1786,367.40525,454.17935,273.79765,411.48255,15.1491466119104,5.75970776176372,0.826085546593529,0.81143370029038,-0.275636904942794,-0.301454873397932,"UCEC"
"ZNF732",0.325602068372051,3.8744157480315,4.90985142857143,0.494536538242701,0.882810812002071,0.7087,1.53755,4.67215,6.08325,17.3534818181818,9.96956621621622,14.197,8.46445,12.51545,23.6394,5.4645,12.52695,1.86213495101325,0.426982181203007,0.574499476282089,0.596213988870888,-0.799622517186691,-0.746097869444398,"UCEC"
"ZNF546",0.0977397815500327,56.0401251968504,44.9587314285714,3.23948566243938,4.70846720353727,33.9488,22.52605,63.6855,57.45275,131.066354545455,65.9828397297297,137.1728,54.8656,115.54835,149.87705,38.037525,76.844725,5.73894424147799,3.46311666714309,0.503430800059725,0.399974338935999,-0.990134611137537,-1.32202065058069,"UCEC"
"ZNF286A",0.652505539881425,365.900398425197,383.690411428571,16.7968730846812,44.0794243507923,241.12765,220.46065,438.62505,425.4592,399.143727272727,405.781527567568,349.7382,379.647,338.475,378.2024,265.990875,495.2154,46.7752181761669,10.7770019966591,1.01663010049086,1.08551768151148,0.0237948519977573,0.118383225558014,"UCEC"
"ZKSCAN4",0.312009364519699,133.273850393701,121.690417142857,5.30907296986406,10.1091242206033,94.05005,85.55025,156.34195,144.56045,107.432827272727,110.790339459459,103.8798,104.64195,97.6929,123.36835,82.373,130.58305,5.81984638927384,2.14903352150155,1.03125219983468,1.00733684508441,0.0443971968733158,0.0105461892756683,"UCEC"
"ZNF643",0.86176666835394,48.4829118110236,47.5240942857143,2.58597379282856,4.64507118609407,26.9316,28.03055,62.2279,76.91465,17.8908454545455,43.4743856756757,17.5219,38.98675,12.52585,22.5082,27.442575,54.50545,2.04518201516565,1.22864443778228,2.4299793872866,2.22502981982548,1.28094407597693,1.15382467119187,"UCEC"
"ZNF642",0.56351888920361,90.5985228346457,85.6630342857143,3.63416640620641,9.5195573246127,65.9693,51.10535,114.8429,105.44445,85.2874818181818,77.6222745945946,84.596,74.77115,76.95625,99.0506,53.7182,95.4248,5.59062896204351,2.01683037481351,0.910125061026797,0.883861530095986,-0.135863294052475,-0.178107726957826,"UCEC"
"ZNF490",0.350237156234295,248.283469291339,230.399477142857,8.91989860667171,16.5650468126391,186.2063,167.9057,273.59705,275.90755,297.9965,359.514204594595,295.7198,332.77705,253.77405,338.627,276.626525,392.112975,20.2306992962496,7.88129075704386,1.206437674921,1.12531203524417,0.270753387244577,0.17032509858012,"UCEC"
"ZNF626",0.0720293891567609,184.323976377953,272.795631428571,20.8570055142207,54.3650210888143,10.46405,10.61465,299.2732,503.68655,362.718390909091,151.874348108108,338.5457,35.9793,298.6455,377.55415,12.18295,213.9965,41.6683082250821,12.0622035833452,0.418711462982236,0.106276050766558,-1.25597167988712,-3.23411157170695,"UCEC"
"ZNF793",0.561634819464523,171.988043307087,159.569237142857,10.4101660346447,14.986914642223,101.4834,110.70835,211.46985,211.05445,199.353263636364,174.346046486487,196.4981,156.351,190.39445,202.2194,106.664925,209.859875,8.4958075562359,5.82105907175743,0.874558275627269,0.795687082979428,-0.193373574482806,-0.329726916117191,"UCEC"
"ZNF383",0.3918844289834,76.0839566929134,66.2189657142857,5.83975919335228,5.33963019113525,48.43595,41.1949,86.27555,84.0069,114.713418181818,73.2893821621622,106.3331,68.40545,92.21825,140.5625,54.4361,85.35215,9.25144415698355,1.79605689861014,0.638891102050504,0.643312853664569,-0.646358047784289,-0.636407580253996,"UCEC"
"ZNF669",0.0390534925135454,117.013215748031,93.0219942857143,5.75525434738489,6.71267802003702,64.4156,64.6096,150.64545,111.5161,103.418509090909,130.600563513514,105.1314,117.01075,84.9094,120.62755,85.32295,159.000475,8.84563676647681,3.35798345336143,1.2628354891358,1.1129952611684,0.336666710015032,0.154447450089219,"UCEC"
"ZNF559",0.391247516621019,254.268768503937,233.100114285714,11.7380341346965,19.5980846795645,162.5458,155.4756,311.55605,285.60945,506.204818181818,233.02494,513.8817,209.64915,445.9856,576.22305,158.289625,265.236375,22.695887291569,6.9194906374564,0.460337261974267,0.407971620705699,-1.11923686872851,-1.29345929585516,"UCEC"
"ZNF177",0.0435885588760604,128.051440944882,97.0866885714286,7.28131648839136,11.9139343200021,70.14805,48.54345,164.16755,135.9432,151.273790909091,132.597893783784,148.5892,103.85595,126.5997,175.7254,66.18245,160.121425,11.4245639453166,5.72915316857646,0.876542413506841,0.698946827898663,-0.190104194118682,-0.516745387562363,"UCEC"
"ZNF548",0.196394642452822,212.183687401575,185.532277142857,9.34345452902508,19.5720950103634,137.8915,121.05485,261.4188,211.22245,356.183309090909,208.742694324324,350.1629,201.4469,334.275,389.6544,154.4824,255.66975,13.9837590034781,3.9520393030043,0.586054115946929,0.575294812785706,-0.77089420634299,-0.797626632838469,"UCEC"
"ZNF563",0.767768151627464,69.7649992125984,67.1635714285714,4.04413259069843,8.08789304057144,41.9642,36.27605,82.61745,81.7102,88.1980909090909,64.6941645945946,76.3441,59.59055,67.2837,112.76635,44.633625,77.280325,8.66563466687345,1.66435394018977,0.733509806479568,0.780552131729891,-0.447111841102033,-0.357433104354195,"UCEC"
"ZNF567",0.777477820164764,147.52575984252,142.694142857143,8.03733405037365,14.3535285271381,93.2731,93.9325,190.2379,183.9518,134.743527272727,127.412511351351,129.3023,119.657,109.12835,155.3238,89.772525,154.433025,11.5304986066762,3.12434537487354,0.945592815701361,0.925405039198839,-0.0807090204457242,-0.111843139913935,"UCEC"
